date,open,high,low,close,volume
2018-12-10,70.43,70.71,68.57,70.59,15168
2018-12-11,71.76,72.44,70.7,71.05,23478
2018-12-12,72.17,73.04,71.6,71.75,14096
2018-12-13,72.14,72.68,70.9,71.14,17007
2018-12-14,70.42,70.61,69.13,69.36,15540
2018-12-17,69.11,69.63,67.4,67.85,15204
2018-12-18,68.45,69.03,67.39,67.99,15779
2018-12-19,68.27,69.09,65.81,66.83,20823
2018-12-20,66.33,66.46,64.59,65.19,26607
2018-12-21,65.22,66.23,63.22,63.29,24414
2018-12-24,62.93,63.63,62.22,62.67,13599
2018-12-26,62.93,65.58,62.76,65.54,12213
2018-12-27,64.5,66.5,64.0,66.48,10938
2018-12-28,66.98,67.12,65.71,65.96,14620
2018-12-31,66.34,67.48,66.34,67.46,10821
2019-01-02,66.45,66.57,65.3,65.69,11569
2019-01-03,65.53,65.78,62.0,63.27,30988
2019-01-04,64.09,65.95,64.09,65.46,15459
2019-01-07,65.64,67.43,65.61,66.85,17199
2019-01-08,67.59,68.21,66.7,67.83,11313
2019-01-09,68.2,69.66,67.99,69.25,15395
2019-01-10,69.05,69.95,68.6,69.9,7225
2019-01-11,69.29,70.41,68.94,70.38,8445
2019-01-14,69.72,70.29,69.67,69.75,12994
2019-01-15,69.95,70.75,69.62,70.6,12499
2019-01-16,70.75,71.13,69.97,70.03,9919
2019-01-17,69.76,71.24,69.76,70.82,9612
2019-01-18,71.29,72.17,70.85,71.93,10897
2019-01-22,71.44,71.48,70.47,71.32,12704
2019-01-23,71.95,72.85,70.74,71.65,16388
2019-01-24,71.46,72.2,71.39,72.18,11268
2019-01-25,72.79,73.73,72.56,73.65,16847
2019-01-28,72.76,73.28,72.41,73.27,11238
2019-01-29,73.7,74.06,73.2,73.56,11629
2019-01-30,73.74,75.59,73.48,75.44,12747
2019-01-31,75.21,76.31,74.67,76.05,16435
2019-02-01,76.16,76.59,75.62,76.04,9544
2019-02-04,76.02,76.23,75.32,76.03,7481
2019-02-05,75.8,76.51,75.79,76.31,9024
2019-02-06,76.11,76.69,76.0,76.3,10328
2019-02-07,75.72,76.12,74.87,75.33,11607
2019-02-08,75.07,75.81,74.76,75.8,9012
2019-02-11,76.0,76.39,75.74,76.08,5894
2019-02-12,76.8,77.25,76.43,77.07,15781
2019-02-13,77.37,77.49,76.74,77.25,10834
2019-02-14,77.0,77.28,76.52,77.02,10200
2019-02-15,77.63,78.31,77.47,78.3,13969
2019-02-19,78.0,78.32,77.41,77.52,18921
2019-02-20,77.53,78.8,77.33,78.56,15189
2019-02-21,77.2,78.58,76.5,77.89,29124
2019-02-22,78.16,78.46,77.83,78.42,16304
2019-02-25,78.9,79.84,78.85,79.34,13883
2019-02-26,79.21,79.27,78.42,78.55,9852
2019-02-27,78.25,79.55,78.25,79.42,9180
2019-02-28,79.18,79.75,78.89,79.44,9153
2019-03-01,80.0,81.45,80.0,81.24,12058
2019-03-04,81.5,81.76,79.53,80.13,13736
2019-03-05,80.02,80.03,79.36,79.74,9032
2019-03-06,79.82,79.98,78.73,78.75,10163
2019-03-07,78.69,79.1,78.01,78.73,10162
2019-03-08,78.18,78.24,77.4,77.98,10621
2019-03-11,78.28,79.47,78.26,79.3,7853
2019-03-12,79.58,80.13,79.16,79.93,10400
2019-03-13,80.22,80.74,80.02,80.13,8219
2019-03-14,80.06,80.67,80.06,80.61,8198
2019-03-15,80.86,81.43,80.82,81.1,9669
2019-03-18,81.1,81.29,80.49,80.97,6585
2019-03-19,81.27,81.77,81.03,81.2,7407
2019-03-20,81.28,81.45,80.25,80.92,9509
2019-03-21,80.55,82.27,80.55,82.0,6713
2019-03-22,81.54,81.68,78.97,78.99,10238
2019-03-25,79.09,79.86,78.66,79.52,6737
2019-03-26,80.39,81.04,80.13,80.65,10103
2019-03-27,80.5,80.77,78.88,79.0,10927
2019-03-28,79.39,79.79,78.71,79.7,11791
2019-03-29,80.13,80.67,79.95,80.38,9724
2019-04-01,80.96,81.77,80.96,81.56,10521
2019-04-02,81.71,81.76,81.03,81.14,7467
2019-04-03,81.54,82.02,81.46,81.94,8814
2019-04-04,81.84,82.05,80.44,80.83,8761
2019-04-05,81.19,81.92,81.05,81.47,7536
2019-04-08,81.57,81.71,80.58,81.69,5046
2019-04-09,81.56,81.72,81.27,81.42,9783
2019-04-10,81.45,82.24,81.45,81.68,6740
2019-04-11,81.88,81.92,80.89,81.08,7768
2019-04-12,81.43,82.06,80.9,80.98,7027
2019-04-15,81.0,81.13,79.9,80.4,11797
2019-04-16,80.82,80.96,77.19,77.55,15123
2019-04-17,78.15,78.32,74.46,75.43,34325
2019-04-18,75.73,76.54,75.31,76.17,20904
2019-04-22,75.93,76.72,75.13,75.57,12301
2019-04-23,74.28,76.8,73.76,75.56,34244
2019-04-24,75.84,76.63,75.43,75.79,11543
2019-04-25,75.26,77.04,74.94,76.72,8899
2019-04-26,76.98,77.46,76.3,77.42,7499
2019-04-29,77.47,78.44,77.32,77.33,9272
2019-04-30,77.44,78.59,77.38,78.5,9730
2019-05-01,78.49,78.92,77.28,77.47,5839
2019-05-02,77.41,78.34,77.14,78.2,5517
2019-05-03,78.58,79.56,78.58,79.29,7910
2019-05-06,77.62,79.41,77.21,79.35,10100
2019-05-07,78.59,78.77,76.03,76.67,10503
2019-05-08,76.78,77.3,76.13,76.61,10707
2019-05-09,75.67,77.06,74.85,77.0,11517
2019-05-10,76.64,77.14,74.09,77.1,22210
2019-05-13,75.75,75.91,73.23,73.84,26716
2019-05-14,74.43,76.67,74.3,76.01,15065
2019-05-15,67.36,69.9,66.24,67.64,127749
2019-05-16,67.6,69.42,67.6,69.3,32643
2019-05-17,68.44,69.87,68.19,69.11,30646
2019-05-20,68.66,69.97,68.64,68.93,27648
2019-05-21,69.37,70.44,68.25,68.32,28790
2019-05-22,68.17,68.64,67.51,67.97,37468
2019-05-23,67.18,67.85,66.03,67.7,43806
2019-05-24,68.14,69.89,68.08,68.36,31018
2019-05-28,68.43,68.86,66.95,67.08,20220
2019-05-29,66.59,67.99,66.59,67.3,25358
2019-05-30,67.59,67.9,66.73,66.89,21479
2019-05-31,66.24,67.56,66.07,67.05,17769
2019-06-03,67.04,68.1,66.82,66.99,17828
2019-06-04,67.66,68.0,66.41,67.95,26183
2019-06-05,68.61,69.01,67.89,68.35,14786
2019-06-06,68.52,69.68,68.52,69.16,15184
2019-06-07,69.7,70.22,69.33,69.52,9936
2019-06-10,69.68,70.55,69.36,70.29,10039
2019-06-11,72.25,72.6,69.81,70.09,11840
2019-06-12,70.08,70.29,68.93,70.29,11407
2019-06-13,70.56,70.71,69.89,70.3,11821
2019-06-14,70.31,70.45,69.74,69.97,7884
2019-06-17,70.25,70.6,69.89,70.29,7616
2019-06-18,70.8,72.22,70.57,71.91,12080
2019-06-19,71.89,72.73,71.89,72.65,9850
2019-06-20,73.22,73.42,72.36,73.32,8288
2019-06-21,73.14,73.54,72.55,73.34,15403
2019-06-24,73.33,73.68,72.26,73.14,8232
2019-06-25,73.19,73.63,72.41,72.51,7831
2019-06-26,72.64,73.18,72.04,72.14,7161
2019-06-27,72.55,73.28,72.2,73.19,10414
2019-06-28,73.26,74.7,73.1,74.67,12375
2019-07-01,75.6,75.89,74.92,75.78,19427
2019-07-02,75.85,76.18,75.25,75.61,12253
2019-07-03,75.86,76.93,75.7,76.8,8463
2019-07-05,76.34,76.47,75.3,75.75,10685
2019-07-08,75.53,75.99,73.5,73.84,15135
2019-07-09,73.49,74.09,73.1,73.45,15434
2019-07-10,73.58,73.94,73.13,73.37,11201
2019-07-11,73.77,73.78,71.48,71.74,56015
2019-07-12,71.28,72.27,70.83,71.65,18317
2019-07-15,71.02,71.02,69.48,70.55,24749
2019-07-16,70.0,70.36,69.33,69.95,23262
2019-07-17,70.31,70.56,69.59,69.59,17949
2019-07-18,70.01,70.61,69.66,70.13,15876
2019-07-19,70.58,70.58,68.6,68.7,20502
2019-07-22,68.91,69.47,68.46,69.09,25739
2019-07-23,69.4,70.17,69.16,69.89,23081
2019-07-24,69.25,69.58,68.62,69.58,25080
2019-07-25,69.75,70.01,69.54,69.85,13783
2019-07-26,70.13,70.19,69.35,69.5,17253
2019-07-29,69.5,70.5,69.38,70.37,18646
2019-07-30,69.25,70.18,68.1,70.15,22227
2019-07-31,70.19,70.66,68.91,69.41,19814
2019-08-01,69.63,70.68,68.38,69.21,16856
2019-08-02,69.12,69.13,67.55,68.08,20230
2019-08-05,66.84,67.17,65.66,65.86,17877
2019-08-06,66.41,67.68,66.04,67.66,15526
2019-08-07,66.87,68.27,66.48,67.97,11963
2019-08-08,68.43,69.51,68.1,69.49,13214
2019-08-09,68.94,68.94,67.82,68.64,12642
2019-08-12,68.22,68.38,66.5,66.62,12823
2019-08-13,66.91,68.78,66.5,67.64,21347
2019-08-14,66.58,67.02,65.35,65.59,25633
2019-08-15,71.94,72.65,69.42,69.59,52525
2019-08-16,69.9,71.18,68.96,71.08,24312
2019-08-19,71.93,72.28,71.5,71.75,11665
2019-08-20,71.42,72.26,71.1,71.12,14233
2019-08-21,71.96,72.33,71.19,72.2,14332
2019-08-22,72.45,72.77,71.25,71.74,10149
2019-08-23,71.5,71.67,69.25,69.55,19153
2019-08-26,70.11,70.64,68.79,69.64,9196
2019-08-27,70.05,70.33,69.11,69.48,8989
2019-08-28,69.26,70.27,68.8,69.94,7898
2019-08-29,70.81,71.29,70.48,70.7,11367
2019-08-30,71.45,72.45,70.82,71.11,11405
2019-09-03,70.7,71.04,69.48,70.41,14277
2019-09-04,70.94,71.22,69.96,70.86,8620
2019-09-05,71.64,73.71,71.64,73.52,19332
2019-09-06,73.69,74.37,73.69,74.28,22769
2019-09-09,74.39,74.59,73.67,74.18,24235
