date,open,high,low,close,volume
2018-12-10,0.68,0.68,0.63,0.6338,2632
2018-12-11,0.65,0.6538,0.63,0.6316,974
2018-12-12,0.68,0.68,0.63,0.6729,3573
2018-12-13,0.69,0.69,0.631,0.6378,1519
2018-12-14,0.67,0.67,0.63,0.6393,2288
2018-12-17,0.64,0.655,0.62,0.632,2553
2018-12-18,0.63,0.63,0.5958,0.5968,4256
2018-12-19,0.59,0.6165,0.5826,0.5852,2621
2018-12-20,0.59,0.59,0.54,0.5799,2081
2018-12-21,0.575,0.5999,0.5722,0.586,1889
2018-12-24,0.595,0.606,0.586,0.5878,1121
2018-12-26,0.59,0.65,0.588,0.6359,1475
2018-12-27,0.6159,0.6359,0.58,0.6149,2897
2018-12-28,0.59,0.6544,0.59,0.6399,2035
2018-12-31,0.63,0.67,0.63,0.67,2493
2019-01-02,0.69,0.7,0.66,0.698,2001
2019-01-03,0.7,0.738,0.6837,0.6886,1357
2019-01-04,0.72,0.72,0.6751,0.7088,1858
2019-01-07,0.77,0.77,0.69,0.69,1976
2019-01-08,0.78,0.78,0.7,0.73,2059
2019-01-09,0.78,0.8386,0.752,0.8215,9261
2019-01-10,0.84,0.8992,0.821,0.86,9044
2019-01-11,0.8888,0.8888,0.8162,0.83,2480
2019-01-14,0.82,0.837,0.8,0.812,2434
2019-01-15,0.81,0.822,0.8,0.8025,1155
2019-01-16,0.8,0.83,0.79,0.8249,1628
2019-01-17,0.82,0.82,0.75,0.7602,1956
2019-01-18,0.75,0.76,0.73,0.7507,2859
2019-01-22,0.73,0.75,0.7125,0.72,3055
2019-01-23,0.72,0.76,0.7101,0.715,1171
2019-01-24,0.72,0.7264,0.71,0.7147,763
2019-01-25,0.77,0.8,0.72,0.7647,1540
2019-01-28,0.7647,0.79,0.7347,0.7649,1305
2019-01-29,0.7762,0.7762,0.7434,0.7528,1193
2019-01-30,0.75,0.7628,0.7228,0.7463,1485
2019-01-31,0.75,0.7899,0.7259,0.7848,992
2019-02-01,0.79,0.79,0.7448,0.7522,1604
2019-02-04,0.75,0.775,0.75,0.7635,1247
2019-02-05,0.7635,0.7685,0.71,0.715,1189
2019-02-06,0.72,0.7399,0.717,0.73,1320
2019-02-07,0.73,0.73,0.7131,0.7161,901
2019-02-08,0.71,0.7159,0.7,0.7001,1638
2019-02-11,0.71,0.7269,0.702,0.72,2010
2019-02-12,0.72,0.7498,0.72,0.745,604
2019-02-13,0.76,0.76,0.7,0.7003,1924
2019-02-14,0.7,0.7103,0.69,0.7103,1355
2019-02-15,0.702,0.7189,0.7,0.71,908
2019-02-19,0.71,0.7697,0.708,0.757,2796
2019-02-20,0.75,0.7582,0.7239,0.7239,2010
2019-02-21,0.72,0.7432,0.702,0.7259,1101
2019-02-22,0.701,0.727,0.701,0.7133,2404
2019-02-25,0.7012,0.7072,0.6711,0.6711,4276
2019-02-26,0.67,0.6986,0.67,0.6737,2101
2019-02-27,0.67,0.68,0.644,0.6701,2104
2019-02-28,0.6701,0.6701,0.6301,0.6481,2387
2019-03-01,0.65,0.65,0.63,0.632,2212
2019-03-04,0.6236,0.6381,0.6236,0.635,926
2019-03-05,0.632,0.6502,0.63,0.63275,1085
2019-03-06,0.6644,0.6644,0.6,0.63,1872
2019-03-07,0.61,0.6164,0.6,0.61,3112
2019-03-08,0.6,0.6288,0.6,0.6109,2238
2019-03-11,0.605,0.6271,0.6,0.6004,3612
2019-03-12,0.6,0.6045,0.5601,0.5999,2978
2019-03-13,0.624,0.624,0.6,0.619,1622
2019-03-14,0.62,0.6237,0.59,0.6,1082
2019-03-15,0.591,0.5991,0.5762,0.5925,1712
2019-03-18,0.57,0.5854,0.57,0.57,2086
2019-03-19,0.572,0.6011,0.572,0.6011,1701
2019-03-20,0.6,0.6182,0.5855,0.6112,900
2019-03-21,0.6112,0.6188,0.5913,0.6032,1341
2019-03-22,0.61,0.61,0.5951,0.6,995
2019-03-25,0.6079,0.61,0.5975,0.6074,2356
2019-03-26,0.62,0.67,0.605,0.6366,3261
2019-03-27,0.6518,0.6518,0.629,0.633,1773
2019-03-28,0.633,0.633,0.5963,0.6004,1339
2019-03-29,0.6,0.6199,0.58,0.5814,949
2019-04-01,0.588,0.5993,0.58,0.5925,1819
2019-04-02,0.5935,0.5993,0.576,0.5772,1224
2019-04-03,0.58,0.5944,0.572,0.5864,1512
2019-04-04,0.57,0.586,0.57,0.5767,1350
2019-04-05,0.58,0.5896,0.57,0.583,843
2019-04-08,0.588,0.5956,0.56,0.5649,1918
2019-04-09,0.58,0.5835,0.565,0.5717,374
2019-04-10,0.57,0.5808,0.565,0.575,1547
2019-04-11,0.57,0.5796,0.56,0.5611,825
2019-04-12,0.57,0.57,0.5525,0.5683,1616
2019-04-15,0.59,0.59,0.56,0.5698,1154
2019-04-16,0.6,0.6,0.5587,0.5793,1231
2019-04-17,0.5739,0.5799,0.555,0.5576,477
2019-04-18,0.5576,0.57,0.55,0.55,720
2019-04-22,0.55,0.5555,0.5305,0.5521,851
2019-04-23,0.55,0.5535,0.55,0.5503,956
2019-04-24,0.55,0.5649,0.55,0.5522,889
2019-04-25,0.555,0.555,0.55,0.555,680
2019-04-26,0.55,0.555,0.55,0.555,844
2019-04-29,0.55,0.554,0.51,0.5171,3501
2019-04-30,0.5171,0.5278,0.5081,0.5185,712
2019-05-01,0.512,0.5188,0.501,0.5025,979
2019-05-02,0.517,0.517,0.49,0.4936,2367
2019-05-03,0.49,0.52,0.49,0.51,1806
2019-05-06,0.508,0.5145,0.493,0.493,703
2019-05-07,0.495,0.5037,0.495,0.5024,901
2019-05-08,0.505,0.5145,0.48,0.486,1587
2019-05-09,0.4819,0.4836,0.46,0.46,2908
2019-05-10,0.465,0.47,0.46,0.47,1175
2019-05-13,0.4745,0.4785,0.45,0.45,1654
2019-05-14,0.46,0.4622,0.4458,0.4573,757
2019-05-15,0.478,0.4995,0.4523,0.498,1247
2019-05-16,0.4994,0.4994,0.46,0.4642,753
2019-05-17,0.45,0.472,0.45,0.4658,761
2019-05-20,0.4798,0.4798,0.46,0.47,637
2019-05-21,0.478,0.478,0.444,0.4465,1357
2019-05-22,0.4465,0.4556,0.4461,0.4543,1109
2019-05-23,0.4516,0.4659,0.4504,0.4531,462
2019-05-24,0.448,0.4638,0.4455,0.4465,405
2019-05-28,0.45,0.4549,0.4376,0.4392,1315
2019-05-29,0.4365,0.44,0.4306,0.437,796
2019-05-30,0.431,0.4395,0.429,0.4306,987
2019-05-31,0.45,0.47,0.4416,0.4597,1764
2019-06-03,0.47,0.485,0.4599,0.485,2910
2019-06-04,0.49,0.5143,0.4742,0.4742,2176
2019-06-05,0.47,0.4828,0.4603,0.4641,1939
2019-06-06,0.48,0.4805,0.43,0.4652,3455
2019-06-07,0.478,0.492,0.452,0.4917,1460
2019-06-10,0.57,0.57,0.4717,0.49,2713
2019-06-11,0.51,0.51,0.47,0.4756,2122
2019-06-12,0.477,0.49,0.47,0.4805,1284
2019-06-13,0.49,0.51,0.4801,0.5099,1139
2019-06-14,0.51,0.5391,0.5065,0.5318,2433
2019-06-17,0.57,0.57,0.53,0.5339,1479
2019-06-18,0.55,0.55,0.5397,0.5498,867
2019-06-19,0.57,0.57,0.5315,0.5401,1244
2019-06-20,0.585,0.6098,0.5799,0.6,3136
2019-06-21,0.625,0.6315,0.6,0.6233,1954
2019-06-24,0.63,0.6765,0.6296,0.66,3123
2019-06-25,0.68,0.68,0.6233,0.64,2866
2019-06-26,0.622,0.66,0.622,0.6365,1749
2019-06-27,0.62,0.62,0.5758,0.5937,1524
2019-06-28,0.59,0.6022,0.578,0.59,3062
2019-07-01,0.59,0.6411,0.58,0.5977,2368
2019-07-02,0.596,0.6512,0.5825,0.6512,1899
2019-07-03,0.68,0.68,0.6301,0.6337,853
2019-07-05,0.65,0.65,0.6,0.6126,1634
2019-07-08,0.61,0.61,0.59,0.5999,1672
2019-07-09,0.6,0.6325,0.5902,0.6325,766
2019-07-10,0.65,0.661,0.6301,0.661,3106
2019-07-11,0.6779,0.6779,0.6462,0.6462,989
2019-07-12,0.6589,0.6589,0.64,0.6464,684
2019-07-15,0.65,0.6588,0.64,0.6415,840
2019-07-16,0.68,0.68,0.5793,0.611,6344
2019-07-17,0.603,0.6443,0.595,0.6305,2548
2019-07-18,0.66,0.6699,0.6153,0.6463,2692
2019-07-19,0.66,0.66,0.62,0.636,2036
