date,open,high,low,close,volume
2018-12-10,9.17265,9.44065,9.06115,9.16365,56
2018-12-11,9.16725,9.5306,8.9946,8.9946,23
2018-12-12,9.17265,9.92445,9.0108,9.277,125
2018-12-13,9.58635,9.58635,8.9946,8.9946,22
2018-12-14,9.3885,9.53235,8.9946,9.3525,25
2018-12-17,9.3525,9.3687,9.009,9.08275,49
2018-12-18,9.0108,9.19245,8.2734,8.3849,136
2018-12-19,8.3867,8.7752,8.0971,8.18165,70
2018-12-20,8.43525,8.45325,5.7554,6.1151,328
2018-12-21,5.6349,6.6187,5.21585,5.2338,253
2018-12-24,5.8813,5.8975,5.3957,5.5036,54
2018-12-26,5.7788,5.7788,4.8921,5.1151,114
2018-12-27,5.3957,5.7554,4.8561,5.03595,111
2018-12-28,4.7212,5.57555,4.7212,5.57195,79
2018-12-31,5.7554,5.9982,5.43345,5.9982,29
2019-01-02,5.53955,6.259,5.53955,5.93525,68
2019-01-03,5.93525,6.31295,5.93345,6.098,78
2019-01-04,6.29495,7.55395,5.9892,6.7536,194
2019-01-07,6.8705,7.3741,6.65825,6.83455,45
2019-01-08,7.15825,7.15825,6.5288,6.6547,62
2019-01-09,6.6547,6.83455,6.54495,6.83455,37
2019-01-10,6.4748,7.0144,6.4748,7.0144,40
2019-01-11,6.9964,7.0144,6.4748,6.92445,47
2019-01-14,6.6547,7.55395,6.6547,7.32015,154
2019-01-15,7.3741,7.41185,6.6547,7.3741,60
2019-01-16,7.29315,7.3741,6.83635,7.3741,27
2019-01-17,7.03235,7.44425,6.8885,7.19425,10
2019-01-18,7.19425,7.7338,7.05035,7.6403,27
2019-01-22,7.55395,7.7338,7.3741,7.7338,38
2019-01-23,7.58455,7.7338,7.20325,7.2302,22
2019-01-24,7.34175,7.69605,7.20325,7.40645,21
2019-01-25,7.58635,7.6439,7.41905,7.55395,26
2019-01-28,7.3741,7.7302,7.3741,7.6439,21
2019-01-29,7.7338,8.06295,7.55575,7.91365,44
2019-01-30,7.57735,7.94965,7.19425,7.82375,76
2019-01-31,7.58995,7.84355,7.19425,7.55215,68
2019-02-01,7.30215,7.6475,7.28415,7.46585,61
2019-02-04,7.3921,7.55395,7.3777,7.55395,25
2019-02-05,7.31655,7.91365,7.1421,7.19425,327
2019-02-06,7.55395,7.55395,6.94245,7.0144,81
2019-02-07,7.3741,7.3741,6.83455,6.9784,34
2019-02-08,6.96045,7.0144,6.6547,6.65645,59
2019-02-11,6.9892,7.0144,6.5072,6.5072,74
2019-02-12,6.33095,6.9928,6.33095,6.7446,58
2019-02-13,6.83455,7.3723,6.6007,7.33995,62
2019-02-14,7.3741,7.71585,6.6547,7.21225,186
2019-02-15,6.8705,7.3741,6.8705,7.06835,62
2019-02-19,6.8705,7.15825,6.8705,6.96045,29
2019-02-20,16.18885,17.44605,9.1367,9.1367,12256
2019-02-21,10.43165,10.79135,7.7338,8.54315,3274
2019-02-22,8.45325,9.3507,7.56835,8.2302,1713
2019-02-25,8.09355,8.2194,7.59355,7.82375,522
2019-02-26,7.69785,8.41725,7.2536,8.41725,1091
2019-02-27,8.6331,8.6331,7.7518,8.2302,308
2019-02-28,7.8849,11.33095,7.32915,8.5198,1372
2019-03-01,8.31295,8.9928,8.2734,8.41725,198
2019-03-04,8.2536,8.6331,7.95865,8.2734,279
2019-03-05,8.09355,8.45325,7.93165,8.30935,127
2019-03-06,7.9137,9.8921,7.9137,8.2158,1303
2019-03-07,8.4532,8.6295,7.9137,8.0468,338
2019-03-08,7.9317,8.0917,7.5558,7.732,219
2019-03-11,7.5558,8.0935,7.554,7.6709,100
2019-03-12,7.554,8.0036,7.3741,7.9137,277
2019-03-13,7.2464,7.5899,7.1942,7.3561,296
2019-03-14,7.2464,7.7284,7.1942,7.464,1086
2019-03-15,7.4101,7.4622,6.8345,6.9964,410
2019-03-18,7.3741,7.8237,6.9245,7.1942,981
2019-03-19,7.0324,7.2842,6.8345,7.1942,403
2019-03-20,6.8831,7.7338,6.8831,7.554,336
2019-03-21,7.3165,7.536,7.1061,7.3993,132
2019-03-22,7.196,7.3723,6.6547,7.0144,212
2019-03-25,6.8903,7.1025,6.6547,6.7716,102
2019-03-26,6.7716,7.0144,6.5036,6.9604,298
2019-03-27,7.0144,7.5558,6.8345,6.8669,314
2019-03-28,6.7464,6.9209,6.6547,6.741,93
2019-03-29,6.6547,6.7806,6.5252,6.7194,116
2019-04-01,6.4748,6.7806,6.4748,6.6097,100
2019-04-02,6.5072,6.5072,5.8147,6.0432,757
2019-04-03,6.1151,6.223,5.2158,5.9946,384
2019-04-04,5.71,6.85,0.3675,0.3675,6809
2019-04-05,5.56,5.98,5.25,5.71,2985
2019-04-08,5.76,5.85,5.3,5.4,2599
2019-04-09,5.49,5.95,5.46,5.75,1226
2019-04-10,5.71,6.35,5.56,5.92,2238
2019-04-11,5.86,6.27,5.68,5.72,1166
2019-04-12,5.78,5.96,5.64,5.96,443
2019-04-15,5.91,5.95,5.65,5.73,377
2019-04-16,5.77,6.87,5.72,6.1,3360
2019-04-17,6.04,6.04,5.73,5.81,446
2019-04-18,5.77,5.88,5.59,5.73,248
2019-04-22,5.67,5.68,5.57,5.68,134
2019-04-23,5.65,5.8,5.6,5.635,246
2019-04-24,5.6,6.0,5.58,5.69,429
2019-04-25,5.62,5.75,5.35,5.48,301
2019-04-26,5.43,5.73,5.33,5.4,208
2019-04-29,5.3,5.32,5.03,5.15,255
2019-04-30,5.15,5.27,5.01,5.16,162
2019-05-01,5.21,12.88,5.21,10.25,204285
2019-05-02,18.4,20.45,12.03,12.65,87902
2019-05-03,12.85,12.88,10.25,10.9,8253
2019-05-06,10.56,11.5,10.02,11.38,3489
2019-05-07,11.34,15.39,11.0,12.58,14956
2019-05-08,13.5,15.15,12.58,12.58,9845
2019-05-09,16.59,17.6,14.03,15.1,10243
2019-05-10,13.8,13.8,12.57,13.0,2628
2019-05-13,13.4,13.48,11.56,11.7,1781
2019-05-14,12.46,12.46,10.68,10.99,1785
2019-05-15,10.7,10.99,10.18,10.18,1947
2019-05-16,10.21,10.77,9.28,9.3,1407
2019-05-17,9.13,9.69,9.0,9.41,728
2019-05-20,9.13,9.38,8.21,8.27,1313
2019-05-21,8.24,8.34,7.7,7.95,1206
2019-05-22,7.83,7.95,7.17,7.17,800
2019-05-23,7.07,7.32,6.77,7.01,928
2019-05-24,6.98,7.15,6.78,6.97,580
2019-05-28,6.87,7.0,6.5,6.51,1788
2019-05-29,6.5,6.78,6.04,6.25,4937
2019-05-30,6.2,6.45,6.01,6.15,1666
2019-05-31,6.0,6.14,5.75,5.79,915
2019-06-03,5.75,8.88,5.53,7.36,38496
2019-06-04,6.92,7.43,6.63,7.3,3287
2019-06-05,7.23,8.4,7.05,7.21,3744
2019-06-06,7.14,7.63,7.05,7.6,819
2019-06-07,7.6,8.25,7.19,7.3,1749
2019-06-10,7.26,7.5,6.5,6.52,1911
2019-06-11,6.53,7.0,6.51,6.65,959
2019-06-12,6.58,6.65,6.33,6.34,454
2019-06-13,6.33,6.79,6.26,6.68,690
2019-06-14,6.68,6.68,6.25,6.49,580
2019-06-17,6.53,7.09,6.4,6.4,566
2019-06-18,6.43,6.74,6.1,6.24,918
2019-06-19,6.18,6.98,6.07,6.13,2165
2019-06-20,6.39,6.63,6.17,6.33,1776
2019-06-21,6.3,6.57,6.3,6.46,552
2019-06-24,6.46,6.81,6.46,6.67,706
2019-06-25,6.72,7.71,6.72,7.42,4318
2019-06-26,7.27,7.77,6.79,6.81,1135
2019-06-27,6.81,7.35,6.81,7.07,418
2019-06-28,7.2,7.38,6.85,7.32,2526
2019-07-01,7.32,7.56,7.0,7.12,848
2019-07-02,7.06,7.66,6.87,7.1,746
2019-07-03,7.15,7.15,6.88,6.98,265
2019-07-05,7.05,7.32,6.9,6.94,575
2019-07-08,6.94,7.07,6.63,6.79,385
