date,open,high,low,close,volume
2018-12-10,317.9,326.79,312.46,323.66,2761
2018-12-11,330.0,330.8,322.59,328.13,2140
2018-12-12,335.0,341.09,330.32,330.69,2255
2018-12-13,332.42,338.21,317.26,319.72,1971
2018-12-14,313.63,323.93,312.03,316.19,1941
2018-12-17,312.57,312.57,295.4,298.77,4467
2018-12-18,304.81,306.75,299.14,304.8,3344
2018-12-19,305.0,314.66,290.45,296.14,3917
2018-12-20,296.14,303.21,275.48,284.28,5675
2018-12-21,283.8,294.04,283.31,290.29,6658
2018-12-24,286.04,286.76,274.02,281.08,2328
2018-12-26,282.0,307.81,282.0,307.44,3544
2018-12-27,302.92,315.91,300.05,315.67,4254
2018-12-28,317.47,324.78,314.0,318.17,3142
2018-12-31,320.3,329.91,320.3,325.04,3126
2019-01-02,315.94,320.71,307.03,309.96,3142
2019-01-03,307.25,311.74,293.65,302.29,3829
2019-01-04,305.31,321.48,304.98,313.44,3134
2019-01-07,313.5,315.5,305.56,314.8,4658
2019-01-08,318.45,323.1,312.22,318.42,3376
2019-01-09,324.74,342.97,322.1,336.4,4196
2019-01-10,334.1,340.87,322.77,335.13,3185
2019-01-11,332.77,334.2,320.52,323.8,3220
2019-01-14,321.9,322.0,314.06,315.25,1956
2019-01-15,316.62,327.57,316.62,325.61,1977
2019-01-16,326.06,332.93,323.29,324.13,2466
2019-01-17,324.06,332.94,324.06,330.32,1809
2019-01-18,335.2,337.16,326.49,333.74,2631
2019-01-22,333.55,339.67,330.85,336.13,2351
2019-01-23,339.14,344.97,332.75,336.98,2323
2019-01-24,337.5,349.34,334.95,348.5,4410
2019-01-25,349.99,353.92,346.46,349.37,2666
2019-01-28,348.9,350.0,333.76,336.9,2659
2019-01-29,338.38,339.55,326.48,330.38,2312
2019-01-30,331.11,339.91,327.38,339.59,2796
2019-01-31,359.54,362.67,342.34,351.07,7193
2019-02-01,348.79,351.45,340.92,351.08,3164
2019-02-04,352.53,353.36,316.38,330.41,12528
2019-02-05,334.16,350.49,333.99,344.28,5619
2019-02-06,345.25,350.0,340.01,344.78,2789
2019-02-07,340.26,344.02,335.52,341.61,1694
2019-02-08,338.53,341.52,336.93,341.21,1601
2019-02-11,343.52,356.3,342.55,354.92,3095
2019-02-12,359.48,361.76,353.84,358.08,2479
2019-02-13,357.74,364.15,353.37,361.5,1611
2019-02-14,357.61,361.02,353.95,357.82,1410
2019-02-15,360.0,362.33,357.1,362.06,1754
2019-02-19,361.77,364.31,358.06,359.37,1615
