date,open,high,low,close,volume
2018-12-10,157.02,158.65,154.41,157.72,15040
2018-12-11,160.0,160.83,157.41,158.3,10566
2018-12-12,160.26,161.21,158.53,158.62,13945
2018-12-13,159.79,161.09,159.22,160.25,11638
2018-12-14,158.33,158.64,155.12,155.53,14942
2018-12-17,154.73,154.98,150.88,151.67,15212
2018-12-18,153.33,154.03,151.15,152.14,17421
2018-12-19,152.29,156.21,149.58,150.96,20795
2018-12-20,146.0,147.2,139.49,143.5,46381
2018-12-21,141.02,144.85,136.93,137.2,37242
2018-12-24,136.58,136.92,133.6,133.67,16453
2018-12-26,134.8,139.02,132.63,139.01,16616
2018-12-27,137.11,140.41,134.69,140.41,16567
2018-12-28,141.01,141.8,138.81,139.82,12882
2018-12-31,140.4,141.29,139.39,141.01,12112
2019-01-02,138.93,141.19,138.28,140.59,13872
2019-01-03,139.13,139.57,135.58,135.79,18617
2019-01-04,138.12,141.34,137.5,141.07,14985
2019-01-07,140.83,142.37,139.85,141.56,14046
2019-01-08,144.63,146.81,142.69,145.14,17836
2019-01-09,145.26,147.2,145.14,145.87,15904
2019-01-10,144.66,147.13,144.27,147.02,11620
2019-01-11,143.01,147.43,143.01,146.23,13829
2019-01-14,144.56,145.66,144.15,144.93,7880
2019-01-15,145.08,147.5,145.01,146.89,10353
2019-01-16,148.78,149.46,147.72,147.88,17341
2019-01-17,147.24,149.62,147.24,149.12,11298
2019-01-18,150.0,151.4,149.11,150.45,18221
2019-01-22,149.51,150.4,147.91,148.97,11653
2019-01-23,149.86,150.93,147.44,148.42,13390
2019-01-24,148.81,150.31,148.67,150.15,12779
2019-01-25,151.58,152.22,150.96,151.85,11011
2019-01-28,150.72,152.24,150.2,152.24,13089
2019-01-29,152.02,152.41,151.11,152.02,13408
2019-01-30,152.52,154.5,151.83,154.09,10233
2019-01-31,153.5,154.91,153.12,153.55,11340
2019-02-01,154.25,155.22,153.66,154.74,10032
2019-02-04,155.0,156.64,154.23,156.55,10464
2019-02-05,156.75,157.41,156.55,157.32,10929
