date,open,high,low,close,volume
2018-12-10,44.51,44.8,43.79,44.59,27390
2018-12-11,44.86,45.18,44.25,44.55,36078
2018-12-12,45.02,45.69,44.88,45.19,34557
2018-12-13,45.11,45.29,44.66,44.93,18633
2018-12-14,44.52,45.17,44.5,44.61,26640
2018-12-17,44.44,44.49,43.16,43.38,22972
2018-12-18,43.54,43.99,42.61,42.84,24233
2018-12-19,43.09,43.56,42.1,42.4,21900
2018-12-20,42.25,42.25,40.66,41.23,42855
2018-12-21,41.39,41.77,40.52,40.8,41471
2018-12-24,40.7,40.7,39.42,39.62,20425
2018-12-26,39.78,40.69,39.16,40.67,26006
2018-12-27,40.29,40.97,39.78,40.96,28743
2018-12-28,41.13,41.49,40.5,40.78,22866
2018-12-31,40.84,41.04,40.5,40.97,19191
2019-01-02,40.57,41.15,40.53,40.95,16367
2019-01-03,40.79,41.34,40.4,40.77,20170
2019-01-04,41.17,41.81,41.09,41.71,18366
2019-01-07,41.54,42.44,41.47,41.92,20099
2019-01-08,42.23,42.74,42.03,42.7,25612
2019-01-09,42.7,43.45,42.7,43.07,26686
2019-01-10,43.07,43.39,42.78,43.37,16191
2019-01-11,43.38,43.48,42.87,43.16,16792
2019-01-14,43.01,43.14,42.68,42.85,19891
2019-01-15,42.93,43.52,42.89,43.48,22391
2019-01-16,43.52,43.84,43.21,43.3,27552
2019-01-17,43.47,43.47,42.98,43.41,23609
2019-01-18,43.67,44.52,43.65,44.26,20206
2019-01-22,44.08,44.08,43.22,43.56,23251
2019-01-23,43.67,43.85,43.09,43.71,15469
2019-01-24,43.5,44.05,43.48,43.67,15435
2019-01-25,43.82,44.1,43.66,43.72,13799
2019-01-28,43.6,44.18,43.42,44.17,17803
2019-01-29,44.32,44.51,43.98,44.21,12526
2019-01-30,44.37,44.88,44.18,44.69,21042
2019-01-31,44.47,45.04,44.41,44.9,20132
2019-02-01,45.04,45.13,44.76,44.89,16847
2019-02-04,44.8,44.91,44.23,44.49,25011
2019-02-05,42.93,43.71,41.42,41.85,89202
2019-02-06,41.71,41.9,41.4,41.87,47021
2019-02-07,41.8,41.82,41.12,41.4,31595
2019-02-08,42.0,42.05,41.34,41.76,39533
2019-02-11,41.83,42.07,41.37,42.01,24702
2019-02-12,42.14,42.58,41.94,42.34,23960
2019-02-13,42.4,42.65,42.11,42.4,22432
2019-02-14,42.25,42.66,42.1,42.24,18418
2019-02-15,42.29,42.54,41.82,41.98,27686
2019-02-19,42.0,42.04,41.79,41.85,34840
2019-02-20,41.9,42.22,41.8,41.97,44551
2019-02-21,41.97,42.77,41.82,42.57,41336
2019-02-22,42.38,42.98,42.25,42.49,32689
2019-02-25,42.66,42.78,42.38,42.43,23860
2019-02-26,42.51,42.67,42.25,42.32,17504
2019-02-27,42.22,42.7,42.14,42.62,21282
2019-02-28,42.69,42.76,42.38,42.5,17091
2019-03-01,42.64,42.84,42.05,42.43,19393
2019-03-04,42.55,42.59,41.8,42.24,25938
2019-03-05,42.15,42.44,41.99,42.25,15907
2019-03-06,42.34,42.37,41.91,42.13,17579
2019-03-07,42.16,42.29,41.58,42.17,20139
2019-03-08,42.12,42.19,41.69,41.92,20250
2019-03-11,41.93,42.89,41.93,42.84,21589
2019-03-12,42.88,43.12,42.71,42.91,28338
2019-03-13,42.93,43.64,42.9,43.27,22304
2019-03-14,43.3,43.45,43.14,43.35,27644
2019-03-15,43.36,43.82,43.11,43.18,38733
2019-03-18,43.2,43.27,42.34,42.48,29635
2019-03-19,42.6,43.39,42.56,43.01,23509
2019-03-20,43.02,43.02,42.09,42.3,21806
2019-03-21,42.31,42.98,42.23,42.88,17495
2019-03-22,42.9,42.97,42.46,42.62,18774
2019-03-25,42.47,43.0,42.31,42.35,19085
2019-03-26,42.29,42.55,41.87,42.29,30797
2019-03-27,42.29,42.54,42.09,42.49,20818
2019-03-28,42.46,42.73,42.4,42.72,15731
2019-03-29,42.82,43.18,42.75,43.13,16820
2019-04-01,43.22,43.47,42.58,42.68,22159
2019-04-02,42.73,42.74,42.25,42.26,23885
2019-04-03,42.26,42.34,42.0,42.22,24697
2019-04-04,42.3,43.09,42.24,42.73,24147
2019-04-05,42.65,42.95,42.55,42.93,18984
2019-04-08,42.92,43.18,42.77,43.09,16480
