date,open,high,low,close,volume
2018-12-10,132.43,135.63,130.5,135.02,11512
2018-12-11,138.28,138.98,133.24,133.87,15374
2018-12-12,137.5,140.42,136.22,137.79,13409
2018-12-13,136.46,138.95,133.65,135.57,8861
2018-12-14,133.5,135.83,130.99,131.5,10234
2018-12-17,130.99,131.95,126.51,127.27,12990
2018-12-18,128.36,131.54,128.29,130.58,11464
2018-12-19,130.44,134.82,127.0,128.13,19414
2018-12-20,127.64,129.44,121.04,124.93,16796
2018-12-21,126.71,126.71,120.11,120.3,20619
2018-12-24,118.81,122.14,117.72,118.32,11199
2018-12-26,119.71,125.93,118.19,125.93,10566
2018-12-27,122.64,127.49,121.26,127.41,10403
2018-12-28,128.71,130.11,125.07,127.23,8511
2018-12-31,129.19,129.5,127.17,128.61,7262
2019-01-02,125.39,129.64,124.65,128.96,7991
2019-01-03,126.49,127.5,121.12,121.85,19188
2019-01-04,124.35,129.37,121.81,128.28,19382
2019-01-07,128.27,133.4,128.15,132.72,7979
2019-01-08,134.26,135.7,132.24,133.87,8757
2019-01-09,134.72,137.78,133.41,136.77,13598
2019-01-10,135.21,137.53,134.85,136.71,10497
2019-01-11,135.78,137.5,135.25,136.74,5599
2019-01-14,135.37,136.18,134.12,134.75,5665
2019-01-15,131.88,137.45,131.88,135.88,11932
2019-01-16,136.18,137.5,134.8,135.3,10085
2019-01-17,134.63,137.9,134.25,136.5,15190
2019-01-18,138.29,141.84,135.46,141.73,21288
2019-01-22,140.25,141.52,138.12,139.06,15492
2019-01-23,139.46,141.14,136.55,137.49,11237
2019-01-24,136.02,137.5,135.23,136.05,11448
2019-01-25,138.11,142.48,137.75,142.08,11884
2019-01-28,140.65,141.09,138.74,140.77,8027
2019-01-29,140.92,141.77,139.01,140.16,5073
2019-01-30,141.68,146.06,140.61,146.0,9151
2019-01-31,146.2,148.57,145.86,147.2,8371
2019-02-01,147.78,149.56,146.89,149.07,9221
2019-02-04,149.06,152.65,149.0,151.59,10434
2019-02-05,151.73,153.69,151.67,152.42,10140
2019-02-06,152.16,153.14,150.79,152.28,8740
2019-02-07,151.0,151.93,149.13,150.56,11751
2019-02-08,149.12,154.41,149.12,154.31,8875
2019-02-11,155.0,156.27,153.8,154.57,9451
2019-02-12,156.4,159.61,155.89,159.54,11191
2019-02-13,159.97,161.1,159.21,160.03,11933
2019-02-14,158.84,161.05,158.0,159.94,9896
2019-02-15,161.51,161.51,159.39,160.35,12935
2019-02-19,160.43,160.97,159.0,160.68,10716
2019-02-20,160.55,161.49,158.48,159.8,7437
2019-02-21,159.64,160.68,158.85,159.83,7178
2019-02-22,160.87,161.78,160.19,161.51,5890
2019-02-25,163.54,166.29,163.49,163.94,14685
2019-02-26,163.63,164.29,161.7,163.31,10681
2019-02-27,162.5,164.32,160.66,164.28,10738
2019-02-28,164.07,164.67,162.59,163.01,13698
2019-03-01,167.77,169.05,158.4,159.77,28319
2019-03-04,161.0,161.84,153.24,157.79,32343
2019-03-05,157.99,158.2,154.16,154.71,14508
2019-03-06,154.76,155.96,152.04,153.51,13195
