date,open,high,low,close,volume
2018-12-10,9.96,9.96,9.96,9.96,0
2018-12-11,9.96,9.96,9.96,9.96,0
2018-12-12,9.96,9.96,9.96,9.96,0
2018-12-13,9.97,9.99,9.96,9.98,5039
2018-12-14,9.98,9.98,9.98,9.98,0
2018-12-17,9.98,9.98,9.98,9.98,0
2018-12-18,9.98,9.98,9.98,9.98,0
2018-12-19,9.98,10.0,9.98,10.0,124
2018-12-20,10.1,10.1,9.95,10.0,3133
2018-12-21,9.98,10.05,9.98,10.02,47
2018-12-24,10.0,10.01,10.0,10.0,8
2018-12-26,10.05,10.05,9.99,10.04,768
2018-12-27,10.0,10.0,10.0,10.0,7
2018-12-28,10.0,10.05,10.0,10.05,393
2018-12-31,10.05,10.05,10.0,10.04,396
2019-01-02,10.05,10.05,10.01,10.02,40
2019-01-03,10.0,10.04,9.98,10.04,30
2019-01-04,10.05,10.05,10.02,10.05,143
2019-01-07,10.03,10.05,10.02,10.04,11
2019-01-08,10.05,10.07,10.05,10.07,773
2019-01-09,10.05,10.07,10.05,10.05,138
2019-01-10,10.05,10.05,10.05,10.05,86
2019-01-11,10.0,10.0,10.0,10.0,48
2019-01-14,10.0,10.0,10.0,10.0,0
2019-01-15,10.03,10.06,10.03,10.06,9
2019-01-16,10.06,10.07,10.06,10.07,103
2019-01-17,10.1,10.1,10.05,10.09,72
2019-01-18,10.09,10.09,10.09,10.09,0
2019-01-22,10.1,10.12,9.97,9.97,219
2019-01-23,10.1,10.1,10.1,10.1,1001
2019-01-24,10.11,10.14,10.1,10.12,12
2019-01-25,10.14,10.14,10.08,10.08,62
2019-01-28,10.13,10.13,10.12,10.125,1
2019-01-29,10.11,10.11,10.11,10.11,100
2019-01-30,10.11,10.15,10.11,10.145,242
2019-01-31,10.14,10.16,10.05,10.05,174
2019-02-01,10.1,10.11,10.09,10.1,321
2019-02-04,10.1,10.1,10.1,10.1,0
2019-02-05,10.12,10.13,10.12,10.12,10
2019-02-06,10.13,10.15,10.11,10.15,54
2019-02-07,10.15,10.15,10.15,10.15,0
2019-02-08,10.14,10.15,10.14,10.14,1
2019-02-11,10.13,10.14,10.1,10.1,51
2019-02-12,10.12,10.13,10.12,10.12,55
2019-02-13,10.14,10.14,10.14,10.14,2
2019-02-14,10.15,10.15,10.12,10.12,130
2019-02-15,10.12,10.15,10.12,10.13,115
2019-02-19,10.16,10.16,10.12,10.13,111
2019-02-20,10.13,10.15,10.12,10.15,104
2019-02-21,10.15,10.15,10.14,10.14,3
2019-02-22,10.15,10.15,10.14,10.145,10
