date,open,high,low,close,volume
2018-12-10,17.83,17.93,17.69,17.88,68184
2018-12-11,17.86,18.08,17.86,17.91,53825
2018-12-12,17.88,17.95,17.71,17.73,53625
2018-12-13,17.79,17.9,17.74,17.87,42105
2018-12-14,17.91,18.11,17.87,18.02,71528
2018-12-17,18.01,18.11,17.63,17.66,58657
2018-12-18,17.78,17.9,17.58,17.76,44405
2018-12-19,17.8,17.94,17.67,17.7,48511
2018-12-20,17.8,17.83,17.31,17.44,63616
2018-12-21,17.49,17.74,17.35,17.45,55512
2018-12-24,17.45,17.51,16.96,17.24,46447
2018-12-26,17.28,17.7,17.27,17.68,50167
2018-12-27,17.67,17.84,17.32,17.84,56998
2018-12-28,17.73,17.82,17.66,17.73,38298
2018-12-31,17.72,17.76,17.48,17.54,41940
2019-01-02,17.55,17.66,17.4,17.63,26045
2019-01-03,17.59,17.93,17.59,17.86,53116
2019-01-04,17.91,18.05,17.89,17.94,47593
2019-01-07,18.0,18.12,17.88,17.93,38681
2019-01-08,17.86,17.93,17.8,17.8,55458
2019-01-09,17.87,17.94,17.77,17.79,55979
2019-01-10,17.8,17.83,17.68,17.76,57558
2019-01-11,17.77,17.89,17.73,17.89,27552
2019-01-14,17.97,18.09,17.92,17.95,52217
2019-01-15,17.97,18.02,17.91,17.95,38170
2019-01-16,18.01,18.03,17.93,17.98,40377
2019-01-17,17.99,18.03,17.89,18.0,46842
2019-01-18,18.04,18.08,17.96,18.01,41679
2019-01-22,18.04,18.06,17.83,17.94,50153
2019-01-23,17.98,18.03,17.92,18.01,39468
2019-01-24,18.0,18.03,17.89,18.01,33600
2019-01-25,18.08,18.12,18.01,18.12,44908
2019-01-28,18.12,18.15,18.01,18.06,44669
2019-01-29,18.1,18.12,18.02,18.11,54843
2019-01-30,17.99,18.05,17.91,17.94,84249
2019-01-31,17.8,17.91,17.76,17.91,91438
2019-02-01,17.84,17.92,17.64,17.76,89755
2019-02-04,17.74,17.83,17.66,17.83,45365
2019-02-05,17.81,17.88,17.68,17.79,60872
2019-02-06,17.77,17.88,17.7,17.85,50856
2019-02-07,17.84,17.89,17.77,17.85,27711
2019-02-08,17.84,17.86,17.68,17.81,34203
2019-02-11,17.83,17.86,17.71,17.8,36954
2019-02-12,17.82,17.93,17.75,17.83,61093
2019-02-13,17.82,17.83,17.66,17.73,53729
2019-02-14,17.71,17.76,17.65,17.69,44495
2019-02-15,17.74,17.75,17.6,17.62,39102
2019-02-19,17.63,17.72,17.59,17.69,42544
2019-02-20,17.7,17.71,17.6,17.67,48836
2019-02-21,17.64,17.67,17.56,17.61,56152
2019-02-22,17.65,17.75,17.6,17.71,27106
2019-02-25,17.74,17.79,17.68,17.74,44210
2019-02-26,17.74,17.8,17.73,17.74,35757
2019-02-27,17.63,17.63,17.5,17.55,37041
2019-02-28,17.56,17.75,17.54,17.65,64628
2019-03-01,17.7,17.7,17.5,17.56,48950
2019-03-04,17.53,17.62,17.5,17.61,45754
2019-03-05,17.6,17.64,17.52,17.58,34124
2019-03-06,17.58,17.68,17.57,17.63,38841
2019-03-07,17.63,17.76,17.62,17.68,45810
2019-03-08,17.64,17.78,17.64,17.76,32996
2019-03-11,17.78,17.95,17.76,17.95,48451
2019-03-12,17.92,17.95,17.85,17.9,40706
2019-03-13,17.92,18.05,17.91,18.03,39364
2019-03-14,18.04,18.06,17.96,18.0,20846
2019-03-15,18.01,18.05,17.97,18.0,26264
2019-03-18,18.0,18.14,17.99,18.12,35626
2019-03-19,18.15,18.17,17.99,18.0,35277
2019-03-20,18.03,18.09,17.95,17.99,35569
2019-03-21,18.02,18.15,18.0,18.07,37742
2019-03-22,18.09,18.17,17.99,18.0,37369
2019-03-25,18.02,18.03,17.92,17.95,53311
2019-03-26,18.01,18.2,17.97,18.09,60406
2019-03-27,18.12,18.17,18.06,18.14,67369
2019-03-28,17.99,18.09,17.94,18.08,39155
2019-03-29,18.1,18.1,17.97,18.0,35543
2019-04-01,18.01,18.15,17.97,18.15,38977
2019-04-02,18.14,18.15,18.02,18.11,22587
2019-04-03,18.11,18.15,17.98,18.0,27329
2019-04-04,18.04,18.14,18.02,18.13,23830
2019-04-05,18.13,18.15,18.01,18.06,27189
2019-04-08,18.06,18.18,18.06,18.15,26167
2019-04-09,18.13,18.18,18.08,18.1,24767
2019-04-10,18.1,18.14,18.07,18.09,16871
2019-04-11,18.14,18.16,18.1,18.15,21828
2019-04-12,18.17,18.2,18.11,18.19,17358
