date,open,high,low,close,volume
2018-12-10,1.98,2.0,1.98,1.98,101
2018-12-11,1.98,1.99,1.97,1.98,76
2018-12-12,1.97,1.97,1.97,1.97,1
2018-12-13,1.97,1.9988,1.97,1.97,31
2018-12-14,1.97,1.97,1.97,1.97,0
2018-12-17,1.97,2.0592,1.97,1.9793,28
2018-12-18,1.97,2.0401,1.97,2.01,34
2018-12-19,1.97,2.0401,1.97,2.0401,8
2018-12-20,1.97,2.0092,1.97,1.97,60
2018-12-21,1.94,1.9415,1.83,1.83,169
2018-12-24,1.8504,1.87,1.85,1.85,10
2018-12-26,1.83,1.84,1.72,1.73,136
2018-12-27,1.7138,1.75,1.6201,1.67,61
2018-12-28,1.92,2.05,1.84,1.8901,156
2018-12-31,1.65,2.02,1.65,1.8269,30
2019-01-02,1.7,1.77,1.7,1.77,5
2019-01-03,1.81,1.96,1.71,1.71,28
2019-01-04,1.89,1.89,1.7,1.79,24
2019-01-07,1.77,1.95,1.77,1.94,46
2019-01-08,1.94,1.94,1.94,1.94,2
2019-01-09,1.82,1.82,1.82,1.82,2
2019-01-10,1.86,1.86,1.86,1.86,1
2019-01-11,1.9,1.9,1.9,1.9,26
2019-01-14,1.94,1.94,1.94,1.94,8
2019-01-15,1.94,1.96,1.94,1.96,6
2019-01-16,1.96,2.13,1.96,2.0605,191
2019-01-17,2.07,2.1699,1.72,1.83,334
2019-01-18,1.87,1.9662,1.87,1.94,41
2019-01-22,1.93,2.08,1.93,1.95,45
2019-01-23,1.93,2.11,1.93,2.11,2
2019-01-24,1.96,1.96,1.96,1.96,1
2019-01-25,1.96,1.96,1.96,1.96,1
2019-01-28,1.96,2.11,1.95,2.11,9
2019-01-29,2.1,2.1,2.07,2.07,6
2019-01-30,1.97,1.9999,1.85,1.8851,28
2019-01-31,2.0,2.0,1.964,1.964,11
2019-02-01,1.85,1.9887,1.85,1.88,15
2019-02-04,1.92,1.94,1.92,1.94,7
2019-02-05,1.94,1.94,1.94,1.94,5
2019-02-06,1.94,1.94,1.94,1.94,0
2019-02-07,1.81,1.9001,1.81,1.9001,8
2019-02-08,1.9835,1.9835,1.94,1.94,2
2019-02-11,1.9,1.9,1.69,1.69,229
2019-02-12,1.76,1.78,1.76,1.76,24
2019-02-13,1.76,1.85,1.7575,1.85,41
2019-02-14,1.89,1.89,1.85,1.85,4
2019-02-15,1.89,1.89,1.89,1.89,0
2019-02-19,1.93,1.93,1.89,1.8958,29
2019-02-20,1.9302,1.95,1.89,1.89,70
2019-02-21,1.95,1.95,1.85,1.9,103
2019-02-22,1.94,1.94,1.94,1.94,1
2019-02-25,1.91,1.91,1.85,1.894,14
2019-02-26,1.91,1.91,1.74,1.8,125
2019-02-27,1.84,1.84,1.84,1.84,2
2019-02-28,1.86,1.86,1.8143,1.86,29
2019-03-01,1.82,1.86,1.7886,1.86,36
2019-03-04,1.86,1.86,1.76,1.77,24
2019-03-05,1.76,1.769,1.751,1.7527,35
2019-03-06,1.7912,1.81,1.78,1.8,87
2019-03-07,1.81,2.0,1.79,1.81,413
2019-03-08,1.8593,1.9,1.82,1.85,250
2019-03-11,1.86,1.93,1.77,1.93,161
2019-03-12,1.84,1.84,1.82,1.84,58
2019-03-13,1.84,1.84,1.8399,1.8399,8
2019-03-14,1.8294,1.84,1.8294,1.84,119
2019-03-15,1.84,1.84,1.77,1.77,99
2019-03-18,1.77,1.84,1.77,1.84,30
