date,open,high,low,close,volume
2018-12-10,467.0402,467.0402,451.2418,460.1284,51
2018-12-11,466.0528,475.9268,449.267,453.2166,60
2018-12-12,453.2166,464.078,441.3678,441.3678,49
2018-12-13,441.3678,448.2796,424.582,425.5694,70
2018-12-14,422.6072,439.393,422.6072,425.5694,62
2018-12-17,427.5442,433.4686,395.9474,402.8592,119
2018-12-18,413.7206,432.4812,406.8088,426.5568,60
2018-12-19,426.5568,429.519,405.8214,408.7836,40
2018-12-20,407.7962,412.7332,391.0104,394.96,77
2018-12-21,395.9474,405.8214,381.1364,395.9474,170
2018-12-24,394.96,403.8466,389.0356,389.0356,43
2018-12-26,391.0104,404.834,381.1364,404.834,88
2018-12-27,399.897,403.8466,380.149,395.9474,74
2018-12-28,388.0482,396.9348,381.1364,387.0608,70
2018-12-31,393.9726,401.8718,388.0482,394.96,55
2019-01-02,390.023,408.7836,386.0734,405.8214,42
2019-01-03,399.897,408.7836,394.96,395.9474,48
2019-01-04,399.897,434.456,399.897,430.5064,73
2019-01-07,430.5064,443.3426,423.5946,441.3678,68
2019-01-08,440.3804,461.1158,433.4686,458.1536,52
2019-01-09,464.078,472.9646,452.2292,470.0024,70
2019-01-10,472.9646,479.8764,463.0906,467.0402,51
2019-01-11,466.0528,466.0528,458.1536,466.0528,61
2019-01-14,464.078,467.0402,449.267,454.204,34
2019-01-15,456.1788,458.1536,449.267,458.1536,39
2019-01-16,461.1158,471.9772,456.1788,461.1158,53
2019-01-17,461.1158,469.015,457.1662,469.015,34
2019-01-18,469.015,481.8512,464.078,476.9142,50
2019-01-22,475.9268,478.889,454.204,462.1032,41
2019-01-23,465.0654,465.0654,453.2166,455.1914,25
2019-01-24,456.1788,461.1158,449.267,456.1788,24
2019-01-25,459.141,467.0402,457.1662,465.0654,21
2019-01-28,465.0654,470.9898,461.1158,468.0276,20
2019-01-29,467.0402,473.952,461.1158,469.015,34
2019-01-30,470.0024,490.7378,470.0024,488.763,53
2019-01-31,488.763,499.6244,481.8512,488.763,53
2019-02-01,490.7378,495.6748,480.8638,495.6748,26
2019-02-04,494.6874,512.4606,488.763,511.4732,26
2019-02-05,513.448,517.3976,504.5614,513.448,26
2019-02-06,513.448,515.4228,508.511,512.4606,19
2019-02-07,511.4732,527.2716,505.5488,526.2842,35
2019-02-08,522.3346,529.2464,503.574,505.5488,29
2019-02-11,507.5236,516.4102,503.574,513.448,27
2019-02-12,519.3724,520.3598,508.511,510.4858,32
