date,open,high,low,close,volume
2018-12-10,12.81,12.84,12.64,12.8,504
2018-12-11,12.88,12.91,12.765,12.86,814
2018-12-12,12.945,12.945,12.745,12.85,506
2018-12-13,12.85,12.91,12.8,12.81,254
2018-12-14,12.775,12.86,12.655,12.725,398
2018-12-17,12.715,12.79,12.205,12.22,671
2018-12-18,12.29,12.425,12.145,12.175,512
2018-12-19,12.165,12.175,11.805,11.835,869
2018-12-20,11.96,11.96,11.48,11.585,493
2018-12-21,11.595,11.94,11.525,11.575,1236
2018-12-24,11.515,11.515,11.17,11.17,262
2018-12-26,11.21,11.805,11.19,11.73,533
2018-12-27,11.615,11.645,11.345,11.49,405
2018-12-28,11.555,11.78,11.555,11.71,435
2018-12-31,11.75,11.75,11.43,11.645,662
2019-01-02,11.515,11.875,11.44,11.855,418
2019-01-03,11.855,11.93,11.74,11.77,322
2019-01-04,11.825,11.99,11.77,11.835,761
2019-01-07,11.835,12.04,11.77,12.0,877
2019-01-08,12.04,12.22,12.0,12.125,277
2019-01-09,12.135,12.375,11.99,12.375,664
2019-01-10,12.23,12.365,12.22,12.33,254
2019-01-11,12.27,12.365,12.23,12.31,200
2019-01-14,12.165,12.375,12.165,12.205,355
2019-01-15,12.195,12.24,12.135,12.165,65
2019-01-16,12.185,12.28,12.185,12.27,155
2019-01-17,12.22,12.395,12.145,12.34,679
2019-01-18,12.34,12.405,12.25,12.25,129
2019-01-22,12.24,12.27,12.085,12.185,219
2019-01-23,12.135,12.28,12.135,12.28,80
2019-01-24,12.26,12.355,12.24,12.355,140
2019-01-25,12.395,12.52,12.395,12.475,90
2019-01-28,12.385,12.53,12.34,12.415,259
2019-01-29,12.405,12.455,12.33,12.395,88
2019-01-30,12.435,12.485,12.34,12.405,282
2019-01-31,12.385,12.5,12.33,12.475,132
2019-02-01,12.495,12.52,12.385,12.5,101
2019-02-04,12.52,12.695,12.5,12.675,119
2019-02-05,12.63,12.79,12.63,12.765,374
2019-02-06,12.745,12.745,12.655,12.745,83
2019-02-07,12.755,12.775,12.63,12.655,257
2019-02-08,12.64,12.765,12.62,12.745,136
