date,open,high,low,close,volume
2018-12-10,66.55,67.53,66.07,67.28,9839
2018-12-11,68.08,68.74,66.72,67.42,7237
2018-12-12,68.23,68.9,67.83,68.03,12794
2018-12-13,68.17,68.28,66.49,67.25,10451
2018-12-14,66.51,67.44,65.05,65.1,10391
2018-12-17,65.01,65.63,63.25,64.21,16140
2018-12-18,64.62,65.16,63.7,64.35,9583
2018-12-19,64.73,65.6,62.29,63.02,10966
2018-12-20,62.64,63.28,61.36,62.3,15147
2018-12-21,62.44,63.25,59.46,59.8,15283
2018-12-24,59.49,60.01,58.33,58.33,6864
2018-12-26,59.35,60.99,58.49,60.98,9886
2018-12-27,60.21,61.69,59.5,61.65,5303
2018-12-28,62.24,62.58,60.82,61.05,8472
2018-12-31,61.35,61.58,60.35,61.08,9487
2019-01-02,58.87,59.5,57.53,59.01,14366
2019-01-03,58.25,58.83,57.18,57.7,11902
2019-01-04,58.44,60.1,58.18,59.38,17665
2019-01-07,59.53,61.57,59.36,61.24,15357
2019-01-08,61.74,62.49,61.06,62.45,9319
2019-01-09,63.78,63.98,62.31,63.26,10290
2019-01-10,62.71,63.19,62.32,63.13,6980
2019-01-11,62.94,63.5,62.86,63.1,5851
2019-01-14,62.45,63.09,62.16,62.69,4101
2019-01-15,64.01,64.45,63.33,63.44,13246
2019-01-16,63.34,63.99,63.34,63.82,6611
2019-01-17,63.68,65.19,63.47,64.83,13270
2019-01-18,65.36,65.95,64.91,65.79,9125
2019-01-22,65.38,65.5,64.08,64.51,5162
2019-01-23,64.57,64.9,63.75,64.35,6381
2019-01-24,64.4,64.91,64.0,64.57,5142
2019-01-25,65.0,65.81,64.96,65.44,8514
2019-01-28,64.87,65.02,64.28,65.0,8264
2019-01-29,65.0,65.23,64.07,64.17,6266
2019-01-30,64.38,64.81,63.78,64.69,6005
2019-01-31,64.85,65.5,64.41,65.1,9778
2019-02-01,65.0,65.54,64.49,65.52,10868
2019-02-04,65.59,67.08,65.59,67.04,8365
2019-02-05,67.26,68.3,67.26,68.17,10932
2019-02-06,68.04,68.5,67.48,67.51,9615
2019-02-07,67.11,67.15,65.89,66.59,7993
2019-02-08,66.13,67.1,66.06,67.09,6241
2019-02-11,67.25,68.54,67.25,68.51,13837
2019-02-12,68.81,69.87,68.27,69.33,18018
2019-02-13,70.35,71.2,68.33,70.37,32284
2019-02-14,70.16,70.94,69.78,70.78,10038
2019-02-15,71.24,71.38,69.97,70.09,9148
2019-02-19,69.73,70.77,69.3,70.47,7751
2019-02-20,70.8,70.8,69.3,69.83,6778
2019-02-21,69.73,70.04,68.66,68.82,9419
2019-02-22,68.74,69.89,68.6,69.86,6807
2019-02-25,70.37,70.71,69.43,69.54,5390
2019-02-26,69.47,69.94,69.23,69.6,5934
2019-02-27,69.4,69.82,68.89,69.28,5543
2019-02-28,69.15,70.09,69.11,69.66,7392
2019-03-01,70.06,71.49,69.74,71.09,11452
2019-03-04,71.55,71.79,69.71,70.29,7122
2019-03-05,70.21,70.99,69.8,70.55,8938
2019-03-06,70.62,71.68,70.51,71.54,11546
2019-03-07,71.09,71.15,70.01,70.47,9439
2019-03-08,69.71,70.65,69.33,70.3,5667
2019-03-11,70.67,71.97,70.56,71.94,8547
2019-03-12,72.0,72.8,71.63,72.18,10040
2019-03-13,72.37,73.04,72.28,72.72,6565
2019-03-14,72.66,73.13,72.27,72.71,5621
2019-03-15,72.89,73.21,72.39,72.47,7255
2019-03-18,72.57,73.0,71.78,72.21,5139
2019-03-19,72.42,72.93,72.22,72.59,7213
2019-03-20,72.6,73.03,72.17,72.52,9491
2019-03-21,72.14,73.68,72.13,73.44,5864
2019-03-22,73.09,73.43,71.16,71.23,6584
2019-03-25,68.23,69.26,67.28,69.12,20403
2019-03-26,69.53,70.85,69.47,69.82,8542
2019-03-27,69.77,71.02,69.26,70.78,11074
2019-03-28,71.04,71.41,70.27,71.09,6701
2019-03-29,71.68,71.87,71.28,71.71,4827
2019-04-01,72.24,73.1,72.08,73.0,5878
2019-04-02,73.0,73.05,72.22,72.73,8789
2019-04-03,73.19,73.78,72.73,73.45,4296
2019-04-04,73.61,73.71,72.33,73.39,3559
2019-04-05,73.56,74.08,73.36,74.07,4432
2019-04-08,73.98,74.5,73.47,74.47,3692
2019-04-09,74.16,74.6,74.1,74.32,5694
2019-04-10,74.34,75.42,74.34,75.09,7390
2019-04-11,75.1,75.74,74.76,75.43,4182
2019-04-12,75.8,77.1,75.63,77.05,11371
2019-04-15,76.77,77.0,75.59,76.65,9432
2019-04-16,77.13,77.19,76.32,76.61,7511
2019-04-17,77.0,77.25,75.75,76.03,5664
2019-04-18,75.55,75.7,74.86,75.34,6761
2019-04-22,75.52,76.77,75.52,76.69,5536
2019-04-23,76.87,77.73,76.45,77.66,5881
2019-04-24,77.96,78.7,77.92,78.14,5254
2019-04-25,78.15,78.8,77.02,78.61,6220
2019-04-26,78.79,79.08,78.45,78.86,5986
2019-04-29,78.95,79.75,78.87,79.35,8280
2019-04-30,79.37,80.09,79.0,80.06,18258
2019-05-01,86.01,86.19,80.65,81.04,37297
2019-05-02,80.95,81.05,78.67,80.27,11852
2019-05-03,80.4,80.88,79.47,80.03,7038
2019-05-06,78.5,79.04,77.19,78.96,11706
2019-05-07,78.14,78.58,76.78,77.31,9677
2019-05-08,77.0,77.61,76.42,76.97,6112
2019-05-09,76.16,76.52,75.33,76.15,7885
2019-05-10,75.83,76.86,74.81,76.63,5884
2019-05-13,74.77,75.48,74.06,74.45,5671
2019-05-14,74.92,76.38,74.92,75.72,4741
2019-05-15,75.04,76.96,75.04,76.62,5033
2019-05-16,76.88,78.5,76.63,77.92,6687
2019-05-17,77.04,78.1,76.83,77.55,4936
2019-05-20,76.83,77.68,76.55,76.9,6866
2019-05-21,77.48,78.13,77.42,77.9,4503
2019-05-22,77.73,79.29,77.53,79.14,7223
2019-05-23,78.5,78.86,77.35,77.76,7414
2019-05-24,78.17,78.4,76.79,77.89,4619
2019-05-28,78.23,79.07,77.8,77.83,3692
2019-05-29,77.44,77.89,76.92,77.4,3873
2019-05-30,77.68,78.1,76.55,76.81,4351
2019-05-31,76.0,76.33,75.08,75.36,6072
2019-06-03,74.7,75.3,73.19,73.66,10270
2019-06-04,74.16,75.93,73.91,75.92,6087
2019-06-05,76.48,78.12,76.34,78.05,6325
2019-06-06,78.12,78.37,77.32,78.18,4665
2019-06-07,78.5,79.74,77.56,79.42,5748
2019-06-10,79.99,80.99,79.43,79.55,5668
2019-06-11,80.37,80.85,78.84,79.41,3719
2019-06-12,79.1,79.68,78.79,79.35,5380
2019-06-13,79.54,80.05,78.85,79.19,3581
2019-06-14,79.16,79.21,78.08,78.62,4822
2019-06-17,78.54,78.54,76.38,76.58,8288
2019-06-18,77.55,78.39,77.02,78.24,8472
2019-06-19,78.52,79.66,78.05,79.58,5821
2019-06-20,80.39,80.78,79.48,79.88,6428
2019-06-21,79.45,80.0,78.29,78.55,8038
2019-06-24,78.71,79.33,78.44,78.74,6728
2019-06-25,78.64,79.54,77.4,77.81,4171
2019-06-26,78.28,79.38,78.28,78.61,4964
2019-06-27,79.05,79.69,78.91,79.42,3664
2019-06-28,79.82,80.22,79.3,80.14,4925
2019-07-01,81.36,81.56,80.27,80.38,5922
2019-07-02,80.38,80.96,80.09,80.46,4349
2019-07-03,80.69,81.33,80.68,81.28,3185
2019-07-05,80.92,81.81,80.5,81.7,2473
2019-07-08,81.26,81.49,80.65,81.19,4097
2019-07-09,80.92,81.49,80.53,81.36,4653
2019-07-10,81.73,82.38,81.5,81.73,3139
2019-07-11,81.88,82.32,81.4,82.29,3654
2019-07-12,82.41,82.7,81.94,82.46,3487
2019-07-15,82.74,83.67,82.39,83.47,3619
2019-07-16,83.47,83.68,82.76,83.37,4295
2019-07-17,83.56,84.04,83.06,83.83,6200
2019-07-18,83.37,83.67,82.62,83.5,6039
2019-07-19,83.93,84.74,83.38,83.45,6269
2019-07-22,83.9,84.1,82.18,82.66,5799
2019-07-23,83.21,83.91,82.58,83.2,4500
2019-07-24,82.27,83.49,81.91,83.42,5164
2019-07-25,83.08,83.32,82.23,82.7,5429
2019-07-26,83.08,84.01,83.08,83.92,5198
2019-07-29,84.04,84.4,82.54,83.52,6422
2019-07-30,83.33,84.33,82.54,84.03,9583
2019-07-31,85.77,90.76,84.94,88.13,37570
2019-08-01,88.12,90.36,87.74,90.11,21825
2019-08-02,89.45,90.1,88.27,88.32,12723
2019-08-05,86.56,86.95,82.99,84.01,13800
2019-08-06,85.01,86.14,84.38,85.92,10192
2019-08-07,84.8,87.23,84.06,86.71,10242
2019-08-08,87.16,89.04,86.99,88.91,8397
2019-08-09,88.75,90.2,88.56,89.92,10343
2019-08-12,89.13,90.13,88.39,89.21,5445
2019-08-13,88.13,89.92,86.22,89.37,17353
2019-08-14,88.08,88.08,83.24,84.08,22952
2019-08-15,84.41,85.72,83.9,85.01,11137
2019-08-16,85.84,87.14,85.74,86.65,8134
