date,open,high,low,close,volume
2020-10-29,19.4,19.74,17.02,17.7,107821
2020-10-30,17.49,18.73,16.78,18.3,19261
2020-11-02,18.3,19.8,17.91,19.75,15764
2020-11-03,19.75,21.43,19.5,21.0,18868
2020-11-04,21.11,22.51,20.6,21.0,28268
2020-11-05,21.0,24.43,21.0,22.75,9503
2020-11-06,22.92,24.95,22.4,24.0,10016
2020-11-09,25.25,27.5,24.3,26.22,10208
2020-11-10,26.06,26.69,21.7,21.84,9104
2020-11-11,22.18,22.81,21.64,21.98,3039
2020-11-12,22.0,23.23,21.81,21.95,3279
2020-11-13,22.13,22.35,20.6,20.82,3920
2020-11-16,21.5,22.21,20.69,21.02,8095
2020-11-17,21.01,24.24,20.93,21.96,5936
2020-11-18,22.2,22.51,21.5,21.6,2581
2020-11-19,21.67,23.93,21.67,22.53,4505
2020-11-20,22.73,23.78,22.42,22.79,8152
2020-11-23,23.5,24.0,21.86,21.86,12206
2020-11-24,22.31,25.53,21.92,23.63,10283
2020-11-25,24.2,24.86,23.83,24.0,5459
2020-11-27,25.6,25.9,25.0,25.41,4301
2020-11-30,26.0,26.5,23.71,23.95,4027
2020-12-01,23.51,25.45,23.13,24.73,4962
2020-12-02,24.18,26.79,24.03,25.71,7515
2020-12-03,25.94,28.56,25.13,27.12,6444
2020-12-04,28.0,29.48,27.0,28.0,6544
2020-12-07,28.42,28.42,26.5,27.74,3268
2020-12-08,28.11,28.28,26.54,26.6,2477
2020-12-09,26.51,27.57,24.52,25.37,4011
2020-12-10,25.46,27.79,25.05,26.52,8549
2020-12-11,27.5,27.9,25.8,26.08,4819
2020-12-14,26.65,27.2,26.13,26.8,2291
2020-12-15,27.77,27.97,26.8,27.37,4069
2020-12-16,28.0,28.21,26.25,26.52,7410
2020-12-17,26.99,27.23,25.0,26.25,7071
2020-12-18,26.42,26.84,25.19,25.36,5957
2020-12-21,25.76,26.4,24.68,26.14,5693
2020-12-22,26.5,27.77,26.5,27.34,3806
2020-12-23,27.77,27.77,24.09,24.81,10323
2020-12-24,25.8,25.8,24.65,24.79,2737
2020-12-28,25.06,26.16,24.51,26.03,3972
2020-12-29,26.4,26.58,25.6,26.58,4359
2020-12-30,26.68,28.0,25.35,25.58,5332
2020-12-31,25.72,27.49,25.6,26.66,4160
2021-01-04,26.98,27.59,24.86,25.52,6027
2021-01-05,25.77,26.6,25.61,26.16,3033
2021-01-06,25.82,28.27,25.32,28.07,5422
2021-01-07,28.25,31.16,28.16,29.94,8741
2021-01-08,30.0,30.18,28.45,29.19,4421
2021-01-11,28.9,30.33,28.72,30.2,3077
2021-01-12,30.28,31.9,30.2,31.35,8129
2021-01-13,31.98,33.33,31.88,32.95,7518
2021-01-14,33.0,34.47,31.81,33.37,7506
2021-01-15,33.3,34.66,31.58,32.72,6783
2021-01-19,33.08,33.5,31.58,32.29,3811
2021-01-20,32.49,33.69,32.21,32.82,2649
2021-01-21,33.08,34.57,32.56,34.1,2546
2021-01-22,34.08,34.33,32.96,33.5,3434
2021-01-25,34.2,34.4,31.51,31.85,3932
2021-01-26,33.0,33.36,30.68,30.82,7954
2021-01-27,30.98,30.98,28.65,29.35,6492
2021-01-28,29.99,30.36,28.81,29.49,3183
2021-01-29,29.99,30.05,27.74,27.92,7163
2021-02-01,29.28,30.48,28.16,30.36,4281
2021-02-02,30.87,32.04,29.66,32.01,4995
2021-02-03,31.98,32.3,28.5,29.02,13867
2021-02-04,30.11,31.89,29.62,31.66,7165
2021-02-05,30.74,31.2,28.86,30.19,69006
