date,open,high,low,close,volume
2018-12-10,64.94,65.62,62.87,63.48,17292
2018-12-11,64.2,64.36,62.23,62.43,15543
2018-12-12,63.04,63.28,61.65,62.02,24084
2018-12-13,62.08,62.5,61.2,61.34,28574
2018-12-14,60.62,63.57,60.5,62.3,19101
2018-12-17,62.09,62.54,60.92,61.29,10613
2018-12-18,62.32,63.19,62.08,62.66,12488
2018-12-19,62.75,63.5,61.43,62.03,9940
2018-12-20,61.5,61.99,59.37,60.68,15644
2018-12-21,60.76,61.58,59.15,59.34,12915
2018-12-24,58.83,59.0,57.42,57.58,6780
2018-12-26,57.98,60.8,57.66,60.79,11760
2018-12-27,60.09,60.74,58.52,60.74,7509
2018-12-28,60.91,61.62,59.54,60.31,11236
2018-12-31,60.54,61.3,60.03,60.85,12854
2019-01-02,59.93,61.91,59.31,61.52,9018
2019-01-03,60.3,60.3,57.28,58.12,19750
2019-01-04,58.95,60.65,58.66,60.0,18804
2019-01-07,60.3,60.86,59.57,60.12,11772
2019-01-08,61.03,61.3,60.24,60.65,7853
2019-01-09,60.59,62.62,60.42,62.18,9439
2019-01-10,60.95,63.49,59.46,63.4,12952
2019-01-11,63.0,64.37,62.7,64.14,10547
2019-01-14,63.39,64.98,62.64,64.36,15575
2019-01-15,64.81,65.8,63.88,64.28,9689
2019-01-16,65.44,65.84,64.86,64.9,9693
2019-01-17,64.85,65.34,64.13,64.42,10044
2019-01-18,64.84,64.97,64.18,64.86,11583
2019-01-22,64.79,65.14,63.58,63.96,7921
2019-01-23,64.32,64.7,63.18,63.71,7674
2019-01-24,65.72,66.6,65.38,65.78,15230
2019-01-25,63.9,64.93,62.52,63.48,28734
2019-01-28,63.01,65.3,63.01,64.53,11708
2019-01-29,64.5,64.99,63.77,64.56,11267
2019-01-30,64.82,65.43,63.86,64.66,12654
2019-01-31,64.49,64.71,63.2,63.95,12259
2019-02-01,64.17,65.2,63.56,64.36,8367
2019-02-04,64.64,64.81,63.45,64.48,7913
2019-02-05,64.6,65.23,64.36,64.74,7278
2019-02-06,64.35,64.82,63.85,64.82,5881
2019-02-07,64.66,65.29,64.42,65.23,6432
2019-02-08,64.7,65.28,64.1,65.27,5092
2019-02-11,65.44,66.46,65.4,66.3,7653
2019-02-12,66.6,67.64,66.3,66.69,12394
2019-02-13,66.95,67.47,66.56,66.7,6531
2019-02-14,66.41,67.07,65.68,66.57,5308
2019-02-15,66.92,67.12,66.09,66.32,5584
2019-02-19,65.86,66.17,64.53,64.56,16384
2019-02-20,63.75,64.4,63.23,63.34,19368
2019-02-21,63.44,64.04,62.5,62.86,10991
2019-02-22,62.86,63.09,62.11,62.4,12586
2019-02-25,62.8,63.38,62.56,62.75,8124
2019-02-26,62.74,63.56,62.65,62.94,6909
2019-02-27,62.6,62.69,61.21,61.98,11604
2019-02-28,61.98,62.13,60.97,61.7,7573
2019-03-01,61.86,62.02,60.27,61.31,15119
2019-03-04,61.24,61.34,59.22,59.5,14127
2019-03-05,59.76,59.77,57.62,57.78,30865
2019-03-06,57.9,57.93,55.83,55.83,35004
2019-03-07,55.72,56.25,55.2,55.95,33435
2019-03-08,55.38,55.92,54.95,55.62,23465
2019-03-11,55.35,55.98,54.6,55.42,19151
2019-03-12,55.44,55.44,53.7,54.09,36816
2019-03-13,54.58,56.18,54.43,56.03,29367
2019-03-14,56.16,56.72,55.26,55.49,17106
2019-03-15,55.58,56.06,55.45,55.76,16132
2019-03-18,55.73,56.1,55.22,55.81,10214
2019-03-19,55.99,56.9,55.92,56.11,10397
2019-03-20,56.0,56.19,54.88,55.19,11746
2019-03-21,55.02,55.57,55.02,55.22,12379
2019-03-22,55.08,55.38,54.24,54.25,12041
2019-03-25,54.09,54.39,53.38,53.6,11124
2019-03-26,53.93,54.49,53.53,53.91,10646
2019-03-27,53.99,55.3,53.8,54.99,13503
2019-03-28,55.17,55.38,54.73,55.17,8261
2019-03-29,55.47,56.25,55.28,56.12,10980
2019-04-01,56.3,57.89,56.11,57.32,13999
2019-04-02,58.19,58.52,57.12,58.14,11668
2019-04-03,58.64,59.06,57.72,57.79,14472
2019-04-04,57.94,58.39,57.13,57.82,7656
2019-04-05,57.99,58.85,57.99,58.54,7474
2019-04-08,58.19,58.63,57.82,58.33,7540
2019-04-09,58.01,58.31,57.54,57.84,8228
2019-04-10,58.66,59.04,57.72,58.78,12304
2019-04-11,58.92,60.57,58.86,59.71,17717
2019-04-12,60.39,61.09,59.77,60.63,15295
2019-04-15,60.82,60.82,59.82,60.06,7903
2019-04-16,60.3,61.11,60.19,60.97,7943
2019-04-17,61.87,62.1,61.07,61.38,8531
2019-04-18,61.29,61.75,60.7,61.67,7088
2019-04-22,61.16,61.2,60.04,60.3,13462
2019-04-23,60.27,61.23,60.18,60.89,7837
2019-04-24,60.99,61.55,60.28,60.8,7029
2019-04-25,60.79,61.25,58.25,59.17,15174
2019-04-26,59.1,60.99,58.7,60.62,18474
2019-04-29,60.3,60.98,60.15,60.54,10246
2019-04-30,61.41,62.38,61.17,61.9,10738
2019-05-01,62.0,62.46,61.72,62.07,6450
2019-05-02,62.15,63.2,61.98,62.34,7966
2019-05-03,62.35,63.27,62.35,62.48,5246
2019-05-06,61.37,62.29,61.15,62.19,4513
2019-05-07,61.71,61.71,60.25,61.09,6495
2019-05-08,60.84,61.27,60.31,60.69,4672
2019-05-09,60.21,60.4,59.46,60.3,7589
2019-05-10,60.21,61.42,59.3,61.27,5765
2019-05-13,60.01,60.18,59.22,60.13,6036
2019-05-14,60.28,61.67,60.08,61.38,6749
2019-05-15,60.79,61.79,60.5,61.49,5258
2019-05-16,61.71,63.19,61.6,62.64,9765
2019-05-17,61.94,63.2,61.68,62.39,6090
2019-05-20,61.5,62.45,61.22,61.95,6889
2019-05-21,62.13,62.87,61.9,62.62,5720
2019-05-22,62.08,62.25,60.6,60.68,9556
2019-05-23,60.23,61.45,59.41,61.36,7826
2019-05-24,61.34,61.88,60.37,60.59,5187
2019-05-28,60.55,60.81,59.85,60.05,4967
2019-05-29,60.01,60.26,58.73,59.27,6736
2019-05-30,59.5,59.75,58.5,58.78,9532
2019-05-31,58.15,58.46,57.82,58.2,5450
2019-06-03,58.01,59.38,57.85,59.07,5378
2019-06-04,59.68,61.0,59.68,60.86,7461
2019-06-05,61.46,61.82,61.21,61.61,7099
2019-06-06,61.51,61.7,60.29,60.95,3785
2019-06-07,61.0,61.53,60.49,60.53,7126
2019-06-10,60.88,61.8,60.57,60.64,5663
2019-06-11,61.0,61.28,60.53,60.76,4045
2019-06-12,60.92,61.39,60.52,60.96,4008
2019-06-13,61.01,62.33,61.01,62.16,6596
2019-06-14,62.33,63.41,61.62,63.12,8855
2019-06-17,63.2,63.2,62.49,62.52,5478
2019-06-18,62.7,63.63,62.51,62.94,4075
2019-06-19,63.17,63.22,62.38,62.86,3539
2019-06-20,63.25,63.3,60.32,60.72,14557
2019-06-21,60.86,62.59,60.3,62.08,12041
2019-06-24,62.23,62.67,61.91,62.42,5408
2019-06-25,62.37,63.2,61.65,61.94,6788
2019-06-26,61.85,62.23,61.42,61.91,3547
2019-06-27,62.15,63.49,62.15,63.11,5419
2019-06-28,63.3,64.0,63.05,63.91,7527
2019-07-01,64.1,64.6,62.91,63.71,7441
2019-07-02,64.2,64.53,63.08,63.09,7774
2019-07-03,63.42,64.69,63.3,63.84,5101
2019-07-05,63.72,64.22,63.15,64.07,3131
2019-07-08,64.17,64.91,64.08,64.68,8736
2019-07-09,64.3,64.62,63.31,63.69,5993
2019-07-10,64.15,64.39,62.56,62.94,8845
2019-07-11,63.2,63.55,62.42,63.31,7500
2019-07-12,63.56,64.61,63.32,64.24,6614
2019-07-15,64.14,64.59,63.25,63.36,6283
2019-07-16,63.36,65.62,63.3,65.41,9908
2019-07-17,65.27,65.32,63.73,63.78,7935
2019-07-18,63.75,64.42,63.34,64.36,7563
2019-07-19,64.52,65.14,63.48,63.49,8527
2019-07-22,63.76,64.2,62.86,62.87,9477
2019-07-23,63.1,65.4,62.83,65.1,10839
2019-07-24,65.1,65.91,64.85,65.57,7065
2019-07-25,64.73,65.57,63.32,63.86,11286
2019-07-26,64.22,65.22,64.08,64.92,11569
2019-07-29,64.23,64.24,62.67,63.97,9305
2019-07-30,63.69,64.56,63.49,64.01,5478
2019-07-31,63.98,64.51,63.26,63.36,7925
2019-08-01,63.57,64.25,62.9,63.14,7560
2019-08-02,63.0,63.77,62.44,63.27,6825
2019-08-05,62.54,62.65,60.51,61.52,8471
2019-08-06,61.97,62.66,61.84,62.47,5462
2019-08-07,62.12,63.37,61.56,63.11,4273
2019-08-08,63.47,64.67,63.43,64.53,4835
2019-08-09,64.16,64.79,63.9,63.93,4974
2019-08-12,63.43,63.43,61.36,62.11,6598
2019-08-13,61.82,62.79,61.11,61.17,8291
2019-08-14,60.6,60.99,58.33,59.23,9112
