date,open,high,low,close,volume
2018-12-10,43.27,43.53,42.46,42.96,8879
2018-12-11,43.64,44.16,42.29,42.38,8090
2018-12-12,43.37,43.72,42.97,43.0,12695
2018-12-13,43.35,43.83,43.01,43.13,5840
2018-12-14,42.67,43.54,42.56,43.31,9583
2018-12-17,43.24,43.89,42.87,42.97,11672
2018-12-18,43.39,44.35,43.09,43.72,7658
2018-12-19,43.71,44.16,42.66,42.8,8751
2018-12-20,42.61,43.1,42.06,42.66,8504
2018-12-21,42.66,43.43,41.99,42.13,7191
2018-12-24,41.86,42.16,40.79,40.83,3465
2018-12-26,40.91,42.86,40.35,42.83,7953
2018-12-27,42.11,43.65,42.09,43.63,3917
2018-12-28,43.66,44.36,43.07,43.47,4410
2018-12-31,43.57,44.04,43.32,43.91,3012
2019-01-02,43.1,44.38,43.04,44.2,4162
2019-01-03,44.01,44.24,43.16,43.24,6359
2019-01-04,43.8,44.4,43.52,44.27,10254
2019-01-07,44.27,45.11,43.85,44.29,6886
2019-01-08,44.9,45.95,44.87,45.8,8089
2019-01-09,46.0,46.35,45.87,46.1,5079
2019-01-10,46.19,47.82,45.84,47.61,9106
2019-01-11,47.43,47.69,47.05,47.57,9520
2019-01-14,47.25,47.4,46.89,47.27,8329
2019-01-15,47.42,47.85,47.18,47.68,9238
2019-01-16,47.05,47.72,46.97,47.51,6627
2019-01-17,47.33,48.85,47.33,48.32,8168
2019-01-18,48.81,50.03,48.56,49.9,7751
2019-01-22,49.4,49.71,48.32,48.68,7915
2019-01-23,48.84,48.98,47.71,47.81,5397
2019-01-24,47.97,48.07,47.64,47.79,5895
2019-01-25,48.28,48.78,48.18,48.39,4859
2019-01-28,47.9,48.67,47.32,48.19,8326
2019-01-29,48.59,49.01,48.31,48.75,12109
2019-01-30,49.27,49.28,48.38,48.82,9051
2019-01-31,48.75,49.42,48.49,48.67,16723
2019-02-01,48.65,48.91,48.35,48.74,6795
2019-02-04,48.82,49.46,48.7,49.43,4518
2019-02-05,49.59,49.8,49.12,49.25,6643
2019-02-06,48.97,49.17,48.35,48.36,7037
2019-02-07,48.18,48.59,47.16,47.77,13879
2019-02-08,47.5,47.73,46.62,47.42,4983
2019-02-11,47.46,47.69,46.94,47.07,4588
2019-02-12,47.38,48.59,47.22,48.42,6471
2019-02-13,48.52,49.16,48.28,48.75,7909
2019-02-14,48.51,48.96,48.51,48.68,3881
2019-02-15,48.94,49.82,48.73,49.57,7175
2019-02-19,49.57,49.78,49.3,49.41,3164
2019-02-20,49.36,50.04,49.19,49.6,6196
2019-02-21,49.49,49.92,49.38,49.64,4951
2019-02-22,49.73,50.52,49.6,50.47,7652
2019-02-25,50.81,50.89,50.09,50.39,7275
2019-02-26,49.39,52.67,49.25,51.69,12806
2019-02-27,51.61,51.69,50.03,50.27,7685
2019-02-28,50.16,50.27,49.62,49.7,6801
2019-03-01,49.94,50.27,48.62,48.94,6741
2019-03-04,49.07,49.31,47.7,48.19,8224
2019-03-05,48.18,48.25,47.68,47.68,7892
2019-03-06,46.69,47.04,46.03,46.21,13006
2019-03-07,46.09,46.43,45.41,46.31,5825
2019-03-08,45.95,46.44,45.57,46.35,8046
2019-03-11,46.3,46.75,46.27,46.61,8317
2019-03-12,46.54,46.74,45.79,46.22,5477
2019-03-13,46.67,47.06,46.22,46.33,8848
2019-03-14,46.27,46.42,45.69,46.16,6690
2019-03-15,46.17,46.28,45.57,45.65,4897
2019-03-18,45.76,46.44,45.69,46.39,5163
2019-03-19,46.8,46.94,46.23,46.54,7520
2019-03-20,46.38,46.66,45.71,46.16,5498
2019-03-21,46.04,46.62,46.04,46.37,4583
2019-03-22,46.08,46.25,44.54,44.58,5445
2019-03-25,44.68,45.67,44.65,45.28,5005
2019-03-26,45.81,46.18,44.86,45.21,5830
2019-03-27,45.15,45.46,44.68,45.16,3936
2019-03-28,45.17,45.28,44.48,44.96,6115
2019-03-29,45.23,45.4,44.81,44.92,5214
2019-04-01,45.4,46.0,45.15,45.77,6867
2019-04-02,45.74,46.09,45.48,45.64,4852
2019-04-03,45.83,46.27,45.77,46.25,9130
2019-04-04,46.06,46.61,46.04,46.45,7883
2019-04-05,46.41,46.88,46.18,46.8,4508
2019-04-08,46.94,47.09,46.48,46.97,4171
2019-04-09,46.71,47.2,46.4,46.74,8910
2019-04-10,46.81,47.13,46.37,46.9,5959
2019-04-11,47.07,47.49,46.81,47.06,7247
2019-04-12,47.34,47.67,47.18,47.34,3408
