date,open,high,low,close,volume
2018-12-10,3.18,3.23,3.01,3.08,2185
2018-12-11,3.13,3.13,3.0,3.05,1827
2018-12-12,3.05,3.12,3.0,3.05,1609
2018-12-13,2.95,2.99,2.33,2.41,12099
2018-12-14,2.34,2.4,2.0,2.15,5878
2018-12-17,2.15,2.57,2.09,2.195,3837
2018-12-18,2.2,2.4,2.09,2.16,6789
2018-12-19,2.17,2.21,2.07,2.08,2469
2018-12-20,2.08,2.11,1.94,1.94,3194
2018-12-21,1.96,2.009,1.7,1.86,4011
2018-12-24,1.8,1.86,1.7,1.72,1684
2018-12-26,1.72,1.93,1.72,1.9,2466
2018-12-27,1.89,1.91,1.78,1.81,1352
2018-12-28,1.85,1.9,1.8,1.84,2726
2018-12-31,1.89,2.1,1.85,2.06,2874
2019-01-02,2.1,2.65,2.09,2.6,7149
2019-01-03,2.58,2.73,2.21,2.54,3836
2019-01-04,2.44,2.6496,2.4331,2.62,2487
2019-01-07,2.65,2.9,2.58,2.85,3893
2019-01-08,2.9,2.9168,2.61,2.8,2280
2019-01-09,2.86,2.86,2.75,2.76,1306
2019-01-10,2.76,2.84,2.71,2.8,1200
2019-01-11,2.69,2.7999,2.66,2.68,1255
2019-01-14,2.65,2.6826,2.51,2.66,1073
2019-01-15,2.66,2.92,2.61,2.74,4513
2019-01-16,2.79,3.4,2.7801,3.15,21970
2019-01-17,3.17,3.19,2.91,3.1,3807
2019-01-18,3.08,3.09,2.87,2.91,2493
2019-01-22,2.9,3.45,2.75,3.37,25173
2019-01-23,3.3,3.59,3.1,3.33,18158
2019-01-24,3.25,3.65,3.2401,3.42,13346
2019-01-25,3.4,3.5399,3.35,3.41,6738
2019-01-28,3.4,3.4025,2.85,3.2,7087
2019-01-29,3.37,3.39,2.9501,3.05,5647
2019-01-30,3.07,3.34,2.92,3.32,4733
2019-01-31,3.3,3.32,3.1584,3.19,2531
2019-02-01,3.21,3.38,3.21,3.33,3412
2019-02-04,3.34,3.4425,3.31,3.34,1483
2019-02-05,3.32,3.37,3.21,3.23,1631
2019-02-06,3.3,3.31,3.12,3.31,1786
2019-02-07,3.3,3.3,3.13,3.2,1475
2019-02-08,3.16,3.17,3.0,3.14,1642
2019-02-11,3.09,3.1,2.85,2.98,3233
2019-02-12,3.0,3.08,2.9,3.03,1363
2019-02-13,3.0198,3.09,2.9701,3.05,995
2019-02-14,3.01,3.0499,2.88,2.99,1404
2019-02-15,3.0,3.009,2.87,2.99,1553
2019-02-19,3.0,3.0,2.87,2.97,1661
2019-02-20,2.95,2.95,2.86,2.86,1246
2019-02-21,2.9,2.9,2.72,2.79,2105
2019-02-22,2.7643,2.9,2.73,2.81,1351
2019-02-25,2.87,2.8751,2.76,2.77,868
2019-02-26,2.75,2.86,2.75,2.81,991
2019-02-27,2.89,2.89,2.81,2.83,987
2019-02-28,2.88,2.88,2.65,2.69,1788
2019-03-01,2.64,2.8,2.6373,2.71,1249
2019-03-04,2.71,2.816,2.65,2.66,839
2019-03-05,2.6801,2.77,2.67,2.69,667
2019-03-06,2.69,3.06,2.53,3.02,6076
2019-03-07,3.79,5.94,3.37,4.54,289214
2019-03-08,3.63,3.75,2.61,2.88,61129
2019-03-11,2.85,2.9518,2.73,2.78,8602
2019-03-12,2.78,2.86,2.66,2.76,9659
2019-03-13,2.78,3.15,2.7,2.85,27179
2019-03-14,2.75,2.93,2.72,2.75,8399
2019-03-15,2.75,2.8173,2.68,2.7,5565
2019-03-18,2.71,2.97,2.63,2.89,7438
