date,open,high,low,close,volume
2020-07-30,20.0,29.84,18.15,25.39,48904
2020-07-31,22.83,26.0,22.1,24.9,3631
2020-08-03,24.05,26.85,23.01,25.85,4492
2020-08-04,26.11,31.59,25.97,29.4,3260
2020-08-05,29.39,36.69,29.25,30.55,12334
2020-08-06,31.01,33.7,30.7,32.24,3125
2020-08-07,32.69,37.37,32.16,34.51,4713
2020-08-10,35.45,42.93,34.94,41.05,5128
2020-08-11,41.29,45.28,39.58,42.7,6418
2020-08-12,43.3,43.97,37.67,37.71,5949
2020-08-13,37.64,41.97,36.94,37.38,2606
2020-08-14,37.65,40.13,37.65,39.64,2580
2020-08-17,39.31,42.48,37.5,38.63,5244
2020-08-18,38.63,39.45,34.22,35.05,3278
2020-08-19,35.26,36.75,33.27,36.1,924
2020-08-20,35.64,36.25,29.27,30.85,2616
2020-08-21,30.68,32.5,30.5,31.76,1254
2020-08-24,33.21,33.5,29.69,32.66,3544
2020-08-25,32.76,33.47,31.16,33.0,3094
2020-08-26,33.37,33.72,31.2,32.8,2195
2020-08-27,32.6,32.65,26.33,26.71,3279
2020-08-28,27.0,29.77,26.96,28.01,1490
2020-08-31,28.29,32.89,28.29,32.39,2314
2020-09-01,31.97,32.28,30.34,31.19,1402
2020-09-02,32.0,32.0,28.75,31.01,1057
2020-09-03,30.91,30.91,27.93,28.15,571
2020-09-04,28.54,30.11,23.9,24.77,2385
2020-09-08,24.51,25.1,22.31,23.1,2254
2020-09-09,23.98,24.53,23.2,23.73,1495
2020-09-10,23.33,23.96,21.0,22.19,2088
2020-09-11,22.64,22.99,21.57,22.02,631
2020-09-14,22.47,23.54,21.46,21.5,1344
2020-09-15,21.68,22.35,20.77,21.05,1484
2020-09-16,21.53,25.4,21.41,25.27,4941
2020-09-17,25.0,27.49,24.69,26.05,4063
2020-09-18,26.16,31.75,25.0,29.58,4531
2020-09-21,28.52,32.54,28.4,31.33,4766
2020-09-22,31.41,31.98,28.07,28.7,3134
2020-09-23,28.31,28.86,24.36,24.95,5434
2020-09-24,24.95,26.59,24.25,26.03,4693
2020-09-25,25.66,28.99,24.56,26.69,5717
2020-09-28,26.85,29.74,24.5,25.46,10617
2020-09-29,25.51,28.4,24.75,26.92,7961
2020-09-30,26.75,28.49,26.06,27.5,2550
2020-10-01,27.72,29.0,27.1,27.97,1117
2020-10-02,27.51,28.71,27.4,28.24,1023
2020-10-05,28.45,32.62,28.27,31.94,2220
2020-10-06,32.28,33.08,29.02,30.21,1039
2020-10-07,30.61,31.77,30.0,30.85,1376
2020-10-08,31.17,31.17,26.77,28.32,1434
2020-10-09,28.42,28.98,27.5,27.76,735
2020-10-12,28.0,28.36,24.98,25.28,3095
2020-10-13,25.21,26.19,25.0,25.34,964
2020-10-14,25.58,26.22,23.65,23.94,2846
2020-10-15,24.77,27.99,23.7,27.07,1864
2020-10-16,27.03,30.33,26.0,28.1,3382
2020-10-19,28.28,28.96,26.76,27.04,762
2020-10-20,27.35,27.91,25.16,25.4,1144
2020-10-21,25.37,25.9,24.55,25.34,627
2020-10-22,25.41,26.98,25.41,25.7,962
2020-10-23,25.78,26.5,24.92,25.81,517
2020-10-26,25.73,26.41,24.85,25.96,1433
2020-10-27,26.17,26.88,25.53,26.77,1547
2020-10-28,27.66,27.98,24.41,24.83,1557
2020-10-29,24.71,26.72,24.3,26.19,1580
2020-10-30,26.25,26.76,24.58,26.43,986
2020-11-02,26.56,27.5,25.46,26.32,919
2020-11-03,26.88,28.07,26.56,27.72,901
2020-11-04,27.3,31.0,27.3,30.81,1102
2020-11-05,31.18,35.67,30.71,33.45,1956
2020-11-06,33.4,34.22,31.12,33.61,1103
2020-11-09,35.37,35.37,31.61,31.75,1639
2020-11-10,31.99,32.1,28.53,28.91,1350
2020-11-11,29.1,31.6,29.1,31.6,595
2020-11-12,31.32,32.48,30.79,31.24,955
2020-11-13,31.5,32.03,29.5,29.75,740
2020-11-16,30.58,31.47,29.84,30.5,973
2020-11-17,30.55,30.74,29.3,29.6,812
2020-11-18,29.78,31.27,29.35,30.94,354
2020-11-19,31.07,34.32,31.07,33.93,613
2020-11-20,32.97,34.62,32.97,33.5,488
2020-11-23,33.91,35.28,33.6,34.27,841
