date,open,high,low,close,volume
2018-12-10,59.7,60.58,58.53,58.83,2427
2018-12-11,60.0,60.72,59.0,59.26,2979
2018-12-12,60.21,60.56,59.42,59.45,2449
2018-12-13,59.54,60.02,57.91,58.68,1858
2018-12-14,58.06,59.39,56.1,56.34,3234
2018-12-17,56.0,56.14,54.37,55.13,4567
2018-12-18,55.8,56.55,53.75,54.07,3569
2018-12-19,54.13,54.77,52.88,53.28,3712
2018-12-20,53.25,54.57,52.53,53.88,4916
2018-12-21,53.75,55.02,52.12,52.99,7894
2018-12-24,52.49,53.64,52.49,52.97,2454
2018-12-26,53.05,55.81,52.88,55.69,3398
2018-12-27,54.68,56.44,53.97,56.42,3595
2018-12-28,56.72,57.36,56.0,56.5,2111
2018-12-31,56.75,57.15,56.36,56.66,2183
2019-01-02,55.97,56.41,54.75,55.65,3250
2019-01-03,55.46,55.69,53.7,54.41,2965
2019-01-04,55.15,56.61,54.7,55.92,2575
2019-01-07,56.0,56.54,54.87,55.05,4172
2019-01-08,55.44,58.48,55.17,58.35,6607
2019-01-09,58.71,60.19,58.71,59.31,4407
2019-01-10,59.0,59.89,58.0,59.81,3244
2019-01-11,59.82,61.07,59.24,60.83,2641
2019-01-14,60.75,61.85,60.02,61.16,2729
2019-01-15,60.94,62.36,60.85,61.61,2594
2019-01-16,61.95,62.87,60.77,61.0,2811
2019-01-17,60.89,62.08,60.47,61.76,1519
2019-01-18,62.15,62.96,61.09,62.77,4822
2019-01-22,62.54,63.14,62.36,62.98,1804
2019-01-23,63.84,64.9,63.27,63.53,2837
2019-01-24,63.29,63.64,62.52,63.6,1223
2019-01-25,64.15,64.31,63.77,63.97,1891
2019-01-28,63.59,64.31,63.01,63.97,1764
2019-01-29,64.04,64.29,63.68,63.93,1858
2019-01-30,64.54,64.72,63.62,64.53,2307
2019-01-31,64.56,65.81,64.5,64.79,3108
2019-02-01,64.67,65.12,63.98,64.61,2247
2019-02-04,64.71,64.93,64.19,64.42,2361
2019-02-05,64.88,65.69,64.45,65.21,2772
2019-02-06,65.21,65.67,62.96,63.58,3510
2019-02-07,63.54,65.07,62.77,63.0,2447
2019-02-08,62.79,62.89,60.92,62.51,5366
2019-02-11,62.51,63.15,61.94,62.5,2663
2019-02-12,62.75,64.82,62.42,64.75,2857
2019-02-13,64.99,65.5,63.23,63.51,3058
2019-02-14,63.22,65.38,63.09,65.0,3652
2019-02-15,52.34,56.4,51.02,55.54,44830
2019-02-19,55.56,56.75,54.01,54.15,14000
2019-02-20,54.14,54.65,53.1,53.55,5024
2019-02-21,53.63,53.86,52.6,53.13,3862
2019-02-22,53.01,54.3,52.96,53.41,5853
2019-02-25,53.7,53.99,52.56,52.59,3562
2019-02-26,52.47,52.69,49.95,50.9,9830
2019-02-27,50.59,51.02,50.19,50.56,3505
2019-02-28,50.51,50.74,49.95,50.01,3266
2019-03-01,50.26,50.47,49.16,49.18,5226
2019-03-04,49.0,49.45,48.11,48.27,4083
2019-03-05,48.36,48.36,46.73,46.75,4303
2019-03-06,46.76,47.97,46.52,47.14,7010
2019-03-07,47.05,47.07,46.13,46.8,4309
2019-03-08,46.67,47.02,46.2,46.26,2408
2019-03-11,46.32,46.81,45.75,46.52,2509
2019-03-12,46.53,47.16,46.08,46.46,4933
2019-03-13,46.56,47.53,46.37,46.72,3303
2019-03-14,46.68,47.7,46.51,47.15,3079
2019-03-15,47.41,47.51,46.31,46.54,3825
2019-03-18,46.73,46.85,46.16,46.25,4322
2019-03-19,46.27,47.42,45.81,47.32,6284
2019-03-20,47.31,48.74,47.31,48.08,7440
2019-03-21,47.98,49.53,47.95,49.24,3016
2019-03-22,48.92,49.18,48.18,48.31,4166
2019-03-25,47.88,47.99,46.81,47.02,3407
