date,open,high,low,close,volume
2018-12-10,12.39,12.74,12.39,12.6,5
2018-12-11,12.56,12.74,12.56,12.685,28
2018-12-12,12.74,12.74,12.58,12.6,25
2018-12-13,12.74,12.74,12.21,12.59,17
2018-12-14,12.31,12.68,12.25,12.55,37
2018-12-17,12.34,12.55,11.95,12.55,27
2018-12-18,12.4,12.4,11.75,12.2,22
2018-12-19,12.18,12.18,11.59,11.79,35
2018-12-20,11.95,11.95,11.6,11.84,80
2018-12-21,11.75,11.85,10.45,10.99,628
2018-12-24,11.01,11.32,10.52,11.15,64
2018-12-26,10.76,11.21,10.67,11.21,143
2018-12-27,10.82,11.25,10.81,11.01,21
2018-12-28,11.65,12.2,11.0,11.64,96
2018-12-31,12.1,12.1,11.79,11.79,11
2019-01-02,12.65,12.65,12.0,12.16,35
2019-01-03,12.45,13.06,12.25,12.32,35
2019-01-04,13.07,13.56,12.01,12.35,98
2019-01-07,12.08,13.58,12.0,12.55,73
2019-01-08,12.34,12.34,11.69,11.85,67
2019-01-09,12.92,12.92,11.9,12.05,73
2019-01-10,11.99,12.0,11.85,12.0,8
2019-01-11,11.78,11.78,11.37,11.64,50
2019-01-14,11.77,11.86,11.43,11.6,40
2019-01-15,12.02,12.02,11.71,11.71,6
2019-01-16,11.89,11.95,11.71,11.95,15
2019-01-17,12.08,13.15,11.99,12.75,103
2019-01-18,13.04,13.33,13.0,13.18,91
2019-01-22,13.59,13.59,12.73,13.02,30
2019-01-23,13.47,13.47,13.05,13.35,35
2019-01-24,13.35,13.35,13.35,13.35,0
2019-01-25,13.59,13.59,13.05,13.24,31
2019-01-28,13.3,13.56,12.9,13.16,496
2019-01-29,13.3,13.43,12.76,12.95,203
2019-01-30,13.05,13.55,12.95,13.1,84
2019-01-31,13.19,13.35,12.97,12.97,173
2019-02-01,13.05,13.14,12.5,12.95,67
2019-02-04,12.88,13.23,12.5,13.23,150
2019-02-05,13.07,13.2,13.01,13.01,7
2019-02-06,13.2,13.35,12.8,13.01,90
2019-02-07,13.3,13.3,13.01,13.13,83
2019-02-08,13.15,13.25,12.75,13.15,102
2019-02-11,13.18,13.18,12.7,12.92,59
2019-02-12,12.9,13.08,12.61,12.97,49
2019-02-13,13.03,13.03,12.81,12.92,92
2019-02-14,12.9,12.99,12.79,12.79,96
2019-02-15,12.73,12.95,12.68,12.69,55
2019-02-19,13.0,13.0,12.68,12.68,40
2019-02-20,12.67,12.74,12.6,12.66,23
2019-02-21,12.61,12.65,12.59,12.64,3
2019-02-22,12.7,12.71,12.61,12.62,15
2019-02-25,12.6,12.64,12.38,12.59,121
2019-02-26,12.6,12.6,12.45,12.45,2
2019-02-27,12.46,12.69,12.41,12.53,58
2019-02-28,12.56,12.75,12.56,12.75,7
2019-03-01,12.59,13.0,12.55,12.59,74
2019-03-04,12.55,12.74,12.45,12.645,25
2019-03-05,12.44,12.74,12.43,12.74,9
2019-03-06,12.59,12.6,12.35,12.6,25
2019-03-07,12.6,12.6,12.6,12.6,0
2019-03-08,12.6,12.6,12.6,12.6,0
2019-03-11,12.28,12.3,12.03,12.3,14
2019-03-12,12.17,12.29,12.16,12.2,56
2019-03-13,12.11,12.15,12.1,12.145,8
2019-03-14,12.11,12.15,11.82,12.05,36
2019-03-15,12.02,12.59,12.01,12.51,12
2019-03-18,12.51,12.6,12.03,12.16,160
2019-03-19,12.14,12.15,12.14,12.14,5
2019-03-20,12.17,12.5,12.09,12.295,41
2019-03-21,12.08,12.35,12.07,12.35,15
2019-03-22,12.35,12.35,12.35,12.35,0
2019-03-25,12.03,12.33,12.03,12.095,28
2019-03-26,12.03,12.29,11.0,11.43,233
2019-03-27,11.06,11.9,11.06,11.52,201
2019-03-28,11.56,12.0,11.52,11.87,44
2019-03-29,12.29,12.29,11.17,11.9,262
2019-04-01,11.99,11.99,11.29,11.395,111
2019-04-02,11.32,11.48,11.23,11.42,31
2019-04-03,11.38,11.38,10.85,11.07,92
2019-04-04,11.59,11.59,10.77,11.03,141
2019-04-05,11.21,11.27,11.06,11.27,8
2019-04-08,10.99,11.28,10.98,11.12,132
2019-04-09,11.03,11.12,10.9,11.08,24
2019-04-10,11.19,11.54,10.97,11.1,102
2019-04-11,11.26,11.32,11.0,11.07,49
2019-04-12,11.15,11.16,10.83,11.16,37
2019-04-15,10.86,11.0,10.83,11.0,45
2019-04-16,11.14,11.4,11.08,11.1,17
2019-04-17,11.25,11.25,10.87,10.9,38
2019-04-18,10.91,11.24,10.8,11.185,61
2019-04-22,11.45,11.45,11.32,11.33,13
2019-04-23,11.28,11.28,11.07,11.215,29
2019-04-24,11.01,11.6,10.98,11.05,99
2019-04-25,11.16,11.27,11.14,11.145,22
2019-04-26,11.05,11.54,10.99,11.15,207
2019-04-29,11.05,11.27,11.02,11.14,19
2019-04-30,11.27,11.27,11.26,11.26,2
2019-05-01,11.04,11.32,11.04,11.07,44
2019-05-02,11.07,11.07,11.07,11.07,0
2019-05-03,11.07,11.09,11.05,11.085,6
2019-05-06,10.98,11.25,10.85,10.95,36
2019-05-07,11.2,11.22,11.0,11.01,11
2019-05-08,11.25,11.25,10.93,11.05,8
2019-05-09,11.2,12.01,11.15,11.58,219
2019-05-10,12.0,12.2,11.41,12.2,80
2019-05-13,11.72,12.45,11.72,12.35,66
2019-05-14,12.44,12.51,12.23,12.5,124
2019-05-15,12.59,12.7,12.45,12.7,21
2019-05-16,12.57,12.57,12.53,12.53,12
2019-05-17,12.63,12.97,12.63,12.97,274
2019-05-20,12.9,12.9,12.7,12.71,158
2019-05-21,12.99,13.45,12.74,13.33,328
2019-05-22,13.49,13.89,13.45,13.5,225
2019-05-23,13.67,13.84,13.02,13.24,102
2019-05-24,13.25,13.26,12.51,13.0,18
2019-05-28,12.95,12.95,12.29,12.41,124
2019-05-29,12.71,12.71,12.4,12.6,30
2019-05-30,12.65,13.87,12.27,12.745,526
2019-05-31,12.76,13.23,12.49,12.6,70
2019-06-03,12.65,13.62,12.65,13.6,139
2019-06-04,13.7,13.87,13.25,13.25,55
2019-06-05,13.46,13.65,13.36,13.51,64
2019-06-06,13.53,13.54,12.86,12.88,65
2019-06-07,12.79,13.08,12.41,12.99,36
2019-06-10,13.0,13.0,13.0,13.0,1
2019-06-11,13.06,13.07,12.89,13.0,29
2019-06-12,13.0,13.0,11.95,12.21,127
2019-06-13,12.19,12.49,12.07,12.2,15
2019-06-14,12.07,12.47,12.07,12.41,7
2019-06-17,12.69,12.69,12.66,12.66,10
2019-06-18,12.56,12.89,12.23,12.89,41
2019-06-19,12.75,12.75,12.75,12.75,1
2019-06-20,12.7,12.99,12.36,12.79,17
2019-06-21,12.8,12.94,12.3,12.3,83
2019-06-24,12.69,13.28,12.68,12.99,312
2019-06-25,13.4,13.72,13.2,13.36,299
2019-06-26,13.39,13.39,13.0,13.1,32
2019-06-27,13.0,13.35,13.0,13.2,48
2019-06-28,13.5,13.5,13.0,13.05,75
