date,open,high,low,close,volume
2018-12-10,280.0,280.99,270.36,276.66,11144
2018-12-11,279.75,282.9,274.78,276.24,9109
2018-12-12,280.33,282.97,278.17,278.56,6167
2018-12-13,280.07,282.76,278.64,280.45,9177
2018-12-14,279.61,281.6,271.67,275.58,7508
2018-12-17,268.21,271.43,265.05,266.69,14373
2018-12-18,267.25,268.91,256.0,259.36,15186
2018-12-19,259.15,263.48,255.46,257.61,10946
2018-12-20,257.0,257.71,250.06,252.11,21063
2018-12-21,250.74,259.13,248.89,251.96,17527
2018-12-24,250.1,251.68,246.57,249.0,7766
2018-12-26,249.49,259.67,248.2,259.4,10921
2018-12-27,256.95,260.88,250.71,260.88,9071
2018-12-28,262.24,263.08,258.02,259.08,5085
2018-12-31,259.69,262.89,258.21,262.63,6159
2019-01-02,258.41,258.93,250.88,255.02,15776
2019-01-03,256.51,256.88,248.09,248.42,12662
2019-01-04,250.01,253.64,249.16,249.91,12241
2019-01-07,249.92,253.12,249.25,250.35,9947
2019-01-08,252.86,256.35,241.18,249.46,21065
2019-01-09,250.95,255.0,250.79,251.35,9733
2019-01-10,251.49,254.04,250.47,252.27,9285
2019-01-11,251.78,256.94,251.26,256.64,8338
2019-01-14,255.99,257.6,254.41,255.12,8077
2019-01-15,255.0,261.26,253.69,260.35,10442
2019-01-16,260.4,263.0,259.68,261.92,8124
2019-01-17,261.81,263.77,260.88,261.89,7799
2019-01-18,264.27,266.85,262.4,266.12,10136
2019-01-22,265.62,267.79,262.38,264.57,6207
2019-01-23,265.53,268.43,264.22,268.1,8256
2019-01-24,268.51,269.33,264.45,265.6,12061
2019-01-25,268.26,272.98,267.63,272.68,14391
2019-01-28,270.91,271.54,268.54,270.01,8374
2019-01-29,269.86,273.43,267.6,272.71,9902
2019-01-30,291.94,305.99,290.5,297.56,33845
2019-01-31,297.71,304.38,297.12,303.0,21486
2019-02-01,301.26,304.74,299.82,303.29,18304
2019-02-04,303.56,304.32,300.33,304.21,7795
2019-02-05,305.0,307.23,302.41,303.55,8922
2019-02-06,302.87,311.6,302.33,311.36,11921
2019-02-07,310.38,310.45,305.62,308.05,7081
2019-02-08,306.58,307.45,301.02,304.25,8027
2019-02-11,304.63,305.48,299.61,302.17,6852
2019-02-12,303.66,307.1,301.51,306.44,6295
2019-02-13,306.87,309.5,304.79,305.7,4882
2019-02-14,305.67,309.27,304.01,308.17,4577
2019-02-15,310.87,311.84,308.78,311.58,6412
2019-02-19,311.0,312.58,310.32,311.6,6149
2019-02-20,311.11,313.68,310.05,312.95,5936
2019-02-21,313.21,313.21,308.86,311.3,6479
2019-02-22,311.3,317.21,309.55,316.79,8224
2019-02-25,317.64,317.99,314.15,314.4,10766
2019-02-26,313.22,317.56,313.22,317.42,8237
2019-02-27,315.15,315.97,304.22,306.07,21049
2019-02-28,305.35,309.6,297.7,300.73,20390
2019-03-01,303.87,308.81,303.09,307.68,14873
2019-03-04,307.62,308.99,291.22,292.59,20212
2019-03-05,294.36,300.6,290.01,298.69,15954
2019-03-06,299.31,299.31,293.24,294.46,11364
2019-03-07,300.24,301.3,286.81,291.42,17510
2019-03-08,291.0,296.59,290.07,295.04,10804
2019-03-11,295.21,297.0,292.58,295.97,7800
