date,open,high,low,close,volume
2018-12-10,43.8,44.04,42.22,42.97,12286
2018-12-11,43.67,43.96,42.53,42.66,8744
2018-12-12,43.34,43.52,42.54,42.57,8247
2018-12-13,42.85,43.05,41.99,42.24,7164
2018-12-14,41.74,42.47,41.22,41.41,9653
2018-12-17,41.34,42.66,41.01,42.38,26161
2018-12-18,42.7,43.52,42.61,43.03,17872
2018-12-19,43.1,44.52,42.52,42.71,18123
2018-12-20,42.44,43.55,42.31,42.87,23834
2018-12-21,43.12,43.59,41.82,41.99,13315
2018-12-24,41.77,42.77,41.6,42.01,7426
2018-12-26,42.06,43.18,41.15,43.17,9108
2018-12-27,42.52,43.14,41.84,42.9,13753
2018-12-28,43.11,43.71,42.48,42.7,15557
2018-12-31,42.82,43.34,42.37,42.7,21399
2019-01-02,42.21,43.49,41.61,43.47,15528
2019-01-03,43.1,43.14,42.13,42.42,12144
2019-01-04,43.09,44.2,42.88,44.12,23215
2019-01-07,44.12,45.35,43.58,44.91,14961
2019-01-08,45.38,46.01,45.12,46.01,15389
2019-01-09,46.36,46.97,46.04,46.65,20958
2019-01-10,46.55,46.62,45.97,46.55,10703
2019-01-11,46.18,46.65,46.11,46.34,7946
2019-01-14,46.35,46.72,45.99,46.4,8283
2019-01-15,46.32,46.71,45.39,46.01,7807
2019-01-16,45.91,46.41,45.67,45.72,17945
2019-01-17,45.49,46.59,45.4,46.48,7995
2019-01-18,46.87,48.13,46.61,48.01,12956
2019-01-22,47.84,47.84,46.85,47.16,12053
2019-01-23,47.44,47.52,46.07,46.48,18733
2019-01-24,46.36,46.85,46.13,46.4,12184
2019-01-25,46.88,47.91,46.83,47.6,21469
2019-01-28,47.04,48.4,46.96,48.2,15786
2019-01-29,47.25,48.7,46.01,47.86,36321
2019-01-30,47.55,47.85,46.53,47.8,22482
2019-01-31,47.67,47.88,47.35,47.86,11829
2019-02-01,48.0,48.53,47.64,48.17,11582
2019-02-04,48.2,49.53,48.01,49.27,12776
2019-02-05,49.36,49.75,49.13,49.57,15319
2019-02-06,49.54,50.2,49.42,49.75,13727
2019-02-07,49.68,50.11,49.08,49.31,7360
2019-02-08,49.12,49.26,48.18,49.26,9186
2019-02-11,49.34,49.77,49.08,49.67,5256
2019-02-12,50.02,50.95,49.87,50.89,9509
2019-02-13,51.03,51.66,50.96,51.42,9662
2019-02-14,50.85,51.49,50.8,51.09,7867
2019-02-15,51.39,52.01,51.24,51.64,18924
2019-02-19,51.42,52.23,51.14,51.99,15371
2019-02-20,52.0,52.55,51.91,52.47,8564
2019-02-21,52.4,52.87,52.12,52.61,9285
2019-02-22,52.75,53.23,52.65,53.18,12629
2019-02-25,53.38,53.96,53.32,53.34,13682
2019-02-26,53.21,53.32,52.49,52.78,13274
2019-02-27,52.63,53.08,52.16,52.74,10791
2019-02-28,52.64,52.64,51.82,51.93,11122
2019-03-01,52.55,53.1,52.24,52.58,14470
2019-03-04,52.76,53.07,52.17,52.5,11478
2019-03-05,52.48,52.64,51.96,52.0,7742
2019-03-06,52.04,52.38,51.83,51.87,9708
2019-03-07,51.6,51.83,50.51,50.72,12211
2019-03-08,50.37,51.0,50.26,50.87,6890
2019-03-11,50.8,51.32,50.54,51.15,12671
2019-03-12,51.35,51.73,51.18,51.44,5924
2019-03-13,51.72,51.78,51.32,51.41,7981
2019-03-14,51.3,51.49,50.9,50.97,7209
2019-03-15,50.95,51.72,50.95,51.32,10315
2019-03-18,51.43,52.19,51.34,52.1,7987
2019-03-19,52.28,52.62,51.88,52.13,8107
2019-03-20,52.19,52.45,51.51,51.97,10306
2019-03-21,51.9,53.34,51.9,52.85,8595
2019-03-22,52.69,52.75,51.45,51.74,7037
2019-03-25,51.83,52.44,51.6,51.68,7524
2019-03-26,51.88,52.15,51.47,51.55,9118
2019-03-27,51.64,52.1,51.57,51.97,8144
2019-03-28,52.25,52.76,52.11,52.52,7287
2019-03-29,52.89,53.57,52.76,53.32,12197
2019-04-01,53.85,54.59,53.69,53.99,9872
2019-04-02,54.08,54.23,53.77,54.05,7416
2019-04-03,54.44,54.9,54.17,54.5,7071
2019-04-04,54.46,55.15,54.46,54.82,6327
2019-04-05,55.01,55.21,54.85,55.17,5505
2019-04-08,54.8,55.49,54.54,55.22,10005
2019-04-09,54.83,54.96,53.8,53.84,7537
2019-04-10,53.99,54.2,53.54,54.19,6455
2019-04-11,54.26,54.94,54.16,54.89,4549
2019-04-12,55.23,55.59,55.04,55.51,5055
2019-04-15,55.54,55.76,55.29,55.59,3179
2019-04-16,55.83,56.03,55.65,55.94,4035
2019-04-17,56.19,56.37,55.66,56.0,5532
