date,open,high,low,close,volume
2019-11-26,9.7,9.7,9.65,9.7,701
2019-11-27,9.7,9.7,9.65,9.7,538
2019-11-29,9.7,9.7,9.69,9.69,1261
2019-12-02,9.7,9.7,9.65,9.7,1752
2019-12-03,9.7,9.7,9.6,9.6,16682
2019-12-04,9.7,9.7,9.595,9.6,15618
2019-12-05,9.6,9.61,9.6,9.6,6770
2019-12-06,9.61,9.61,9.6,9.6,19721
2019-12-09,9.6,9.6,9.6,9.6,1
2019-12-10,9.6,9.61,9.6,9.61,16
2019-12-11,9.61,9.61,9.57,9.58,118
2019-12-12,9.5,9.5,9.35,9.45,23857
2019-12-13,9.45,9.5,9.4,9.49,6714
2019-12-16,9.49,9.72,9.49,9.72,28005
2019-12-17,9.72,9.78,9.72,9.75,1610
2019-12-18,9.72,9.75,9.7,9.73,1852
2019-12-19,9.74,9.8,9.73,9.74,9130
2019-12-20,9.74,9.75,9.7195,9.73,192
2019-12-23,9.73,9.73,9.72,9.73,918
2019-12-24,9.73,9.75,9.72,9.72,874
2019-12-26,9.71,9.73,9.71,9.72,526
2019-12-27,9.74,9.75,9.72,9.75,3267
2019-12-30,9.75,10.25,9.75,10.0,3155
2019-12-31,10.0,10.55,10.0,10.55,17469
2020-01-02,10.55,10.85,10.55,10.85,17009
2020-01-03,10.85,10.85,10.84,10.85,1955
2020-01-06,10.85,10.85,10.65,10.7,4670
2020-01-07,10.75,10.75,10.46,10.46,5687
2020-01-08,10.5,10.51,10.3,10.32,8069
2020-01-09,10.34,10.37,10.23,10.25,11931
2020-01-10,10.29,10.3,10.23,10.25,2240
2020-01-13,10.25,10.3,10.25,10.29,4478
2020-01-14,10.29,10.29,10.26,10.28,6507
2020-01-15,10.28,10.4,10.28,10.39,6090
2020-01-16,10.4,10.65,10.4,10.55,29710
2020-01-17,10.6,10.74,10.6,10.65,4561
2020-01-21,10.65,11.0,10.65,10.83,17453
2020-01-22,10.84,10.99,10.84,10.9,8683
2020-01-23,10.93,11.1,10.9001,11.1,5339
2020-01-24,11.06,11.1,10.72,11.08,7351
2020-01-27,11.0,11.96,10.99,11.96,13686
2020-01-28,11.96,11.98,11.85,11.9,3930
2020-01-29,11.9,11.9,11.26,11.8,367
2020-01-30,11.87,11.87,11.4,11.55,2255
2020-01-31,11.65,11.8,11.6,11.75,6946
2020-02-03,11.85,12.99,11.85,12.4,30565
2020-02-04,12.49,12.5,12.25,12.35,12538
2020-02-05,12.35,12.35,12.19,12.25,6418
2020-02-06,12.25,12.25,11.65,12.25,291
2020-02-07,12.25,12.25,12.15,12.2,11906
2020-02-10,12.2,12.2,12.12,12.12,8472
2020-02-11,12.16,12.5,12.16,12.27,33432
2020-02-12,12.27,12.38,12.25,12.29,15970
2020-02-13,12.341,12.38,12.295,12.3,1796
2020-02-14,12.3,12.3,12.25,12.3,5058
2020-02-18,12.35,12.35,12.33,12.35,3386
2020-02-19,12.35,12.53,12.345,12.43,9919
2020-02-20,12.47,12.47,12.27,12.3,4939
2020-02-21,12.3,12.34,12.25,12.27,4447
2020-02-24,12.25,12.29,11.95,11.99,2227
2020-02-25,11.99,11.99,11.6,11.65,318
2020-02-26,11.65,11.8,11.4,11.48,9338
2020-02-27,11.375,11.4,11.01,11.15,1346
2020-02-28,11.15,11.15,10.91,10.95,527
2020-03-02,10.9,10.96,10.8,10.9,1660
2020-03-03,10.9,11.08,10.55,10.9,4859
2020-03-04,10.91,11.0,10.85,10.85,2447
2020-03-05,10.9,10.9,10.3,10.35,14779
2020-03-06,10.45,10.45,9.75,9.9,7703
2020-03-09,9.4,9.7,8.41,8.5,2405
2020-03-10,8.55,9.2,8.5,8.75,1278
2020-03-11,8.74,8.75,7.7,7.95,5677
2020-03-12,7.7,7.85,7.11,7.6,4060
2020-03-13,7.6,7.8,7.4,7.45,2793
2020-03-16,7.05,7.05,5.35,6.29,4455
2020-03-17,6.4,6.55,5.01,5.81,3287
2020-03-18,5.01,5.81,4.5,4.7,1394
2020-03-19,4.65,6.0,4.3,5.25,6556
2020-03-20,5.97,5.995,4.95,5.25,6826
2020-03-23,5.28,5.56,5.0,5.02,973
2020-03-24,5.1,6.05,5.1,5.9,3520
2020-03-25,5.85,7.05,5.75,7.05,2493
2020-03-26,7.45,7.74,7.29,7.47,1613
2020-03-27,7.45,7.45,6.12,6.5,6080
2020-03-30,6.5,7.48,6.5,6.55,4598
2020-03-31,6.5,7.0,6.265,7.0,4852
2020-04-01,6.57,6.65,6.26,6.4,3064
2020-04-02,6.49,7.0,6.49,6.75,3893
2020-04-03,6.694,6.7,6.23,6.45,333
2020-04-06,6.5,6.85,6.5,6.8,5787
2020-04-07,6.85,8.04,6.85,7.9,5866
2020-04-08,8.29,9.1,8.2,8.96,27923
2020-04-09,8.99,9.99,8.8899,8.89,11576
2020-04-13,8.95,8.95,8.75,8.8,10626
2020-04-14,8.95,8.95,8.52,8.78,10220
2020-04-15,8.8,8.8,8.685,8.74,5119
2020-04-16,8.77,8.8,8.5,8.5,1412
2020-04-17,8.7,8.75,8.25,8.49,21240
2020-04-20,8.5,8.5,8.22,8.3,1695
2020-04-21,8.26,8.3,8.0,8.02,1387
2020-04-22,8.23,8.45,8.05,8.3,2483
2020-04-23,8.4,8.63,8.3,8.6,10037
2020-04-24,8.55,8.8,8.55,8.75,6115
2020-04-27,9.3,10.22,9.0,9.96,12288
2020-04-28,10.0,10.54,9.13,9.8,21445
2020-04-29,10.13,10.73,9.79,10.4,23912
2020-04-30,10.49,10.49,9.88,10.1,6823
2020-05-01,10.1,10.25,9.85,9.9,6421
2020-05-04,9.75,9.97,9.55,9.75,3187
2020-05-05,9.84,10.13,9.75,9.9,5894
2020-05-06,9.98,9.98,9.72,9.82,2631
2020-05-07,9.95,9.97,9.77,9.84,5342
2020-05-08,9.9,9.9,9.62,9.7,4672
2020-05-11,9.7,9.88,9.26,9.65,8324
2020-05-12,9.64,9.77,9.43,9.68,9298
2020-05-13,9.69,9.8,9.08,9.09,5528
2020-05-14,9.0,9.59,8.84,9.45,13107
2020-05-15,9.21,9.5,9.21,9.35,7384
2020-05-18,9.63,9.94,9.55,9.83,11066
2020-05-19,9.9,10.09,9.71,10.0,8835
2020-05-20,10.15,10.3,10.12,10.2,7460
2020-05-21,10.31,10.31,10.12,10.26,7981
2020-05-22,10.25,10.71,10.25,10.65,6814
2020-05-26,11.01,11.36,10.58,10.86,8904
2020-05-27,11.12,11.3,10.8,11.01,8391
2020-05-28,11.06,11.44,10.91,11.0,12001
2020-05-29,10.99,11.31,10.83,11.27,13083
2020-06-01,11.38,11.39,10.4,11.15,12109
2020-06-02,11.59,12.02,11.51,11.84,17170
2020-06-03,12.1,12.35,11.23,12.16,14865
2020-06-04,12.18,12.38,11.92,12.01,15444
2020-06-05,13.0,13.0,11.91,12.0,18712
2020-06-08,12.5,12.82,11.98,12.64,25523
2020-06-09,12.83,12.97,12.41,12.78,17837
2020-06-10,12.83,13.02,12.12,12.44,25773
2020-06-11,12.0,12.21,11.72,11.96,13940
2020-06-12,12.15,12.7,11.93,12.3,14749
2020-06-15,12.11,13.02,12.04,12.95,36042
2020-06-16,13.22,14.17,12.84,13.61,33232
2020-06-17,13.8,14.02,13.39,13.74,28878
2020-06-18,13.65,14.07,13.51,13.82,38397
2020-06-19,14.01,14.63,13.48,13.59,50287
2020-06-22,13.52,14.09,12.97,13.2,23581
2020-06-23,13.4,13.69,12.7,12.88,20162
2020-06-24,13.36,13.45,12.91,13.16,22809
2020-06-25,13.08,13.67,12.85,12.92,19386
2020-06-26,12.92,13.0,12.03,12.22,32030
2020-06-29,12.56,12.89,11.96,12.24,13049
2020-06-30,12.38,12.38,11.78,12.15,19064
2020-07-01,12.08,12.79,12.07,12.12,26888
2020-07-02,12.44,12.48,11.87,11.94,5888
2020-07-06,12.16,12.18,11.85,12.02,3126
2020-07-07,11.86,12.06,11.45,11.54,6212
2020-07-08,11.57,11.83,11.43,11.76,6598
2020-07-09,11.61,11.92,11.19,11.34,13277
2020-07-10,11.32,11.66,11.12,11.3,11286
2020-07-13,11.4,11.55,10.95,11.0,10101
2020-07-14,11.03,11.83,10.91,11.8,16262
2020-07-15,11.98,12.55,11.9,12.31,15342
2020-07-16,12.3,13.11,12.18,12.98,7672
2020-07-17,12.9,13.36,12.77,13.34,9672
2020-07-20,13.34,13.48,12.92,13.33,12459
2020-07-21,13.49,14.0,13.24,13.6,14907
2020-07-22,13.5,14.05,13.47,13.5,14902
2020-07-23,13.5,13.76,13.08,13.25,7074
2020-07-24,13.28,13.31,12.85,12.85,6074
2020-07-27,12.82,13.24,12.74,13.05,6306
2020-07-28,12.95,13.5,12.95,13.26,8155
2020-07-29,13.3,13.86,13.3,13.78,4302
2020-07-30,13.53,14.27,13.53,13.97,5792
2020-07-31,13.84,14.06,13.67,13.93,7466
2020-08-03,13.96,14.5,13.86,14.38,9021
2020-08-04,14.28,14.5,14.06,14.43,6470
2020-08-05,14.5,14.84,14.25,14.45,5431
2020-08-06,14.39,14.65,14.23,14.41,3690
2020-08-07,14.38,14.68,14.28,14.68,4678
2020-08-10,14.78,15.01,14.57,14.72,11366
2020-08-11,14.96,15.03,14.61,14.7,15077
2020-08-12,15.43,15.43,14.08,14.47,10801
2020-08-13,14.83,14.83,14.24,14.45,4272
2020-08-14,14.3,14.88,14.16,14.67,6757
2020-08-17,15.0,15.21,14.71,15.19,13956
2020-08-18,15.19,15.55,15.12,15.35,10527
2020-08-19,15.67,15.77,15.36,15.46,8608
2020-08-20,15.27,15.37,14.8,15.13,3964
2020-08-21,14.96,15.06,14.78,14.97,5212
2020-08-24,15.2,15.21,14.41,14.55,5822
2020-08-25,14.71,14.93,14.49,14.7,4574
2020-08-26,14.56,14.79,14.43,14.56,2681
2020-08-27,14.65,14.65,14.16,14.35,3741
2020-08-28,14.35,14.44,14.21,14.35,5282
2020-08-31,14.25,14.43,14.07,14.14,3898
2020-09-01,14.1,14.74,13.96,14.67,4326
2020-09-02,14.5,14.81,14.17,14.48,6725
2020-09-03,14.58,14.58,13.91,13.97,2793
2020-09-04,14.14,14.2,13.4,13.93,2718
2020-09-08,13.68,14.03,13.44,13.78,5499
2020-09-09,13.88,14.38,13.88,14.24,4022
2020-09-10,14.23,14.47,13.99,14.09,4541
2020-09-11,14.09,14.5,14.01,14.15,3188
2020-09-14,14.2,14.6,14.2,14.6,3760
2020-09-15,14.67,14.79,14.09,14.09,5996
2020-09-16,14.14,14.3,13.85,14.0,4101
2020-09-17,13.84,14.21,13.75,13.99,2512
2020-09-18,14.25,14.25,13.82,13.94,3899
2020-09-21,13.66,13.82,13.0,13.81,7954
2020-09-22,14.54,15.1,14.24,14.65,10060
2020-09-23,14.6,14.85,14.3,14.35,13804
2020-09-24,14.39,14.42,13.81,13.88,9731
2020-09-25,13.77,14.48,13.74,14.47,5915
2020-09-28,14.62,14.75,14.17,14.27,3662
2020-09-29,14.28,14.44,13.95,14.19,4770
2020-09-30,14.18,14.79,14.18,14.23,5461
2020-10-01,14.35,14.69,14.21,14.56,11730
2020-10-02,14.23,14.5,14.11,14.28,4350
2020-10-05,14.64,15.22,14.64,14.85,7808
2020-10-06,15.04,15.05,14.45,14.46,5761
2020-10-07,14.61,15.1,14.47,14.62,7847
2020-10-08,14.78,14.8,14.34,14.76,5126
2020-10-09,14.89,15.25,14.72,14.9,10192
2020-10-12,14.91,15.38,14.78,15.09,6910
2020-10-13,14.91,15.09,14.91,15.01,6898
2020-10-14,15.01,15.4,14.9,14.9,1684
2020-10-15,14.92,15.33,14.51,15.23,3890
2020-10-16,15.19,15.5,15.02,15.25,3884
2020-10-19,15.25,15.5,15.17,15.21,2617
2020-10-20,15.36,15.42,15.09,15.1,3515
2020-10-21,15.13,15.22,14.87,15.03,2154
2020-10-22,15.16,15.3,15.11,15.24,5761
2020-10-23,15.25,15.76,15.2,15.32,4177
2020-10-26,15.07,15.21,14.76,14.9,4651
2020-10-27,14.84,15.0,14.53,14.61,5270
2020-10-28,14.34,14.35,13.85,13.89,9127
2020-10-29,13.79,14.25,13.76,14.1,5567
2020-10-30,13.9,14.57,13.89,14.39,5330
2020-11-02,14.63,14.94,14.42,14.62,2918
2020-11-03,14.9,15.0,14.42,14.5,8740
2020-11-04,14.51,14.87,14.32,14.71,12542
2020-11-05,14.57,15.1,14.57,14.8,7656
2020-11-06,14.82,14.91,14.56,14.64,1946
2020-11-09,15.34,15.92,14.54,15.27,8742
2020-11-10,15.6,15.9,15.26,15.67,6117
2020-11-11,16.65,16.65,15.36,15.65,19218
2020-11-12,15.69,16.17,15.17,15.62,7802
2020-11-13,15.64,16.03,15.38,15.46,4211
2020-11-16,15.61,16.21,15.59,16.0,7276
2020-11-17,15.72,15.87,15.26,15.32,7960
2020-11-18,15.37,15.82,15.12,15.58,7869
2020-11-19,15.56,15.63,15.25,15.35,5629
2020-11-20,15.29,15.4,15.06,15.35,7668
2020-11-23,15.48,15.78,15.28,15.75,8683
2020-11-24,15.87,16.04,15.71,15.98,10532
2020-11-25,16.05,16.17,15.78,15.85,6302
2020-11-27,15.75,15.95,15.58,15.72,3101
2020-11-30,15.59,15.77,15.46,15.5,8900
2020-12-01,16.3,16.39,15.77,16.01,11870
2020-12-02,15.9,16.15,15.82,15.93,18240
2020-12-03,16.02,16.6,16.02,16.44,18810
2020-12-04,16.56,16.64,16.29,16.38,8567
2020-12-07,16.33,16.78,16.16,16.72,10361
2020-12-08,17.61,17.67,17.05,17.41,13865
2020-12-09,17.43,17.56,17.15,17.38,10818
2020-12-10,17.29,17.87,17.2,17.7,10978
2020-12-11,17.55,17.82,17.49,17.74,13759
2020-12-14,17.96,17.98,17.6,17.68,8710
2020-12-15,17.76,17.95,17.59,17.73,9047
2020-12-16,17.94,17.94,17.47,17.68,4058
2020-12-17,17.77,17.91,17.62,17.85,8187
2020-12-18,17.91,18.16,17.77,17.88,11374
2020-12-21,17.51,17.98,17.51,17.82,2999
2020-12-22,17.82,17.93,17.55,17.88,3745
2020-12-23,18.0,18.15,17.84,17.91,5673
2020-12-24,17.93,18.03,17.75,17.94,2127
2020-12-28,18.11,18.17,17.76,17.77,3402
2020-12-29,17.78,17.88,17.53,17.65,2910
2020-12-30,17.64,17.95,17.64,17.85,2395
2020-12-31,17.73,18.36,17.64,18.15,5262
2021-01-04,18.13,18.27,17.3,17.57,9741
2021-01-05,17.61,17.61,17.15,17.46,7778
2021-01-06,17.73,17.96,17.2,17.43,10728
2021-01-07,17.46,17.85,17.22,17.3,6098
2021-01-08,17.5,17.6,16.75,16.87,8527
2021-01-11,16.74,17.1,16.63,16.92,2852
2021-01-12,16.84,17.39,16.75,17.27,6238
2021-01-13,17.26,17.47,16.92,17.05,3739
2021-01-14,17.14,17.54,16.94,17.4,9273
2021-01-15,17.24,17.73,17.22,17.6,8481
2021-01-19,17.7,18.25,17.7,17.96,6857
2021-01-20,18.0,18.48,17.73,18.44,6809
2021-01-21,18.5,18.7,18.21,18.45,6771
2021-01-22,18.41,18.57,18.12,18.56,4251
2021-01-25,18.47,18.97,18.25,18.64,7503
2021-01-26,18.74,19.17,18.62,19.11,8277
2021-01-27,18.74,18.74,17.68,17.97,12967
2021-01-28,18.18,18.53,17.82,18.23,7403
2021-01-29,18.08,18.58,17.9,17.91,14479
2021-02-01,18.0,18.59,17.84,18.52,6951
2021-02-02,18.8,18.8,18.4,18.48,7303
2021-02-03,18.5,18.66,18.06,18.4,7781
2021-02-04,18.34,18.6,18.2,18.35,9768
2021-02-05,18.29,18.4,18.13,18.31,4243
2021-02-08,18.46,18.51,18.25,18.38,4647
2021-02-09,18.39,18.55,18.04,18.1,3329
2021-02-10,18.1,18.18,17.75,17.94,5313
2021-02-11,18.1,18.45,17.94,18.41,8885
2021-02-12,18.34,18.91,18.05,18.89,23115
2021-02-16,19.15,19.37,18.84,19.25,14298
2021-02-17,19.08,19.37,18.62,19.1,7642
2021-02-18,19.18,19.33,19.0,19.15,6362
2021-02-19,19.33,19.52,19.19,19.52,4200
2021-02-22,19.51,19.68,18.94,19.28,7860
2021-02-23,19.38,19.46,18.71,18.88,12823
2021-02-24,19.02,19.37,18.96,19.34,4907
2021-02-25,19.41,19.42,18.47,18.61,4552
2021-02-26,18.61,18.78,18.32,18.5,3466
2021-03-01,18.73,19.63,18.73,19.55,9244
2021-03-02,19.57,19.83,19.01,19.45,6407
2021-03-03,19.54,20.34,19.4,19.56,13360
2021-03-04,19.56,20.04,18.86,18.91,8679
2021-03-05,19.07,19.61,18.54,19.61,6936
2021-03-08,19.61,20.08,19.53,19.86,4352
2021-03-09,20.06,20.22,19.63,19.72,2822
2021-03-10,19.87,20.27,19.79,20.1,6012
2021-03-11,20.18,20.26,19.77,20.09,3900
2021-03-12,20.18,20.52,20.05,20.49,3693
2021-03-15,20.47,20.59,20.15,20.49,4546
2021-03-16,20.31,20.5,20.2,20.4,2920
2021-03-17,20.13,20.57,19.99,20.56,2147
2021-03-18,20.4,20.8,20.12,20.18,5122
2021-03-19,20.3,20.36,19.92,20.22,22373
2021-03-22,20.14,20.14,19.44,19.5,5809
2021-03-23,19.34,19.6,19.05,19.23,8206
2021-03-24,19.07,19.5,18.66,18.9,22553
2021-03-25,18.69,18.96,18.37,18.67,19000
2021-03-26,18.94,19.72,18.83,19.72,6222
2021-03-29,19.63,20.28,19.5,19.51,7416
2021-03-30,19.49,20.12,19.35,19.98,4319
2021-03-31,20.1,20.96,20.01,20.68,10775
2021-04-01,20.88,21.79,20.74,21.6,13231
2021-04-05,21.99,22.23,21.7,21.9,8147
2021-04-06,21.79,22.05,21.54,21.64,4169
2021-04-07,21.65,22.0,21.51,21.88,3316
2021-04-08,22.02,22.2,21.85,21.99,6995
2021-04-09,22.14,22.36,21.98,22.25,6150
2021-04-12,22.31,22.31,21.82,22.02,1382
2021-04-13,22.14,22.19,21.87,22.03,2890
2021-04-14,22.15,22.16,21.84,21.87,3406
2021-04-15,21.9,22.16,21.85,22.14,4033
2021-04-16,22.24,22.37,21.96,22.05,3872
2021-04-19,22.03,22.17,21.69,21.76,4756
2021-04-20,21.67,21.74,21.26,21.42,3755
2021-04-21,21.5,21.74,21.17,21.55,9110
2021-04-22,21.65,21.96,21.49,21.68,4632
2021-04-23,21.85,21.92,21.41,21.44,4041
2021-04-26,21.61,21.61,21.19,21.2,7141
2021-04-27,21.4,21.63,21.19,21.4,7534
