date,open,high,low,close,volume
2018-12-10,21.61,22.3,21.56,21.72,15024
2018-12-11,22.05,22.22,21.48,21.75,8009
2018-12-12,22.0,22.32,21.69,22.0,11977
2018-12-13,22.19,22.43,21.96,22.17,8524
2018-12-14,21.82,22.08,21.59,21.66,7717
2018-12-17,21.62,21.78,20.79,21.04,10064
2018-12-18,21.17,21.24,20.3,20.46,10847
2018-12-19,20.36,20.63,19.08,19.18,11761
2018-12-20,19.06,19.15,17.34,17.54,16031
2018-12-21,17.48,17.63,16.97,17.08,13875
2018-12-24,16.69,17.13,16.51,16.87,3459
2018-12-26,16.82,17.25,16.18,17.23,8454
2018-12-27,17.12,17.79,16.97,17.75,7369
2018-12-28,17.7,18.32,17.7,17.95,5273
2018-12-31,18.06,18.38,17.24,17.78,4886
2019-01-02,17.46,17.75,17.21,17.5,4905
2019-01-03,17.41,17.41,16.91,17.1,4550
2019-01-04,17.94,18.23,17.75,18.04,7206
2019-01-07,18.09,18.76,17.95,18.5,5224
2019-01-08,18.83,19.23,18.72,18.95,5233
2019-01-09,18.95,19.21,18.57,18.78,4228
2019-01-10,18.59,18.9,18.43,18.84,5132
2019-01-11,18.66,19.34,18.5,19.3,5775
2019-01-14,19.14,19.75,19.0,19.65,5946
2019-01-15,19.67,20.11,19.53,19.91,3878
2019-01-16,20.05,20.69,19.6,19.81,5344
2019-01-17,19.56,19.89,19.32,19.8,2912
2019-01-18,19.85,20.39,19.84,20.05,2776
2019-01-22,19.95,20.29,19.65,20.21,5288
2019-01-23,20.28,20.62,20.19,20.58,4418
2019-01-24,20.58,20.87,20.36,20.65,4601
2019-01-25,20.88,21.18,20.71,20.97,10854
2019-01-28,20.86,21.11,20.64,21.05,4591
2019-01-29,21.1,21.1,20.83,20.85,2577
2019-01-30,20.99,20.99,20.53,20.78,2317
2019-01-31,20.74,21.17,20.6,20.86,4780
2019-02-01,21.03,21.15,20.72,20.8,3288
2019-02-04,20.85,21.69,20.6,21.66,5852
2019-02-05,21.77,22.25,21.46,22.0,11055
2019-02-06,21.9,22.39,21.8,22.22,4380
2019-02-07,22.18,22.46,21.3,21.59,5929
2019-02-08,21.4,21.73,21.3,21.61,3050
2019-02-11,21.58,21.65,21.14,21.28,4519
2019-02-12,21.33,21.77,21.29,21.63,2906
2019-02-13,21.83,22.79,21.51,21.75,3117
2019-02-14,22.01,22.99,21.69,22.4,7717
2019-02-15,22.74,23.27,22.36,23.23,8933
2019-02-19,23.2,23.72,23.0,23.65,5745
2019-02-20,23.72,23.72,23.07,23.4,5179
2019-02-21,23.31,23.42,23.17,23.32,2684
2019-02-22,23.47,23.82,23.3,23.79,6338
2019-02-25,23.95,24.44,23.45,23.81,4730
2019-02-26,23.63,23.91,23.43,23.63,3706
2019-02-27,23.64,23.79,23.27,23.6,4106
2019-02-28,23.7,23.81,23.4,23.62,2615
2019-03-01,23.73,23.81,23.06,23.4,3272
2019-03-04,23.49,23.57,22.67,23.14,7587
2019-03-05,23.11,23.11,22.64,22.87,6716
