date,open,high,low,close,volume
2018-12-10,22.11,22.15,21.82,21.94,5413
2018-12-11,21.95,22.24,21.87,21.91,5834
2018-12-12,21.99,22.08,21.8,21.81,6604
2018-12-13,21.79,22.05,21.78,21.94,5517
2018-12-14,21.7,21.93,21.65,21.71,5700
2018-12-17,21.71,21.88,20.87,20.99,7242
2018-12-18,21.13,21.34,20.96,21.1,7476
2018-12-19,21.11,21.21,20.91,20.92,7633
2018-12-20,20.89,20.92,20.26,20.45,12346
2018-12-21,20.47,20.91,20.27,20.36,6451
2018-12-24,20.26,20.36,19.75,19.97,5291
2018-12-26,20.0,20.71,19.99,20.71,4605
2018-12-27,20.53,20.76,20.18,20.76,3469
2018-12-28,20.81,21.01,20.62,20.89,4790
2018-12-31,21.0,21.0,20.41,20.5,3297
2019-01-02,20.36,20.8,20.18,20.77,2875
2019-01-03,20.71,21.0,20.7,20.82,2683
2019-01-04,20.9,21.25,20.88,21.18,3055
2019-01-07,21.18,21.54,21.11,21.33,5763
2019-01-08,21.33,21.38,21.18,21.24,5002
2019-01-09,21.25,21.34,21.06,21.25,6668
2019-01-10,21.25,21.34,21.19,21.19,3233
2019-01-11,21.2,21.39,21.15,21.35,6068
2019-01-14,21.12,21.4,21.02,21.04,6107
2019-01-15,20.47,20.65,20.44,20.65,71925
2019-01-16,20.65,20.91,20.61,20.85,13941
2019-01-17,20.85,20.93,20.78,20.88,7154
2019-01-18,20.93,21.0,20.58,20.64,11556
2019-01-22,20.64,20.78,20.58,20.73,6522
2019-01-23,20.74,21.05,20.74,21.04,5725
2019-01-24,21.05,21.12,20.94,21.08,3835
2019-01-25,21.12,21.2,21.07,21.14,4211
2019-01-28,21.16,21.2,21.03,21.12,4118
2019-01-29,21.14,21.14,20.87,21.0,6055
2019-01-30,21.0,21.2,20.95,21.02,6680
2019-01-31,21.05,21.09,20.88,21.02,7395
2019-02-01,21.09,21.25,21.01,21.21,4988
2019-02-04,21.21,21.25,21.04,21.25,5340
2019-02-05,21.28,21.28,21.11,21.26,3595
2019-02-06,21.21,21.33,21.14,21.31,3580
2019-02-07,21.31,21.36,21.13,21.21,5192
2019-02-08,21.2,21.3,21.11,21.23,4537
2019-02-11,21.25,21.43,21.21,21.42,5134
2019-02-12,21.46,21.46,21.3,21.35,4810
2019-02-13,21.42,21.45,21.18,21.33,8173
2019-02-14,21.15,21.21,21.05,21.08,5539
2019-02-15,21.1,21.21,21.01,21.05,6286
2019-02-19,21.03,21.08,20.91,20.96,8013
2019-02-20,20.58,20.58,20.07,20.2,66885
2019-02-21,20.18,20.38,20.1,20.33,26902
2019-02-22,20.29,20.45,20.27,20.42,10966
2019-02-25,20.47,20.51,20.21,20.24,11857
2019-02-26,20.28,20.29,20.1,20.11,9330
2019-02-27,20.11,20.11,19.83,20.01,13127
2019-02-28,20.03,20.17,19.94,20.05,8692
2019-03-01,20.2,20.2,19.8,19.86,13610
2019-03-04,19.88,19.92,19.77,19.87,8261
2019-03-05,19.84,19.91,19.69,19.71,9543
2019-03-06,19.77,19.83,19.59,19.59,6541
2019-03-07,19.59,19.66,19.32,19.38,11465
2019-03-08,19.38,19.56,19.35,19.42,8732
2019-03-11,19.49,19.83,19.46,19.79,9324
2019-03-12,19.83,19.91,19.7,19.74,5934
2019-03-13,19.74,19.94,19.74,19.82,6268
2019-03-14,19.6,19.66,19.53,19.59,7777
