date,open,high,low,close,volume
2019-06-24,4.94,5.0,4.31,4.93,1257
2019-06-25,4.93,4.93,4.49,4.6,552
2019-06-26,4.61,4.9,4.51,4.9,215
2019-06-27,4.88,4.93,4.65,4.93,308
2019-06-28,4.89,4.89,4.6,4.6,161
2019-07-01,4.6,4.64,3.8,4.0,692
2019-07-02,4.22,4.24,4.02,4.135,79
2019-07-03,4.11,4.18,4.09,4.17,91
2019-07-05,4.21,4.21,4.05,4.15,53
2019-07-08,4.07,4.07,3.76,3.805,296
2019-07-09,4.05,4.57,3.96,4.57,1067
2019-07-10,4.78,4.99,4.17,4.2,2334
2019-07-11,4.2,4.2,3.6,3.9,1245
2019-07-12,4.05,4.18,3.71,3.79,392
2019-07-15,3.98,3.98,3.56,3.69,202
2019-07-16,3.69,3.69,3.31,3.39,417
2019-07-17,3.69,3.69,3.09,3.25,333
2019-07-18,3.2,3.21,2.93,3.12,483
2019-07-19,3.2,3.2,3.11,3.17,47
2019-07-22,3.21,3.22,2.75,3.19,174
2019-07-23,3.2,3.42,3.15,3.39,345
2019-07-24,3.5,3.5,3.26,3.37,203
2019-07-25,3.49,3.49,3.3,3.365,114
2019-07-26,3.41,3.49,3.29,3.41,97
2019-07-29,3.37,3.44,3.35,3.35,40
2019-07-30,3.33,3.43,3.18,3.41,110
2019-07-31,3.3,3.36,3.29,3.29,28
2019-08-01,3.26,3.49,3.19,3.29,66
2019-08-02,3.24,3.29,2.8,3.03,266
2019-08-05,3.02,3.13,2.76,2.76,517
2019-08-06,3.38,3.38,2.9,2.96,51
2019-08-07,2.9,2.98,2.75,2.975,151
2019-08-08,2.8,2.94,2.8,2.94,29
2019-08-09,2.95,2.95,2.76,2.79,48
2019-08-12,2.76,2.89,2.7,2.815,78
2019-08-13,2.88,2.88,2.8,2.85,101
2019-08-14,2.81,2.86,2.67,2.855,103
2019-08-15,2.75,2.8,2.65,2.8,50
2019-08-16,2.8,2.8,2.74,2.74,13
2019-08-19,2.71,2.79,2.71,2.74,52
2019-08-20,2.74,2.74,2.74,2.74,0
2019-08-21,2.83,2.83,1.81,1.85,1001
2019-08-22,2.17,2.17,1.95,2.1,234
2019-08-23,2.0773,2.0994,1.901,2.0,33
2019-08-26,1.9598,2.1099,1.81,2.02,297
2019-08-27,2.0,2.0093,1.93,1.95,39
2019-08-28,2.01,2.01,1.76,1.85,312
2019-08-29,1.8345,2.04,1.83,1.99,137
2019-08-30,2.009,2.009,1.95,1.95,32
2019-09-03,1.99,2.2,1.86,2.09,740
2019-09-04,2.1,2.16,1.97,2.16,233
2019-09-05,2.12,2.12,2.0502,2.0948,249
2019-09-06,2.1044,2.36,2.07,2.2,230
2019-09-09,2.21,2.23,2.14,2.23,120
2019-09-10,2.26,2.4,2.15,2.35,359
2019-09-11,2.5848,2.5899,2.412,2.5214,23
2019-09-12,2.41,2.4595,2.28,2.28,213
2019-09-13,2.28,2.29,2.1828,2.29,234
2019-09-16,2.3,2.68,2.3,2.54,135
2019-09-17,2.61,2.61,2.465,2.52,109
2019-09-18,2.5764,2.5764,2.21,2.45,376
2019-09-19,2.3187,2.45,2.2,2.2,145
2019-09-20,2.2981,2.34,2.2,2.2,84
2019-09-23,2.1806,2.3478,1.89,2.1625,138
2019-09-24,2.2043,2.2106,2.06,2.07,96
2019-09-25,2.06,2.1,2.03,2.0501,28
2019-09-26,2.02,2.0713,1.83,1.8772,157
2019-09-27,1.73,2.04,1.73,2.04,69
2019-09-30,2.2,2.2,2.0109,2.1614,65
2019-10-01,2.0,2.0,1.6,1.9,486
2019-10-02,1.8357,2.01,1.8357,2.01,92
2019-10-03,1.8161,1.86,1.66,1.8,316
2019-10-04,1.692,1.87,1.68,1.87,82
2019-10-07,2.01,2.12,1.78,2.12,117
2019-10-08,2.12,2.12,2.08,2.08,4
2019-10-09,1.8356,1.9764,1.75,1.83,143
2019-10-10,2.23,2.23,1.5531,1.845,249
2019-10-11,1.85,2.01,1.8,1.98,127
2019-10-14,1.99,2.09,1.8627,1.9,219
2019-10-15,1.91,2.09,1.88,2.0,127
2019-10-16,2.0565,2.4595,2.0356,2.45,1410
2019-10-17,2.212,2.4476,2.2,2.34,228
2019-10-18,2.3,2.5996,2.3,2.3701,245
2019-10-21,2.465,2.59,2.22,2.45,111
2019-10-22,2.3301,2.4874,2.3301,2.3601,70
2019-10-23,2.35,2.6159,2.3,2.46,309
2019-10-24,2.33,2.45,2.33,2.36,93
2019-10-25,2.425,2.455,2.37,2.3819,29
