date,open,high,low,close,volume
2018-12-10,37.62,37.62,37.01,37.55,51
2018-12-11,37.74,37.74,37.08,37.57,34
2018-12-12,37.6,37.67,37.21,37.58,60
2018-12-13,37.29,37.96,37.04,37.12,110
2018-12-14,37.0,37.67,37.0,37.46,38
2018-12-17,37.57,37.57,36.12,36.12,137
2018-12-18,36.13,36.6,35.35,35.47,91
2018-12-19,35.46,35.47,34.49,34.63,63
2018-12-20,34.44,35.0,34.03,34.66,281
2018-12-21,34.64,34.64,34.03,34.03,554
2018-12-24,34.06,34.17,32.84,32.84,116
2018-12-26,33.2,33.86,32.84,33.64,60
2018-12-27,33.23,36.11,33.05,34.76,88
2018-12-28,34.72,35.6,33.2,34.79,54
2018-12-31,34.8,35.85,34.73,34.87,87
2019-01-02,34.71,35.3,33.13,34.5,36
2019-01-03,34.35,35.28,33.94,34.09,91
2019-01-04,34.38,35.09,33.96,34.18,61
2019-01-07,34.19,34.54,33.44,33.71,42
2019-01-08,34.01,34.06,33.53,33.72,52
2019-01-09,33.58,33.95,33.48,33.67,45
2019-01-10,33.45,34.1,33.45,34.08,33
2019-01-11,34.11,34.17,33.72,34.17,83
2019-01-14,34.25,34.25,33.7,33.7,44
2019-01-15,33.94,34.83,33.75,34.78,28
2019-01-16,34.79,35.11,34.31,34.31,33
2019-01-17,34.26,35.03,34.16,34.17,54
2019-01-18,34.13,34.88,34.13,34.7,94
2019-01-22,34.61,35.12,33.91,34.1,78
2019-01-23,34.19,35.52,34.19,35.51,64
2019-01-24,35.64,35.91,35.15,35.74,43
2019-01-25,35.7,35.83,34.91,35.03,53
2019-01-28,34.99,35.0,34.59,34.66,21
2019-01-29,34.58,34.8,34.27,34.41,78
2019-01-30,34.26,34.64,34.26,34.54,45
2019-01-31,34.36,35.57,34.36,35.39,24
2019-02-01,35.43,35.74,35.0,35.7,51
2019-02-04,35.35,35.68,35.35,35.62,29
2019-02-05,35.71,36.4,35.71,36.06,166
2019-02-06,36.07,36.25,36.0,36.19,42
2019-02-07,35.43,36.57,35.42,36.32,20
2019-02-08,36.06,38.22,36.06,38.16,188
2019-02-11,37.94,38.07,36.85,36.93,58
2019-02-12,36.92,38.09,36.92,36.96,86
2019-02-13,37.22,37.83,37.15,37.64,69
2019-02-14,37.77,38.06,37.58,37.91,53
2019-02-15,38.01,38.82,38.01,38.82,128
2019-02-19,38.42,39.06,37.94,39.06,117
2019-02-20,39.05,40.97,39.05,39.31,210
2019-02-21,39.52,39.82,38.67,39.82,28
2019-02-22,39.83,40.88,39.04,40.18,43
2019-02-25,40.03,40.14,39.0,39.0,50
2019-02-26,39.04,39.28,38.28,38.98,57
2019-02-27,38.83,39.88,38.83,39.15,56
2019-02-28,39.23,39.44,38.92,39.24,36
2019-03-01,38.72,39.48,38.71,39.28,22
2019-03-04,39.26,39.3,38.84,39.01,11
2019-03-05,39.03,39.31,38.89,39.0,37
2019-03-06,38.98,39.46,38.46,38.48,111
2019-03-07,38.6,38.85,38.3,38.5,39
2019-03-08,38.5,39.74,37.98,38.46,28
2019-03-11,39.09,39.69,38.23,39.44,39
2019-03-12,39.42,39.65,39.29,39.54,42
2019-03-13,39.65,40.08,39.23,39.9,53
2019-03-14,39.66,40.15,39.5,40.0,57
2019-03-15,40.03,40.3,39.74,40.28,231
2019-03-18,40.26,40.4,38.69,38.78,79
2019-03-19,38.8,39.65,38.62,38.77,41
2019-03-20,38.78,39.41,37.98,39.06,138
2019-03-21,38.98,39.39,38.6,38.95,36
2019-03-22,38.97,39.2,37.87,37.87,110
2019-03-25,37.9,37.9,36.81,37.7,63
2019-03-26,37.89,38.21,37.46,37.8,31
2019-03-27,37.62,37.9,37.1,37.38,47
2019-03-28,37.5,37.57,37.08,37.2,45
2019-03-29,37.98,37.98,37.06,37.27,25
2019-04-01,37.31,37.31,36.19,36.19,64
2019-04-02,36.3,36.3,35.71,35.94,44
2019-04-03,35.9,35.98,35.29,35.66,61
2019-04-04,35.73,36.16,35.48,36.14,42
2019-04-05,35.97,37.4,35.97,37.16,90
2019-04-08,37.06,37.25,36.34,36.34,18
2019-04-09,36.52,37.06,36.02,36.27,32
2019-04-10,36.18,36.6,36.14,36.27,18
2019-04-11,36.31,37.98,36.3,36.3,51
2019-04-12,36.32,36.53,36.1,36.1,23
2019-04-15,36.11,36.93,36.11,36.38,28
2019-04-16,36.61,36.61,35.51,35.62,64
2019-04-17,35.64,35.64,34.51,34.63,210
2019-04-18,34.52,35.49,34.52,35.31,120
2019-04-22,35.36,35.36,34.43,34.5,83
2019-04-23,34.59,35.36,34.32,35.35,60
2019-04-24,35.09,35.31,34.44,35.05,95
2019-04-25,35.08,35.21,34.39,34.65,106
2019-04-26,34.95,35.48,34.66,35.04,30
2019-04-29,37.43,38.18,35.64,36.43,265
2019-04-30,36.35,36.43,36.13,36.28,28
2019-05-01,35.81,36.68,35.5,36.41,49
2019-05-02,37.55,37.55,35.79,35.89,66
2019-05-03,36.02,36.73,35.83,36.02,182
2019-05-06,36.01,37.27,36.01,36.86,89
2019-05-07,36.74,36.85,36.05,36.06,34
2019-05-08,36.05,36.29,36.05,36.11,23
2019-05-09,36.71,36.71,36.1,36.3,171
2019-05-10,36.2,36.57,36.06,36.06,24
2019-05-13,34.63,35.83,34.63,35.35,256
2019-05-14,35.44,35.74,35.1,35.52,54
2019-05-15,35.32,35.84,35.32,35.82,41
2019-05-16,35.74,35.98,35.5,35.81,45
2019-05-17,35.67,36.5,35.53,36.5,59
2019-05-20,36.33,36.7,35.74,36.15,66
2019-05-21,36.24,37.37,36.1,37.05,76
