date,open,high,low,close,volume
2018-12-10,3.1,3.11,3.04,3.09,95
2018-12-11,3.24,3.25,3.06,3.0954,16
2018-12-12,3.04,3.36,3.03,3.36,42
2018-12-13,3.36,3.41,3.36,3.41,2
2018-12-14,3.0452,3.21,3.0452,3.21,4
2018-12-17,3.3117,3.34,3.3117,3.34,4
2018-12-18,3.09,3.09,3.08,3.08,2
2018-12-19,3.12,3.12,3.12,3.12,1
2018-12-20,3.23,3.23,3.11,3.11,17
2018-12-21,3.11,3.43,3.11,3.43,32
2018-12-24,3.43,3.46,3.43,3.46,4
2018-12-26,3.4435,3.4753,3.3407,3.36,36
2018-12-27,3.24,3.3933,3.15,3.15,48
2018-12-28,3.15,3.15,3.15,3.15,0
2018-12-31,3.25,3.69,3.1253,3.64,52
2019-01-02,3.58,3.58,3.28,3.28,23
2019-01-03,3.51,3.51,3.2025,3.21,20
2019-01-04,3.21,3.3,3.15,3.15,15
2019-01-07,3.2,3.28,3.087,3.1347,40
2019-01-08,3.2763,3.497,3.14,3.48,52
2019-01-09,3.43,3.43,3.2,3.23,12
2019-01-10,3.2096,3.2096,3.2,3.2,2
2019-01-11,3.1,3.1,3.0508,3.0508,19
2019-01-14,3.06,3.47,3.06,3.3,15
2019-01-15,3.25,3.46,3.2,3.46,26
2019-01-16,3.43,3.45,3.25,3.45,34
2019-01-17,3.24,3.7,3.24,3.24,30
2019-01-18,3.4,3.69,3.19,3.2675,22
2019-01-22,3.68,3.69,3.28,3.69,14
2019-01-23,3.67,3.7,3.33,3.54,35
2019-01-24,3.66,3.7,3.32,3.6,16
2019-01-25,3.66,3.69,3.3336,3.3336,9
2019-01-28,3.4,3.69,3.33,3.405,40
2019-01-29,3.3999,3.57,3.39,3.45,126
2019-01-30,3.3567,3.54,3.3567,3.54,5
2019-01-31,3.64,3.85,3.6336,3.85,214
2019-02-01,3.73,3.77,3.73,3.77,46
2019-02-04,3.97,3.98,3.92,3.92,21
2019-02-05,3.94,3.94,3.88,3.88,29
2019-02-06,3.8324,3.84,3.8324,3.84,2
2019-02-07,3.48,3.68,3.48,3.68,2
2019-02-08,3.8,3.83,3.8,3.8277,14
2019-02-11,3.51,3.81,3.51,3.66,19
2019-02-12,3.8125,3.8284,3.53,3.6379,68
2019-02-13,3.79,3.81,3.79,3.81,2
2019-02-14,3.82,3.84,3.811,3.83,21
2019-02-15,3.834,3.84,3.79,3.8124,54
2019-02-19,3.7759,3.8,3.75,3.8,30
2019-02-20,3.5276,3.81,3.5276,3.65,14
2019-02-21,3.65,3.68,3.6,3.6,28
2019-02-22,3.7473,3.83,3.6281,3.83,37
2019-02-25,3.75,3.7833,3.75,3.7501,53
2019-02-26,3.7318,3.7318,3.61,3.61,57
2019-02-27,3.7475,3.75,3.7475,3.75,10
2019-02-28,3.7465,3.75,3.62,3.62,35
2019-03-01,3.7,3.7,3.6756,3.69,48
2019-03-04,3.74,3.7401,3.65,3.65,70
2019-03-05,3.7,3.7,3.6326,3.68,233
2019-03-06,3.68,3.78,3.68,3.78,24
2019-03-07,3.6907,3.71,3.6,3.61,23
2019-03-08,3.7,3.78,3.6,3.7336,296
2019-03-11,3.72,3.78,3.59,3.6575,158
2019-03-12,3.6,3.66,3.6,3.6,154
2019-03-13,3.71,3.71,3.71,3.71,1
2019-03-14,3.63,3.7,3.63,3.65,30
2019-03-15,3.6,3.6979,3.59,3.6975,215
2019-03-18,3.67,3.68,3.5,3.55,273
2019-03-19,3.5643,3.6356,3.5617,3.6273,69
2019-03-20,3.63,3.63,3.615,3.63,39
2019-03-21,3.6301,3.69,3.51,3.51,129
2019-03-22,3.6299,3.6299,3.545,3.56,28
2019-03-25,3.5206,3.55,3.5206,3.55,8
2019-03-26,3.5558,3.5558,3.5558,3.5558,1
2019-03-27,3.5678,3.59,3.51,3.54,173
2019-03-28,3.5511,3.5678,3.55,3.5676,251
2019-03-29,3.51,3.57,3.3901,3.4,632
2019-04-01,3.57,3.57,3.533,3.533,30
2019-04-02,3.455,3.57,3.455,3.57,6
2019-04-03,3.5,3.555,3.5,3.555,24
2019-04-04,3.4476,3.4476,3.44,3.44,2
2019-04-05,3.49,3.53,3.49,3.5275,24
2019-04-08,3.3366,3.4965,3.3366,3.46,94
2019-04-09,3.5233,3.58,3.4212,3.58,157
2019-04-10,3.63,3.83,3.56,3.6,467
2019-04-11,3.6,3.69,3.42,3.4673,274
2019-04-12,3.6,3.6,3.3604,3.45,65
2019-04-15,3.45,3.6215,3.36,3.39,284
2019-04-16,3.38,3.48,3.36,3.4,24
2019-04-17,3.48,3.48,3.35,3.35,2
2019-04-18,3.355,3.364,3.299,3.35,243
2019-04-22,3.35,3.49,3.32,3.35,240
2019-04-23,3.39,3.39,3.31,3.32,231
2019-04-24,3.3768,3.38,3.35,3.35,6
2019-04-25,3.41,3.41,3.255,3.3,358
2019-04-26,3.3794,3.446,3.3794,3.446,10
2019-04-29,3.44,3.4999,3.44,3.47,45
2019-04-30,3.505,3.51,3.505,3.51,5
