date,open,high,low,close,volume
2018-12-10,10.14,10.15,10.14,10.14,2
2018-12-11,10.14,10.14,10.14,10.14,0
2018-12-12,10.18,10.18,10.18,10.18,30
2018-12-13,10.18,10.18,10.18,10.18,0
2018-12-14,10.16,10.17,10.16,10.165,6
2018-12-17,10.165,10.165,10.165,10.165,0
2018-12-18,10.15,10.15,10.15,10.15,106
2018-12-19,10.15,10.15,10.15,10.15,0
2018-12-20,10.18,10.18,10.16,10.16,45
2018-12-21,10.18,10.18,10.18,10.18,48
2018-12-24,10.18,10.18,10.18,10.18,0
2018-12-26,10.18,10.18,10.18,10.18,1603
2018-12-27,10.15,10.16,10.15,10.16,28
2018-12-28,10.2,10.2,10.2,10.2,1
2018-12-31,10.2,10.2,10.2,10.2,7
2019-01-02,10.2,10.2,10.18,10.18,84
2019-01-03,10.18,10.18,10.17,10.175,8
2019-01-04,10.16,10.22,10.15,10.17,1616
2019-01-07,10.2,10.21,10.2,10.2,800
2019-01-08,10.19,10.2,10.19,10.19,386
2019-01-09,10.19,10.19,10.19,10.19,0
2019-01-10,10.19,10.19,10.19,10.19,0
2019-01-11,10.19,10.19,10.19,10.19,0
2019-01-14,10.19,10.19,10.19,10.19,0
2019-01-15,10.23,10.24,10.22,10.24,170
2019-01-16,10.24,10.24,10.24,10.24,0
2019-01-17,10.25,10.25,10.25,10.25,100
2019-01-18,10.2,10.2,10.2,10.2,30
2019-01-22,10.21,10.25,10.21,10.25,110
2019-01-23,10.25,10.25,10.25,10.25,0
2019-01-24,10.22,10.22,10.22,10.22,2500
2019-01-25,10.22,10.22,10.22,10.22,0
2019-01-28,10.22,10.22,10.22,10.22,0
2019-01-29,10.23,10.23,10.23,10.23,100
2019-01-30,10.23,10.23,10.23,10.23,0
2019-01-31,10.23,10.23,10.23,10.23,0
2019-02-01,10.24,10.24,10.24,10.24,20
2019-02-04,10.24,10.24,10.24,10.24,0
2019-02-05,10.24,10.24,10.24,10.24,0
2019-02-06,10.26,10.28,10.24,10.245,1045
2019-02-07,10.245,10.245,10.245,10.245,0
2019-02-08,10.245,10.245,10.245,10.245,0
2019-02-11,10.27,10.27,10.27,10.27,20
2019-02-12,10.27,10.27,10.27,10.27,0
2019-02-13,10.28,10.28,10.28,10.28,9
2019-02-14,10.28,10.28,10.28,10.28,0
2019-02-15,10.28,10.28,10.28,10.28,0
2019-02-19,10.22,10.22,10.22,10.22,11
2019-02-20,10.25,10.25,10.24,10.24,42
2019-02-21,10.27,10.27,10.26,10.26,20
2019-02-22,10.26,10.26,10.26,10.26,0
2019-02-25,10.27,10.27,10.27,10.27,166
2019-02-26,10.28,10.28,10.28,10.28,1
2019-02-27,10.28,10.28,10.28,10.28,0
2019-02-28,10.26,10.31,10.26,10.31,2501
2019-03-01,10.31,10.31,10.27,10.3,17
2019-03-04,10.3,10.3,10.3,10.3,0
2019-03-05,10.27,10.28,10.27,10.275,3
2019-03-06,10.275,10.275,10.275,10.275,0
2019-03-07,10.275,10.275,10.275,10.275,0
2019-03-08,10.28,10.33,10.28,10.32,1372
2019-03-11,10.32,10.32,10.32,10.32,0
2019-03-12,10.32,10.32,10.32,10.32,0
2019-03-13,10.32,10.32,10.32,10.32,0
2019-03-14,10.32,10.32,10.32,10.32,0
2019-03-15,10.35,10.35,10.35,10.35,0
2019-03-18,10.35,10.35,10.35,10.35,10
