date,open,high,low,close,volume
2018-12-10,46.12,47.55,45.84,47.25,3544
2018-12-11,47.77,48.42,46.92,47.46,1735
2018-12-12,48.07,48.07,47.05,47.66,2394
2018-12-13,48.06,48.54,47.12,47.97,7028
2018-12-14,47.84,48.8,47.49,47.94,5457
2018-12-17,47.74,48.6,47.33,47.59,6193
2018-12-18,47.6,48.18,47.17,47.4,4375
2018-12-19,47.48,48.05,43.9,44.7,3331
2018-12-20,44.82,45.03,43.4,44.0,2010
2018-12-21,43.98,44.62,42.19,43.03,4306
2018-12-24,42.72,43.1,41.16,41.16,1331
2018-12-26,41.45,43.12,40.63,43.08,2271
2018-12-27,42.1,42.8,41.36,42.73,1837
2018-12-28,42.65,43.96,42.48,43.36,1066
2018-12-31,43.8,44.79,43.22,44.79,1732
2019-01-02,44.04,44.04,42.0,42.41,2096
2019-01-03,42.44,42.49,41.45,41.49,1171
2019-01-04,38.15,40.14,38.0,39.84,6026
2019-01-07,39.96,42.78,39.96,42.04,3157
2019-01-08,42.43,43.15,41.06,43.03,3047
2019-01-09,43.3,45.58,43.27,44.62,3978
2019-01-10,44.31,45.36,44.21,44.88,2228
2019-01-11,44.64,45.13,42.95,43.17,3138
2019-01-14,42.73,43.27,41.79,42.73,5057
2019-01-15,43.0,44.28,42.96,43.82,2783
2019-01-16,43.64,45.13,43.64,44.44,4048
2019-01-17,44.35,45.71,44.35,45.36,2584
2019-01-18,45.54,45.96,44.85,45.23,2304
2019-01-22,44.55,44.98,43.38,43.72,2898
2019-01-23,43.75,44.51,43.34,44.09,2189
2019-01-24,44.17,44.98,43.85,44.87,1683
2019-01-25,45.28,45.71,44.49,45.31,1688
2019-01-28,44.83,45.14,43.95,44.18,1328
2019-01-29,44.11,44.6,43.59,44.52,1422
2019-01-30,44.63,45.55,44.32,45.38,1100
2019-01-31,45.45,46.42,45.24,45.55,2212
2019-02-01,45.55,45.85,44.56,44.86,1875
2019-02-04,44.66,45.25,44.34,45.16,1318
2019-02-05,45.19,46.06,44.99,45.32,1494
2019-02-06,45.39,45.82,44.7,45.03,1375
2019-02-07,44.79,45.16,43.91,44.33,1469
2019-02-08,44.03,44.69,43.83,44.68,2104
2019-02-11,44.74,46.46,44.74,46.01,1867
2019-02-12,46.27,47.16,46.23,46.78,1074
2019-02-13,46.97,47.35,46.68,47.16,1202
2019-02-14,46.99,47.86,46.91,47.31,1473
2019-02-15,47.56,48.51,47.32,48.46,1076
