date,open,high,low,close,volume
2018-12-10,10.29695,10.4679,9.6011,10.14695,5
2018-12-11,10.14695,10.4979,9.901,10.16495,6
2018-12-12,9.898,10.4949,9.6131,10.19795,7
2018-12-13,10.4679,10.4679,9.0282,9.5381,45
2018-12-14,9.0432,10.19795,8.9982,10.19495,35
2018-12-17,12.8974,16.79665,9.29815,10.79785,1371
2018-12-18,10.19495,10.4139,9.29815,9.65505,105
2018-12-19,9.5231,9.74805,9.32815,9.5381,66
2018-12-20,9.5381,9.5981,8.69825,8.69825,71
2018-12-21,9.1122,9.29515,6.75465,8.0984,92
2018-12-24,7.13855,8.9982,6.6017,7.24355,47
2018-12-26,7.6035,8.3953,6.62865,7.5045,21
2018-12-27,9.4781,9.4781,7.21055,7.25855,105
2018-12-28,7.19855,7.72945,6.8986,7.19855,52
2018-12-31,8.0984,8.0984,5.9988,6.27475,157
2019-01-02,6.5867,7.19855,6.27475,7.19855,30
2019-01-03,7.5585,7.73845,6.8986,7.0066,28
2019-01-04,7.0936,7.79245,6.9856,7.4445,38
2019-01-07,7.78345,10.4979,7.6035,8.5453,143
2019-01-08,8.9712,9.29815,8.0984,8.85125,38
2019-01-09,9.0342,11.5477,8.18835,11.0408,187
2019-01-10,10.111,11.3947,9.901,10.25795,69
2019-01-11,10.77085,11.0978,9.898,10.76785,37
2019-01-14,11.0978,13.79725,11.0978,12.26155,519
2019-01-15,12.8974,12.9724,9.5981,11.0228,169
2019-01-16,11.0078,11.0078,9.898,10.12595,102
2019-01-17,10.79785,10.9628,9.961,10.79785,53
2019-01-18,11.9556,12.29755,10.34795,11.21775,81
2019-01-22,11.3977,11.9376,10.80685,11.22975,49
2019-01-23,11.9376,12.5975,11.22975,11.69765,78
2019-01-24,11.9976,12.5975,10.4979,12.5975,113
2019-01-25,12.29755,12.5975,11.3977,11.79815,73
2019-01-28,12.3845,12.5975,11.3977,11.9976,45
2019-01-29,12.4475,13.0474,11.73965,11.9976,176
2019-01-30,12.4295,12.4295,11.0918,11.5597,47
2019-01-31,11.3977,12.4475,10.9478,11.3977,61
2019-02-01,11.9976,11.9976,11.1128,11.84465,55
2019-02-04,11.9946,12.29755,11.5057,11.9946,48
2019-02-05,11.3977,12.14755,11.3977,11.3977,30
2019-02-06,11.9976,11.9976,11.1008,11.3977,76
2019-02-07,11.84765,11.9946,11.0978,11.21325,34
2019-02-08,11.9916,11.9916,10.20095,10.64785,35
2019-02-11,11.0228,11.15775,10.82785,10.8878,25
2019-02-12,11.15775,11.15775,10.8938,10.9178,16
2019-02-13,11.0978,11.3977,10.82785,11.35875,23
2019-02-14,11.0978,12.30055,11.0978,11.6077,76
2019-02-15,11.9976,14.12715,11.5177,12.1206,342
2019-02-19,12.5975,12.5975,11.69765,11.86565,38
2019-02-20,11.9976,12.20455,11.25075,11.3977,31
2019-02-21,11.32275,13.0474,11.32275,12.29755,68
2019-02-22,12.5975,14.63405,12.29755,13.34735,108
2019-02-25,13.3773,13.79725,12.75045,13.4973,46
2019-02-26,13.1074,17.0966,13.0474,15.9568,314
