date,open,high,low,close,volume
2018-12-10,43.85,44.21,41.64,41.82,1269
2018-12-11,42.34,43.28,41.62,41.83,1150
2018-12-12,42.35,43.42,42.09,42.7,590
2018-12-13,42.92,42.97,42.32,42.48,479
2018-12-14,42.21,43.1,41.99,42.49,3394
2018-12-17,42.29,42.83,41.79,41.98,1427
2018-12-18,42.18,42.51,41.24,41.43,886
2018-12-19,41.65,42.45,40.73,41.09,870
2018-12-20,41.16,41.71,40.2,40.49,1049
2018-12-21,40.56,40.66,38.18,38.5,1651
2018-12-24,38.58,38.61,37.69,37.69,623
2018-12-26,37.77,39.92,37.43,39.82,740
2018-12-27,39.23,40.1,38.73,40.07,785
2018-12-28,40.2,41.17,39.91,40.45,561
2018-12-31,40.51,40.67,39.48,40.36,654
2019-01-02,39.77,41.24,39.7,40.61,767
2019-01-03,40.5,40.83,39.45,40.01,573
2019-01-04,40.37,41.09,39.78,40.9,723
2019-01-07,40.97,41.81,40.88,41.45,838
2019-01-08,40.87,46.61,39.57,43.58,3244
2019-01-09,43.74,44.74,43.38,44.45,1616
2019-01-10,44.11,45.87,43.91,45.84,1035
2019-01-11,45.63,45.86,44.78,45.47,688
2019-01-14,45.11,45.64,44.18,44.27,781
2019-01-15,44.05,44.16,43.43,43.92,725
2019-01-16,43.93,44.61,43.89,44.44,613
2019-01-17,44.05,45.38,44.05,45.25,1275
2019-01-18,45.3,46.18,45.21,45.78,630
2019-01-22,45.49,46.16,44.76,45.08,826
2019-01-23,45.15,45.43,44.28,44.29,730
2019-01-24,44.04,44.86,44.04,44.28,566
2019-01-25,44.75,45.47,44.43,44.72,592
2019-01-28,44.1,44.25,42.83,43.5,616
2019-01-29,43.62,44.15,43.61,43.98,263
2019-01-30,44.21,44.85,43.43,44.58,421
2019-01-31,44.47,45.21,44.25,44.75,910
2019-02-01,44.82,45.23,44.22,44.45,279
2019-02-04,44.32,45.41,44.07,45.37,488
2019-02-05,45.37,45.83,44.55,44.76,442
2019-02-06,44.53,46.11,44.28,45.73,597
2019-02-07,45.38,45.75,44.53,45.14,518
2019-02-08,44.96,45.58,44.28,44.59,363
2019-02-11,44.66,44.66,44.07,44.64,353
2019-02-12,44.88,46.02,44.88,45.98,327
2019-02-13,46.07,46.76,46.07,46.49,315
2019-02-14,46.32,47.2,46.15,46.15,610
2019-02-15,46.55,47.42,46.55,46.96,1033
2019-02-19,46.84,47.6,46.84,47.26,359
2019-02-20,47.31,48.66,47.31,48.33,480
2019-02-21,48.12,48.66,47.12,47.5,547
2019-02-22,47.73,47.88,47.19,47.51,951
2019-02-25,47.7,48.01,47.35,47.35,297
2019-02-26,47.46,47.85,46.62,46.69,401
2019-02-27,46.69,47.0,46.38,46.67,396
2019-02-28,46.53,46.54,45.98,46.02,344
2019-03-01,46.28,46.66,45.78,46.17,635
2019-03-04,46.19,46.31,45.56,45.66,504
2019-03-05,45.73,45.86,45.03,45.15,414
2019-03-06,45.32,45.32,44.07,44.24,436
2019-03-07,44.2,44.28,43.29,43.68,960
2019-03-08,43.34,43.91,43.33,43.78,396
2019-03-11,43.88,44.1,43.47,43.99,713
2019-03-12,44.05,44.21,43.5,43.54,362
2019-03-13,43.82,44.1,43.21,43.71,551
2019-03-14,43.55,43.67,42.71,42.79,295
2019-03-15,42.84,43.36,42.13,42.38,1299
2019-03-18,42.46,43.6,42.43,43.53,455
2019-03-19,43.78,43.8,42.93,43.06,202
2019-03-20,42.91,42.98,42.03,42.25,393
2019-03-21,42.08,43.3,42.08,42.65,441
2019-03-22,42.27,42.32,40.09,40.11,457
2019-03-25,40.19,41.21,40.05,40.6,481
2019-03-26,40.88,41.22,40.19,40.64,552
2019-03-27,40.69,40.98,40.05,40.82,280
2019-03-28,40.94,41.28,40.18,41.13,364
2019-03-29,41.33,41.54,40.61,40.93,365
2019-04-01,41.29,41.84,41.17,41.57,335
2019-04-02,41.6,42.13,41.11,41.34,335
2019-04-03,41.72,42.53,41.37,41.96,321
2019-04-04,41.92,42.49,41.92,42.35,286
2019-04-05,42.43,43.26,42.43,42.75,586
2019-04-08,42.76,43.19,42.58,42.98,859
2019-04-09,42.88,43.3,42.57,42.61,592
2019-04-10,42.64,43.54,42.64,43.39,673
2019-04-11,43.4,43.71,42.91,43.19,319
2019-04-12,43.64,44.54,43.11,43.97,623
2019-04-15,44.03,44.77,44.03,44.51,777
2019-04-16,44.64,45.48,44.58,45.43,980
2019-04-17,45.68,46.37,45.56,46.13,1242
2019-04-18,45.98,46.87,45.98,46.73,1112
2019-04-22,46.68,46.74,45.07,45.58,582
2019-04-23,45.58,46.77,45.05,46.63,796
2019-04-24,46.55,47.58,46.45,47.26,522
2019-04-25,46.79,47.18,46.03,46.4,477
2019-04-26,46.58,47.09,46.45,46.88,273
2019-04-29,46.9,47.58,46.9,47.13,279
2019-04-30,47.12,47.54,46.47,47.49,445
2019-05-01,47.46,47.69,46.6,46.81,833
2019-05-02,46.7,47.32,46.13,47.14,440
2019-05-03,47.46,48.29,47.45,48.22,685
2019-05-06,47.27,48.71,47.27,48.54,484
2019-05-07,48.15,48.53,47.21,48.0,555
2019-05-08,48.05,48.05,47.31,47.78,615
2019-05-09,47.33,48.52,47.33,48.12,397
2019-05-10,48.16,48.3,47.1,48.18,326
2019-05-13,47.47,47.47,46.35,46.78,465
2019-05-14,46.88,48.0,46.37,46.78,1143
2019-05-15,46.37,47.32,46.37,46.98,1331
2019-05-16,47.42,47.42,46.39,46.65,829
2019-05-17,46.3,46.88,45.2,45.56,709
2019-05-20,43.22,44.86,43.07,44.35,1064
2019-05-21,44.49,45.47,43.87,45.26,708
2019-05-22,45.18,45.18,42.94,43.53,1098
2019-05-23,43.09,43.69,41.89,43.28,1671
2019-05-24,43.65,43.65,42.67,43.19,572
2019-05-28,43.22,43.47,42.85,42.88,467
2019-05-29,42.42,42.86,41.89,42.3,594
2019-05-30,42.33,42.95,42.24,42.63,447
2019-05-31,42.1,42.38,41.86,42.08,504
2019-06-03,42.28,43.7,42.28,43.57,982
2019-06-04,43.94,44.57,43.77,44.39,681
2019-06-05,44.39,44.4,43.57,44.0,336
2019-06-06,44.27,44.41,43.0,43.45,312
2019-06-07,43.86,44.1,43.12,43.91,262
2019-06-10,43.96,44.59,43.75,43.87,362
2019-06-11,44.2,44.89,43.64,43.84,289
2019-06-12,43.72,43.85,43.24,43.46,451
2019-06-13,43.7,44.15,43.42,43.98,644
2019-06-14,44.05,44.11,43.53,43.57,390
2019-06-17,43.66,43.72,43.15,43.33,352
2019-06-18,43.72,44.57,43.34,43.63,590
2019-06-19,43.58,44.25,43.3,43.79,526
2019-06-20,44.37,44.41,43.71,43.91,633
2019-06-21,43.89,44.48,43.5,44.04,1181
2019-06-24,44.19,44.28,43.39,43.43,395
2019-06-25,43.56,44.01,43.08,43.09,686
2019-06-26,43.16,44.1,43.05,43.91,661
2019-06-27,44.11,45.21,43.77,45.2,1029
2019-06-28,45.2,46.07,45.03,46.02,1047
2019-07-01,46.46,46.89,45.56,46.01,682
2019-07-02,46.05,46.4,45.18,45.73,501
2019-07-03,45.78,46.02,45.25,45.42,478
2019-07-05,45.4,46.17,44.55,46.1,913
2019-07-08,48.57,50.36,47.49,48.86,4382
2019-07-09,48.73,48.76,47.01,47.08,1311
2019-07-10,47.31,47.79,46.54,46.73,1200
2019-07-11,46.66,47.07,45.16,45.35,892
2019-07-12,45.36,46.27,45.23,46.17,972
2019-07-15,46.24,46.28,45.8,46.21,568
2019-07-16,46.05,46.49,46.05,46.3,864
2019-07-17,46.28,46.51,45.65,45.78,685
2019-07-18,45.61,46.0,45.31,45.48,768
2019-07-19,45.21,45.83,44.95,45.24,953
2019-07-22,45.23,45.53,43.78,44.14,626
2019-07-23,44.44,45.19,44.09,45.04,644
2019-07-24,44.74,46.06,44.74,45.97,727
2019-07-25,45.91,46.69,45.74,46.54,940
2019-07-26,46.77,46.98,46.15,46.96,635
2019-07-29,47.02,47.32,46.16,46.46,678
2019-07-30,46.23,47.26,46.0,46.98,678
2019-07-31,46.76,47.53,46.39,46.58,663
2019-08-01,46.53,47.52,45.32,45.62,627
2019-08-02,45.31,45.32,43.98,44.34,420
2019-08-05,43.45,43.52,42.33,43.02,809
2019-08-06,42.99,43.25,42.55,43.14,691
2019-08-07,42.73,43.35,42.17,43.27,529
2019-08-08,43.58,44.65,43.56,44.01,436
2019-08-09,43.88,43.88,42.68,43.07,262
2019-08-12,42.9,42.9,41.84,41.89,502
2019-08-13,41.87,43.43,41.87,42.74,369
2019-08-14,42.06,42.07,40.71,40.94,612
2019-08-15,41.2,41.26,40.39,40.64,436
2019-08-16,40.72,41.38,40.72,41.23,353
2019-08-19,41.64,42.33,41.38,42.1,520
2019-08-20,42.05,42.19,41.35,41.5,354
2019-08-21,41.88,42.27,41.68,42.03,503
2019-08-22,42.0,42.9,41.64,41.68,727
2019-08-23,41.69,41.77,39.93,40.1,658
2019-08-26,40.54,41.11,40.03,40.3,623
2019-08-27,40.61,40.69,39.52,39.55,578
2019-08-28,39.52,40.55,39.25,40.17,1311
2019-08-29,40.62,41.34,40.62,41.29,1012
2019-08-30,41.62,41.83,41.16,41.27,446
2019-09-03,41.0,41.03,40.0,40.34,426
2019-09-04,40.81,41.2,40.31,40.48,461
2019-09-05,40.96,41.95,40.96,41.28,882
2019-09-06,41.35,41.63,40.66,40.75,401
2019-09-09,40.8,42.35,40.77,42.31,773
2019-09-10,42.35,43.42,41.99,43.32,1295
2019-09-11,43.44,44.06,42.95,43.92,464
2019-09-12,44.15,44.46,43.25,44.05,437
2019-09-13,44.31,44.7,43.88,44.26,497
2019-09-16,44.02,44.89,44.02,44.55,889
2019-09-17,44.45,44.94,43.26,44.13,418
2019-09-18,44.17,44.17,43.38,43.86,410
2019-09-19,43.99,44.41,43.26,43.34,326
2019-09-20,43.38,43.75,42.82,42.97,785
2019-09-23,42.47,43.23,42.26,42.88,892
2019-09-24,43.01,43.19,41.98,42.47,598
2019-09-25,42.32,43.64,42.32,43.36,1366
2019-09-26,43.69,43.77,43.09,43.27,653
2019-09-27,43.62,43.98,42.67,42.84,978
2019-09-30,43.13,44.21,42.94,43.56,945
2019-10-01,43.81,44.32,42.49,42.73,734
2019-10-02,42.3,42.75,41.72,42.15,740
2019-10-03,42.17,42.41,41.64,42.33,648
2019-10-04,42.24,42.92,42.13,42.8,1053
2019-10-07,42.72,43.29,42.26,43.01,1353
2019-10-08,40.0,41.0,35.81,37.12,5628
2019-10-09,37.53,38.78,37.34,38.02,2400
2019-10-10,38.32,38.94,38.19,38.55,2411
2019-10-11,39.18,40.21,38.84,38.9,1814
2019-10-14,38.75,39.0,38.05,38.32,1218
2019-10-15,38.55,39.52,38.22,38.87,927
2019-10-16,38.69,39.26,38.42,38.74,719
2019-10-17,39.0,39.34,38.58,39.07,877
2019-10-18,38.82,39.04,38.49,38.88,618
2019-10-21,39.33,39.84,39.2,39.45,730
2019-10-22,39.38,39.89,39.04,39.36,721
