date,open,high,low,close,volume
2018-12-10,52.51,52.87,51.43,52.06,346
2018-12-11,52.24,52.86,51.53,51.82,322
2018-12-12,52.2,53.46,52.1,52.98,187
2018-12-13,52.99,52.99,52.06,52.39,343
2018-12-14,52.03,52.72,51.21,51.75,459
2018-12-17,51.66,52.61,51.2,51.8,491
2018-12-18,52.33,52.39,51.3,51.68,341
2018-12-19,51.72,52.19,49.8,49.94,475
2018-12-20,49.93,51.08,49.33,50.92,366
2018-12-21,50.89,51.46,50.12,50.5,666
2018-12-24,50.35,50.35,48.69,48.69,172
2018-12-26,48.89,50.47,48.07,50.41,266
2018-12-27,49.88,50.36,48.3,49.93,423
2018-12-28,49.82,51.78,49.47,49.97,220
2018-12-31,50.03,50.03,49.17,49.9,247
2019-01-02,49.28,50.89,49.19,50.68,261
2019-01-03,50.52,51.31,50.31,50.81,307
2019-01-04,51.4,52.43,50.0,52.28,216
2019-01-07,52.17,53.84,51.94,52.09,222
2019-01-08,52.37,52.64,51.68,52.29,208
2019-01-09,52.8,52.83,51.85,52.13,228
2019-01-10,51.86,52.41,51.59,52.11,191
2019-01-11,51.9,52.74,51.54,51.68,249
2019-01-14,51.38,52.12,51.38,51.47,163
2019-01-15,51.39,52.16,51.22,51.8,158
2019-01-16,52.03,52.76,51.86,52.64,361
2019-01-17,52.33,53.87,51.63,53.25,212
2019-01-18,53.32,55.03,53.25,54.21,367
2019-01-22,54.25,54.73,52.82,53.49,310
2019-01-23,53.99,53.99,52.67,53.3,245
2019-01-24,53.5,54.47,53.46,53.52,262
2019-01-25,53.92,54.24,53.27,53.57,175
2019-01-28,53.53,53.82,53.19,53.65,317
2019-01-29,53.9,54.13,53.69,53.75,201
2019-01-30,54.09,54.09,53.24,53.61,200
2019-01-31,53.45,54.3,53.06,53.68,490
2019-02-01,54.09,54.65,53.99,54.62,291
2019-02-04,54.61,55.38,54.51,55.23,340
2019-02-05,55.36,55.8,54.57,55.12,173
2019-02-06,54.9,55.23,54.72,55.01,425
2019-02-07,55.23,55.98,55.04,55.46,88
2019-02-08,55.35,56.1,54.97,55.05,117
2019-02-11,55.11,55.37,53.53,55.36,110
2019-02-12,55.61,55.96,54.85,55.42,140
2019-02-13,55.43,55.97,55.34,55.86,158
2019-02-14,55.55,56.12,55.55,55.57,130
2019-02-15,55.84,56.98,55.84,56.8,110
2019-02-19,56.68,57.21,56.53,56.81,375
2019-02-20,56.91,57.56,56.83,57.45,131
2019-02-21,57.44,57.55,56.6,57.18,69
2019-02-22,57.19,57.34,56.68,57.02,380
2019-02-25,57.34,57.79,56.84,56.94,332
