date,open,high,low,close,volume
2018-12-10,25.07,25.22,24.46,24.58,3116
2018-12-11,24.93,25.06,24.08,24.09,4372
2018-12-12,24.44,24.86,23.97,23.99,4657
2018-12-13,23.94,24.55,23.63,23.71,2852
2018-12-14,23.46,24.22,23.2,23.3,1873
2018-12-17,23.19,23.82,22.61,23.18,2304
2018-12-18,23.4,24.22,23.33,23.73,3556
2018-12-19,23.75,24.48,23.65,23.69,2406
2018-12-20,23.69,23.73,22.78,22.96,1783
2018-12-21,22.96,23.21,22.27,22.83,4380
2018-12-24,22.68,22.89,22.03,22.11,1415
2018-12-26,22.2,23.21,21.99,23.15,3210
2018-12-27,22.8,23.76,22.8,23.75,1966
2018-12-28,23.7,24.0,23.05,23.47,1942
2018-12-31,23.64,23.85,23.1,23.85,1515
2019-01-02,23.47,23.8,22.87,23.39,4593
2019-01-03,23.21,23.94,22.79,23.5,2611
2019-01-04,23.89,24.77,23.89,24.63,1955
2019-01-07,24.65,25.03,24.3,24.83,1789
2019-01-08,25.04,25.42,24.78,25.36,1992
2019-01-09,25.37,25.64,24.82,25.62,3511
2019-01-10,25.56,26.08,25.23,25.46,3115
2019-01-11,25.31,25.62,24.75,25.43,1897
2019-01-14,25.25,25.72,25.16,25.31,1806
2019-01-15,25.32,25.47,24.66,24.94,1450
2019-01-16,24.95,25.59,24.92,25.44,1370
2019-01-17,25.33,26.3,25.33,26.05,3003
2019-01-18,26.16,26.67,26.02,26.17,2276
2019-01-22,25.92,25.93,24.9,25.29,2857
2019-01-23,25.38,25.88,24.72,25.08,1860
2019-01-24,24.99,25.77,24.99,25.62,1253
2019-01-25,25.9,26.69,25.9,26.05,2108
2019-01-28,25.73,26.39,25.54,26.09,1930
2019-01-29,26.01,26.34,25.7,26.16,1597
2019-01-30,26.34,27.25,26.17,26.88,3200
2019-01-31,26.65,27.48,26.5,27.47,2285
2019-02-01,28.2,28.25,27.24,27.71,1931
2019-02-04,27.85,27.99,27.11,27.62,1624
2019-02-05,27.62,27.89,27.09,27.5,1299
2019-02-06,27.48,27.69,27.36,27.58,1096
2019-02-07,27.57,27.83,26.91,27.43,2107
2019-02-08,27.25,27.63,27.18,27.31,1820
2019-02-11,27.39,27.96,27.21,27.94,1504
2019-02-12,28.0,28.59,28.0,28.38,1312
2019-02-13,28.56,29.4,28.56,29.05,2619
2019-02-14,28.91,29.37,28.68,28.76,2514
2019-02-15,28.94,29.45,28.8,29.17,1825
2019-02-19,29.1,29.43,28.72,29.22,2117
2019-02-20,29.32,29.87,28.92,29.48,2456
2019-02-21,29.52,29.61,28.95,29.14,1501
2019-02-22,29.12,29.63,29.01,29.48,2617
2019-02-25,29.61,29.73,28.81,28.9,4728
2019-02-26,28.25,29.85,27.49,28.16,5820
2019-02-27,28.95,30.65,28.73,29.54,3930
2019-02-28,29.48,29.95,27.79,27.89,3610
2019-03-01,28.16,28.34,27.43,27.99,2553
2019-03-04,28.05,28.39,27.63,27.93,1741
2019-03-05,27.96,28.1,27.67,27.8,1338
2019-03-06,27.86,28.02,27.19,27.21,1939
2019-03-07,27.13,27.2,26.58,26.67,2137
2019-03-08,26.51,27.11,26.27,26.98,2148
2019-03-11,27.07,27.84,27.05,27.77,2332
2019-03-12,27.77,27.87,27.45,27.62,1425
2019-03-13,27.7,27.9,27.53,27.59,1644
2019-03-14,27.6,27.68,27.05,27.13,1400
2019-03-15,27.24,27.63,27.13,27.29,2487
2019-03-18,27.27,27.66,27.19,27.49,1156
2019-03-19,27.79,28.06,27.29,27.41,1899
2019-03-20,27.39,27.45,26.74,27.09,1579
2019-03-21,26.9,27.65,26.9,27.1,2999
2019-03-22,27.0,27.15,25.84,25.87,2980
2019-03-25,26.0,26.31,25.63,25.82,2585
2019-03-26,26.04,26.24,25.8,25.8,2904
2019-03-27,25.79,26.27,25.52,26.11,1545
2019-03-28,26.27,27.07,26.27,27.04,1388
2019-03-29,27.0,27.43,26.73,26.76,1199
2019-04-01,27.02,27.14,26.48,26.75,1969
2019-04-02,26.76,26.85,26.36,26.76,1209
2019-04-03,26.98,27.1,26.55,26.68,1265
2019-04-04,26.67,27.47,26.67,27.37,1234
2019-04-05,27.66,28.2,27.59,27.75,1501
2019-04-08,27.63,28.12,27.47,28.12,2055
2019-04-09,27.94,27.94,27.12,27.17,1249
2019-04-10,26.95,27.27,26.53,27.08,2435
2019-04-11,27.06,27.52,26.99,27.12,1685
2019-04-12,27.32,27.41,26.98,27.25,1110
2019-04-15,27.25,27.69,27.08,27.61,1698
2019-04-16,27.59,27.83,27.16,27.59,1532
2019-04-17,27.7,27.82,27.2,27.41,1587
2019-04-18,27.23,27.45,27.05,27.27,1322
2019-04-22,27.2,27.27,26.25,26.29,1454
2019-04-23,26.28,26.98,26.0,26.64,1016
2019-04-24,26.67,26.97,26.43,26.65,1150
2019-04-25,26.61,27.01,26.04,26.68,1464
2019-04-26,26.8,27.61,26.59,27.58,1510
2019-04-29,27.62,27.87,27.32,27.76,1100
2019-04-30,27.87,28.12,27.49,27.69,1031
2019-05-01,27.76,28.15,27.66,27.72,1132
2019-05-02,27.7,28.1,27.31,27.98,1234
2019-05-03,28.21,29.07,28.07,29.02,2106
2019-05-06,28.55,29.39,28.54,29.22,1712
2019-05-07,27.76,29.5,25.95,26.52,4948
2019-05-08,26.29,27.39,26.21,26.76,2490
2019-05-09,26.49,27.21,26.15,27.0,2396
2019-05-10,26.8,27.09,26.38,27.02,1852
2019-05-13,26.29,26.32,25.46,26.07,2083
2019-05-14,26.08,26.57,26.02,26.49,1455
2019-05-15,26.12,26.84,26.08,26.57,1882
2019-05-16,26.7,26.78,26.06,26.22,1242
2019-05-17,25.96,26.11,25.58,25.69,1265
2019-05-20,25.45,25.45,24.47,24.83,1527
2019-05-21,25.04,25.44,24.81,25.15,1653
2019-05-22,25.03,25.03,24.29,24.4,924
2019-05-23,24.05,24.11,23.38,23.67,1328
2019-05-24,23.87,23.88,23.39,23.57,841
2019-05-28,23.64,23.74,23.09,23.11,905
2019-05-29,22.89,23.19,22.75,23.02,903
2019-05-30,23.04,23.24,22.57,22.85,1014
2019-05-31,22.4,22.67,22.1,22.2,1537
2019-06-03,22.37,23.17,22.35,23.08,1917
2019-06-04,23.32,23.97,23.21,23.95,1932
2019-06-05,23.98,24.13,23.52,23.8,1469
2019-06-06,23.76,24.04,23.32,23.54,872
2019-06-07,23.65,23.95,23.43,23.76,661
2019-06-10,23.92,24.36,23.8,23.88,822
2019-06-11,24.11,24.56,23.88,24.19,1070
2019-06-12,24.09,24.78,24.09,24.75,818
2019-06-13,24.91,25.2,24.66,25.18,1004
2019-06-14,25.31,25.92,25.2,25.43,1631
2019-06-17,25.44,25.44,24.81,25.32,1095
2019-06-18,25.33,26.04,25.3,25.36,1382
2019-06-19,25.35,25.5,24.76,24.99,1496
2019-06-20,25.37,25.48,25.15,25.41,1434
2019-06-21,25.26,25.46,24.45,24.6,1699
2019-06-24,25.5,25.74,24.69,24.79,2622
2019-06-25,24.84,25.69,24.62,25.55,3132
2019-06-26,25.63,25.94,25.08,25.74,1884
2019-06-27,25.71,27.21,25.71,27.15,3167
2019-06-28,27.27,28.26,27.17,28.11,4509
2019-07-01,28.43,29.0,28.25,28.65,3894
2019-07-02,28.64,28.64,28.24,28.46,2086
2019-07-03,28.51,28.57,28.1,28.23,1160
2019-07-05,28.0,28.39,27.87,28.34,1001
2019-07-08,28.18,28.37,27.94,28.04,1276
2019-07-09,27.85,28.0,27.25,27.76,2023
2019-07-10,27.9,28.2,27.26,27.31,1941
2019-07-11,27.3,27.3,26.86,27.06,1322
2019-07-12,25.47,26.39,24.32,26.14,8166
2019-07-15,26.17,26.21,25.64,26.15,1911
2019-07-16,25.9,26.56,25.8,26.25,1538
2019-07-17,26.19,26.19,25.23,25.75,1652
2019-07-18,25.71,26.01,25.33,25.87,1039
2019-07-19,25.84,26.4,25.84,26.11,734
2019-07-22,26.22,26.38,25.65,25.76,1139
2019-07-23,25.85,26.36,25.85,25.94,2356
2019-07-24,25.73,26.77,25.68,26.7,935
2019-07-25,26.59,26.96,26.44,26.48,1181
2019-07-26,26.55,27.19,26.37,27.08,1123
2019-07-29,27.03,27.15,26.37,26.65,1154
2019-07-30,26.35,27.55,26.3,27.48,1234
2019-07-31,27.53,27.85,26.99,27.0,2357
2019-08-01,27.05,27.74,26.66,27.05,1976
2019-08-02,26.82,27.27,26.44,27.27,1181
2019-08-05,28.74,29.86,28.04,28.88,6065
2019-08-06,29.44,31.09,29.23,30.51,3296
2019-08-07,30.28,30.3,29.23,29.57,2296
2019-08-08,29.75,30.58,29.64,30.41,2258
2019-08-09,30.17,30.45,29.48,29.75,1885
2019-08-12,29.56,29.56,28.48,28.48,1492
2019-08-13,28.63,29.56,28.48,29.2,1286
2019-08-14,28.63,29.01,28.35,28.86,1210
2019-08-15,28.99,29.14,28.61,28.87,986
2019-08-16,29.07,30.36,28.98,30.22,2513
2019-08-19,30.57,30.98,30.46,30.58,1751
2019-08-20,30.81,30.89,30.51,30.76,1189
2019-08-21,31.01,31.19,30.51,30.73,1713
2019-08-22,30.83,31.1,30.45,30.75,913
2019-08-23,30.57,30.76,29.66,29.77,1337
2019-08-26,30.1,30.24,29.64,30.04,671
2019-08-27,30.18,30.49,29.33,29.46,1080
2019-08-28,29.45,30.77,29.11,30.63,1193
2019-08-29,31.1,31.5,30.7,30.99,1465
2019-08-30,30.99,31.48,30.89,31.4,1623
2019-09-03,31.09,31.36,29.5,30.0,2206
2019-09-04,30.24,30.41,30.05,30.14,798
2019-09-05,30.47,31.09,30.23,30.25,1411
2019-09-06,30.25,30.32,29.87,30.07,1018
2019-09-09,30.18,31.16,30.09,30.96,719
2019-09-10,31.04,31.8,30.6,31.77,1675
2019-09-11,31.85,32.31,31.21,32.0,1261
2019-09-12,31.81,31.82,31.07,31.31,1459
2019-09-13,31.57,32.26,31.55,31.66,1604
2019-09-16,31.43,31.54,30.59,30.69,1423
2019-09-17,30.69,31.12,30.12,30.97,1065
2019-09-18,30.93,31.13,30.21,30.92,2544
2019-09-19,30.73,31.81,30.73,31.36,1063
2019-09-20,31.52,31.9,31.19,31.48,1784
2019-09-23,31.35,32.49,31.35,32.15,1494
2019-09-24,32.26,32.48,31.74,31.89,1141
2019-09-25,31.83,33.2,31.8,32.86,2692
2019-09-26,32.78,32.78,32.2,32.59,1783
2019-09-27,32.7,32.88,32.37,32.57,1385
2019-09-30,32.63,32.82,32.34,32.59,1599
2019-10-01,32.76,32.99,31.22,31.28,1254
2019-10-02,30.87,31.02,30.1,31.01,3023
2019-10-03,31.08,31.61,30.64,31.6,1298
2019-10-04,31.2,32.02,31.16,31.96,1098
2019-10-07,31.89,32.1,31.47,31.52,608
2019-10-08,30.99,31.4,30.78,31.1,660
2019-10-09,31.5,31.5,30.99,31.06,466
2019-10-10,31.39,31.88,31.37,31.41,937
2019-10-11,31.96,32.45,31.79,31.8,1712
2019-10-14,31.8,31.97,31.59,31.7,2339
2019-10-15,31.82,32.14,31.51,31.74,1363
2019-10-16,31.51,32.44,31.51,32.35,785
2019-10-17,32.5,34.22,32.5,34.21,4130
2019-10-18,34.02,35.29,34.0,34.73,4394
2019-10-21,35.34,35.62,34.89,35.35,2364
2019-10-22,35.39,36.16,35.23,35.88,1542
2019-10-23,35.85,36.49,35.66,35.87,1653
2019-10-24,35.86,35.97,35.43,35.72,1144
2019-10-25,35.72,36.35,35.66,35.89,1378
2019-10-28,35.99,36.37,35.83,35.88,2165
2019-10-29,35.58,36.05,35.3,35.4,1909
2019-10-30,35.4,35.53,34.8,35.13,1004
2019-10-31,35.22,35.83,35.08,35.77,4671
2019-11-01,36.01,36.83,35.81,36.8,3618
2019-11-04,36.98,37.72,36.73,37.48,3330
2019-11-05,37.52,37.95,36.84,37.07,1954
2019-11-06,37.0,37.47,36.85,37.33,1848
2019-11-07,38.8,39.65,37.52,39.19,4619
2019-11-08,38.45,38.97,37.45,38.18,3237
2019-11-11,37.41,38.43,37.18,38.17,3538
2019-11-12,38.46,39.36,38.22,39.14,2291
2019-11-13,38.74,39.26,38.01,39.0,1891
2019-11-14,38.72,39.5,38.31,38.56,2760
2019-11-15,38.85,38.85,37.43,37.56,2631
2019-11-18,37.44,37.87,37.39,37.73,2003
2019-11-19,37.76,38.77,37.76,37.99,2711
2019-11-20,37.99,38.59,37.7,38.35,2070
2019-11-21,38.56,38.87,38.13,38.13,1867
2019-11-22,38.53,39.26,38.3,38.97,1673
2019-11-25,38.92,39.84,38.89,39.72,1695
2019-11-26,39.45,39.98,39.43,39.72,1686
2019-11-27,39.78,40.13,39.56,39.85,1976
2019-11-29,38.73,38.75,37.39,37.92,1373
2019-12-02,37.96,38.3,37.66,37.92,2018
2019-12-03,37.69,38.13,37.38,37.83,1440
2019-12-04,37.96,38.3,37.74,38.22,1158
2019-12-05,38.31,38.45,37.99,38.3,1179
2019-12-06,38.75,39.01,38.23,38.31,1441
2019-12-09,38.25,38.4,38.08,38.25,939
2019-12-10,38.19,38.4,37.73,37.98,1204
2019-12-11,37.91,37.98,37.42,37.47,1397
2019-12-12,37.53,38.08,37.28,37.81,1671
2019-12-13,37.93,38.05,36.71,36.88,2494
2019-12-16,37.16,37.41,36.49,36.67,2102
2019-12-17,36.65,37.57,36.6,37.22,3400
2019-12-18,37.44,37.78,36.84,37.03,1152
2019-12-19,37.06,37.28,36.68,37.09,1305
2019-12-20,37.13,37.58,36.81,37.27,1651
2019-12-23,37.27,37.75,37.06,37.55,1141
2019-12-24,37.74,37.87,37.37,37.7,228
2019-12-26,37.56,37.87,37.32,37.32,631
2019-12-27,37.32,37.53,37.03,37.39,1216
2019-12-30,37.28,37.61,36.95,37.1,903
2019-12-31,36.82,37.38,36.49,36.53,1507
2020-01-02,36.53,36.88,35.73,36.01,1242
2020-01-03,35.61,36.16,35.33,35.96,1081
2020-01-06,35.91,36.2,35.66,35.84,892
2020-01-07,35.81,36.14,35.42,35.47,2209
2020-01-08,35.69,36.63,35.63,36.37,3390
2020-01-09,36.67,38.06,36.58,37.87,2100
2020-01-10,37.73,37.82,37.0,37.38,1581
2020-01-13,37.3,37.88,37.19,37.57,1580
2020-01-14,37.6,38.14,37.24,37.79,2377
2020-01-15,37.53,38.5,37.53,38.5,1331
2020-01-16,38.47,39.51,38.37,38.52,1562
2020-01-17,38.7,39.12,38.43,38.54,1225
2020-01-21,38.29,38.41,37.07,37.24,1580
2020-01-22,37.37,38.16,37.12,37.77,980
2020-01-23,37.67,38.38,37.27,38.24,1047
2020-01-24,38.29,38.37,36.93,37.29,1816
2020-01-27,36.57,37.47,36.33,37.05,847
2020-01-28,37.29,37.41,36.9,37.3,764
2020-01-29,37.39,37.91,36.82,36.85,938
2020-01-30,36.7,36.93,36.04,36.72,648
2020-01-31,36.42,36.57,35.34,36.2,1391
2020-02-03,36.22,37.13,36.22,37.02,1222
2020-02-04,37.4,37.55,36.66,36.81,885
2020-02-05,37.05,38.27,37.05,38.22,965
2020-02-06,38.3,38.6,37.89,38.17,798
2020-02-07,37.99,38.16,36.91,37.43,878
2020-02-10,37.12,37.79,36.88,37.48,526
2020-02-11,37.65,38.83,37.65,38.77,1257
2020-02-12,38.87,39.24,38.39,38.62,1012
2020-02-13,38.68,38.81,38.25,38.63,1254
2020-02-14,38.71,39.06,38.1,39.04,1450
2020-02-18,39.08,39.42,38.44,38.73,2099
2020-02-19,38.85,39.04,38.49,38.87,814
2020-02-20,38.61,40.75,38.61,40.67,1722
2020-02-21,40.5,41.14,39.81,40.95,1482
2020-02-24,39.48,40.42,38.41,40.21,2593
2020-02-25,41.09,41.09,36.53,36.86,3375
2020-02-26,37.92,38.34,36.55,36.76,2339
2020-02-27,36.16,37.54,35.64,35.94,1860
2020-02-28,34.8,35.56,34.22,35.48,3404
2020-03-02,35.68,37.04,34.87,36.45,2236
2020-03-03,36.61,37.22,35.34,35.95,1903
2020-03-04,36.6,37.62,35.88,37.6,1406
2020-03-05,36.58,37.05,35.35,36.17,1995
2020-03-06,34.76,35.55,33.87,34.93,2198
2020-03-09,32.39,32.39,30.05,30.25,1353
2020-03-10,31.3,31.62,29.55,30.55,3900
2020-03-11,29.63,29.72,28.5,29.19,2031
2020-03-12,27.67,27.67,24.29,24.38,2851
2020-03-13,25.77,26.98,24.85,26.96,3112
2020-03-16,24.85,25.26,23.47,24.16,3027
2020-03-17,24.62,25.89,23.0,25.84,2460
2020-03-18,24.19,24.54,21.11,21.63,2661
2020-03-19,21.73,23.35,20.75,22.97,2928
2020-03-20,23.2,23.72,20.6,20.65,4218
2020-03-23,20.55,22.52,20.08,21.19,2910
2020-03-24,22.33,23.84,22.04,23.6,2643
2020-03-25,23.67,24.48,21.26,23.07,4015
2020-03-26,23.24,24.84,23.01,24.14,2717
