date,open,high,low,close,volume
2018-12-10,15.84,17.34,15.71,17.17,3763
2018-12-11,17.21,17.28,15.54,15.65,3397
2018-12-12,15.64,16.01,15.12,15.44,2145
2018-12-13,15.24,15.3,14.08,14.4,4306
2018-12-14,14.29,14.62,13.85,14.12,3181
2018-12-17,14.1,14.16,12.75,12.75,5079
2018-12-18,12.95,13.05,11.75,12.0,5174
2018-12-19,11.67,12.84,10.8,11.15,4482
2018-12-20,11.27,11.55,10.1,10.22,3489
2018-12-21,10.33,10.59,9.42,10.08,6223
2018-12-24,10.04,10.19,9.61,9.9,2163
2018-12-26,10.04,10.95,9.42,10.78,5665
2018-12-27,10.95,11.02,10.18,10.96,3368
2018-12-28,11.14,11.73,10.53,10.83,4106
2018-12-31,10.9,11.04,9.75,9.98,5659
2019-01-02,9.91,10.69,9.75,10.12,5652
2019-01-03,10.15,10.78,9.87,10.47,3532
2019-01-04,10.8,12.74,10.6,11.83,6277
2019-01-07,11.85,13.24,11.85,12.41,3619
2019-01-08,13.0,13.25,12.47,12.73,3027
2019-01-09,12.8,13.63,12.01,12.14,6016
2019-01-10,12.09,12.38,11.66,12.02,2576
2019-01-11,11.84,12.69,11.81,12.24,1784
2019-01-14,12.48,12.56,11.94,12.15,1534
2019-01-15,12.13,13.4,12.05,12.59,3969
2019-01-16,13.22,13.35,12.65,12.82,2270
2019-01-17,12.86,13.48,12.6,13.11,3871
2019-01-18,13.19,13.42,12.58,12.67,4456
2019-01-22,12.38,12.42,11.4,12.02,6617
2019-01-23,11.89,12.08,11.82,12.0,2140
2019-01-24,12.13,12.16,11.4,11.58,6251
2019-01-25,11.71,11.99,11.29,11.53,5259
2019-01-28,11.19,11.49,10.61,10.7,8615
2019-01-29,10.5,10.55,9.75,9.88,11855
2019-01-30,9.89,9.93,9.12,9.21,11703
2019-01-31,9.09,9.53,8.88,9.45,14149
2019-02-01,9.54,10.88,9.4,10.23,15879
2019-02-04,10.3,11.27,10.3,10.76,11495
2019-02-05,10.9,10.94,10.02,10.69,12847
2019-02-06,11.01,11.94,10.01,10.16,35656
2019-02-07,10.28,10.57,10.0,10.35,11760
2019-02-08,10.45,10.45,9.81,10.06,8042
2019-02-11,10.09,10.3,9.32,9.41,7286
2019-02-12,9.49,9.75,9.33,9.6,7898
2019-02-13,10.15,11.1,9.87,11.0,22848
2019-02-14,10.95,12.17,10.64,11.69,26518
2019-02-15,11.69,11.69,10.93,11.31,14212
2019-02-19,11.2,11.43,10.69,11.13,10193
2019-02-20,11.16,12.61,10.81,12.36,11101
2019-02-21,12.35,13.31,12.25,12.92,21009
2019-02-22,13.01,14.32,13.01,14.02,18957
2019-02-25,14.38,15.0,13.98,13.98,14035
2019-02-26,13.9,14.83,13.6,14.7,9915
2019-02-27,14.65,14.66,13.7,13.8,9177
2019-02-28,13.66,14.51,13.6,14.47,6532
2019-03-01,14.54,16.48,14.47,16.3,17102
2019-03-04,16.51,16.63,14.6,15.13,11894
2019-03-05,15.01,15.57,15.01,15.26,5592
2019-03-06,15.13,15.21,14.02,14.12,9243
2019-03-07,14.22,14.59,13.32,14.28,7013
2019-03-08,13.86,14.09,13.05,13.5,5544
2019-03-11,13.34,15.36,13.21,14.3,13877
2019-03-12,14.24,14.83,13.75,13.87,10152
2019-03-13,13.93,14.2,13.15,13.27,12051
2019-03-14,13.25,13.26,12.52,12.53,9674
2019-03-15,12.55,13.07,12.53,12.9,11971
2019-03-18,13.1,13.41,12.62,12.92,10600
2019-03-19,12.95,13.57,12.81,12.93,10719
2019-03-20,12.9,13.12,12.65,12.66,6568
2019-03-21,12.68,13.95,12.38,12.55,24142
2019-03-22,12.55,12.62,11.68,11.8,12658
2019-03-25,11.63,11.88,10.94,11.8,11853
2019-03-26,11.9,12.4,11.7,11.99,11313
2019-03-27,12.0,12.5,11.42,12.27,9299
2019-03-28,12.2,12.39,11.71,12.16,8174
2019-03-29,12.2,12.95,12.2,12.92,8512
2019-04-01,13.0,13.1,12.41,12.87,10745
2019-04-02,12.87,13.16,12.63,12.98,10085
2019-04-03,13.12,13.95,12.8,13.3,12868
2019-04-04,13.16,13.23,12.64,12.68,7149
2019-04-05,12.8,12.91,12.36,12.65,10490
2019-04-08,12.54,12.54,11.97,12.38,9505
2019-04-09,12.34,12.58,12.02,12.34,6711
2019-04-10,12.35,12.5,11.87,11.98,6811
2019-04-11,11.95,12.53,11.76,12.51,9856
2019-04-12,12.61,13.15,12.21,12.39,6124
2019-04-15,12.37,12.37,11.85,11.89,7191
2019-04-16,11.9,12.57,11.9,12.44,7254
2019-04-17,12.57,13.1,12.57,12.94,13715
2019-04-18,12.91,13.1,12.36,12.96,6362
2019-04-22,13.03,13.19,12.74,12.98,4740
2019-04-23,13.04,13.16,12.77,12.86,7108
2019-04-24,12.86,13.02,12.66,12.93,3894
2019-04-25,12.91,12.98,12.23,12.34,5070
2019-04-26,12.57,12.59,12.1,12.3,6996
2019-04-29,13.02,13.87,12.81,13.16,35243
2019-04-30,13.36,13.9,13.06,13.62,20843
2019-05-01,13.65,14.6,13.62,14.32,19247
2019-05-02,14.54,14.6,13.66,14.13,11928
2019-05-03,14.21,15.3,14.2,15.26,21783
2019-05-06,14.51,15.45,14.3,14.72,13141
2019-05-07,14.7,15.0,13.29,14.16,25352
2019-05-08,14.19,14.64,13.31,13.34,16870
2019-05-09,13.24,13.91,12.96,13.7,11137
2019-05-10,13.67,13.73,13.18,13.37,7802
2019-05-13,13.05,13.4,12.92,13.2,8782
2019-05-14,13.28,13.96,13.28,13.67,8946
2019-05-15,13.56,13.88,13.32,13.35,7078
2019-05-16,13.37,13.55,12.9,12.99,9904
2019-05-17,12.87,13.01,11.68,11.9,26074
2019-05-20,12.06,12.08,11.64,11.72,9658
2019-05-21,11.82,12.32,11.73,12.28,8485
2019-05-22,12.2,12.39,11.9,12.0,12759
2019-05-23,11.9,12.0,11.31,11.63,7866
2019-05-24,11.7,11.83,11.09,11.17,7637
2019-05-28,11.12,11.44,10.8,11.27,11231
2019-05-29,11.15,11.4,10.9,11.12,6051
2019-05-30,11.12,11.42,10.69,10.86,6910
2019-05-31,10.74,10.99,10.27,10.8,8897
2019-06-03,10.8,11.05,10.62,10.71,6263
2019-06-04,10.92,11.07,10.71,10.8,5746
2019-06-05,10.8,11.08,10.59,10.74,6408
2019-06-06,10.77,10.88,9.92,10.1,10509
2019-06-07,10.17,10.37,9.95,10.22,12718
2019-06-10,10.29,10.81,10.15,10.43,12200
2019-06-11,10.65,11.19,10.44,10.48,9521
2019-06-12,10.48,10.77,10.37,10.5,7624
2019-06-13,10.57,11.71,10.56,11.29,14828
2019-06-14,11.27,11.48,10.78,11.11,11076
2019-06-17,11.19,12.05,11.19,11.79,11697
2019-06-18,11.89,12.17,11.8,12.07,7876
2019-06-19,11.99,12.2,11.72,12.17,7628
2019-06-20,12.57,12.75,11.87,12.44,15269
2019-06-21,12.37,12.68,11.65,11.72,11315
2019-06-24,11.7,11.75,11.2,11.56,7910
2019-06-25,11.52,11.8,11.26,11.53,8555
2019-06-26,11.5,12.15,11.48,11.82,10907
2019-06-27,11.83,12.31,11.49,11.64,9608
2019-06-28,11.71,12.4,11.71,12.27,17231
2019-07-01,12.99,13.07,12.32,12.51,19567
2019-07-02,12.55,12.74,11.95,12.63,24449
2019-07-03,12.66,12.73,12.36,12.41,4879
2019-07-05,12.31,12.97,12.25,12.81,7477
2019-07-08,12.82,12.96,12.34,12.92,6230
2019-07-09,12.82,12.98,12.71,12.96,4477
2019-07-10,13.0,13.19,12.93,13.05,9901
2019-07-11,13.22,13.3,12.7,12.74,9872
2019-07-12,12.9,13.17,12.9,13.06,8748
2019-07-15,13.1,13.18,12.27,12.31,8621
2019-07-16,12.32,12.49,11.7,12.0,11231
2019-07-17,11.98,12.1,11.57,11.6,9466
2019-07-18,11.6,11.8,11.29,11.43,8286
2019-07-19,11.5,11.63,10.99,11.0,6447
2019-07-22,11.0,11.09,10.33,10.66,16138
2019-07-23,10.77,10.8,10.25,10.5,9061
2019-07-24,10.34,10.96,10.3,10.91,10592
2019-07-25,10.88,11.09,10.56,10.63,6267
2019-07-26,10.65,10.88,10.5,10.65,6026
2019-07-29,10.64,10.7,10.25,10.32,6523
2019-07-30,10.23,10.29,9.96,10.16,9652
2019-07-31,10.1,10.53,10.0,10.45,19345
2019-08-01,10.45,10.88,10.2,10.21,10043
2019-08-02,10.15,10.3,9.9,10.24,6890
2019-08-05,10.07,10.18,9.41,9.62,12813
2019-08-06,9.69,9.89,9.21,9.22,8442
2019-08-07,9.18,9.31,8.71,9.14,14348
2019-08-08,9.23,9.27,8.72,8.92,11201
2019-08-09,9.01,9.04,8.43,8.56,11989
2019-08-12,8.53,8.59,7.95,8.0,10839
2019-08-13,5.98,6.11,4.54,4.6,181909
2019-08-14,4.56,5.41,4.41,4.91,69418
2019-08-15,4.92,5.25,4.65,4.95,35273
2019-08-16,5.02,5.15,4.96,5.12,24698
