date,open,high,low,close,volume
2018-12-10,20.25,20.66,19.47,19.82,45
2018-12-11,20.05,20.35,19.03,20.01,47
2018-12-12,20.15,21.06,19.73,19.9,73
2018-12-13,19.85,20.18,19.28,20.1,68
2018-12-14,19.7,19.96,18.9,19.07,113
2018-12-17,19.01,19.39,17.79,18.11,106
2018-12-18,18.3,18.82,18.3,18.42,122
2018-12-19,18.28,18.98,17.25,18.2,467
2018-12-20,17.9,17.95,17.5,17.65,127
2018-12-21,17.72,17.72,16.75,17.26,249
2018-12-24,17.27,18.35,16.94,17.26,59
2018-12-26,17.56,17.56,16.93,17.21,90
2018-12-27,16.88,18.14,16.58,18.14,114
2018-12-28,17.99,18.03,16.59,18.02,131
2018-12-31,18.01,18.9,17.6,18.42,132
2019-01-02,18.46,19.13,17.33,19.03,95
2019-01-03,18.72,18.88,17.91,18.13,30
2019-01-04,18.29,19.03,18.11,18.33,68
2019-01-07,18.32,18.91,17.82,18.18,26
2019-01-08,18.08,18.23,17.48,18.23,16
2019-01-09,18.26,18.44,17.65,18.12,76
2019-01-10,18.71,18.87,18.04,18.8,52
2019-01-11,18.47,18.88,18.19,18.5,18
2019-01-14,18.44,18.74,18.12,18.21,105
2019-01-15,18.22,19.58,18.13,19.17,137
2019-01-16,19.18,19.65,18.86,19.53,190
2019-01-17,19.56,20.51,19.23,19.74,163
2019-01-18,19.92,20.79,19.92,20.38,153
2019-01-22,20.36,20.64,19.89,20.05,262
2019-01-23,20.06,20.53,20.06,20.39,55
2019-01-24,20.54,21.03,19.99,21.01,45
2019-01-25,21.26,22.39,20.62,21.9,132
2019-01-28,21.48,23.18,20.79,21.53,130
2019-01-29,21.81,23.25,21.8,22.62,133
2019-01-30,23.04,23.1,22.29,23.02,113
2019-01-31,22.67,23.33,19.46,23.08,302
2019-02-01,22.89,23.59,22.19,22.69,144
2019-02-04,22.48,22.84,21.11,22.55,46
2019-02-05,22.41,22.68,20.89,22.05,129
2019-02-06,21.82,22.61,21.21,22.48,88
2019-02-07,22.3,23.99,22.01,22.19,54
2019-02-08,21.73,23.0,21.55,22.59,132
2019-02-11,22.14,22.69,21.85,22.65,127
2019-02-12,22.78,24.12,22.69,24.03,161
2019-02-13,24.11,24.23,23.79,23.9,312
2019-02-14,23.94,24.5,23.4,24.0,319
2019-02-15,24.23,24.88,24.23,24.72,171
2019-02-19,24.72,24.92,24.15,24.71,194
2019-02-20,24.6,25.5,24.46,25.13,135
2019-02-21,24.65,25.66,24.65,25.61,86
2019-02-22,25.78,25.8,24.7,24.7,75
2019-02-25,24.69,24.92,23.47,23.48,102
2019-02-26,23.67,24.21,23.21,23.92,97
2019-02-27,23.8,24.88,23.15,24.88,469
2019-02-28,24.84,24.99,23.99,24.45,312
2019-03-01,24.66,25.46,24.11,25.43,197
2019-03-04,25.32,25.45,24.17,24.94,207
2019-03-05,24.56,25.35,24.39,24.97,89
2019-03-06,24.96,25.09,24.36,24.71,123
2019-03-07,24.72,25.45,21.15,24.69,324
2019-03-08,24.22,25.35,24.11,24.57,86
2019-03-11,24.59,26.0,24.27,25.45,158
2019-03-12,25.07,25.7,25.07,25.21,79
2019-03-13,25.23,26.0,25.01,25.65,93
2019-03-14,25.34,25.58,24.98,25.22,83
2019-03-15,25.31,26.76,24.71,26.76,543
2019-03-18,26.62,27.34,26.13,27.04,198
2019-03-19,27.03,27.03,26.29,26.75,70
2019-03-20,26.75,26.98,25.89,26.65,152
2019-03-21,26.23,27.77,25.56,26.95,160
2019-03-22,26.85,26.85,26.01,26.09,107
2019-03-25,26.1,26.15,25.36,25.37,43
2019-03-26,25.45,25.83,25.14,25.49,79
2019-03-27,24.96,26.54,24.96,26.26,97
2019-03-28,26.26,26.99,25.9,26.66,82
2019-03-29,26.61,27.57,25.28,25.28,280
2019-04-01,25.66,26.38,25.21,25.84,144
2019-04-02,25.97,26.65,25.78,26.41,70
2019-04-03,26.53,26.71,26.21,26.4,23
2019-04-04,26.3,26.53,25.8,26.37,28
2019-04-05,26.07,26.15,24.98,25.51,290
2019-04-08,25.43,26.13,25.1,25.98,138
2019-04-09,25.13,26.1,25.13,25.69,150
2019-04-10,26.53,26.53,25.4,25.9,136
2019-04-11,23.05,25.98,23.05,25.6,43
2019-04-12,25.06,25.6,25.03,25.11,295
2019-04-15,25.11,26.15,24.61,25.98,193
2019-04-16,26.05,26.29,25.83,26.0,21
2019-04-17,26.18,26.2,25.59,25.67,35
2019-04-18,25.62,26.13,25.33,25.72,46
2019-04-22,25.44,26.58,25.05,25.05,24
2019-04-23,24.9,25.22,24.69,24.99,38
2019-04-24,24.74,25.43,24.12,24.77,116
2019-04-25,24.7,24.7,24.21,24.43,107
2019-04-26,24.85,24.9,24.2,24.42,54
2019-04-29,24.21,24.22,23.68,23.99,75
2019-04-30,24.06,24.17,23.53,23.7,67
2019-05-01,23.75,23.92,23.33,23.54,210
2019-05-02,21.97,22.93,21.97,22.05,75
2019-05-03,22.35,23.03,22.35,23.03,90
2019-05-06,22.48,24.03,22.26,23.11,206
2019-05-07,23.12,23.12,21.83,22.18,41
2019-05-08,22.18,22.42,21.82,22.28,222
2019-05-09,22.0,22.51,21.62,21.67,43
2019-05-10,21.65,21.65,21.16,21.18,116
2019-05-13,20.91,21.39,20.4,20.41,60
2019-05-14,20.67,21.12,20.5,20.59,113
2019-05-15,20.28,21.01,20.28,20.8,162
2019-05-16,20.88,20.88,20.25,20.29,58
2019-05-17,20.16,20.76,20.1,20.3,155
2019-05-20,19.96,20.66,19.49,19.7,58
2019-05-21,19.79,20.05,19.39,19.76,89
2019-05-22,19.6,19.61,18.95,19.1,79
2019-05-23,18.9,18.9,17.67,17.8,162
2019-05-24,18.14,19.07,18.0,18.95,528
2019-05-28,18.86,19.02,18.45,18.69,59
2019-05-29,18.49,19.05,17.57,17.72,75
2019-05-30,18.06,18.2,17.45,17.71,107
2019-05-31,17.38,18.79,17.01,17.28,112
2019-06-03,16.98,17.45,16.5,17.11,116
2019-06-04,17.41,19.64,17.27,19.49,407
2019-06-05,19.23,19.98,18.13,18.14,203
2019-06-06,18.17,19.2,17.5,17.6,32
2019-06-07,17.75,18.3,17.49,17.89,99
2019-06-10,18.12,19.18,18.01,18.2,181
2019-06-11,18.05,18.48,17.59,17.95,172
2019-06-12,17.85,18.39,17.31,17.31,54
2019-06-13,17.48,18.64,17.45,18.23,200
