date,open,high,low,close,volume
2018-12-10,115.66,115.66,114.04,114.9,1635
2018-12-11,116.0,116.96,113.31,113.37,1726
2018-12-12,115.27,116.67,114.46,115.36,1440
2018-12-13,115.34,115.87,113.84,114.0,1301
2018-12-14,113.61,114.31,111.74,111.89,1965
2018-12-17,111.66,113.48,109.88,110.12,2499
2018-12-18,110.5,112.09,110.5,111.34,2018
2018-12-19,111.23,112.67,109.54,110.15,2275
2018-12-20,109.45,110.48,108.18,108.95,2169
2018-12-21,109.31,110.16,107.03,107.15,2328
2018-12-24,106.92,107.03,105.15,105.39,975
2018-12-26,106.46,109.33,106.08,109.33,2041
2018-12-27,107.22,111.07,107.22,111.0,1408
2018-12-28,111.42,112.61,109.92,111.39,1088
2018-12-31,111.95,112.27,110.29,111.45,1133
2019-01-02,110.02,110.33,108.1,110.23,2090
2019-01-03,109.62,109.93,107.42,107.49,1367
2019-01-04,108.18,110.11,108.03,110.02,1092
2019-01-07,109.56,111.55,109.56,110.75,1041
2019-01-08,111.36,112.3,110.37,111.07,1908
2019-01-09,111.49,112.43,110.98,111.44,1823
2019-01-10,111.06,111.85,110.83,111.46,1315
2019-01-11,110.86,111.43,110.36,110.57,1487
2019-01-14,110.12,110.73,109.24,110.07,651
2019-01-15,110.13,113.81,109.76,112.56,1529
2019-01-16,112.84,114.15,112.59,113.85,1217
2019-01-17,113.34,114.89,113.34,114.39,1090
2019-01-18,114.77,117.88,114.56,117.06,1673
2019-01-22,116.55,117.28,114.34,114.99,1517
2019-01-23,115.35,115.94,114.3,115.28,1117
2019-01-24,115.14,115.86,114.87,115.2,1480
2019-01-25,115.9,115.9,114.31,114.47,841
2019-01-28,113.47,114.45,113.28,113.87,945
2019-01-29,113.95,114.57,113.27,113.94,1869
2019-01-30,114.38,116.04,113.36,114.08,688
2019-01-31,114.46,116.66,114.16,115.79,1174
2019-02-01,115.5,116.28,114.85,116.11,998
2019-02-04,115.55,116.53,115.2,116.11,822
2019-02-05,116.3,117.12,115.87,116.98,1119
2019-02-06,117.38,117.65,116.62,117.3,1199
2019-02-07,117.0,120.51,116.89,117.83,1594
2019-02-08,117.03,118.12,116.95,117.92,1146
2019-02-11,118.0,118.49,117.18,117.92,1813
2019-02-12,119.08,119.17,117.19,117.47,2718
2019-02-13,120.0,123.61,118.5,120.98,4119
2019-02-14,120.25,120.7,117.92,119.67,2590
2019-02-15,119.7,121.82,119.69,121.14,1269
2019-02-19,121.0,122.06,120.29,121.67,1188
2019-02-20,122.15,122.78,120.91,122.57,2302
2019-02-21,122.7,124.2,121.57,121.95,2279
2019-02-22,122.29,123.65,122.27,123.1,1455
2019-02-25,123.12,123.65,122.06,122.44,904
2019-02-26,122.46,123.0,122.16,122.54,1064
2019-02-27,122.1,123.45,122.02,123.4,1171
2019-02-28,123.2,125.0,123.2,124.0,1330
2019-03-01,124.31,125.02,123.73,124.64,1301
2019-03-04,125.21,125.3,123.95,124.99,1834
2019-03-05,125.53,125.53,124.49,124.92,1558
2019-03-06,125.2,125.31,124.42,124.54,1579
2019-03-07,124.07,124.45,122.84,123.23,1424
2019-03-08,122.13,123.6,121.48,122.57,1658
2019-03-11,123.11,124.6,121.43,124.44,1070
2019-03-12,124.44,125.73,123.45,125.07,1138
2019-03-13,125.21,126.48,125.21,125.85,1490
2019-03-14,125.8,126.17,124.37,125.09,1356
2019-03-15,125.44,126.42,124.68,125.55,537
2019-03-18,125.67,126.32,124.83,125.86,1239
2019-03-19,126.1,127.24,125.84,126.58,1403
2019-03-20,126.42,126.52,123.65,123.95,1461
2019-03-21,123.4,125.62,123.4,125.37,1594
2019-03-22,125.35,125.35,123.67,123.9,1191
2019-03-25,123.62,124.12,122.68,123.15,1253
2019-03-26,124.04,124.57,123.19,124.22,709
2019-03-27,123.82,124.42,123.18,124.14,585
2019-03-28,124.38,126.19,124.38,126.1,976
2019-03-29,126.57,127.32,126.18,127.11,814
2019-04-01,127.16,127.75,124.57,125.75,1791
2019-04-02,125.9,126.53,124.2,126.48,1405
2019-04-03,127.13,128.22,126.5,127.86,862
2019-04-04,127.93,128.0,127.05,127.6,881
2019-04-05,128.35,128.78,127.72,128.43,778
2019-04-08,128.08,128.25,126.67,127.72,887
2019-04-09,127.19,128.59,127.19,127.47,692
2019-04-10,127.76,128.79,127.57,128.26,537
2019-04-11,128.28,128.77,127.68,128.2,588
2019-04-12,128.42,129.24,127.89,128.52,670
2019-04-15,127.84,128.85,127.22,128.06,1243
2019-04-16,128.54,129.32,127.06,127.18,773
2019-04-17,127.45,127.81,125.2,126.15,1266
2019-04-18,126.71,127.37,125.41,125.48,1178
2019-04-22,125.09,125.86,124.89,125.71,1044
2019-04-23,125.75,128.48,125.75,128.07,884
2019-04-24,128.02,128.66,127.05,127.61,902
2019-04-25,127.42,128.28,126.39,127.5,782
2019-04-26,128.08,128.44,127.1,128.15,618
2019-04-29,128.48,128.95,128.02,128.64,1353
2019-04-30,127.69,128.97,127.57,128.15,1885
2019-05-01,130.25,132.41,128.27,129.43,1848
2019-05-02,128.67,130.41,128.02,130.41,1484
2019-05-03,129.77,131.02,129.57,130.29,1156
2019-05-06,128.28,131.09,128.28,130.47,936
2019-05-07,130.17,130.78,129.15,129.96,929
2019-05-08,129.52,130.52,127.94,130.29,1628
2019-05-09,129.69,131.27,128.74,131.05,1185
2019-05-10,131.16,132.79,130.23,132.27,2239
