date,open,high,low,close,volume
2018-12-10,52.7,52.72,51.68,52.44,139
2018-12-11,52.82,53.15,52.56,52.66,124
2018-12-12,53.13,53.42,52.5,52.62,98
2018-12-13,52.64,53.28,52.47,52.83,158
2018-12-14,52.5,53.37,52.5,53.09,202
2018-12-17,53.12,53.12,49.9,50.01,450
2018-12-18,50.32,51.51,49.25,51.31,285
2018-12-19,51.27,51.27,48.98,49.21,287
2018-12-20,49.1,49.51,48.38,48.52,114
2018-12-21,48.57,49.6,47.56,47.74,438
2018-12-24,47.57,48.69,45.49,45.71,175
2018-12-26,46.05,48.46,45.57,48.22,130
2018-12-27,47.67,47.75,46.02,47.5,149
2018-12-28,47.63,48.04,47.0,47.34,146
2018-12-31,47.5,47.53,46.31,47.22,41
2019-01-02,46.66,47.19,45.67,45.89,82
2019-01-03,45.95,47.56,45.95,46.57,104
2019-01-04,46.87,48.23,45.94,48.18,207
2019-01-07,48.09,49.31,47.24,49.19,191
2019-01-08,49.56,50.9,49.39,50.81,243
2019-01-09,50.76,51.42,50.38,51.18,56
2019-01-10,50.87,51.93,50.27,51.05,111
2019-01-11,50.79,51.66,50.48,51.11,154
2019-01-14,51.11,51.23,50.27,50.53,63
2019-01-15,50.65,50.98,49.61,50.42,151
2019-01-16,49.9,51.2,49.9,50.8,111
2019-01-17,50.57,52.97,50.36,52.61,139
2019-01-18,52.68,52.68,51.23,51.38,107
2019-01-22,51.41,51.41,50.56,51.0,68
2019-01-23,51.14,51.83,51.07,51.83,62
2019-01-24,51.83,51.95,50.84,51.78,41
2019-01-25,52.02,52.87,51.66,52.8,91
2019-01-28,52.45,53.52,52.45,52.74,92
2019-01-29,52.84,53.36,52.26,53.33,82
2019-01-30,53.35,53.78,52.94,53.52,45
2019-01-31,53.37,53.45,52.28,52.96,649
2019-02-01,53.04,53.7,51.95,52.68,144
2019-02-04,52.32,54.99,52.32,54.99,284
2019-02-05,55.16,55.69,54.51,55.68,59
2019-02-06,55.59,55.59,54.39,55.08,146
2019-02-07,54.85,57.2,54.85,57.1,204
2019-02-08,56.92,58.09,56.64,57.26,81
2019-02-11,57.42,57.63,56.5,57.46,145
2019-02-12,57.56,57.7,56.56,57.03,82
2019-02-13,56.68,57.52,56.68,57.12,120
2019-02-14,56.91,57.84,56.85,56.85,215
2019-02-15,57.18,58.19,57.18,57.32,259
2019-02-19,57.32,57.83,56.91,57.25,333
2019-02-20,57.2,58.18,57.2,57.58,151
2019-02-21,57.38,57.86,57.27,57.62,53
2019-02-22,57.84,58.33,56.84,58.11,115
2019-02-25,58.37,58.37,56.61,56.66,144
2019-02-26,57.1,57.68,56.45,56.97,88
2019-02-27,57.11,57.26,55.87,56.35,79
2019-02-28,56.05,57.57,56.05,56.67,228
2019-03-01,56.58,57.34,55.68,57.11,350
2019-03-04,57.2,57.2,56.1,57.11,148
2019-03-05,56.77,56.98,55.63,56.02,220
2019-03-06,56.08,56.16,54.26,54.58,107
2019-03-07,54.57,54.93,53.61,53.67,241
2019-03-08,53.84,53.97,52.67,53.01,120
2019-03-11,53.01,53.48,49.55,51.62,1046
2019-03-12,51.73,52.63,49.55,50.35,878
2019-03-13,50.7,51.09,49.71,50.23,672
2019-03-14,50.23,50.74,48.89,49.36,542
2019-03-15,49.46,50.65,48.39,49.74,934
2019-03-18,49.8,50.85,49.8,50.64,235
2019-03-19,50.67,50.87,50.02,50.34,156
2019-03-20,50.44,50.69,49.42,50.14,361
2019-03-21,50.09,52.23,50.09,51.34,209
2019-03-22,51.17,51.69,49.94,50.22,152
2019-03-25,50.47,50.47,49.1,49.37,417
2019-03-26,49.81,49.88,49.25,49.74,870
2019-03-27,49.9,50.75,48.83,50.3,364
2019-03-28,50.5,52.25,50.09,51.8,214
2019-03-29,51.97,52.2,51.18,51.37,441
2019-04-01,51.58,52.13,51.02,52.09,569
2019-04-02,52.16,53.54,51.05,52.95,323
2019-04-03,53.06,53.66,52.67,52.89,97
2019-04-04,52.9,53.47,52.63,53.35,114
2019-04-05,53.17,54.46,53.17,54.04,232
2019-04-08,53.69,53.94,53.19,53.31,87
2019-04-09,53.31,53.56,52.13,52.98,250
2019-04-10,53.14,54.68,53.0,54.07,383
2019-04-11,54.14,54.14,53.47,53.73,155
2019-04-12,53.88,54.23,53.08,53.78,258
2019-04-15,53.42,53.42,52.8,53.0,185
2019-04-16,53.08,53.23,52.26,52.79,231
2019-04-17,52.78,53.23,51.76,52.72,181
2019-04-18,52.5,53.67,52.5,52.86,149
2019-04-22,52.7,52.84,51.6,52.27,222
2019-04-23,52.24,53.02,52.24,52.97,379
2019-04-24,52.9,53.8,52.75,53.61,367
2019-04-25,53.53,53.69,52.83,53.56,74
2019-04-26,53.63,53.88,53.25,53.88,152
2019-04-29,53.94,54.46,53.58,53.75,103
2019-04-30,53.72,53.84,52.1,53.35,475
2019-05-01,53.66,54.68,53.05,53.72,462
2019-05-02,53.63,54.33,53.18,53.45,321
2019-05-03,53.07,56.26,53.07,55.71,702
2019-05-06,55.04,56.85,55.04,56.24,311
2019-05-07,55.94,56.27,54.51,54.99,217
2019-05-08,55.27,56.0,53.96,54.19,181
2019-05-09,54.24,54.56,53.6,54.12,269
2019-05-10,54.24,54.56,53.87,54.16,408
2019-05-13,53.46,54.25,53.28,54.0,250
2019-05-14,54.27,55.38,53.95,54.94,461
2019-05-15,54.57,55.57,54.31,55.09,200
2019-05-16,55.12,55.66,54.1,54.54,271
2019-05-17,54.14,54.51,53.53,54.35,277
2019-05-20,54.12,54.8,53.98,54.39,212
2019-05-21,54.59,55.53,54.38,55.16,199
2019-05-22,55.25,55.36,54.32,54.6,89
2019-05-23,54.3,55.06,53.81,54.89,269
2019-05-24,55.05,55.78,54.69,55.06,76
2019-05-28,55.19,55.93,54.2,54.2,144
2019-05-29,54.21,54.9,52.71,53.3,151
2019-05-30,53.36,53.96,53.21,53.78,253
2019-05-31,53.29,54.05,53.27,53.69,96
2019-06-03,53.68,54.47,52.76,53.69,220
2019-06-04,54.17,54.45,53.12,53.9,369
2019-06-05,54.2,55.2,53.8,55.16,360
2019-06-06,55.12,55.56,54.4,55.48,284
2019-06-07,55.78,56.14,54.99,55.97,184
2019-06-10,55.89,56.82,55.07,55.9,316
2019-06-11,56.07,56.48,55.2,56.17,328
2019-06-12,56.43,57.26,56.09,57.18,167
2019-06-13,57.25,58.06,57.25,58.06,215
2019-06-14,57.98,58.49,56.99,57.0,167
2019-06-17,56.99,57.47,56.77,57.09,279
2019-06-18,57.41,57.81,57.04,57.42,101
2019-06-19,57.46,57.57,56.65,57.49,277
2019-06-20,57.5,57.58,56.78,56.95,250
2019-06-21,56.45,56.45,55.26,55.26,511
2019-06-24,55.31,55.5,53.87,53.91,323
2019-06-25,54.1,54.92,53.73,53.81,214
2019-06-26,53.82,53.93,52.49,52.55,267
2019-06-27,52.62,54.37,52.62,54.37,267
2019-06-28,54.46,56.51,54.46,56.13,321
2019-07-01,56.49,56.49,54.62,55.29,236
