date,open,high,low,close,volume
2018-12-10,3.26,3.28,3.1,3.14,2578
2018-12-11,3.15,3.22,3.08,3.16,1487
2018-12-12,3.17,3.25,3.1,3.11,1764
2018-12-13,3.09,3.17,2.85,2.89,3699
2018-12-14,2.89,3.1,2.83,2.86,7933
2018-12-17,2.86,3.2,2.8,3.0,5623
2018-12-18,3.01,3.17,2.93,3.07,2164
2018-12-19,3.07,3.11,2.75,2.77,3771
2018-12-20,2.84,2.91,2.76,2.82,2272
2018-12-21,2.82,2.82,2.25,2.32,7771
2018-12-24,2.35,2.6,2.29,2.51,3955
2018-12-26,2.53,2.74,2.48,2.57,3437
2018-12-27,2.55,2.64,2.34,2.43,4143
2018-12-28,2.44,2.67,2.44,2.56,3857
2018-12-31,2.55,2.64,2.4,2.59,2933
2019-01-02,2.55,3.04,2.51,3.02,4529
2019-01-03,3.02,3.12,2.83,2.87,2100
2019-01-04,2.89,3.17,2.89,3.06,2381
2019-01-07,3.09,3.15,2.95,3.12,2747
2019-01-08,3.14,3.23,3.03,3.09,2479
2019-01-09,3.11,3.35,3.01,3.32,2244
2019-01-10,3.28,3.28,3.0,3.06,2745
2019-01-11,3.06,3.44,3.06,3.31,3444
2019-01-14,3.3,3.37,3.21,3.3,1768
2019-01-15,3.45,3.83,3.4,3.77,7948
2019-01-16,3.76,3.76,3.4,3.55,5227
2019-01-17,3.51,3.78,3.47,3.65,2844
2019-01-18,3.66,3.79,3.58,3.75,2392
2019-01-22,3.75,3.78,3.31,3.36,5045
2019-01-23,3.39,3.66,3.37,3.62,3229
2019-01-24,3.64,3.64,3.4,3.49,2384
2019-01-25,3.5,3.69,3.49,3.55,2060
2019-01-28,3.5,3.59,3.41,3.53,1817
2019-01-29,3.52,3.52,3.38,3.38,1450
2019-01-30,3.41,3.5,3.36,3.39,1034
2019-01-31,3.4,3.48,3.36,3.44,1107
2019-02-01,3.45,3.55,3.38,3.5,1054
2019-02-04,3.5,3.63,3.48,3.6,1586
2019-02-05,3.59,3.77,3.58,3.73,2532
2019-02-06,3.74,3.81,3.66,3.77,816
2019-02-07,3.75,3.86,3.66,3.74,1321
2019-02-08,3.71,3.88,3.7,3.76,1202
2019-02-11,3.75,3.84,3.7,3.75,870
2019-02-12,3.79,4.09,3.79,3.98,1952
2019-02-13,3.99,4.02,3.8,3.93,809
2019-02-14,3.9,3.99,3.84,3.96,1005
2019-02-15,3.97,4.05,3.86,3.93,1380
2019-02-19,3.98,3.98,3.77,3.96,1395
2019-02-20,3.93,4.0,3.82,3.89,1676
2019-02-21,3.87,3.98,3.85,3.89,559
2019-02-22,3.87,3.96,3.84,3.94,1567
2019-02-25,3.95,4.29,3.91,4.24,2686
2019-02-26,4.27,4.77,4.26,4.68,10421
2019-02-27,4.78,4.78,3.83,3.87,8664
2019-02-28,3.94,4.13,3.86,4.03,3288
2019-03-01,4.14,4.19,4.02,4.07,2455
2019-03-04,4.12,4.24,3.78,3.83,4728
2019-03-05,3.89,3.91,3.7,3.86,3382
2019-03-06,3.88,3.95,3.77,3.85,2407
2019-03-07,3.84,3.92,3.75,3.76,1506
2019-03-08,3.7,3.75,3.4,3.66,3198
2019-03-11,3.67,3.82,3.62,3.71,2749
2019-03-12,3.68,3.74,3.52,3.54,2512
2019-03-13,3.53,3.75,3.51,3.71,2346
2019-03-14,3.72,3.77,3.67,3.73,2154
2019-03-15,3.76,3.84,3.62,3.7,4424
2019-03-18,3.75,3.88,3.69,3.77,2070
2019-03-19,3.79,3.86,3.73,3.77,2123
2019-03-20,3.78,3.86,3.73,3.75,2234
2019-03-21,3.72,3.8,3.45,3.46,2347
2019-03-22,3.5,3.55,3.23,3.23,1612
2019-03-25,3.23,3.27,3.15,3.24,1816
2019-03-26,3.28,3.46,3.24,3.35,1709
2019-03-27,3.37,3.42,3.16,3.21,2298
2019-03-28,3.24,3.32,3.23,3.27,869
2019-03-29,3.27,3.31,3.15,3.18,1867
2019-04-01,3.19,3.25,3.1,3.15,1555
2019-04-02,3.16,3.16,2.95,3.0,2437
2019-04-03,3.05,3.1,2.94,3.03,1390
2019-04-04,3.03,3.24,3.03,3.17,1842
2019-04-05,3.18,3.27,3.15,3.18,1314
2019-04-08,3.17,3.17,3.0,3.01,1764
2019-04-09,3.0,3.09,2.98,3.02,1010
2019-04-10,3.02,3.07,2.93,2.96,1019
2019-04-11,3.0,3.02,2.9,3.0,1126
2019-04-12,3.0,3.04,2.9,2.9,875
2019-04-15,2.91,2.93,2.57,2.58,3091
2019-04-16,2.6,2.79,2.58,2.67,2030
2019-04-17,2.7,2.72,2.6,2.68,1569
2019-04-18,2.67,2.72,2.58,2.64,2755
2019-04-22,2.63,2.64,2.39,2.48,4251
2019-04-23,2.5,2.6,2.5,2.54,1879
2019-04-24,2.54,2.67,2.53,2.62,1736
2019-04-25,2.65,2.66,2.47,2.54,1689
2019-04-26,2.52,2.64,2.51,2.62,1206
2019-04-29,2.61,2.75,2.57,2.62,1678
2019-04-30,2.64,2.7,2.52,2.63,3103
2019-05-01,2.73,2.8,2.34,2.38,6420
2019-05-02,2.32,2.47,2.22,2.39,18168
2019-05-03,2.43,2.44,2.25,2.39,4443
2019-05-06,2.36,2.39,2.28,2.35,1841
2019-05-07,2.34,2.36,2.23,2.28,3046
2019-05-08,2.31,2.53,2.23,2.34,3544
2019-05-09,2.32,2.42,2.27,2.35,1962
2019-05-10,2.34,2.39,2.3,2.37,1297
2019-05-13,2.33,2.35,2.25,2.27,1317
2019-05-14,2.3,3.03,2.27,2.77,16679
2019-05-15,2.8,2.85,2.66,2.76,2841
2019-05-16,2.76,2.76,2.51,2.55,2599
2019-05-17,2.55,2.66,2.47,2.49,2830
2019-05-20,2.5,2.69,2.46,2.66,2101
2019-05-21,2.71,2.71,2.6,2.64,2180
2019-05-22,2.64,2.68,2.51,2.58,888
2019-05-23,2.53,2.59,2.32,2.36,2772
2019-05-24,2.37,2.71,2.34,2.4,3406
2019-05-28,2.39,2.52,2.35,2.37,2888
2019-05-29,2.37,2.38,2.13,2.2,4193
2019-05-30,2.15,2.19,2.06,2.07,3239
2019-05-31,2.03,2.09,2.0,2.0,3722
2019-06-03,2.02,2.19,2.01,2.06,2334
2019-06-04,2.09,2.25,2.09,2.23,2942
2019-06-05,2.25,2.25,2.02,2.03,3719
2019-06-06,2.03,2.13,1.91,2.08,3643
2019-06-07,2.08,2.12,2.01,2.07,1123
2019-06-10,2.07,2.17,2.05,2.12,1092
2019-06-11,2.13,2.15,2.0,2.14,1393
2019-06-12,2.14,2.2,2.08,2.15,2450
2019-06-13,2.17,2.19,2.09,2.13,1515
2019-06-14,2.16,2.25,2.08,2.18,1193
2019-06-17,2.2,2.21,2.12,2.2,2204
2019-06-18,2.21,2.37,2.19,2.28,2579
2019-06-19,2.28,2.35,2.21,2.22,4041
2019-06-20,2.27,2.27,2.17,2.2,3526
2019-06-21,2.18,2.24,2.05,2.08,4624
2019-06-24,2.07,2.14,1.95,2.03,6915
2019-06-25,2.06,2.08,1.98,2.01,2615
2019-06-26,2.04,2.07,1.95,1.95,3861
2019-06-27,1.98,2.0,1.93,1.93,4533
2019-06-28,1.95,2.0,1.93,1.95,6954
2019-07-01,1.97,2.04,1.94,1.94,2801
2019-07-02,1.94,1.97,1.9,1.91,2744
2019-07-03,1.92,2.01,1.91,2.01,880
2019-07-05,1.98,2.03,1.96,1.99,1552
2019-07-08,1.98,2.05,1.97,2.02,1197
2019-07-09,2.0,2.03,1.98,1.99,1733
2019-07-10,2.03,2.03,1.93,1.94,1828
2019-07-11,1.94,1.99,1.93,1.95,2141
2019-07-12,1.97,2.0,1.96,1.97,1304
2019-07-15,2.0,2.01,1.93,1.96,1327
2019-07-16,1.95,1.96,1.92,1.93,1138
2019-07-17,1.93,1.96,1.83,1.85,3897
2019-07-18,1.86,1.87,1.78,1.85,2884
2019-07-19,1.85,1.91,1.82,1.89,1169
2019-07-22,1.88,1.95,1.87,1.87,1989
2019-07-23,1.89,1.95,1.86,1.87,2354
2019-07-24,1.88,1.92,1.82,1.85,1442
2019-07-25,1.86,1.87,1.71,1.72,3850
2019-07-26,1.75,1.75,1.65,1.68,2562
2019-07-29,1.68,1.71,1.57,1.64,3470
2019-07-30,1.66,1.69,1.6,1.65,2443
