date,open,high,low,close,volume
2019-07-26,4.49,6.25,4.1,4.58,16859
2019-07-29,4.72,4.9,4.2,4.31,2483
2019-07-30,4.27,4.3,3.9,3.97,1536
2019-07-31,3.9,4.24,3.65,3.82,4098
2019-08-01,3.8,4.02,3.69,3.7,1609
2019-08-02,3.71,3.92,3.7,3.7,468
2019-08-05,3.7,4.85,3.6,4.75,1513
2019-08-06,4.24,4.5,3.67,3.87,1246
2019-08-07,3.85,3.99,3.78,3.82,610
2019-08-08,3.82,3.94,3.75,3.75,243
2019-08-09,3.75,4.24,3.7,3.97,1723
2019-08-12,3.95,4.25,3.77,3.92,1704
2019-08-13,3.89,4.14,3.76,3.805,938
2019-08-14,3.69,3.93,3.69,3.83,699
2019-08-15,3.89,3.89,3.31,3.5,1184
2019-08-16,3.43,3.48,2.87,3.09,1076
2019-08-19,2.83,3.1,2.71,2.8,684
2019-08-20,2.74,3.14,2.74,2.82,1190
2019-08-21,2.85,3.05,2.58,2.91,1317
2019-08-22,2.95,2.95,2.6,2.82,733
2019-08-23,2.8,2.8,2.47,2.66,1052
2019-08-26,2.69,2.9,2.64,2.795,1175
2019-08-27,3.1,3.1,2.61,2.73,1131
2019-08-28,2.76,2.93,2.64,2.88,2131
2019-08-29,3.0,3.01,2.71,2.98,1404
2019-08-30,2.98,3.09,2.82,3.01,1475
2019-09-03,3.01,3.05,2.72,2.74,1376
2019-09-04,2.71,2.91,2.68,2.88,1122
2019-09-05,2.91,2.95,2.61,2.68,913
2019-09-06,2.69,3.1,2.53,2.95,2301
2019-09-09,2.98,3.19,2.72,3.19,2209
2019-09-10,3.15,3.3,2.96,3.28,1310
2019-09-11,3.3,3.36,3.07,3.22,1957
2019-09-12,3.22,3.64,2.86,3.53,2561
2019-09-13,3.55,3.75,3.31,3.73,1727
2019-09-16,3.75,3.75,3.23,3.49,2462
2019-09-17,2.92,3.52,2.92,3.35,1599
2019-09-18,3.35,3.46,3.09,3.19,1194
2019-09-19,2.92,3.25,2.92,3.06,937
2019-09-20,3.1,3.28,2.93,3.1,937
2019-09-23,3.1,3.37,3.02,3.29,1228
2019-09-24,3.24,3.43,3.07,3.28,1073
2019-09-25,3.15,3.7,3.14,3.65,1595
2019-09-26,3.71,3.71,3.38,3.57,1519
2019-09-27,3.5,3.57,3.3,3.4,1841
2019-09-30,3.32,3.42,3.23,3.32,1575
2019-10-01,3.3,3.45,3.0,3.15,1678
2019-10-02,3.06,3.25,2.94,3.16,1116
2019-10-03,3.11,3.21,3.06,3.11,859
2019-10-04,3.06,3.33,3.06,3.12,693
2019-10-07,3.06,3.37,3.06,3.21,1703
2019-10-08,3.26,3.4,3.23,3.28,982
2019-10-09,3.31,3.36,3.26,3.32,669
2019-10-10,3.3,3.4,3.2,3.39,1124
2019-10-11,3.41,3.52,3.23,3.32,868
2019-10-14,3.3,3.38,3.26,3.32,899
2019-10-15,3.3,3.32,3.07,3.14,1483
2019-10-16,3.54,3.54,3.0,3.21,1646
2019-10-17,3.2,3.26,2.87,3.0,1521
2019-10-18,2.85,3.32,2.85,3.32,976
2019-10-21,3.32,3.47,3.0,3.23,2517
2019-10-22,3.26,3.41,3.2,3.36,1126
2019-10-23,3.26,3.45,2.99,3.06,1761
2019-10-24,3.1,3.11,2.81,3.04,1585
2019-10-25,3.06,3.12,2.86,2.95,1122
2019-10-28,2.95,3.05,2.85,2.96,1473
2019-10-29,2.99,3.01,2.8,2.85,507
2019-10-30,2.8,2.9,2.65,2.78,891
2019-10-31,2.78,3.05,2.69,2.98,949
2019-11-01,2.98,3.1,2.94,3.02,1150
2019-11-04,3.0,3.06,2.92,2.99,948
2019-11-05,2.93,3.25,2.93,3.12,1089
2019-11-06,3.14,3.27,2.98,3.06,1253
2019-11-07,3.05,3.12,2.99,3.06,961
2019-11-08,3.08,3.11,2.95,3.05,1118
2019-11-11,2.9,3.16,2.9,3.04,1121
2019-11-12,2.99,3.13,2.98,3.0,463
2019-11-13,3.02,3.07,3.0,3.02,896
2019-11-14,3.03,3.15,3.0,3.13,820
2019-11-15,3.19,3.35,3.14,3.23,778
2019-11-18,3.24,3.6,3.15,3.21,1806
2019-11-19,3.15,3.31,3.09,3.15,1548
2019-11-20,3.15,3.22,2.55,2.57,1162
2019-11-21,2.66,2.97,2.57,2.91,793
2019-11-22,2.84,2.91,2.75,2.78,337
2019-11-25,2.8,2.95,2.8,2.88,610
2019-11-26,2.84,3.0,2.7,2.71,1301
2019-11-27,2.77,2.94,2.73,2.82,983
2019-11-29,2.86,2.91,2.77,2.77,589
2019-12-02,2.85,2.87,2.77,2.78,649
2019-12-03,2.82,2.87,2.7,2.7,1035
2019-12-04,2.78,2.8,2.7,2.77,528
2019-12-05,2.78,2.78,2.62,2.72,736
2019-12-06,2.81,3.12,2.31,2.535,2711
2019-12-09,2.51,2.59,2.45,2.48,414
2019-12-10,2.45,2.45,2.27,2.27,164
2019-12-11,2.41,2.41,2.05,2.06,202
2019-12-12,2.07,2.15,2.07,2.08,193
2019-12-13,2.07,2.09,2.01,2.01,179
2019-12-16,2.06,2.15,2.06,2.1,147
2019-12-17,2.1,2.31,2.04,2.29,611
2019-12-18,2.28,2.48,2.28,2.44,279
2019-12-19,2.46,2.65,2.44,2.64,492
2019-12-20,2.64,2.65,2.31,2.43,713
2019-12-23,2.5,2.5,2.35,2.46,328
2019-12-24,2.42,2.69,2.36,2.48,968
2019-12-26,2.42,2.52,2.35,2.49,770
2019-12-27,2.42,2.42,2.01,2.12,2756
2019-12-30,2.14,2.35,2.09,2.24,1287
2019-12-31,2.3,2.32,2.01,2.0102,811
2020-01-02,2.1,2.2,2.01,2.09,436
2020-01-03,2.07,2.13,2.04,2.075,489
2020-01-06,2.05,2.13,2.05,2.07,212
2020-01-07,2.07,2.11,2.03,2.1,363
2020-01-08,2.0743,2.09,2.02,2.04,101
2020-01-09,2.09,2.1,2.0204,2.1,47
2020-01-10,2.07,2.08,2.0,2.04,69
2020-01-13,2.01,2.08,2.01,2.05,372
2020-01-14,2.03,2.07,1.86,1.86,428
2020-01-15,1.88,1.93,1.84,1.93,164
2020-01-16,1.95,2.0,1.8301,1.97,327
2020-01-17,1.98,1.98,1.9298,1.95,172
2020-01-21,1.95,1.95,1.8,1.81,133
2020-01-22,1.8138,1.9,1.72,1.72,171
2020-01-23,1.7374,1.82,1.73,1.73,42
2020-01-24,1.73,1.85,1.64,1.64,189
2020-01-27,1.6216,1.6411,1.48,1.54,159
2020-01-28,1.6935,1.71,1.5801,1.68,117
2020-01-29,1.58,1.59,1.58,1.59,23
2020-01-30,1.61,1.6317,1.3,1.55,357
2020-01-31,1.33,1.38,1.25,1.25,1236
2020-02-03,1.25,1.3,1.25,1.2959,330
2020-02-04,1.3,1.3,1.2,1.25,582
2020-02-05,1.2,1.25,1.119,1.25,614
2020-02-06,1.29,1.69,1.16,1.41,7657
2020-02-07,1.63,1.63,1.22,1.23,1483
2020-02-10,1.29,1.32,1.21,1.28,652
2020-02-11,1.31,1.31,1.06,1.12,1073
2020-02-12,1.15,1.2,1.12,1.1501,187
2020-02-13,1.15,1.38,1.12,1.23,2179
2020-02-14,1.35,1.35,1.15,1.16,466
2020-02-18,1.12,1.15,1.12,1.13,339
2020-02-19,1.13,1.18,1.1,1.11,289
2020-02-20,1.1,1.85,1.1,1.25,17206
2020-02-21,1.25,1.25,1.12,1.12,1976
2020-02-24,1.13,1.13,0.99,1.01,2332
2020-02-25,1.02,1.0869,0.9639,0.9801,1194
2020-02-26,0.9831,1.04,0.98,1.01,565
2020-02-27,1.0,1.0,0.96,0.99,369
2020-02-28,0.98,0.999,0.9001,0.96,411
2020-03-02,1.05,1.05,0.841,0.9,1112
2020-03-03,0.9438,1.0199,0.851,0.9899,284
2020-03-04,0.99,0.9905,0.9071,0.9899,210
2020-03-05,0.91,1.34,0.9,0.975,10356
2020-03-06,0.9407,0.9447,0.85,0.867,1762
2020-03-09,0.8,0.8322,0.78,0.7923,642
2020-03-10,0.8922,0.8922,0.76,0.771,648
2020-03-11,0.7548,0.8354,0.72,0.7908,284
2020-03-12,0.745,0.7491,0.6602,0.7153,605
2020-03-13,0.7359,0.7915,0.6801,0.7,504
2020-03-16,0.75,0.75,0.655,0.675,115
2020-03-17,0.6482,0.792,0.6482,0.717,89
2020-03-18,0.64,0.78,0.64,0.7,125
2020-03-19,0.72,0.9897,0.6308,0.91,3372
2020-03-20,0.87,0.9,0.76,0.8108,1032
2020-03-23,0.92,1.1,0.77,0.8137,4917
2020-03-24,0.78,0.8163,0.7333,0.79,1205
2020-03-25,0.78,0.7999,0.75,0.78,446
2020-03-26,0.82,0.8999,0.762,0.7947,785
2020-03-27,0.811,0.84,0.7801,0.8208,319
2020-03-30,0.86,0.86,0.71,0.711,563
2020-03-31,0.72,0.82,0.72,0.81,592
2020-04-01,0.845,0.845,0.7523,0.8,181
2020-04-02,0.7947,0.8,0.72,0.8,372
2020-04-03,0.8,0.8,0.7506,0.79,198
2020-04-06,0.7798,0.8,0.75,0.794,310
2020-04-07,0.7875,0.84,0.77,0.7862,313
2020-04-08,0.76,0.81,0.76,0.7761,237
2020-04-09,0.7999,0.826,0.77,0.8,118
2020-04-13,0.8,0.8,0.73,0.8,308
2020-04-14,0.8,0.8857,0.7919,0.8108,1425
2020-04-15,0.82,0.83,0.79,0.83,802
2020-04-16,0.825,0.9,0.76,0.82,3033
2020-04-17,0.861,0.8696,0.8011,0.81,606
2020-04-20,0.8199,0.99,0.7514,0.7789,6854
2020-04-21,0.75,0.86,0.75,0.8589,1680
2020-04-22,0.8211,0.86,0.816,0.856,389
2020-04-23,0.8432,0.93,0.842,0.9034,670
2020-04-24,0.9075,0.9386,0.862,0.91,1225
2020-04-27,0.934,1.05,0.91,1.01,1056
2020-04-28,1.05,1.07,0.952,1.06,803
2020-04-29,1.06,1.1801,1.03,1.12,1117
2020-04-30,1.17,1.18,1.06,1.18,1387
2020-05-01,1.18,1.62,1.17,1.44,11691
2020-05-04,1.37,1.3992,1.13,1.27,3307
2020-05-05,1.25,1.33,1.15,1.18,627
2020-05-06,1.16,1.32,1.16,1.18,1132
2020-05-07,1.21,1.29,1.17,1.23,706
2020-05-08,1.21,1.25,1.12,1.17,565
2020-05-11,1.15,1.28,1.15,1.17,719
2020-05-12,1.17,1.227,1.13,1.1362,428
2020-05-13,1.13,1.14,1.03,1.036,797
2020-05-14,1.01,1.1,1.01,1.04,518
2020-05-15,1.04,1.07,1.03,1.03,894
2020-05-18,1.01,1.05,1.01,1.03,903
2020-05-19,1.02,1.06,1.02,1.06,972
2020-05-20,1.04,1.15,1.011,1.03,1845
2020-05-21,1.03,1.05,1.0,1.05,1123
2020-05-22,1.06,1.06,0.9306,0.9654,1855
2020-05-26,0.95,0.97,0.92,0.941,800
2020-05-27,0.94,0.97,0.94,0.952,927
2020-05-28,1.39,2.4,1.21,1.23,146585
2020-05-29,1.18,1.21,1.05,1.15,13715
2020-06-01,1.1,1.1299,1.05,1.08,3963
2020-06-02,1.07,1.35,1.05,1.32,10287
2020-06-03,1.4,1.55,1.25,1.32,28727
2020-06-04,1.4,1.4059,1.1,1.2399,9667
2020-06-05,1.2,1.22,1.16,1.1701,2905
2020-06-08,1.18,1.33,1.18,1.29,6177
2020-06-09,1.3,1.45,1.2,1.28,10915
2020-06-10,1.3,1.3292,1.19,1.19,3855
2020-06-11,1.4,1.98,1.2,1.28,159064
2020-06-12,1.33,1.37,1.15,1.26,19750
2020-06-15,1.15,1.35,1.15,1.25,14336
2020-06-16,1.27,1.65,1.22,1.42,71310
2020-06-17,1.39,1.45,1.27,1.32,7108
2020-06-18,1.29,1.4,1.24,1.3,6845
2020-06-19,1.33,1.3364,1.25,1.26,2726
2020-06-22,1.25,1.28,1.22,1.25,3603
2020-06-23,1.27,1.28,1.24,1.26,3315
2020-06-24,1.24,1.39,1.17,1.25,13325
2020-06-25,1.38,1.39,1.18,1.23,10348
2020-06-26,1.2,1.21,1.15,1.17,4571
2020-06-29,1.18,1.24,1.13,1.23,8568
2020-06-30,1.21,1.49,1.17,1.31,39157
2020-07-01,1.28,1.34,1.24,1.25,4577
2020-07-02,1.24,1.45,1.22,1.36,22146
2020-07-06,1.39,1.45,1.32,1.3339,14092
2020-07-07,1.31,1.35,1.26,1.27,4138
2020-07-08,1.31,1.35,1.2699,1.32,4190
2020-07-09,1.34,1.42,1.26,1.3,9940
2020-07-10,1.41,1.6,1.35,1.38,35210
2020-07-13,1.45,1.45,1.31,1.34,8446
