date,open,high,low,close,volume
2018-12-10,178.26,181.55,174.25,179.2,13909
2018-12-11,181.81,182.1,176.01,176.85,22757
2018-12-12,180.5,182.95,179.3,179.75,18941
2018-12-13,182.39,183.1,179.17,179.9,11807
2018-12-14,177.7,180.51,176.48,177.54,14175
2018-12-17,176.58,176.78,167.53,169.86,31194
2018-12-18,173.12,173.29,167.21,167.61,20765
2018-12-19,167.94,169.14,160.0,162.48,29289
2018-12-20,160.86,164.59,159.83,160.36,32077
2018-12-21,162.77,162.77,156.25,157.42,27161
2018-12-24,155.29,161.48,155.25,157.12,16318
2018-12-26,158.32,163.17,154.61,163.04,20112
2018-12-27,160.54,161.95,156.04,161.58,18776
2018-12-28,162.03,164.61,160.6,162.17,14418
2018-12-31,163.81,164.4,157.52,158.6,18013
2019-01-02,156.18,164.33,155.49,162.25,20707
2019-01-03,159.24,159.88,153.78,154.71,29532
2019-01-04,157.8,162.43,157.25,160.95,26208
2019-01-07,162.6,164.49,158.51,162.6,24772
2019-01-08,162.18,163.89,158.16,163.4,24470
2019-01-09,166.72,168.41,165.48,166.64,25176
2019-01-10,164.98,168.45,162.91,168.35,15230
2019-01-11,167.67,168.35,164.68,166.11,16456
2019-01-14,162.65,163.97,161.59,163.03,12954
2019-01-15,164.43,169.94,164.4,167.93,16210
2019-01-16,169.62,171.33,168.56,169.75,15798
2019-01-17,167.84,169.94,164.55,168.11,22369
2019-01-18,170.05,174.28,169.8,171.36,24561
2019-01-22,167.37,167.46,158.52,160.39,52105
2019-01-23,162.0,163.36,158.9,163.26,34992
2019-01-24,163.25,163.55,161.0,162.7,22248
2019-01-25,165.03,168.06,163.4,167.1,21709
2019-01-28,164.18,168.23,162.72,167.5,14171
2019-01-29,167.91,167.98,164.15,165.27,10412
2019-01-30,166.72,170.1,165.25,169.34,17043
2019-01-31,171.0,175.09,170.36,172.63,24133
2019-02-01,172.68,173.54,169.38,171.27,14634
2019-02-04,172.35,175.54,171.01,173.94,11217
2019-02-05,175.31,176.89,173.53,176.23,11085
2019-02-06,176.23,176.54,173.59,173.85,8816
2019-02-07,173.61,173.96,170.06,171.58,14427
2019-02-08,170.46,170.48,166.66,169.9,15763
