date,open,high,low,close,volume
2018-12-10,67.48,67.48,66.61,67.18,1962
2018-12-11,67.38,67.78,67.12,67.24,3328
2018-12-12,67.32,67.94,67.04,67.21,3296
2018-12-13,67.2,68.09,66.92,67.58,2861
2018-12-14,67.45,67.92,66.42,66.66,4380
2018-12-17,66.74,67.16,64.55,64.84,3961
2018-12-18,64.89,65.38,63.96,64.37,4470
2018-12-19,64.62,65.05,63.66,64.21,3657
2018-12-20,64.39,64.8,63.3,64.18,3121
2018-12-21,64.1,65.89,63.74,64.04,4335
2018-12-24,64.39,64.63,59.98,60.37,2081
2018-12-26,60.4,61.35,59.49,61.29,1820
2018-12-27,61.29,62.12,60.31,62.05,1875
2018-12-28,62.33,62.79,61.58,62.13,1796
2018-12-31,62.25,62.79,61.59,62.78,1176
2019-01-02,62.65,62.8,60.82,61.27,2406
2019-01-03,61.4,62.17,60.86,61.73,1760
2019-01-04,61.45,62.92,61.45,62.79,2285
2019-01-07,62.6,63.35,62.17,62.6,1818
2019-01-08,62.89,63.74,62.66,63.64,2123
2019-01-09,63.67,64.05,62.07,62.54,2360
2019-01-10,62.57,63.91,62.5,63.88,1648
2019-01-11,63.96,63.96,63.22,63.61,1824
2019-01-14,63.11,63.11,61.6,62.19,2265
2019-01-15,62.24,63.84,62.22,63.77,1946
2019-01-16,63.78,64.43,63.29,64.24,2229
2019-01-17,64.11,64.88,64.04,64.78,1178
2019-01-18,65.08,66.01,64.98,65.65,1892
2019-01-22,65.73,66.22,65.06,65.7,2016
2019-01-23,65.4,65.65,64.88,65.59,2556
2019-01-24,65.39,65.45,64.26,65.03,2104
2019-01-25,65.03,65.16,64.36,64.5,1468
2019-01-28,64.53,65.27,64.48,65.21,2515
2019-01-29,65.36,65.8,65.21,65.52,1552
2019-01-30,65.53,67.16,65.08,66.99,3666
2019-01-31,67.01,67.97,66.51,67.89,2337
2019-02-01,67.73,68.09,66.65,67.08,1753
2019-02-04,66.78,66.97,66.0,66.94,1444
2019-02-05,66.87,67.35,66.82,67.14,2347
2019-02-06,66.7,67.2,66.13,66.42,2357
2019-02-07,66.38,67.96,65.96,67.93,2195
2019-02-08,69.54,70.25,68.23,69.43,5174
2019-02-11,69.98,70.33,69.5,70.31,4621
2019-02-12,70.55,70.7,69.82,70.42,2313
2019-02-13,70.22,70.42,69.7,70.39,2269
2019-02-14,69.72,70.13,69.38,69.53,3097
2019-02-15,69.77,70.47,69.56,69.64,2857
2019-02-19,69.46,70.21,69.43,69.8,3123
2019-02-20,69.65,70.19,69.46,70.12,3905
2019-02-21,70.07,70.6,69.52,70.37,5957
2019-02-22,70.55,71.23,70.16,71.19,1918
2019-02-25,71.04,71.26,70.37,70.59,2629
2019-02-26,70.94,71.11,70.37,70.69,2686
2019-02-27,70.49,71.11,70.02,71.04,2056
2019-02-28,70.92,71.58,70.63,70.98,2645
2019-03-01,71.1,72.18,70.75,71.95,2692
2019-03-04,72.15,72.51,71.13,72.0,2584
2019-03-05,72.05,72.19,71.71,71.88,1970
2019-03-06,71.97,72.55,71.66,72.09,1782
2019-03-07,72.32,72.86,72.11,72.33,2120
2019-03-08,72.56,72.92,72.28,72.81,2173
2019-03-11,72.86,73.27,72.53,73.24,2438
2019-03-12,73.33,73.61,72.87,73.0,2877
2019-03-13,73.04,73.17,72.5,72.72,2731
2019-03-14,72.78,73.34,72.29,72.69,1758
2019-03-15,72.69,73.41,72.59,73.02,5216
2019-03-18,73.01,73.26,72.38,72.74,1739
2019-03-19,72.73,72.8,71.66,71.85,2515
2019-03-20,71.8,72.37,71.26,71.39,3842
2019-03-21,71.36,72.84,71.34,72.65,1874
2019-03-22,72.75,73.44,72.75,72.87,1749
2019-03-25,73.0,73.77,72.52,73.58,2019
2019-03-26,73.73,74.5,73.58,74.33,2386
2019-03-27,74.39,74.77,74.02,74.39,2297
2019-03-28,74.35,74.76,73.14,73.43,2352
2019-03-29,73.49,74.18,73.17,74.07,2725
2019-04-01,74.14,74.14,72.79,73.2,2001
2019-04-02,73.35,73.35,72.41,72.78,2161
2019-04-03,72.85,73.14,72.0,72.77,2176
2019-04-04,72.92,73.27,72.03,72.39,1282
2019-04-05,72.47,73.86,72.35,73.84,1611
2019-04-08,73.56,73.59,72.43,72.65,1860
2019-04-09,72.66,72.98,72.25,72.59,1342
2019-04-10,72.92,73.24,72.1,72.26,1726
2019-04-11,72.34,72.89,72.13,72.88,1564
2019-04-12,72.6,72.99,72.33,72.92,1462
2019-04-15,73.0,73.27,72.39,72.71,1380
2019-04-16,72.8,73.02,71.79,71.98,1737
2019-04-17,71.93,71.93,71.3,71.5,1079
2019-04-18,71.51,72.06,71.2,71.32,1148
2019-04-22,71.12,71.42,70.45,70.81,1276
2019-04-23,70.9,71.43,70.73,71.15,1714
2019-04-24,71.15,72.23,71.15,71.96,1413
2019-04-25,71.62,72.31,71.37,72.07,1521
2019-04-26,72.38,72.86,72.08,72.16,1146
2019-04-29,72.0,72.32,71.45,71.77,1825
2019-04-30,71.87,72.86,71.69,72.76,2543
2019-05-01,72.68,72.79,71.75,72.07,2850
2019-05-02,71.86,72.53,71.31,71.8,2377
2019-05-03,72.03,75.16,72.03,74.49,4800
2019-05-06,74.75,74.91,74.2,74.74,3006
2019-05-07,74.71,75.2,74.29,74.65,2604
2019-05-08,74.68,75.08,73.8,73.86,1886
2019-05-09,74.31,74.59,73.67,74.25,1565
2019-05-10,74.31,75.38,74.08,75.37,1940
2019-05-13,75.01,76.53,75.01,76.44,2021
2019-05-14,76.31,76.7,75.73,75.82,2020
2019-05-15,75.81,76.4,75.67,75.8,1910
2019-05-16,75.22,76.04,75.22,75.74,2795
2019-05-17,75.45,76.44,75.45,76.18,2305
2019-05-20,76.22,76.76,76.09,76.21,1772
2019-05-21,76.16,76.85,75.8,76.42,1227
2019-05-22,76.49,77.18,76.27,77.09,2243
2019-05-23,77.1,77.81,76.61,77.81,1988
2019-05-24,77.8,78.52,77.6,77.98,1337
2019-05-28,78.14,78.15,76.59,76.65,1618
2019-05-29,76.54,76.85,75.11,75.35,2114
2019-05-30,75.3,75.59,74.43,74.83,1884
2019-05-31,74.71,76.32,74.64,76.2,2733
2019-06-03,76.38,77.11,76.13,76.98,2095
2019-06-04,76.91,77.1,75.78,77.01,2751
2019-06-05,77.14,78.26,77.14,77.85,1636
2019-06-06,77.9,78.2,77.59,77.81,2246
2019-06-07,78.28,78.69,77.36,77.41,1419
2019-06-10,77.21,77.28,76.45,76.79,2775
2019-06-11,76.79,77.09,75.63,76.01,1244
2019-06-12,76.27,77.6,76.27,77.58,1096
2019-06-13,77.84,78.09,76.98,77.7,1059
2019-06-14,77.56,78.53,77.52,78.12,989
2019-06-17,78.13,78.45,77.48,78.03,1353
2019-06-18,78.47,78.65,77.14,78.34,1528
2019-06-19,78.25,79.82,78.25,79.63,1475
