date,open,high,low,close,volume
2018-12-10,40.4,41.3,38.2,39.7,411
2018-12-11,40.4,40.6,38.5,39.1,235
2018-12-12,39.7,40.1,37.3,37.5,341
2018-12-13,37.5,38.1,35.9,35.9,314
2018-12-14,36.1,37.1,35.0,36.7,453
2018-12-17,36.8,39.7,34.5,38.1,647
2018-12-18,38.6,39.1,36.0,36.5,357
2018-12-19,36.5,38.1,33.4,34.2,561
2018-12-20,34.0,34.1,32.4,33.6,563
2018-12-21,34.0,34.0,28.6,28.8,747
2018-12-24,28.8,29.9,28.1,28.4,282
2018-12-26,28.5,30.5,27.4,28.5,770
2018-12-27,28.2,31.8,28.2,31.0,581
2018-12-28,30.7,31.0,29.3,29.8,456
2018-12-31,29.7,31.5,28.9,29.2,608
2019-01-02,29.0,34.6,29.0,33.3,446
2019-01-03,33.3,34.5,31.5,32.0,429
2019-01-04,32.6,35.7,32.2,34.3,539
2019-01-07,34.6,35.9,34.5,35.4,558
2019-01-08,35.8,35.8,34.2,34.6,410
2019-01-09,34.8,36.9,33.7,36.2,424
2019-01-10,36.0,37.2,35.0,36.4,284
2019-01-11,36.4,36.8,34.6,35.7,235
2019-01-14,35.3,35.4,33.5,33.5,175
2019-01-15,33.5,34.2,32.7,33.4,245
2019-01-16,33.4,36.3,33.0,35.1,305
2019-01-17,35.0,35.5,33.5,33.8,304
2019-01-18,33.8,34.3,32.2,33.8,329
2019-01-22,33.8,34.5,32.3,32.3,251
2019-01-23,32.6,33.2,30.5,30.9,268
2019-01-24,30.9,32.5,30.8,32.0,186
2019-01-25,32.3,33.9,31.9,32.9,355
2019-01-28,32.7,32.9,30.8,31.5,328
2019-01-29,31.3,31.8,30.8,31.1,185
2019-01-30,31.4,31.7,30.8,31.0,325
2019-01-31,30.8,33.2,30.8,33.0,396
2019-02-01,32.8,34.4,32.6,33.5,268
2019-02-04,33.5,35.6,33.5,35.4,329
2019-02-05,35.3,37.5,34.5,34.8,263
2019-02-06,34.6,35.3,33.8,34.1,178
2019-02-07,34.0,34.3,32.5,33.8,187
2019-02-08,33.7,34.3,32.2,32.7,201
2019-02-11,32.9,33.0,32.1,32.6,212
2019-02-12,33.0,33.5,32.6,32.9,142
2019-02-13,32.9,33.4,32.5,32.6,118
2019-02-14,32.6,32.8,31.4,31.4,187
2019-02-15,31.5,32.6,31.2,31.7,276
2019-02-19,31.7,32.1,31.0,31.4,280
2019-02-20,31.8,32.7,31.2,32.0,244
2019-02-21,32.6,33.5,32.4,32.7,250
2019-02-22,32.7,33.1,31.7,32.0,279
