date,open,high,low,close,volume
2018-12-10,48.31,48.62,47.8,48.3,31415
2018-12-11,49.05,49.27,47.77,47.83,35862
2018-12-12,48.58,48.87,48.03,48.19,25718
2018-12-13,48.3,49.15,48.3,48.53,24221
2018-12-14,48.35,48.63,47.65,48.01,27019
2018-12-17,48.19,48.19,46.53,46.65,20827
2018-12-18,46.87,47.49,46.44,46.78,19881
2018-12-19,46.87,47.13,45.49,45.87,33796
2018-12-20,45.86,45.86,43.93,44.14,53188
2018-12-21,43.86,44.94,43.55,43.62,32478
2018-12-24,43.54,43.62,42.32,42.35,11593
2018-12-26,42.48,43.5,42.24,43.49,28781
2018-12-27,42.85,44.47,42.62,44.45,21894
2018-12-28,44.74,45.25,44.61,44.8,25750
2018-12-31,45.05,46.04,45.03,45.98,21065
2019-01-02,45.25,45.35,44.4,44.67,22267
2019-01-03,44.43,45.03,43.86,44.26,24786
2019-01-04,44.87,46.07,44.69,45.59,19419
2019-01-07,45.62,47.12,45.36,46.44,20658
2019-01-08,46.78,47.35,46.72,46.91,23836
2019-01-09,46.92,47.3,46.35,47.09,16756
2019-01-10,46.82,47.81,46.73,47.65,15340
2019-01-11,47.52,48.22,47.52,48.12,14369
2019-01-14,47.86,48.5,47.73,48.47,17884
2019-01-15,48.38,49.46,48.34,49.3,22897
2019-01-16,49.23,49.56,48.35,48.44,23329
2019-01-17,48.63,49.6,48.53,49.5,17343
2019-01-18,49.7,50.37,49.48,50.26,18233
2019-01-22,50.08,50.99,49.92,50.72,22659
2019-01-23,50.85,51.21,50.02,50.78,15459
2019-01-24,51.11,51.76,50.64,50.86,28069
2019-01-25,51.26,52.18,51.15,51.75,24440
2019-01-28,51.58,51.6,50.71,50.79,19821
2019-01-29,50.78,51.36,50.74,51.32,16557
2019-01-30,51.66,51.96,51.16,51.18,24445
2019-01-31,50.0,52.68,48.81,52.28,58383
2019-02-01,52.37,53.13,51.87,52.03,29578
2019-02-04,52.16,52.49,51.48,51.98,16058
2019-02-05,51.98,53.03,51.82,53.0,23440
2019-02-06,52.56,53.47,52.4,53.21,18591
2019-02-07,52.75,53.35,52.51,53.26,23526
2019-02-08,53.08,53.91,52.84,53.9,23938
2019-02-11,54.0,54.3,53.46,53.85,27203
2019-02-12,54.0,54.93,53.91,54.9,17934
2019-02-13,55.09,55.49,54.97,55.2,16309
2019-02-14,55.0,55.21,54.63,54.95,15258
2019-02-15,55.07,55.12,54.08,54.13,28244
2019-02-19,54.3,54.3,53.97,54.06,18521
2019-02-20,54.2,54.76,54.09,54.4,13569
2019-02-21,54.64,54.69,54.14,54.48,18174
2019-02-22,54.75,55.31,54.56,55.26,14206
2019-02-25,55.47,55.5,54.79,54.88,14164
2019-02-26,54.92,55.06,54.64,54.67,8665
2019-02-27,54.58,55.61,54.58,55.5,19731
2019-02-28,55.26,55.64,54.7,54.78,23937
2019-03-01,55.06,55.5,54.83,55.21,18759
2019-03-04,55.43,55.64,54.37,55.25,10632
2019-03-05,55.25,56.1,55.11,55.96,15537
2019-03-06,56.0,56.01,55.13,55.42,10933
2019-03-07,55.09,55.25,54.4,54.68,11459
2019-03-08,53.97,55.08,53.72,55.01,14316
2019-03-11,55.04,55.73,55.02,55.6,10886
2019-03-12,55.75,56.73,55.62,56.63,17972
2019-03-13,56.79,57.27,56.63,57.11,27054
2019-03-14,57.0,57.39,56.97,57.27,19783
2019-03-15,57.21,57.5,56.87,57.5,18008
2019-03-18,57.52,57.88,57.24,57.88,15857
2019-03-19,58.08,58.24,57.78,58.06,19860
2019-03-20,58.06,58.5,57.69,58.12,13358
2019-03-21,58.07,58.95,57.96,58.84,8555
2019-03-22,58.68,58.8,57.93,57.94,9556
2019-03-25,57.83,58.29,57.61,58.11,18767
2019-03-26,58.49,58.58,57.89,58.25,19375
2019-03-27,58.25,58.59,57.79,58.19,13390
2019-03-28,58.37,58.53,57.84,57.94,14411
2019-03-29,58.21,58.4,57.62,57.86,15846
2019-04-01,58.09,58.57,57.85,58.4,14370
2019-04-02,58.56,58.63,57.96,57.98,12371
2019-04-03,58.17,58.29,57.87,58.02,18069
2019-04-04,57.98,58.21,57.76,58.0,9770
2019-04-05,57.91,58.35,57.8,58.11,17595
2019-04-08,58.04,58.48,57.39,58.2,13188
2019-04-09,57.78,57.78,57.44,57.64,16386
2019-04-10,57.87,58.47,57.63,58.25,14737
2019-04-11,58.3,58.7,58.03,58.62,8516
2019-04-12,58.73,58.86,57.96,58.03,10936
2019-04-15,58.27,58.74,58.12,58.34,7480
2019-04-16,58.17,58.46,57.36,57.56,12963
2019-04-17,57.98,57.98,57.0,57.05,12040
2019-04-18,57.07,58.8,57.02,58.51,18112
2019-04-22,58.43,59.13,58.43,58.71,11377
2019-04-23,58.61,59.6,58.57,59.5,9400
2019-04-24,59.59,59.63,58.57,58.9,6451
2019-04-25,58.96,59.18,58.56,58.96,5923
2019-04-26,59.03,59.86,59.03,59.7,6248
2019-04-29,59.49,59.79,59.11,59.63,12839
2019-04-30,59.53,60.02,59.38,59.94,10828
2019-05-01,59.97,60.32,58.66,58.67,16006
2019-05-02,57.51,60.07,56.39,60.0,22593
2019-05-03,60.1,61.76,60.09,61.54,17820
2019-05-06,60.82,62.16,60.58,61.95,25428
2019-05-07,61.52,62.44,61.41,61.97,18715
2019-05-08,61.84,62.39,61.54,61.95,9580
2019-05-09,61.44,62.41,61.21,62.37,7950
2019-05-10,62.39,64.64,62.39,64.31,28476
2019-05-13,63.25,64.91,63.22,64.41,20572
2019-05-14,64.68,65.31,63.43,63.44,17956
2019-05-15,63.24,63.72,62.36,62.51,20505
2019-05-16,62.73,63.27,62.51,62.57,17065
2019-05-17,62.0,63.21,61.85,62.57,12500
2019-05-20,62.19,62.47,61.92,62.04,20902
2019-05-21,62.32,62.77,61.95,62.4,13865
2019-05-22,62.54,62.54,61.41,61.5,23368
2019-05-23,61.18,61.22,60.56,61.05,20694
2019-05-24,61.4,61.52,61.18,61.35,10043
2019-05-28,61.41,61.48,61.01,61.2,17149
2019-05-29,60.75,61.06,60.26,60.5,17827
2019-05-30,60.4,61.09,60.2,61.04,18147
2019-05-31,60.06,61.43,60.06,61.39,18537
2019-06-03,61.5,62.16,61.17,62.05,12283
2019-06-04,62.31,63.09,61.98,63.09,14965
2019-06-05,63.8,64.63,63.58,64.45,19596
2019-06-06,64.36,65.73,64.34,65.66,15374
2019-06-07,65.94,66.39,65.69,65.9,11295
2019-06-10,66.19,66.53,65.78,66.32,12794
2019-06-11,66.5,66.65,65.85,66.44,11949
2019-06-12,66.53,66.79,66.26,66.6,7192
2019-06-13,66.79,66.83,64.52,64.92,14924
2019-06-14,65.09,65.57,64.71,65.41,12049
2019-06-17,65.59,65.79,65.28,65.32,7383
2019-06-18,65.82,66.99,65.4,66.45,14018
2019-06-19,66.67,66.8,66.0,66.66,9750
2019-06-20,67.11,67.35,66.69,67.25,7786
2019-06-21,67.29,67.3,66.46,67.08,10744
2019-06-24,67.12,67.68,66.85,67.18,20193
2019-06-25,67.52,68.2,67.29,68.06,17377
2019-06-26,68.15,68.15,66.89,67.75,13621
2019-06-27,67.84,68.37,67.55,68.1,19620
2019-06-28,68.12,70.38,68.05,69.99,30771
2019-07-01,70.58,71.32,69.63,70.26,14789
2019-07-02,70.41,71.59,70.26,71.56,17463
2019-07-03,71.9,72.34,71.67,72.25,8673
2019-07-05,71.74,72.0,70.94,71.77,10008
2019-07-08,71.17,71.53,70.45,70.6,13655
2019-07-09,70.47,70.93,70.04,70.92,10158
2019-07-10,71.0,71.51,70.29,70.43,8148
2019-07-11,70.43,71.34,70.09,71.15,8428
2019-07-12,71.15,71.3,69.46,70.0,11320
2019-07-15,69.76,70.1,69.13,69.29,12799
2019-07-16,69.47,69.56,68.82,69.07,15106
2019-07-17,69.23,69.52,68.51,68.51,9694
2019-07-18,67.93,70.94,67.59,70.9,22384
2019-07-19,71.15,71.31,70.53,70.7,14858
2019-07-22,70.7,71.4,70.48,71.11,6762
2019-07-23,71.53,72.0,71.21,71.78,6414
2019-07-24,71.74,72.3,71.53,72.03,6871
2019-07-25,72.11,72.42,71.17,71.29,10775
2019-07-26,71.5,72.36,71.37,72.14,11816
2019-07-29,72.09,72.41,71.63,72.28,13276
2019-07-30,72.18,72.93,71.99,72.78,11716
2019-07-31,72.58,72.73,71.0,71.48,20580
2019-08-01,71.42,76.28,71.0,74.74,26995
2019-08-02,74.24,75.12,73.59,74.73,20681
2019-08-05,73.25,73.96,72.95,73.25,16778
2019-08-06,73.96,74.92,73.5,73.95,16989
2019-08-07,73.42,75.36,72.93,75.29,10931
2019-08-08,75.29,76.64,75.29,76.08,14294
2019-08-09,76.12,77.88,76.05,77.46,11209
2019-08-12,77.34,77.36,76.24,76.86,7219
2019-08-13,76.9,79.46,76.69,79.29,16550
2019-08-14,78.31,78.85,76.53,76.85,16610
2019-08-15,76.99,78.6,76.79,78.0,11202
2019-08-16,78.42,79.77,78.24,79.63,8484
2019-08-19,80.04,80.66,79.67,79.74,10856
2019-08-20,79.51,80.29,79.05,79.19,13177
2019-08-21,79.55,80.49,79.21,79.73,10706
2019-08-22,79.78,80.26,79.21,79.76,9150
2019-08-23,79.62,80.0,77.87,78.2,9714
2019-08-26,78.41,79.15,78.21,78.76,8116
2019-08-27,79.18,80.0,78.99,79.02,10870
2019-08-28,78.79,79.29,77.8,79.27,12783
2019-08-29,79.82,80.68,79.47,80.43,5697
2019-08-30,80.75,80.97,79.95,80.41,6334
2019-09-03,80.0,80.3,79.46,79.93,7671
2019-09-04,80.55,80.85,80.03,80.78,6641
2019-09-05,81.25,81.88,78.68,78.71,13197
2019-09-06,78.71,79.22,78.12,78.3,13562
2019-09-09,78.28,78.36,74.6,75.07,27767
2019-09-10,73.92,74.1,71.3,71.89,49626
2019-09-11,71.44,72.26,70.76,71.88,35563
2019-09-12,72.46,74.67,72.33,73.36,22003
2019-09-13,73.11,73.36,71.93,72.73,16573
2019-09-16,72.76,73.23,72.19,72.2,12332
2019-09-17,72.49,75.2,72.2,75.0,17365
2019-09-18,75.0,75.23,73.56,74.51,9776
2019-09-19,74.26,74.73,73.65,74.28,8515
2019-09-20,74.51,75.06,73.81,73.84,18653
2019-09-23,74.0,74.85,73.62,74.48,9548
2019-09-24,75.01,75.82,74.5,74.72,12637
2019-09-25,74.6,74.82,72.83,73.5,20572
2019-09-26,74.3,75.16,73.75,74.47,9690
2019-09-27,74.44,74.88,72.66,72.79,15093
2019-09-30,73.0,73.12,72.48,72.81,15980
2019-10-01,72.97,73.16,71.88,72.11,14477
2019-10-02,71.5,71.79,69.62,70.82,21152
2019-10-03,70.88,72.26,70.43,71.64,11395
2019-10-04,71.92,73.38,71.86,72.73,15482
2019-10-07,72.41,73.16,71.88,72.45,8537
2019-10-08,71.79,72.27,70.73,71.41,9675
2019-10-09,71.99,72.98,71.83,72.27,9257
2019-10-10,72.03,73.11,71.36,72.84,9517
2019-10-11,73.31,73.86,72.53,72.61,13924
2019-10-14,73.36,73.46,72.53,72.92,7231
2019-10-15,73.28,73.58,72.11,72.16,10921
2019-10-16,72.31,72.58,71.16,72.58,10792
2019-10-17,72.36,74.91,72.18,73.87,16658
2019-10-18,74.04,74.83,72.86,74.11,14992
2019-10-21,74.36,74.36,71.75,72.29,12881
2019-10-22,72.13,73.14,70.83,70.85,11360
2019-10-23,71.03,72.03,70.68,71.08,11306
2019-10-24,71.27,72.57,71.27,71.8,8496
2019-10-25,71.73,72.31,71.18,71.91,8699
2019-10-28,72.4,72.4,71.28,71.34,11582
2019-10-29,71.25,73.19,71.18,72.74,9923
2019-10-30,72.63,74.39,72.41,73.96,15589
2019-10-31,73.57,74.75,68.84,69.97,39021
2019-11-01,69.83,70.37,68.01,68.36,28663
2019-11-04,68.58,68.68,66.34,66.55,18613
2019-11-05,66.26,66.93,64.46,64.71,30444
2019-11-06,64.71,66.78,64.63,66.66,18316
2019-11-07,66.73,66.91,64.85,65.07,21887
2019-11-08,65.29,65.75,64.19,64.65,13763
2019-11-11,64.17,65.17,64.0,64.54,7601
2019-11-12,64.41,64.75,63.52,64.37,12717
2019-11-13,64.81,66.16,64.51,65.13,11655
2019-11-14,64.74,65.9,64.71,65.74,9561
2019-11-15,65.88,66.05,65.39,65.6,7551
2019-11-18,65.42,67.61,65.41,67.59,24404
2019-11-19,67.5,68.02,66.98,67.25,14152
2019-11-20,66.82,68.0,66.77,67.44,8671
2019-11-21,67.35,67.42,66.05,66.16,11890
2019-11-22,66.47,66.61,65.6,65.73,6118
2019-11-25,65.91,66.12,64.65,64.97,17708
2019-11-26,65.12,66.77,64.78,66.7,8574
2019-11-27,66.7,67.21,66.27,66.55,7142
2019-11-29,66.28,66.54,65.51,66.06,3071
2019-12-02,66.5,66.63,65.37,65.79,8679
2019-12-03,65.59,66.56,65.5,66.44,11382
