date,open,high,low,close,volume
2018-12-10,9.8291,10.07495,9.5547,9.9685,270
2018-12-11,10.26985,10.34485,9.46025,9.7751,307
2018-12-12,10.045,10.11995,9.5952,9.6462,341
2018-12-13,9.74515,9.7676,9.4078,9.5952,182
2018-12-14,9.4453,9.5952,9.14545,9.28035,204
2018-12-17,9.4453,9.4453,8.8456,9.1859,209
2018-12-18,8.9505,9.14395,8.1694,8.2024,403
2018-12-19,8.2459,8.3928,6.74665,7.49625,585
2018-12-20,7.2264,7.45725,6.5967,6.92655,251
2018-12-21,6.68665,7.1964,6.14695,7.1964,373
2018-12-24,7.14395,7.1964,6.5967,6.89655,174
2018-12-26,6.74665,7.1949,6.5967,7.039,279
2018-12-27,6.6267,6.74665,6.29685,6.74665,279
2018-12-28,6.52175,6.73315,6.48425,6.52025,114
2018-12-31,6.4468,6.89655,6.4468,6.5562,227
2019-01-02,6.7766,8.2009,6.74815,7.49625,379
2019-01-03,7.69115,8.2444,7.49625,7.93105,249
2019-01-04,8.09595,8.09595,7.06295,7.34785,331
2019-01-07,7.34635,7.7826,7.34635,7.65515,198
2019-01-08,8.06595,8.06595,7.6477,7.87105,158
2019-01-09,7.91605,8.69565,7.6462,8.54575,443
2019-01-10,8.92055,8.92055,8.25035,8.8351,270
2019-01-11,8.9805,9.13945,8.2459,8.994,228
2019-01-14,8.9955,9.14545,8.09595,8.2459,364
2019-01-15,8.3958,8.961,8.2474,8.961,114
2019-01-16,8.9805,9.25035,8.4033,9.1769,407
2019-01-17,9.29535,9.29535,8.6027,8.7511,205
2019-01-18,8.8456,8.9955,7.94755,8.69565,101
2019-01-22,8.72565,9.14695,8.45575,8.9955,158
2019-01-23,8.9955,9.29535,8.54575,8.8456,155
2019-01-24,8.7856,9.14545,8.2459,9.14545,132
2019-01-25,8.9655,9.14545,8.69715,9.06745,81
2019-01-28,8.9955,9.34185,8.54575,9.34185,58
2019-01-29,9.07045,9.71665,8.69565,9.71665,110
2019-01-30,9.74515,9.74515,9.14695,9.68515,80
2019-01-31,9.4453,9.89505,9.14545,9.89505,158
2019-02-01,9.89505,9.89505,9.2054,9.6102,165
2019-02-04,12.74365,13.0435,10.6447,11.006,3713
2019-02-05,7.012,7.0165,6.14695,6.5787,8468
2019-02-06,6.5967,6.5967,6.1964,6.4453,2503
2019-02-07,6.4318,6.47525,6.0345,6.11845,2573
2019-02-08,6.14695,6.14695,5.69715,5.92205,1596
2019-02-11,6.14695,6.3718,5.997,6.14545,1110
2019-02-12,6.2069,6.2069,5.997,6.14245,1018
2019-02-13,6.11695,6.14695,5.997,6.10195,610
2019-02-14,6.14545,6.14545,5.997,6.07345,454
2019-02-15,6.14395,6.2219,6.042,6.07645,742
2019-02-19,6.14695,6.4018,5.92205,5.997,2071
2019-02-20,5.997,6.14395,5.92205,5.967,372
2019-02-21,6.07195,6.14545,5.92205,6.14545,294
2019-02-22,6.07195,6.2204,5.997,6.2204,274
2019-02-25,6.2219,6.4363,6.14695,6.31185,1285
2019-02-26,6.3718,6.3988,6.042,6.14395,549
2019-02-27,6.2219,6.29685,6.0435,6.29685,892
2019-02-28,6.29685,6.29835,6.07645,6.14695,492
2019-03-01,6.26685,6.26685,6.07345,6.14695,363
2019-03-04,6.14695,6.28035,6.012,6.14695,538
2019-03-05,6.2144,6.2219,6.0405,6.14695,796
2019-03-06,6.072,6.2789,6.0345,6.2129,759
2019-03-07,6.2129,6.4093,6.1259,6.2969,762
2019-03-08,6.4468,6.5967,6.2969,6.3748,987
2019-03-11,6.3718,6.6717,6.2969,6.5232,998
2019-03-12,6.5907,6.6492,6.2969,6.3553,612
2019-03-13,6.3538,6.4468,6.1619,6.3403,342
2019-03-14,6.3868,6.4468,6.2234,6.3133,219
2019-03-15,6.2669,6.4318,6.1619,6.2969,500
2019-03-18,6.6627,6.7451,6.4468,6.5967,953
2019-03-19,6.5967,6.6132,6.5217,6.5967,361
2019-03-20,6.5967,6.6717,6.4468,6.5877,630
2019-03-21,6.5217,7.1934,6.5217,6.916,1747
2019-03-22,6.9715,7.1184,6.5967,6.7039,728
2019-03-25,6.6117,6.7466,6.4468,6.5862,561
2019-03-26,6.4618,6.7406,6.3718,6.4408,302
2019-03-27,7.4603,7.4603,6.5217,6.7061,2555
2019-03-28,6.2969,6.4993,6.1769,6.4318,1127
2019-03-29,6.2519,6.6717,6.2294,6.4468,488
2019-04-01,6.5157,6.6567,6.2969,6.4918,777
2019-04-02,6.4918,6.5967,6.4768,6.4783,266
2019-04-03,6.3718,6.5952,6.3148,6.4378,256
2019-04-04,6.3748,6.4468,6.3148,6.4018,193
2019-04-05,6.3268,6.4018,6.1469,6.2204,435
2019-04-08,6.2129,6.2969,6.1469,6.2969,388
2019-04-09,6.1469,6.2969,5.997,6.1454,481
2019-04-10,6.1469,6.2489,5.997,6.1244,197
2019-04-11,6.072,6.2834,6.039,6.1739,336
2019-04-12,6.0435,6.2909,6.0435,6.1904,140
2019-04-15,6.2699,6.2699,6.003,6.1454,263
2019-04-16,6.036,6.2219,5.997,6.006,206
2019-04-17,6.009,6.1064,5.3988,5.6987,798
2019-04-18,5.922,5.922,5.4123,5.6222,442
2019-04-22,5.6522,5.8441,5.4438,5.6912,125
2019-04-23,5.4273,5.6522,5.4123,5.5472,439
2019-04-24,5.5472,5.5472,5.4348,5.5472,316
2019-04-25,5.4873,5.5472,5.4003,5.4288,259
2019-04-26,5.4723,5.5472,5.4168,5.4738,286
2019-04-29,5.5472,5.8246,5.4873,5.7721,1434
2019-04-30,5.8366,5.8366,5.5637,5.8291,178
2019-05-01,5.7481,5.967,5.7001,5.7586,370
2019-05-02,5.7466,5.7931,5.5802,5.6222,193
2019-05-03,5.5772,5.8471,5.5772,5.8456,101
2019-05-06,5.7181,5.8471,5.6237,5.7706,108
2019-05-07,6.5802,6.7466,5.3508,5.4138,3699
2019-05-08,5.6672,5.8471,5.3988,5.6387,1293
2019-05-09,5.997,6.036,5.3973,5.5112,721
2019-05-10,5.4123,5.5472,5.3973,5.5472,294
2019-05-13,5.5472,5.5472,5.2774,5.4573,579
2019-05-14,5.4723,5.5472,5.2804,5.5022,305
2019-05-15,5.3973,5.5232,5.2954,5.3673,400
2019-05-16,5.3973,5.5472,5.3223,5.4813,288
2019-05-17,5.3193,5.7046,5.2489,5.4483,377
2019-05-20,5.5472,5.5472,5.2474,5.3973,205
2019-05-21,5.3223,5.5472,5.3223,5.3223,151
2019-05-22,5.3973,5.8321,5.3523,5.6972,781
2019-05-23,5.8471,5.8471,5.4123,5.5052,715
2019-05-24,5.5472,5.6972,5.3973,5.4873,305
2019-05-28,5.3973,5.5457,5.3973,5.4648,301
2019-05-29,5.4498,5.5472,5.3223,5.4153,508
2019-05-30,5.4123,5.5472,5.3958,5.5397,280
2019-05-31,5.4183,5.4708,5.2474,5.3433,372
2019-06-03,5.3973,5.3973,5.1724,5.1724,210
2019-06-04,5.1064,5.3973,5.1064,5.3823,221
2019-06-05,5.3973,5.4723,5.2474,5.2774,232
2019-06-06,5.2474,5.3973,5.012,5.1124,362
2019-06-07,5.2474,5.2474,4.8801,5.1627,622
2019-06-10,5.0975,5.2324,4.9475,5.0045,207
2019-06-11,4.979,5.0975,4.6567,4.8846,322
2019-06-12,4.8621,5.0975,4.7976,5.06,141
2019-06-13,5.06,5.09,4.7976,4.9355,431
2019-06-14,5.096,5.2069,4.9475,5.099,232
2019-06-17,5.0975,5.2309,4.9475,5.0472,282
2019-06-18,5.2174,5.2189,4.9925,5.1994,371
2019-06-19,5.1634,5.5472,5.0255,5.3193,450
2019-06-20,5.5982,5.5982,5.3298,5.4723,269
2019-06-21,5.5397,6.4468,5.2099,6.3343,708
2019-06-24,6.1469,6.1469,5.4723,5.6972,777
2019-06-25,5.6972,5.934,5.3223,5.5472,416
2019-06-26,5.5472,5.5472,5.3163,5.3958,445
2019-06-27,5.3973,5.5472,5.3193,5.3973,175
2019-06-28,5.3973,5.5472,5.3088,5.4723,170
2019-07-01,4.9475,5.1904,4.8276,5.0975,927
2019-07-02,4.9475,5.2474,4.9475,5.2474,473
2019-07-03,5.2489,5.3358,4.9475,4.9925,338
2019-07-05,5.0225,5.3073,4.8441,5.0225,794
2019-07-08,5.0975,5.0975,4.4978,4.7076,683
2019-07-09,4.5727,4.8651,4.5727,4.6627,358
2019-07-10,4.6627,4.6627,4.4978,4.5922,423
2019-07-11,4.5727,4.6612,4.4228,4.5442,420
2019-07-12,4.5727,4.5727,4.4228,4.5112,314
2019-07-15,4.54,4.75,4.22,4.6441,1174
2019-07-16,4.56,4.6,4.4,4.49,674
2019-07-17,4.46,4.49,3.9,4.28,936
2019-07-18,4.24,4.25,3.86,3.95,826
2019-07-19,3.95,4.07,3.9107,4.05,624
2019-07-22,4.07,4.16,3.7282,3.94,730
2019-07-23,3.96,3.96,3.47,3.72,824
2019-07-24,3.69,4.1,3.63,3.98,825
2019-07-25,3.94,4.01,3.82,3.82,840
2019-07-26,3.83,4.0,3.72,3.8895,661
2019-07-29,3.87,3.92,3.66,3.75,910
2019-07-30,3.78,3.85,3.7348,3.84,227
2019-07-31,3.82,4.22,3.71,3.97,1050
2019-08-01,4.01,4.11,3.95,3.95,123
2019-08-02,3.93,3.9899,3.8,3.86,153
2019-08-05,3.73,4.14,3.66,3.81,808
2019-08-06,3.89,4.08,3.32,3.46,2476
2019-08-07,3.42,3.42,3.175,3.24,666
2019-08-08,3.25,3.27,2.92,3.1443,989
2019-08-09,3.12,3.18,3.1,3.125,145
2019-08-12,3.0258,3.18,3.02,3.04,221
2019-08-13,3.06,3.2,3.02,3.08,731
2019-08-14,3.0888,3.12,2.8301,3.1,476
2019-08-15,3.06,3.15,2.87,3.15,363
2019-08-16,3.14,3.14,2.998,3.1,155
2019-08-19,3.07,3.2,3.04,3.18,295
2019-08-20,3.18,3.18,3.1084,3.17,51
2019-08-21,3.16,3.19,3.04,3.1,151
2019-08-22,3.11,3.145,3.0,3.09,254
2019-08-23,3.08,3.08,2.9501,3.05,230
2019-08-26,3.14,3.14,3.06,3.06,107
2019-08-27,3.06,3.08,2.88,2.9,383
2019-08-28,2.9305,2.96,2.889,2.96,136
2019-08-29,2.96,2.9655,2.91,2.9467,19
2019-08-30,2.95,2.95,2.85,2.85,99
2019-09-03,3.05,3.642,2.32,2.71,7135
2019-09-04,2.76,2.76,2.54,2.66,418
2019-09-05,2.66,2.75,2.66,2.73,369
2019-09-06,2.71,2.78,2.71,2.71,100
2019-09-09,2.746,2.97,2.7005,2.97,387
2019-09-10,2.98,3.04,2.8,2.92,392
2019-09-11,2.92,2.96,2.85,2.93,128
2019-09-12,2.94,2.95,2.885,2.9,233
2019-09-13,2.9,2.96,2.879,2.92,185
2019-09-16,2.88,2.95,2.8,2.9,421
2019-09-17,2.87,2.94,2.83,2.93,109
2019-09-18,2.91,2.9156,2.85,2.88,39
2019-09-19,2.9,2.99,2.685,2.84,1128
2019-09-20,2.83,2.83,2.77,2.81,143
2019-09-23,2.84,2.86,2.7,2.79,329
2019-09-24,2.78,2.82,2.7,2.74,203
2019-09-25,2.74,2.8,2.591,2.67,414
2019-09-26,2.7,2.7,2.61,2.62,42
2019-09-27,2.61,2.61,2.56,2.5632,305
2019-09-30,2.56,2.64,2.56,2.64,168
2019-10-01,2.61,2.63,2.5629,2.62,95
2019-10-02,2.64,2.66,2.62,2.66,54
2019-10-03,2.67,2.99,2.56,2.97,1129
2019-10-04,2.99,3.03,2.74,2.9,1121
2019-10-07,2.92,3.03,2.81,2.82,259
2019-10-08,2.82,2.83,2.58,2.75,962
2019-10-09,2.72,2.78,2.6751,2.75,139
2019-10-10,2.7694,2.88,2.67,2.74,287
2019-10-11,2.72,2.85,2.72,2.77,226
2019-10-14,2.76,2.76,2.7,2.7,114
2019-10-15,2.7305,2.77,2.66,2.68,521
2019-10-16,2.75,2.85,2.71,2.74,585
2019-10-17,2.71,3.0,2.66,2.66,340
2019-10-18,2.75,2.92,2.7,2.7,140
2019-10-21,2.72,2.79,2.7,2.74,225
2019-10-22,2.79,2.81,2.76,2.81,137
2019-10-23,2.76,2.79,2.72,2.72,147
2019-10-24,2.7356,2.74,2.6781,2.68,44
2019-10-25,2.67,2.71,2.67,2.67,117
2019-10-28,2.6811,2.7,2.61,2.61,252
2019-10-29,2.61,2.6799,2.59,2.6369,147
2019-10-30,2.65,2.72,2.61,2.72,206
2019-10-31,2.72,2.72,2.5577,2.61,333
2019-11-01,2.66,2.9,2.61,2.79,1140
2019-11-04,2.82,2.88,2.7,2.79,590
2019-11-05,3.0,3.04,2.51,2.64,4311
2019-11-06,2.66,2.665,2.53,2.57,605
2019-11-07,2.6,2.6079,2.33,2.35,1083
2019-11-08,2.36,2.54,2.36,2.54,579
2019-11-11,2.59,2.63,2.37,2.47,724
2019-11-12,2.42,2.55,2.34,2.5,614
2019-11-13,2.52,2.7656,2.52,2.67,1914
2019-11-14,2.62,2.63,2.5672,2.5832,206
2019-11-15,2.55,2.69,2.55,2.67,332
2019-11-18,2.6,2.67,2.57,2.63,722
2019-11-19,2.61,2.7,2.59,2.66,380
2019-11-20,2.65,2.71,2.6,2.68,368
2019-11-21,2.65,2.74,2.64,2.72,456
2019-11-22,2.72,2.72,2.57,2.68,1307
2019-11-25,2.66,2.7474,2.6,2.7,755
2019-11-26,2.66,2.69,2.5792,2.635,1056
2019-11-27,2.64,2.66,2.6,2.6287,572
2019-11-29,2.6,2.65,2.5527,2.62,683
2019-12-02,2.66,2.72,2.57,2.7,1981
2019-12-03,2.66,2.94,2.5201,2.85,6958
2019-12-04,2.81,2.85,2.7,2.76,4259
2019-12-05,2.76,2.76,1.55,2.04,9486
2019-12-06,1.99,2.31,1.99,2.31,2407
2019-12-09,2.38,2.7,2.34,2.6,2989
2019-12-10,2.53,2.77,2.44,2.77,1166
2019-12-11,2.72,2.76,2.32,2.65,3007
2019-12-12,2.64,2.64,2.56,2.63,895
2019-12-13,2.9,3.0,2.2,2.39,22000
2019-12-16,2.38,2.4,2.01,2.22,3486
2019-12-17,2.17,2.227,2.06,2.2,1744
2019-12-18,2.15,2.25,2.13,2.14,616
2019-12-19,2.1,2.15,1.98,1.98,3394
2019-12-20,2.01,2.02,1.9,1.97,1332
2019-12-23,2.05,2.16,2.0,2.12,1674
2019-12-24,2.07,2.15,2.0077,2.08,545
2019-12-26,2.01,2.28,2.01,2.25,1519
2019-12-27,2.32,2.44,2.2164,2.28,2845
2019-12-30,2.33,2.44,2.2066,2.3,1296
2019-12-31,2.3,2.43,2.18,2.25,1193
2020-01-02,2.25,2.4,2.25,2.34,400
2020-01-03,2.34,2.42,2.2501,2.3782,444
2020-01-06,2.36,2.44,2.34,2.38,579
2020-01-07,2.39,2.45,2.36,2.39,644
2020-01-08,2.4,2.43,2.35,2.405,729
2020-01-09,2.4,2.46,2.37,2.44,334
2020-01-10,2.42,2.46,2.3703,2.41,526
2020-01-13,2.46,2.46,2.32,2.39,537
2020-01-14,2.56,2.56,2.32,2.47,2171
2020-01-15,2.5,2.51,2.38,2.4,1302
2020-01-16,2.4,2.49,2.32,2.47,1068
2020-01-17,2.47,2.52,2.42,2.48,729
2020-01-21,2.44,2.57,2.42,2.49,1161
2020-01-22,2.48,2.51,2.38,2.45,1880
2020-01-23,2.44,2.49,2.4,2.46,692
2020-01-24,2.51,2.6,2.412,2.6,1261
2020-01-27,2.55,2.56,2.36,2.4,1101
2020-01-28,2.37,2.4898,2.37,2.48,661
2020-01-29,2.48,2.53,2.39,2.4096,166
2020-01-30,2.36,2.43,2.3,2.31,342
2020-01-31,2.31,2.4,2.31,2.36,153
2020-02-03,2.32,2.3867,2.32,2.34,117
2020-02-04,2.3401,2.4,2.31,2.38,541
2020-02-05,2.4,2.4,2.18,2.34,827
2020-02-06,2.29,2.315,2.12,2.19,839
2020-02-07,2.14,2.2976,2.1281,2.2,403
2020-02-10,2.23,2.27,2.13,2.24,286
2020-02-11,2.13,2.24,2.13,2.18,370
2020-02-12,2.22,2.22,2.07,2.09,512
2020-02-13,2.06,2.07,1.97,2.04,1101
2020-02-14,2.03,2.12,2.02,2.0648,250
2020-02-18,2.01,2.12,2.0,2.09,323
2020-02-19,2.09,2.16,2.01,2.15,432
2020-02-20,2.12,2.17,2.06,2.15,122
2020-02-21,2.15,2.18,2.1,2.13,278
2020-02-24,2.12,2.12,2.0,2.01,410
2020-02-25,1.88,1.98,1.86,1.89,760
2020-02-26,1.91,1.91,1.77,1.83,712
2020-02-27,1.93,2.0,1.7507,1.89,842
2020-02-28,1.88,1.99,1.8,1.88,407
2020-03-02,1.76,1.97,1.76,1.92,944
2020-03-03,1.95,1.95,1.8,1.88,322
2020-03-04,1.8701,1.92,1.87,1.895,434
2020-03-05,1.91,1.91,1.85,1.87,85
2020-03-06,1.9,1.9,1.81,1.83,379
2020-03-09,1.75,1.91,1.64,1.69,372
2020-03-10,1.68,1.9,1.68,1.7325,215
2020-03-11,1.68,1.78,1.55,1.6,864
2020-03-12,1.5,1.6,1.3501,1.42,877
2020-03-13,1.64,1.64,1.37,1.37,442
2020-03-16,1.41,1.41,1.16,1.22,232
2020-03-17,1.2,1.32,1.16,1.27,415
2020-03-18,1.21,1.23,1.0609,1.11,372
2020-03-19,1.16,1.29,1.16,1.1601,102
2020-03-20,1.25,1.28,1.16,1.19,919
2020-03-23,1.21,1.33,1.11,1.18,409
2020-03-24,1.16,1.35,1.15,1.2,526
2020-03-25,1.16,1.25,1.16,1.22,135
