date,open,high,low,close,volume
2018-12-10,75.92,76.43,74.66,74.7,1761
2018-12-11,75.33,75.37,72.71,73.0,4029
2018-12-12,73.97,75.15,73.24,73.4,2398
2018-12-13,73.45,73.87,71.96,72.01,1493
2018-12-14,71.66,72.77,70.86,70.98,1297
2018-12-17,70.71,72.07,70.37,70.51,1570
2018-12-18,70.84,71.02,68.86,69.32,2210
2018-12-19,69.25,70.34,67.46,67.74,2385
2018-12-20,67.36,67.94,66.04,66.74,2397
2018-12-21,66.81,67.97,65.65,65.7,3218
2018-12-24,65.27,65.7,63.9,63.92,1420
2018-12-26,64.28,66.68,63.64,66.63,3155
2018-12-27,65.56,66.37,64.44,66.32,1680
2018-12-28,66.66,67.52,65.88,66.83,2417
2018-12-31,67.11,67.41,66.0,67.32,1357
2019-01-02,66.55,68.43,66.54,68.41,1551
2019-01-03,68.27,70.26,68.08,69.0,2355
2019-01-04,70.11,70.77,69.71,70.25,2041
2019-01-07,70.03,71.34,69.99,70.8,1152
2019-01-08,70.83,71.31,69.67,71.26,1710
2019-01-09,71.3,72.32,70.9,72.26,1495
2019-01-10,71.86,72.41,71.05,72.18,2146
2019-01-11,71.85,72.82,71.5,72.56,1742
2019-01-14,72.09,73.16,71.91,72.28,1740
2019-01-15,72.17,72.45,71.17,72.16,1623
2019-01-16,72.89,73.98,72.29,73.72,1869
2019-01-17,73.65,74.51,73.55,74.08,1569
2019-01-18,74.46,76.12,74.2,76.05,2183
2019-01-22,75.72,76.54,74.94,75.36,1823
2019-01-23,75.58,76.01,75.12,75.71,1395
2019-01-24,75.29,76.13,74.83,75.68,2577
2019-01-25,76.02,77.35,75.47,76.79,4439
2019-01-28,76.45,80.32,74.94,80.25,3529
2019-01-29,80.28,80.55,78.8,78.91,2401
2019-01-30,79.22,79.22,77.42,77.62,4252
2019-01-31,77.35,77.79,76.18,77.33,3034
2019-02-01,77.45,78.53,77.33,78.44,1204
2019-02-04,78.42,79.35,78.21,79.15,662
2019-02-05,79.35,79.62,78.6,79.47,1588
2019-02-06,79.62,80.16,79.05,79.78,1912
2019-02-07,80.38,81.45,79.81,80.85,2087
2019-02-08,80.69,80.93,80.12,80.71,2013
2019-02-11,80.95,81.32,80.51,81.17,1172
2019-02-12,81.65,81.8,81.0,81.28,1041
2019-02-13,81.44,81.85,81.0,81.44,875
2019-02-14,80.76,80.85,80.07,80.23,2241
2019-02-15,80.77,81.44,80.65,81.01,1923
2019-02-19,80.62,81.91,80.38,81.7,860
2019-02-20,81.71,82.8,81.38,82.6,639
2019-02-21,82.68,82.84,82.21,82.74,636
2019-02-22,82.66,83.11,82.33,82.89,725
2019-02-25,83.5,83.94,82.91,83.03,814
2019-02-26,83.0,83.48,82.26,82.3,1231
2019-02-27,81.92,82.58,81.54,82.42,1495
2019-02-28,82.58,82.77,82.2,82.23,1353
2019-03-01,82.73,83.14,82.13,82.81,1157
2019-03-04,82.7,83.15,81.87,82.66,1076
2019-03-05,82.54,83.43,81.97,82.98,1036
2019-03-06,82.94,83.08,81.36,81.68,1077
2019-03-07,81.2,81.54,80.61,81.04,1613
2019-03-08,80.74,81.72,80.66,81.54,1190
2019-03-11,81.7,82.07,81.23,81.94,1192
2019-03-12,82.02,82.1,81.44,81.61,1214
2019-03-13,81.96,82.31,81.41,81.45,1335
2019-03-14,81.5,82.01,80.9,81.77,1086
2019-03-15,81.71,82.63,81.24,81.91,1963
2019-03-18,82.32,82.87,82.13,82.54,985
2019-03-19,82.72,82.72,80.5,80.66,852
2019-03-20,80.31,80.77,78.25,78.3,1020
2019-03-21,77.81,78.83,76.87,77.85,2007
2019-03-22,77.18,77.18,74.78,75.63,1786
2019-03-25,75.71,76.71,75.38,76.41,1512
2019-03-26,76.85,78.5,76.85,78.37,1292
2019-03-27,78.29,79.18,77.81,78.75,949
2019-03-28,78.8,79.41,78.14,79.06,1291
2019-03-29,79.56,79.85,78.71,78.87,1031
2019-04-01,79.34,80.39,79.3,80.31,1316
2019-04-02,79.8,80.56,79.59,79.82,1055
2019-04-03,80.45,80.63,79.57,79.82,901
2019-04-04,79.98,80.68,79.7,80.62,1672
2019-04-05,80.94,81.37,80.38,80.95,1607
2019-04-08,80.95,81.42,80.81,81.0,1328
2019-04-09,80.56,80.65,79.61,79.85,1319
2019-04-10,79.6,80.43,79.33,80.28,1426
2019-04-11,80.68,81.1,79.89,80.58,849
2019-04-12,80.97,82.35,80.89,82.05,1112
2019-04-15,81.76,82.18,80.85,81.11,612
2019-04-16,80.99,82.79,80.99,82.7,1176
2019-04-17,82.47,82.47,81.48,81.86,1410
2019-04-18,81.79,81.79,80.46,80.78,867
2019-04-22,83.0,83.2,81.13,81.28,3958
2019-04-23,79.85,81.69,78.5,81.37,2014
2019-04-24,80.93,81.76,80.25,81.4,1628
2019-04-25,81.25,82.5,80.68,81.67,1261
2019-04-26,81.64,82.89,81.59,82.78,1212
2019-04-29,82.79,83.92,82.79,83.03,1008
2019-04-30,83.0,83.29,82.22,82.38,1678
2019-05-01,82.38,82.96,81.45,81.89,1468
2019-05-02,81.94,83.28,81.94,83.26,948
2019-05-03,83.4,84.53,83.35,84.45,861
2019-05-06,83.37,84.17,83.3,83.75,1192
2019-05-07,83.11,83.62,82.35,82.74,734
2019-05-08,82.57,82.92,81.63,81.67,698
2019-05-09,80.79,81.84,80.44,81.54,767
2019-05-10,80.82,81.84,80.56,81.71,661
2019-05-13,80.31,80.73,79.34,79.59,1348
2019-05-14,79.7,81.12,79.6,80.61,955
2019-05-15,79.66,79.78,78.2,78.79,1329
2019-05-16,79.32,80.86,79.32,80.46,852
2019-05-17,79.9,80.86,79.6,79.84,629
2019-05-20,79.56,80.72,79.5,79.83,705
2019-05-21,79.93,81.05,79.93,80.95,529
2019-05-22,80.69,80.69,79.46,79.59,415
2019-05-23,78.97,78.97,77.78,78.42,778
2019-05-24,78.46,79.34,78.46,78.97,602
2019-05-28,78.87,79.0,78.04,78.14,610
2019-05-29,77.59,78.47,77.33,78.36,791
2019-05-30,77.83,78.23,75.94,76.56,830
2019-05-31,75.61,76.23,75.24,75.66,1123
2019-06-03,75.63,77.42,75.33,77.0,979
2019-06-04,77.65,79.07,77.65,79.0,616
2019-06-05,78.87,78.96,77.78,78.36,630
2019-06-06,78.15,79.12,77.83,78.98,753
2019-06-07,78.77,79.43,78.31,79.18,1061
2019-06-10,79.65,80.75,79.18,80.3,1269
2019-06-11,80.63,80.97,79.8,80.0,1301
2019-06-12,79.92,80.54,79.72,79.99,916
2019-06-13,80.24,80.86,80.04,80.42,899
2019-06-14,80.65,80.82,79.7,80.51,1209
2019-06-17,80.56,80.91,78.87,79.17,1120
2019-06-18,79.21,80.57,78.79,80.51,1391
2019-06-19,80.73,81.17,79.26,79.32,1699
2019-06-20,79.76,80.04,78.24,79.54,1828
2019-06-21,79.43,79.92,78.84,79.13,2082
2019-06-24,79.23,79.99,78.87,79.06,1239
2019-06-25,79.03,79.9,78.28,79.6,1598
2019-06-26,79.85,81.18,79.77,80.61,2622
2019-06-27,80.71,81.66,80.38,81.62,1725
2019-06-28,82.26,83.44,81.83,82.91,1647
2019-07-01,83.48,83.77,82.04,82.46,1402
2019-07-02,82.18,82.57,81.05,81.62,933
2019-07-03,81.97,82.19,81.26,82.16,505
2019-07-05,82.62,83.22,82.42,83.09,627
2019-07-08,82.74,82.74,81.09,81.2,1744
2019-07-09,80.53,81.66,80.53,81.43,1039
2019-07-10,81.43,81.56,80.36,80.54,927
