date,open,high,low,close,volume
2018-12-10,5.7,5.71,5.52,5.57,23032
2018-12-11,5.58,5.61,5.43,5.53,22009
2018-12-12,5.63,5.8,5.61,5.72,25454
2018-12-13,5.8,5.88,5.72,5.81,14283
2018-12-14,5.78,5.99,5.76,5.84,34791
2018-12-17,5.93,5.97,5.82,5.82,20866
2018-12-18,5.93,6.02,5.9,5.95,17418
2018-12-19,6.02,6.1,5.74,5.81,15856
2018-12-20,5.87,5.93,5.73,5.87,15499
2018-12-21,5.82,5.83,5.58,5.63,18814
2018-12-24,5.55,5.69,5.55,5.57,6336
2018-12-26,5.51,5.65,5.51,5.65,18124
2018-12-27,5.55,5.66,5.52,5.66,10032
2018-12-28,5.67,5.69,5.63,5.64,9735
2018-12-31,5.66,5.7,5.59,5.68,6190
2019-01-02,5.72,5.96,5.71,5.89,22190
2019-01-03,5.75,5.79,5.68,5.75,19966
2019-01-04,5.65,5.86,5.6,5.77,27213
2019-01-07,5.81,5.89,5.74,5.8,14992
2019-01-08,5.95,6.27,5.94,6.25,52819
2019-01-09,6.32,6.47,6.3,6.39,48018
2019-01-10,6.29,6.61,6.27,6.55,46153
2019-01-11,6.21,6.36,6.19,6.29,47122
2019-01-14,6.17,6.24,6.13,6.16,30909
2019-01-15,6.16,6.16,6.0,6.06,20674
2019-01-16,6.06,6.07,5.96,5.98,27873
2019-01-17,6.15,6.39,6.12,6.36,30563
2019-01-18,6.41,6.49,6.37,6.4,29345
2019-01-22,6.33,6.36,6.13,6.17,22303
2019-01-23,6.28,6.36,6.24,6.33,22810
2019-01-24,6.35,6.46,6.35,6.45,34402
2019-01-25,6.59,6.8,6.53,6.57,30560
2019-01-28,6.43,6.55,6.38,6.52,16404
2019-01-29,6.62,6.68,6.42,6.44,18889
2019-01-30,6.48,6.52,6.29,6.46,32601
2019-01-31,6.62,6.66,6.44,6.5,32431
2019-02-01,6.51,6.63,6.45,6.59,23532
2019-02-04,6.54,6.63,6.48,6.51,19987
2019-02-05,6.7,7.0,6.7,6.99,82986
2019-02-06,6.66,6.75,6.53,6.61,59236
2019-02-07,6.22,6.37,6.14,6.33,70374
2019-02-08,6.26,6.39,6.15,6.31,38186
2019-02-11,6.24,6.27,6.14,6.22,31822
2019-02-12,6.28,6.35,6.25,6.33,13485
2019-02-13,6.12,6.18,6.0,6.01,39252
2019-02-14,5.95,6.21,5.82,6.16,37648
2019-02-15,6.27,6.29,6.13,6.19,16376
2019-02-19,6.03,6.07,6.01,6.02,20839
2019-02-20,6.03,6.16,6.0,6.1,30772
2019-02-21,6.02,6.03,5.9,5.92,14633
2019-02-22,5.97,6.0,5.91,6.0,22904
2019-02-25,6.05,6.05,5.92,5.97,22826
2019-02-26,5.92,5.95,5.85,5.88,17373
2019-02-27,5.82,5.9,5.8,5.87,18932
2019-02-28,5.79,5.83,5.44,5.48,77806
2019-03-01,5.47,5.54,5.4,5.46,42849
2019-03-04,5.46,5.46,5.27,5.42,34849
2019-03-05,5.41,5.44,5.23,5.31,53733
2019-03-06,5.33,5.36,5.17,5.17,51664
2019-03-07,5.22,5.22,5.03,5.05,59688
2019-03-08,5.06,5.23,5.02,5.18,58837
2019-03-11,5.23,5.34,5.22,5.32,37833
2019-03-12,5.39,5.41,5.27,5.28,28281
2019-03-13,5.34,5.4,5.28,5.36,20642
2019-03-14,5.4,5.45,5.34,5.39,36747
2019-03-15,5.6,5.93,5.6,5.9,93720
2019-03-18,5.89,6.14,5.77,6.12,57502
2019-03-19,6.13,6.24,6.1,6.14,37368
2019-03-20,6.07,6.23,6.0,6.18,43210
2019-03-21,6.13,6.14,5.84,6.05,40364
2019-03-22,5.74,5.91,5.67,5.75,55050
2019-03-25,5.69,5.74,5.6,5.73,35710
2019-03-26,5.78,5.88,5.65,5.84,35857
2019-03-27,5.67,5.71,5.51,5.59,28375
2019-03-28,5.63,5.85,5.62,5.82,29185
2019-03-29,5.88,5.96,5.76,5.82,28077
2019-04-01,5.96,6.06,5.95,6.0,22767
