date,open,high,low,close,volume
2018-12-10,11.33,11.38,11.04,11.31,162
2018-12-11,11.38,11.44,11.22,11.35,110
2018-12-12,11.52,11.65,11.3,11.43,123
2018-12-13,11.45,11.48,11.25,11.33,152
2018-12-14,11.25,11.4,11.13,11.21,239
2018-12-17,11.25,11.43,11.14,11.28,153
2018-12-18,11.32,11.71,11.32,11.53,161
2018-12-19,11.53,11.74,11.3,11.48,232
2018-12-20,11.32,11.72,10.91,11.37,620
2018-12-21,11.36,11.94,11.29,11.9,673
2018-12-24,12.0,12.01,11.15,11.15,181
2018-12-26,11.29,11.44,10.92,11.33,457
2018-12-27,11.34,11.53,11.12,11.5,367
2018-12-28,11.3,11.68,11.29,11.59,126
2018-12-31,11.45,11.58,11.19,11.44,229
2019-01-02,11.35,11.59,11.26,11.59,53
2019-01-03,11.45,11.66,11.45,11.65,145
2019-01-04,11.8,11.91,11.69,11.89,186
2019-01-07,11.95,12.2,11.84,12.09,480
2019-01-08,12.09,12.5,12.0,12.41,211
2019-01-09,12.38,12.4,12.15,12.2,126
2019-01-10,12.11,12.29,12.04,12.18,211
2019-01-11,12.18,12.85,12.18,12.79,422
2019-01-14,12.8,12.94,12.71,12.85,286
2019-01-15,12.77,13.05,12.63,12.93,258
2019-01-16,12.95,13.16,12.74,13.13,312
2019-01-17,13.14,13.2,13.01,13.18,160
2019-01-18,13.21,13.25,13.09,13.19,265
2019-01-22,13.05,13.99,13.05,13.91,766
2019-01-23,13.91,13.95,13.09,13.66,210
2019-01-24,13.62,13.74,12.5,12.73,636
2019-01-25,12.73,12.92,12.72,12.85,145
2019-01-28,12.76,12.98,12.62,12.67,179
2019-01-29,12.7,12.7,12.39,12.51,272
2019-01-30,12.63,12.68,12.49,12.6,138
2019-01-31,12.62,13.21,12.55,13.01,230
2019-02-01,12.99,12.99,12.67,12.76,47
2019-02-04,12.78,12.83,12.5,12.7,161
2019-02-05,12.81,12.85,12.71,12.79,125
2019-02-06,12.75,12.9,12.75,12.9,81
2019-02-07,12.93,13.07,12.7,13.05,88
2019-02-08,13.0,13.1,12.92,13.05,95
2019-02-11,13.02,13.17,12.93,13.15,65
2019-02-12,13.11,13.24,12.99,13.01,75
2019-02-13,13.11,13.11,12.82,13.1,76
2019-02-14,13.11,13.15,12.97,13.06,68
2019-02-15,13.1,13.19,12.93,13.16,71
2019-02-19,13.22,13.45,13.13,13.24,273
2019-02-20,13.16,13.39,13.16,13.23,202
2019-02-21,13.18,13.37,13.18,13.37,108
2019-02-22,13.16,13.55,13.16,13.3,157
2019-02-25,13.49,13.49,13.34,13.43,209
2019-02-26,13.35,13.55,13.3,13.4,128
2019-02-27,13.25,13.43,13.25,13.31,113
2019-02-28,13.24,13.45,13.21,13.3,131
2019-03-01,13.29,13.45,13.27,13.39,53
2019-03-04,13.4,13.87,13.38,13.83,385
2019-03-05,13.69,13.88,13.65,13.75,167
2019-03-06,13.62,13.79,13.43,13.49,112
2019-03-07,13.52,13.74,13.39,13.49,83
2019-03-08,13.52,13.54,13.34,13.44,137
2019-03-11,13.57,13.9,13.53,13.79,187
2019-03-12,13.85,13.9,13.5,13.53,191
2019-03-13,13.65,13.8,13.22,13.23,331
2019-03-14,13.23,13.59,13.23,13.51,111
2019-03-15,13.59,13.81,13.59,13.66,380
2019-03-18,13.66,13.85,13.66,13.81,126
2019-03-19,13.85,13.95,13.8,13.87,210
2019-03-20,13.95,13.95,13.39,13.45,137
2019-03-21,13.5,13.89,13.5,13.73,132
2019-03-22,13.7,13.93,13.7,13.73,285
2019-03-25,13.51,13.72,13.45,13.59,134
2019-03-26,13.73,13.8,13.58,13.8,104
2019-03-27,13.72,13.85,13.72,13.85,129
2019-03-28,13.85,13.89,13.71,13.89,188
2019-03-29,13.9,13.9,13.75,13.88,97
2019-04-01,13.9,14.0,13.81,13.97,255
2019-04-02,13.92,13.95,13.8,13.93,85
2019-04-03,13.99,14.0,13.79,13.97,118
2019-04-04,14.0,14.01,13.76,13.89,228
2019-04-05,13.98,13.99,13.71,13.73,144
2019-04-08,13.76,14.0,13.71,13.99,105
2019-04-09,13.89,14.01,13.89,13.95,92
2019-04-10,14.0,14.05,13.92,14.05,208
2019-04-11,14.05,14.05,13.98,14.03,69
2019-04-12,14.0,14.05,13.89,13.97,121
2019-04-15,14.05,14.05,13.88,14.02,109
2019-04-16,14.04,14.04,13.84,13.94,141
2019-04-17,13.94,14.03,13.77,13.94,151
2019-04-18,13.89,13.99,13.82,13.88,75
2019-04-22,13.94,14.05,13.84,14.02,227
2019-04-23,14.0,14.05,13.87,14.05,299
2019-04-24,14.1,14.15,14.02,14.14,300
2019-04-25,14.12,14.15,14.07,14.07,57
2019-04-26,14.12,14.15,14.04,14.14,70
2019-04-29,14.12,14.2,14.11,14.18,131
2019-04-30,14.2,14.2,13.96,14.03,99
2019-05-01,14.01,14.07,13.77,13.99,107
2019-05-02,13.95,14.06,13.83,14.0,110
2019-05-03,14.1,14.2,13.99,14.05,199
2019-05-06,13.91,14.25,13.91,14.19,242
2019-05-07,14.18,14.25,14.16,14.18,98
