date,open,high,low,close,volume
2018-12-10,11.89,12.08,11.15,11.34,3091
2018-12-11,11.35,11.85,10.22,10.26,7367
2018-12-12,10.54,11.22,10.27,10.68,6040
2018-12-13,10.69,10.78,9.94,10.41,6131
2018-12-14,10.3,11.02,10.24,10.43,7623
2018-12-17,10.44,10.52,9.43,9.51,3544
2018-12-18,9.52,9.52,9.1,9.26,2480
2018-12-19,9.26,9.48,8.94,9.04,2914
2018-12-20,8.74,9.19,7.87,7.91,4828
2018-12-21,7.94,8.61,7.94,8.3,4471
2018-12-24,8.25,8.49,7.94,7.94,1501
2018-12-26,8.04,8.76,7.97,8.75,3889
2018-12-27,8.73,8.96,8.5,8.69,2035
2018-12-28,8.72,8.83,8.42,8.5,3233
2018-12-31,8.5,8.78,8.45,8.75,2165
2019-01-02,8.56,9.39,8.4,8.99,2279
2019-01-03,8.98,9.42,8.63,8.93,2294
2019-01-04,9.13,9.65,9.13,9.64,1826
2019-01-07,9.63,10.61,9.58,10.23,2335
2019-01-08,10.54,10.92,10.15,10.5,6997
2019-01-09,10.71,11.44,10.7,10.76,6012
2019-01-10,10.6,11.1,10.34,10.54,5907
2019-01-11,10.43,10.43,9.97,10.28,4819
2019-01-14,10.22,10.74,10.09,10.45,3396
2019-01-15,10.5,10.68,9.75,9.88,6639
2019-01-16,10.06,10.33,9.88,10.03,7498
2019-01-17,9.96,10.75,9.8,10.62,3444
2019-01-18,10.8,11.09,10.51,10.94,2235
2019-01-22,10.88,11.01,10.18,10.24,6366
2019-01-23,10.34,10.55,10.03,10.31,7066
2019-01-24,10.29,10.46,9.59,10.45,34731
2019-01-25,10.54,11.34,10.39,10.95,8991
2019-01-28,10.87,11.28,10.69,11.18,15071
2019-01-29,11.24,11.57,11.14,11.24,6370
2019-01-30,11.37,11.87,11.2,11.7,4353
2019-01-31,11.82,12.16,11.48,11.79,6224
2019-02-01,11.89,12.55,11.48,12.13,12231
2019-02-04,12.03,12.36,11.84,12.1,6177
2019-02-05,12.1,12.17,11.76,11.77,2731
2019-02-06,11.78,12.03,11.56,11.67,5138
2019-02-07,11.55,11.6,10.99,11.0,6225
2019-02-08,10.99,11.12,10.19,10.74,10625
2019-02-11,10.62,10.83,10.28,10.65,15368
2019-02-12,10.77,11.12,10.67,10.86,12459
2019-02-13,10.9,11.58,10.9,11.57,8855
2019-02-14,11.53,11.9,11.36,11.42,7218
2019-02-15,11.53,11.99,11.53,11.95,4229
2019-02-19,11.94,12.07,11.77,11.91,2872
2019-02-20,11.85,12.03,11.81,11.89,5268
2019-02-21,11.88,12.17,11.72,11.9,2728
2019-02-22,12.08,12.69,11.94,12.67,6768
2019-02-25,12.62,13.05,12.45,12.81,7349
2019-02-26,12.77,13.16,12.6,12.7,6085
2019-02-27,12.81,13.03,12.62,12.73,13885
2019-02-28,12.84,12.97,12.42,12.73,5842
2019-03-01,12.73,13.05,12.56,12.75,4333
2019-03-04,12.84,13.22,12.66,12.81,5850
2019-03-05,12.87,13.09,12.5,12.65,7839
2019-03-06,12.63,12.76,12.09,12.19,7435
2019-03-07,12.09,12.36,11.5,11.9,10156
2019-03-08,11.68,11.97,11.44,11.68,8437
2019-03-11,11.71,12.06,11.66,11.82,8489
2019-03-12,11.9,12.2,11.8,11.99,4563
2019-03-13,12.12,12.33,11.39,11.61,14041
2019-03-14,11.47,11.88,11.47,11.7,11226
2019-03-15,11.63,11.87,11.43,11.82,8202
2019-03-18,11.84,12.13,11.8,11.94,6405
2019-03-19,12.13,12.45,12.03,12.12,10295
2019-03-20,12.12,12.45,11.97,12.23,8169
2019-03-21,12.21,12.46,11.88,11.91,3219
2019-03-22,11.87,11.91,11.08,11.12,5125
2019-03-25,11.02,11.27,10.91,10.97,4619
2019-03-26,11.11,11.45,10.93,11.4,5269
2019-03-27,11.41,11.53,11.15,11.27,4359
2019-03-28,11.19,12.0,11.16,11.71,8709
2019-03-29,12.01,12.17,11.5,11.54,7059
2019-04-01,11.69,12.22,11.69,12.11,4694
2019-04-02,12.11,12.39,12.1,12.13,3280
2019-04-03,12.26,12.4,11.76,11.79,4966
2019-04-04,11.82,12.05,11.74,11.91,4418
2019-04-05,11.95,12.47,11.95,12.29,5418
2019-04-08,12.3,12.58,12.3,12.45,4295
2019-04-09,12.42,12.55,12.25,12.34,2056
2019-04-10,12.44,12.77,12.35,12.73,3001
2019-04-11,12.66,12.93,12.59,12.81,4639
2019-04-12,13.15,13.29,12.7,12.77,4119
2019-04-15,12.76,12.91,12.42,12.5,2179
2019-04-16,12.58,12.7,12.41,12.55,1608
2019-04-17,12.62,12.63,12.41,12.57,1138
2019-04-18,12.57,12.66,12.34,12.62,1377
2019-04-22,12.75,13.04,12.62,12.91,3517
2019-04-23,12.95,13.24,12.93,12.95,6549
2019-04-24,13.03,13.03,12.54,12.79,2962
2019-04-25,12.77,12.77,11.02,11.67,23350
2019-04-26,11.6,11.67,11.37,11.56,3270
2019-04-29,11.56,11.65,11.19,11.26,2235
2019-04-30,11.37,11.43,11.05,11.36,2654
2019-05-01,11.29,11.55,11.03,11.05,1533
2019-05-02,10.92,11.05,10.72,10.88,2389
2019-05-03,11.07,11.31,10.87,11.23,2950
2019-05-06,11.07,11.39,10.9,11.3,3524
2019-05-07,11.14,11.21,10.88,10.97,2147
2019-05-08,10.97,11.26,10.97,11.07,3462
2019-05-09,11.07,11.7,10.77,11.44,4699
2019-05-10,11.39,11.56,11.03,11.48,2261
2019-05-13,11.38,11.64,11.13,11.23,1628
2019-05-14,11.29,11.78,11.25,11.36,4574
2019-05-15,11.23,11.25,10.86,11.1,3110
2019-05-16,11.14,11.88,11.0,11.3,8644
2019-05-17,11.17,11.18,10.77,10.97,6525
2019-05-20,10.93,11.19,10.83,11.06,4321
2019-05-21,11.12,11.61,11.07,11.5,4058
2019-05-22,11.41,11.55,11.05,11.08,4632
2019-05-23,10.79,11.05,10.53,10.59,6028
2019-05-24,10.75,10.93,10.6,10.81,6171
2019-05-28,10.84,11.08,10.75,10.76,4091
2019-05-29,10.57,11.12,10.4,11.06,4482
2019-05-30,11.08,11.16,10.74,10.75,4083
2019-05-31,10.49,10.92,10.49,10.75,5893
2019-06-03,10.7,11.02,10.7,10.79,4203
2019-06-04,10.91,11.17,10.71,11.17,2726
2019-06-05,11.12,11.17,10.36,10.45,2394
2019-06-06,10.5,10.7,10.05,10.34,3504
2019-06-07,10.42,10.45,10.13,10.33,2583
2019-06-10,10.45,10.6,10.2,10.44,3858
2019-06-11,10.58,10.61,10.25,10.34,2817
2019-06-12,10.37,10.37,10.01,10.19,2332
2019-06-13,10.48,10.5,10.17,10.39,4532
2019-06-14,10.4,10.67,10.24,10.51,3362
2019-06-17,10.51,10.89,10.47,10.77,5160
2019-06-18,10.78,11.13,10.7,10.95,3135
2019-06-19,10.95,11.05,10.72,10.93,2926
2019-06-20,11.14,11.23,10.97,11.09,3367
2019-06-21,11.03,11.24,10.96,10.99,2076
2019-06-24,10.92,10.95,10.44,10.58,2707
2019-06-25,10.59,10.59,10.29,10.39,5763
2019-06-26,10.52,10.9,10.48,10.59,8326
2019-06-27,10.55,10.75,10.26,10.31,15204
2019-06-28,10.38,10.9,10.38,10.6,12859
2019-07-01,10.82,10.89,10.35,10.62,7411
2019-07-02,10.78,10.78,9.99,10.04,4931
2019-07-03,10.09,10.6,9.89,10.12,8681
2019-07-05,10.0,10.44,10.0,10.42,2511
2019-07-08,10.29,10.65,10.18,10.23,7964
2019-07-09,10.2,10.3,10.02,10.12,3677
2019-07-10,10.27,10.45,10.14,10.35,3852
2019-07-11,10.41,10.47,10.26,10.33,2416
2019-07-12,10.36,10.54,10.25,10.47,2616
2019-07-15,10.53,10.6,10.29,10.39,4309
2019-07-16,10.41,10.6,10.31,10.4,3748
2019-07-17,10.4,10.45,10.17,10.2,5482
2019-07-18,10.25,10.27,10.07,10.18,1479
2019-07-19,10.15,10.28,10.12,10.25,1867
2019-07-22,10.22,10.47,10.17,10.23,4175
2019-07-23,10.25,10.52,10.22,10.41,2201
2019-07-24,10.4,10.69,10.4,10.51,3282
2019-07-25,10.58,10.7,10.32,10.39,3282
2019-07-26,10.42,10.55,10.28,10.5,2735
2019-07-29,10.49,10.49,9.25,9.4,6249
2019-07-30,9.45,9.92,9.31,9.91,4793
2019-07-31,9.87,10.19,9.78,9.8,3144
2019-08-01,9.71,9.71,8.86,9.04,4284
2019-08-02,9.03,9.23,8.8,8.99,2878
2019-08-05,8.79,8.95,8.54,8.81,3922
2019-08-06,8.84,9.1,8.53,8.9,5937
2019-08-07,8.7,8.92,8.58,8.86,6512
2019-08-08,8.23,8.96,8.03,8.5,27835
2019-08-09,8.48,8.9,8.29,8.59,9666
2019-08-12,8.51,8.83,8.45,8.77,7504
2019-08-13,8.73,8.86,8.51,8.61,8782
2019-08-14,8.48,8.51,8.23,8.45,4359
2019-08-15,8.46,8.56,8.14,8.22,3520
2019-08-16,8.24,8.67,8.16,8.6,2773
2019-08-19,8.73,8.84,8.52,8.6,2514
2019-08-20,8.51,8.6,8.37,8.47,2917
2019-08-21,8.53,8.64,8.41,8.45,3285
2019-08-22,8.42,8.43,8.14,8.21,4935
2019-08-23,8.07,8.14,7.65,7.71,5422
2019-08-26,7.89,8.06,7.68,7.89,8599
2019-08-27,7.91,8.0,7.58,7.77,6451
2019-08-28,7.77,8.23,7.77,8.03,5971
2019-08-29,8.17,8.32,8.11,8.22,5217
2019-08-30,8.25,8.25,7.92,7.99,3277
2019-09-03,7.84,8.06,7.68,7.95,3995
2019-09-04,8.02,8.27,8.02,8.17,5033
2019-09-05,8.22,8.66,8.22,8.6,3930
2019-09-06,8.56,8.67,8.43,8.66,2883
2019-09-09,8.7,9.18,8.7,9.11,3507
2019-09-10,9.14,9.88,9.14,9.55,8269
2019-09-11,9.67,10.04,9.57,9.81,4676
2019-09-12,9.61,9.93,9.51,9.72,3715
2019-09-13,9.76,9.99,9.64,9.83,2725
2019-09-16,10.42,10.86,10.18,10.77,15726
2019-09-17,10.74,10.75,10.32,10.44,5680
2019-09-18,10.33,10.59,9.61,10.43,6673
2019-09-19,10.55,10.68,9.68,10.09,8505
2019-09-20,10.15,10.42,10.06,10.25,7087
2019-09-23,10.19,10.66,10.13,10.565,4072
2019-09-24,10.56,10.56,9.78,9.83,4166
2019-09-25,9.69,9.9,9.6,9.71,2514
2019-09-26,9.62,9.65,9.22,9.57,2797
2019-09-27,9.47,9.74,9.45,9.6,6839
2019-09-30,9.56,9.56,9.33,9.36,1943
2019-10-01,9.4,9.61,9.19,9.26,3080
2019-10-02,9.17,9.5,9.03,9.345,3119
2019-10-03,9.22,9.38,9.06,9.32,2516
2019-10-04,9.36,9.4,9.16,9.325,1931
2019-10-07,9.33,9.43,9.17,9.28,2306
2019-10-08,9.15,9.54,9.15,9.34,5281
2019-10-09,9.46,9.57,9.24,9.405,2121
2019-10-10,9.43,9.65,9.37,9.605,3573
2019-10-11,9.66,9.96,9.59,9.88,4312
2019-10-14,9.82,10.19,9.67,10.06,4909
2019-10-15,10.1,10.18,9.79,9.91,5176
2019-10-16,9.85,9.95,9.66,9.72,2860
2019-10-17,9.72,9.8,9.55,9.72,4469
2019-10-18,9.72,9.8,9.27,9.435,2374
2019-10-21,9.36,9.6,9.33,9.58,3748
2019-10-22,9.56,10.09,9.52,9.85,5900
2019-10-23,9.89,10.19,9.62,10.01,4613
2019-10-24,10.07,10.2,9.76,9.86,3715
2019-10-25,9.8,10.06,9.7,10.01,4095
2019-10-28,10.11,10.26,9.78,9.9,2960
2019-10-29,9.8,10.08,9.78,9.95,4067
2019-10-30,9.95,10.01,9.33,9.49,2807
2019-10-31,9.42,9.45,9.06,9.39,2051
2019-11-01,9.43,9.76,9.32,9.76,3309
2019-11-04,9.88,10.25,9.88,10.02,2722
2019-11-05,10.12,10.83,10.0,10.64,10625
2019-11-06,10.59,10.7,10.21,10.45,2490
2019-11-07,10.63,11.14,10.45,10.99,5162
2019-11-08,10.86,11.39,10.68,11.05,6418
2019-11-11,11.0,11.19,10.77,11.03,4823
