date,open,high,low,close,volume
2018-12-10,10.515,10.545,10.335,10.4,5192
2018-12-11,10.485,10.485,10.18,10.335,7396
2018-12-12,10.585,10.755,10.555,10.6,5087
2018-12-13,10.69,10.81,10.61,10.785,4778
2018-12-14,10.65,10.89,10.65,10.775,4049
2018-12-17,10.68,10.715,10.45,10.525,4485
2018-12-18,10.7,10.86,10.59,10.82,4889
2018-12-19,10.935,11.1,10.525,10.63,11040
2018-12-20,10.925,10.925,10.495,10.64,8994
2018-12-21,10.62,10.69,10.315,10.335,7642
2018-12-24,10.345,10.485,10.275,10.295,3596
2018-12-26,10.065,10.42,10.045,10.41,6811
2018-12-27,10.2,10.485,10.17,10.475,4028
2018-12-28,10.525,10.705,10.45,10.545,9453
2018-12-31,10.63,10.705,10.525,10.66,4367
2019-01-02,10.92,11.675,10.92,11.645,10898
2019-01-03,11.82,12.04,11.635,11.865,20468
2019-01-04,11.895,12.365,11.79,12.26,21354
2019-01-07,12.385,12.41,12.19,12.21,28520
2019-01-08,12.03,12.05,11.72,12.02,11151
2019-01-09,12.095,12.345,12.065,12.2,5717
2019-01-10,12.155,12.365,12.01,12.24,4367
2019-01-11,12.05,12.23,11.97,12.23,5619
2019-01-14,12.165,12.595,12.115,12.47,7543
2019-01-15,12.355,12.41,11.97,12.065,7371
2019-01-16,12.075,12.23,12.0,12.02,5005
2019-01-17,11.95,12.2,11.845,12.085,8016
2019-01-18,12.325,12.365,12.165,12.325,5343
2019-01-22,12.325,12.355,12.02,12.095,6352
2019-01-23,12.395,12.69,12.345,12.69,9575
2019-01-24,12.585,12.72,12.45,12.585,13771
2019-01-25,12.49,12.815,12.49,12.64,7783
2019-01-28,12.51,12.86,12.5,12.615,7672
2019-01-29,12.93,12.93,12.605,12.64,7252
2019-01-30,12.125,12.64,11.855,12.5,14112
2019-01-31,12.545,12.755,12.49,12.735,9838
2019-02-01,12.69,12.795,12.62,12.735,7222
2019-02-04,12.63,13.15,12.63,13.12,7783
2019-02-05,13.075,13.13,12.755,12.985,5893
2019-02-06,12.65,12.735,12.305,12.335,6246
2019-02-07,12.335,12.49,12.145,12.325,5698
2019-02-08,12.585,12.615,12.2,12.545,8165
2019-02-11,12.51,12.51,12.18,12.325,5331
2019-02-12,12.565,12.775,12.42,12.62,7827
2019-02-13,12.66,12.66,12.17,12.24,6021
2019-02-14,12.135,12.735,12.115,12.615,8671
2019-02-15,12.745,12.775,12.575,12.7,5993
2019-02-19,12.585,12.86,12.585,12.72,4461
2019-02-20,12.65,12.835,12.44,12.44,9068
2019-02-21,12.365,12.42,12.155,12.375,8365
2019-02-22,12.43,12.51,12.325,12.385,18287
2019-02-25,12.5,12.535,12.135,12.165,9589
2019-02-26,12.18,12.21,12.055,12.115,4400
2019-02-27,12.095,12.125,11.935,11.96,4844
2019-02-28,11.8,11.835,11.445,11.475,8155
2019-03-01,11.37,11.455,11.195,11.255,9995
2019-03-04,11.3,11.435,11.08,11.28,7885
2019-03-05,11.34,11.395,11.195,11.29,4582
2019-03-06,11.2626,11.32,10.822,10.9082,8826
2019-03-07,11.0136,11.0136,10.7741,10.889,4779
2019-03-08,10.8699,11.0614,10.8029,11.0136,5697
2019-03-11,11.2147,11.4445,11.1285,11.4349,12658
2019-03-12,11.4445,11.6265,11.4158,11.4637,10922
2019-03-13,11.4541,11.8946,11.3392,11.8372,9938
2019-03-14,11.7031,11.7893,11.502,11.6169,5737
2019-03-15,11.6265,11.7701,11.569,11.5786,6164
2019-03-18,11.6552,11.8563,11.6456,11.8084,3631
2019-03-19,11.8372,11.8851,11.6648,11.6839,5613
2019-03-20,11.6552,11.8276,11.4924,11.569,6323
2019-03-21,11.4254,11.4541,10.9082,11.2147,9428
2019-03-22,10.7358,10.8986,10.4964,10.6017,14936
2019-03-25,10.6209,10.8986,10.6017,10.822,7076
2019-03-26,10.9369,10.9848,10.755,10.9369,9627
2019-03-27,10.4677,10.5539,10.1325,10.1325,20042
2019-03-28,10.075,10.6975,9.9984,10.6113,17710
2019-03-29,10.6975,10.8795,10.6305,10.755,8419
2019-04-01,10.9657,11.2147,10.8603,11.0327,11546
2019-04-02,11.1093,11.1093,10.8124,10.9657,8431
2019-04-03,11.0614,11.1859,10.7933,10.822,7498
2019-04-04,10.7454,11.1668,10.6784,11.1285,9438
2019-04-05,11.1285,11.3487,11.0231,11.3296,8101
2019-04-08,11.2434,11.3487,11.1572,11.2913,10318
2019-04-09,11.1859,11.1859,10.9561,11.1476,10827
2019-04-10,11.2626,11.3104,11.0997,11.2626,5277
2019-04-11,11.1668,11.2242,10.9082,11.0327,5791
2019-04-12,11.0231,11.2338,10.8124,10.9657,10008
2019-04-15,11.1093,11.1764,10.9657,11.0136,6276
2019-04-16,10.9369,11.2817,10.9369,11.1668,5917
2019-04-17,11.2242,11.253,10.6209,10.7167,7733
2019-04-18,10.6688,11.1285,10.6305,10.9657,7939
2019-04-22,10.9465,11.1381,10.8316,11.0806,5899
2019-04-23,11.2242,11.3487,11.0327,11.2147,10093
2019-04-24,11.1189,11.1285,10.7262,10.8986,13055
2019-04-25,10.8316,11.0231,10.6592,10.9848,8254
2019-04-26,11.0423,11.2338,11.0231,11.1189,4650
2019-04-29,11.1476,11.2147,11.0136,11.1093,6197
2019-04-30,11.2147,11.2338,10.7837,10.9657,8302
2019-05-01,10.9944,11.0997,10.822,10.8507,5311
2019-05-02,10.822,10.9465,10.7741,10.889,4408
2019-05-03,10.9848,11.0614,10.9465,10.9752,3082
2019-05-06,10.7071,10.7645,10.5922,10.6496,4374
2019-05-07,10.4868,10.5634,10.2761,10.5155,4988
2019-05-08,10.7741,10.9561,10.7645,10.8507,3872
2019-05-09,10.5634,10.7358,10.4772,10.6209,5144
