date,open,high,low,close,volume
2018-12-10,2.65,2.73,2.61,2.65,63821
2018-12-11,2.66,2.6901,2.58,2.61,33467
2018-12-12,2.6,2.67,2.59,2.65,54614
2018-12-13,2.64,2.69,2.61,2.68,43390
2018-12-14,2.63,2.65,2.58,2.62,44357
2018-12-17,2.65,2.72,2.63,2.71,51192
2018-12-18,2.66,2.79,2.64,2.77,42726
2018-12-19,2.77,2.85,2.62,2.62,65849
2018-12-20,2.7,2.75,2.66,2.72,50493
2018-12-21,2.71,2.785,2.65,2.78,57650
2018-12-24,2.82,2.87,2.78,2.82,48661
2018-12-26,2.86,2.86,2.75,2.79,21319
2018-12-27,2.83,2.93,2.79,2.92,48380
2018-12-28,2.93,2.94,2.86,2.89,43868
2018-12-31,2.91,2.92,2.835,2.92,27196
2019-01-02,2.93,2.94,2.86,2.91,30363
2019-01-03,2.92,2.985,2.9,2.95,39588
2019-01-04,2.89,2.95,2.86,2.92,42765
2019-01-07,2.91,2.96,2.85,2.86,55777
2019-01-08,2.81,2.91,2.8,2.87,31811
2019-01-09,2.86,2.955,2.86,2.92,37836
2019-01-10,2.89,2.91,2.85,2.86,31020
2019-01-11,2.88,2.9,2.83,2.86,35208
2019-01-14,2.88,2.91,2.85,2.88,33799
2019-01-15,2.9,2.905,2.82,2.86,35731
2019-01-16,2.89,2.89,2.83,2.86,31428
2019-01-17,2.86,2.86,2.76,2.77,38186
2019-01-18,2.79,2.79,2.63,2.66,63882
2019-01-22,2.66,2.77,2.66,2.75,49936
2019-01-23,2.75,2.81,2.71,2.78,37909
2019-01-24,2.8,2.84,2.77,2.83,36085
2019-01-25,2.86,2.945,2.86,2.9,38793
2019-01-28,2.93,2.98,2.91,2.94,62252
2019-01-29,2.97,3.0255,2.95,3.01,36729
2019-01-30,3.0,3.14,2.9832,3.07,49750
2019-01-31,3.12,3.1799,3.1,3.17,44272
2019-02-01,3.13,3.17,3.04,3.14,49952
2019-02-04,3.1,3.165,3.07,3.12,35809
2019-02-05,3.14,3.14,3.07,3.11,26468
2019-02-06,3.09,3.11,3.02,3.03,40432
2019-02-07,3.03,3.045,2.98,3.03,33966
2019-02-08,3.07,3.1,3.02,3.09,24169
2019-02-11,3.05,3.065,2.99,2.99,27985
2019-02-12,3.0,3.02,2.9,2.91,23642
2019-02-13,2.92,3.0,2.9,2.93,24592
2019-02-14,2.95,3.0,2.915,3.0,37528
2019-02-15,3.01,3.025,2.95,3.01,40334
2019-02-19,3.03,3.17,3.02,3.15,77030
2019-02-20,3.15,3.225,3.12,3.18,65794
2019-02-21,3.16,3.22,3.13,3.22,69425
2019-02-22,3.2,3.35,3.2,3.32,53095
2019-02-25,3.33,3.33,3.23,3.24,54176
2019-02-26,3.23,3.305,3.21,3.3,49144
2019-02-27,3.29,3.31,3.205,3.22,47240
2019-02-28,3.25,3.25,3.1101,3.14,41055
