date,open,high,low,close,volume
2018-12-10,53.91,53.93,51.52,53.05,28069
2018-12-11,53.57,54.42,52.85,53.54,18406
2018-12-12,53.88,54.99,53.7,53.73,15937
2018-12-13,53.78,53.78,51.92,52.39,21644
2018-12-14,51.74,52.13,49.92,50.06,28040
2018-12-17,49.23,49.37,47.66,47.93,26324
2018-12-18,48.55,48.63,46.58,47.05,25126
2018-12-19,47.05,47.56,45.84,46.13,30883
2018-12-20,46.08,46.71,44.6,45.3,36239
2018-12-21,45.3,46.29,44.15,44.44,29582
2018-12-24,44.33,44.39,42.9,42.93,15259
2018-12-26,43.11,44.59,42.17,44.57,27598
2018-12-27,44.0,44.58,42.9,44.58,20464
2018-12-28,44.75,45.27,44.1,44.58,30515
2018-12-31,44.28,44.86,43.95,44.6,19154
2019-01-02,44.12,45.61,43.95,45.07,24045
2019-01-03,44.57,44.9,43.82,44.16,25526
2019-01-04,44.66,45.07,44.21,44.92,16704
2019-01-07,44.92,46.38,44.67,45.8,18473
2019-01-08,46.04,46.87,45.98,46.5,22674
2019-01-09,46.8,47.17,46.38,46.58,27737
2019-01-10,46.87,48.04,46.75,47.59,21640
2019-01-11,47.35,47.61,46.97,47.59,12502
2019-01-14,47.2,47.58,47.18,47.28,19477
2019-01-15,47.42,47.67,47.05,47.63,20029
2019-01-16,47.74,48.75,47.66,48.42,25423
2019-01-17,48.19,48.74,47.69,48.17,17516
2019-01-18,48.62,49.17,48.61,49.05,21607
2019-01-22,48.76,48.9,48.31,48.65,15936
2019-01-23,48.72,49.09,48.16,48.87,10877
2019-01-24,48.8,49.13,48.26,48.52,15519
2019-01-25,48.9,49.6,48.9,49.35,40496
2019-01-28,49.16,49.43,48.48,49.14,15327
2019-01-29,49.3,49.5,48.96,49.34,20142
2019-01-30,49.39,49.46,48.31,48.76,44560
2019-01-31,48.67,50.63,48.61,49.97,33971
2019-02-01,49.17,49.75,48.31,49.34,23205
2019-02-04,49.38,49.93,49.03,49.91,20763
2019-02-05,49.99,50.7,49.79,50.2,18696
2019-02-06,50.0,51.07,50.0,50.79,27404
2019-02-07,53.5,54.7,52.75,54.25,71474
2019-02-08,54.47,54.52,52.06,52.67,38341
2019-02-11,52.84,53.23,52.12,53.19,20274
2019-02-12,53.61,54.66,53.38,54.53,30146
2019-02-13,54.65,55.19,54.07,55.05,21195
2019-02-14,54.91,55.65,54.46,55.5,30882
2019-02-15,55.9,55.98,55.36,55.48,29816
2019-02-19,55.31,56.88,55.13,56.79,20787
2019-02-20,56.22,56.49,55.54,55.91,17650
2019-02-21,55.8,55.9,54.37,54.75,20636
2019-02-22,54.7,55.01,54.26,54.9,18279
2019-02-25,55.44,55.44,54.53,54.58,16615
2019-02-26,54.52,54.7,53.56,53.6,17248
2019-02-27,53.29,53.89,52.96,53.63,23575
2019-02-28,53.65,54.36,53.38,54.34,25670
2019-03-01,54.66,54.97,52.94,53.05,28918
2019-03-04,53.01,53.01,50.64,50.9,34869
2019-03-05,50.8,51.0,49.81,49.86,23896
2019-03-06,49.85,49.91,48.2,48.23,21896
2019-03-07,48.07,48.31,47.46,47.5,25327
2019-03-08,47.22,48.09,47.04,47.7,24717
2019-03-11,47.93,48.87,47.46,48.85,21625
2019-03-12,48.93,49.79,48.92,49.33,19897
2019-03-13,49.72,51.07,49.45,50.65,28206
2019-03-14,50.76,50.87,50.18,50.8,23400
2019-03-15,50.81,51.02,50.09,50.27,27600
2019-03-18,50.35,50.69,49.46,49.97,24762
2019-03-19,50.04,50.88,50.04,50.55,28786
2019-03-20,50.41,50.42,48.97,49.36,15921
2019-03-21,49.22,50.26,49.13,50.16,17695
2019-03-22,50.0,50.28,48.62,48.64,17906
2019-03-25,48.65,48.66,47.15,47.56,29914
2019-03-26,47.8,48.54,47.53,47.79,22736
2019-03-27,47.77,48.38,47.48,48.06,29263
2019-03-28,48.1,48.54,47.65,47.92,24659
2019-03-29,47.89,48.18,47.54,48.15,21809
2019-04-01,48.67,49.19,48.43,49.12,17298
2019-04-02,48.09,48.5,47.11,47.16,28456
2019-04-03,47.52,48.23,46.58,47.08,25925
2019-04-04,47.04,47.18,46.36,46.87,17659
2019-04-05,47.07,48.04,47.02,47.49,20791
2019-04-08,47.42,47.77,46.92,47.55,15152
2019-04-09,47.34,47.6,46.99,47.34,13597
2019-04-10,47.43,47.43,46.09,46.94,25028
2019-04-11,47.13,47.21,46.2,46.38,18152
2019-04-12,46.7,47.3,46.5,46.79,20007
2019-04-15,46.99,47.66,46.78,47.08,20931
2019-04-16,47.38,47.41,46.21,46.75,19205
2019-04-17,46.89,46.97,44.5,44.88,26688
2019-04-18,44.92,46.18,44.89,46.0,31952
2019-04-22,45.93,46.37,45.09,45.26,19165
2019-04-23,45.39,46.53,45.25,46.08,21523
2019-04-24,46.13,46.89,45.94,46.58,26640
2019-04-25,46.4,47.08,45.93,46.85,18210
2019-04-26,47.05,47.67,46.99,47.51,13111
2019-04-29,47.51,47.81,47.09,47.44,11195
2019-04-30,48.0,48.76,47.26,48.71,28447
2019-05-01,48.7,48.72,47.48,47.6,22499
2019-05-02,47.75,48.91,47.75,48.74,17733
2019-05-03,48.86,49.89,48.81,49.56,27613
2019-05-06,48.79,49.53,48.17,49.44,26027
2019-05-07,49.14,49.63,48.66,48.94,41135
2019-05-08,49.14,50.02,48.42,49.71,30346
2019-05-09,48.05,50.4,47.24,50.14,42536
2019-05-10,50.24,50.77,47.92,48.85,26757
2019-05-13,48.0,48.0,45.92,46.07,32360
2019-05-14,46.21,46.74,45.96,46.1,25286
2019-05-15,45.91,46.34,45.2,46.18,16675
2019-05-16,46.2,46.57,45.06,45.23,22283
2019-05-17,44.92,46.21,44.8,45.03,25391
2019-05-20,44.82,46.08,44.71,45.98,31309
2019-05-21,46.26,47.36,46.2,46.9,27228
2019-05-22,46.79,46.94,46.28,46.84,14096
2019-05-23,46.47,46.55,45.63,45.91,12801
2019-05-24,45.99,46.38,45.59,45.95,8206
2019-05-28,45.94,46.51,45.43,45.48,9956
2019-05-29,45.39,45.39,43.51,43.68,22169
