date,open,high,low,close,volume
2018-12-10,45.96,46.31,45.19,45.74,3590
2018-12-11,46.0,46.04,44.97,45.41,5623
2018-12-12,45.88,46.42,45.53,45.96,5848
2018-12-13,46.22,46.58,45.76,45.83,4899
2018-12-14,45.56,45.86,44.62,44.76,4996
2018-12-17,44.83,44.99,44.04,44.22,5492
2018-12-18,44.64,45.0,43.5,43.58,6667
2018-12-19,44.7,44.81,42.85,43.2,7083
2018-12-20,43.06,43.36,42.33,42.98,8405
2018-12-21,42.79,43.94,42.24,42.49,9284
2018-12-24,42.19,42.91,41.88,42.25,3850
2018-12-26,42.38,43.97,42.18,43.09,5269
2018-12-27,42.8,43.38,41.63,42.8,4691
2018-12-28,42.78,43.32,42.5,42.69,5186
2018-12-31,42.83,43.52,42.52,43.51,5064
2019-01-02,43.04,43.2,42.34,43.12,5269
2019-01-03,42.86,43.15,42.05,42.06,4673
2019-01-04,42.45,43.09,42.02,42.41,6818
2019-01-07,42.16,44.08,41.88,43.87,12865
2019-01-08,45.4,46.72,45.24,46.2,10835
2019-01-09,46.19,46.4,45.85,46.1,5663
2019-01-10,45.63,46.23,45.32,45.92,3412
2019-01-11,45.48,46.14,44.84,46.11,4835
2019-01-14,45.85,46.63,45.44,45.52,5207
2019-01-15,45.76,45.78,44.45,45.65,5292
2019-01-16,45.64,46.54,45.64,45.74,6042
2019-01-17,45.85,46.34,45.7,46.08,4186
2019-01-18,46.34,46.34,45.43,46.09,6431
2019-01-22,46.01,46.19,44.16,44.53,7704
2019-01-23,44.72,45.11,44.51,44.86,4720
2019-01-24,44.91,45.18,44.59,44.72,4377
2019-01-25,45.12,45.4,44.35,44.91,3844
2019-01-28,44.68,46.12,44.41,45.9,4743
2019-01-29,45.91,45.91,44.25,44.91,5101
2019-01-30,44.97,45.54,44.93,45.17,3362
2019-01-31,45.21,45.22,44.68,44.88,4297
2019-02-01,44.57,45.41,44.54,44.97,4411
2019-02-04,45.1,46.16,45.1,45.96,3751
2019-02-05,46.12,46.77,45.95,46.37,4063
2019-02-06,46.3,46.51,45.47,46.1,4706
2019-02-07,45.92,46.69,45.47,46.06,3231
2019-02-08,45.99,46.34,45.76,46.14,2997
2019-02-11,46.14,46.52,45.48,45.62,4195
2019-02-12,45.77,46.56,45.65,45.99,3207
2019-02-13,46.17,46.17,45.26,46.03,4163
2019-02-14,46.23,47.13,46.05,46.88,3975
2019-02-15,47.18,47.68,46.82,47.03,8155
2019-02-19,47.03,47.44,45.86,46.5,9046
2019-02-20,46.32,46.8,46.01,46.38,12307
2019-02-21,46.84,50.07,46.84,48.84,21116
2019-02-22,48.96,49.11,47.01,47.53,11718
2019-02-25,47.75,47.75,46.29,46.48,8399
2019-02-26,46.5,46.52,46.11,46.23,5532
2019-02-27,46.07,46.97,46.07,46.81,3811
2019-02-28,47.1,47.74,46.9,47.3,4969
2019-03-01,47.13,47.46,46.43,46.85,6091
2019-03-04,46.87,46.87,45.35,45.45,7592
2019-03-05,45.44,46.88,45.44,46.68,7766
2019-03-06,46.91,47.19,46.47,46.63,5923
2019-03-07,46.65,46.65,46.08,46.42,4755
2019-03-08,46.3,46.53,45.92,46.13,3494
2019-03-11,46.14,46.7,45.96,46.43,5027
2019-03-12,46.52,46.52,45.96,46.26,5351
2019-03-13,46.47,46.66,46.19,46.29,4787
2019-03-14,46.3,47.0,46.21,46.74,4208
2019-03-15,46.82,46.87,46.17,46.41,5262
2019-03-18,46.44,46.44,45.85,46.24,3758
2019-03-19,46.27,46.6,45.52,45.83,3781
2019-03-20,45.82,45.82,44.38,44.4,5441
2019-03-21,44.48,45.82,44.48,45.48,4208
2019-03-22,45.35,46.02,45.3,45.64,5306
2019-03-25,45.73,46.73,45.56,46.58,4168
2019-03-26,46.59,47.73,46.59,47.34,6990
2019-03-27,47.41,47.85,47.05,47.12,3878
2019-03-28,47.29,48.56,47.29,48.5,4121
2019-03-29,48.84,49.12,48.5,48.92,6110
2019-04-01,48.98,49.2,48.44,48.59,4557
2019-04-02,48.65,48.65,47.72,48.2,5530
2019-04-03,48.58,48.81,47.67,47.89,4492
2019-04-04,47.94,48.46,47.42,48.41,4444
2019-04-05,48.57,49.15,48.28,48.77,3725
2019-04-08,48.82,49.18,48.19,48.28,3813
2019-04-09,48.01,48.11,47.39,47.68,4483
2019-04-10,47.74,48.03,47.39,47.95,2536
2019-04-11,48.01,48.05,47.02,47.22,5946
2019-04-12,47.3,47.75,47.15,47.63,4039
2019-04-15,47.75,48.16,47.25,47.26,5468
2019-04-16,47.46,47.46,46.42,47.23,7537
2019-04-17,47.33,47.4,46.16,46.17,3484
2019-04-18,46.12,47.25,46.12,47.03,4915
2019-04-22,46.86,47.73,46.86,47.64,4750
