date,open,high,low,close,volume
2018-12-10,35.32,36.34,34.65,34.81,5415
2018-12-11,35.34,36.15,34.18,34.75,5589
2018-12-12,35.12,36.35,34.58,36.03,6004
2018-12-13,36.22,36.85,34.85,35.68,4406
2018-12-14,35.39,36.41,34.66,34.76,4421
2018-12-17,34.32,34.86,32.65,33.02,7474
2018-12-18,33.65,34.9,33.27,33.85,5550
2018-12-19,33.87,35.0,32.56,33.14,6393
2018-12-20,33.06,33.29,31.39,32.6,5160
2018-12-21,32.59,32.67,30.69,30.81,8776
2018-12-24,31.04,31.61,30.29,30.94,2993
2018-12-26,31.36,33.12,30.57,33.08,3920
2018-12-27,32.47,33.28,31.66,33.28,2625
2018-12-28,33.38,34.47,32.6,33.53,4359
2018-12-31,33.82,34.38,33.15,33.73,3120
2019-01-02,32.79,33.61,32.38,32.94,3949
2019-01-03,32.8,33.07,31.8,32.23,4568
2019-01-04,32.71,33.71,32.39,33.19,2974
2019-01-07,33.11,34.38,32.78,34.13,3321
2019-01-08,34.4,35.68,33.77,35.44,4061
2019-01-09,35.81,36.19,34.83,36.02,4241
2019-01-10,35.63,36.3,34.53,36.08,2704
2019-01-11,35.78,36.5,35.42,36.02,5653
2019-01-14,35.59,35.9,35.07,35.34,4507
2019-01-15,35.35,36.92,35.29,36.34,3208
2019-01-16,36.28,36.95,35.71,36.38,4030
2019-01-17,36.4,37.46,36.36,37.19,2712
2019-01-18,37.02,38.9,37.02,38.43,3816
2019-01-22,38.24,39.0,37.84,38.75,8267
2019-01-23,38.94,39.02,38.15,38.82,4431
2019-01-24,38.71,40.29,38.71,40.18,6236
2019-01-25,40.55,41.73,40.55,41.35,3222
2019-01-28,40.97,41.89,40.32,40.96,3348
2019-01-29,41.16,41.31,40.19,40.34,1505
2019-01-30,40.76,41.76,39.94,41.66,5287
2019-01-31,41.89,43.29,41.89,42.77,2922
2019-02-01,42.51,43.13,41.92,42.8,2831
2019-02-04,42.97,42.97,42.01,42.44,3707
2019-02-05,42.48,42.75,41.8,42.58,4757
2019-02-06,42.46,42.6,40.82,40.84,4185
2019-02-07,40.72,40.72,39.04,39.1,6719
2019-02-08,38.85,39.44,38.37,38.6,6196
2019-02-11,38.53,40.44,38.14,39.37,6175
2019-02-12,39.49,40.58,39.49,39.85,4673
2019-02-13,39.91,40.7,39.57,40.28,3992
2019-02-14,39.97,40.85,39.97,40.17,1232
2019-02-15,40.08,40.36,39.49,40.0,3200
2019-02-19,39.96,40.18,39.24,39.87,2978
2019-02-20,40.0,41.0,39.58,40.85,3713
2019-02-21,40.81,41.04,40.16,40.63,1950
2019-02-22,40.95,42.54,40.68,42.25,7079
2019-02-25,42.92,44.94,41.63,42.42,18100
2019-02-26,42.43,43.05,41.57,41.67,4853
2019-02-27,41.49,43.12,41.25,42.65,9663
2019-02-28,42.98,45.25,42.47,42.73,13392
2019-03-01,43.2,43.2,38.45,40.37,23087
2019-03-04,40.6,40.93,38.9,39.8,8207
2019-03-05,39.83,40.19,39.07,39.87,5686
2019-03-06,39.84,40.22,39.2,39.51,5620
2019-03-07,39.5,39.56,38.81,39.01,4117
2019-03-08,38.47,39.29,38.03,39.24,4871
2019-03-11,39.31,40.1,39.24,39.99,4093
2019-03-12,39.97,40.16,39.47,39.53,3349
2019-03-13,39.69,40.23,39.26,39.62,4352
2019-03-14,39.59,39.9,38.8,39.09,4483
2019-03-15,38.99,39.39,38.4,38.52,9009
2019-03-18,39.41,40.91,38.94,39.2,9206
2019-03-19,39.12,39.6,37.76,39.2,6843
2019-03-20,39.06,39.94,38.71,39.19,2767
2019-03-21,38.99,40.03,38.64,39.14,3304
2019-03-22,38.87,39.03,37.4,37.55,8531
2019-03-25,37.56,38.71,37.42,38.05,5972
2019-03-26,38.34,39.04,38.19,38.99,4212
2019-03-27,39.0,39.55,38.5,38.71,4491
2019-03-28,38.85,39.27,38.31,38.81,3278
2019-03-29,39.35,40.25,39.0,40.06,5755
2019-04-01,40.39,41.09,39.63,39.9,6154
2019-04-02,40.0,40.94,39.19,40.8,5017
2019-04-03,41.08,41.55,40.4,41.28,4925
2019-04-04,41.48,41.9,40.44,41.24,7818
2019-04-05,41.31,41.8,40.7,41.45,9911
2019-04-08,41.29,41.29,39.76,39.81,5229
2019-04-09,39.74,39.74,38.74,39.35,4634
2019-04-10,39.24,39.76,38.94,39.74,4322
2019-04-11,39.75,40.55,39.47,39.8,4331
2019-04-12,40.06,41.04,39.58,40.99,3197
2019-04-15,41.04,41.55,40.44,41.0,2895
2019-04-16,41.28,41.28,37.55,37.62,21155
2019-04-17,37.51,38.31,33.78,36.41,30941
2019-04-18,36.29,36.6,35.79,36.3,13850
2019-04-22,36.17,37.41,36.14,36.36,9715
2019-04-23,36.47,36.91,36.21,36.67,6858
2019-04-24,36.81,37.86,36.81,37.64,6152
2019-04-25,37.74,38.36,37.53,37.97,4799
2019-04-26,38.5,39.44,37.99,39.3,4292
2019-04-29,39.36,40.35,39.08,40.17,3269
2019-04-30,40.21,41.06,39.89,40.74,5892
2019-05-01,40.81,40.81,39.67,39.98,5104
2019-05-02,39.88,40.46,39.04,39.89,2990
2019-05-03,40.08,41.35,39.74,40.76,4542
2019-05-06,39.88,41.05,39.29,40.6,4045
2019-05-07,40.16,40.77,39.5,40.05,4212
2019-05-08,40.0,40.78,39.85,40.05,4117
2019-05-09,39.7,40.77,39.31,39.96,6352
2019-05-10,42.3,42.82,37.21,39.25,27900
2019-05-13,38.36,39.31,37.8,38.35,7292
2019-05-14,38.5,39.59,38.42,38.92,5035
2019-05-15,38.52,38.84,36.25,36.56,14046
2019-05-16,36.5,37.35,35.57,36.79,14079
2019-05-17,36.6,37.3,36.5,36.77,6293
2019-05-20,36.24,36.71,35.31,35.75,6847
2019-05-21,36.04,36.53,35.88,35.92,5300
2019-05-22,35.63,36.35,35.02,36.0,11826
2019-05-23,35.76,35.94,34.94,35.46,5284
2019-05-24,35.63,35.92,35.09,35.1,4287
2019-05-28,35.09,35.83,34.48,34.7,7700
2019-05-29,34.63,34.77,33.26,33.52,8641
2019-05-30,33.5,33.85,33.31,33.69,5104
2019-05-31,33.24,34.57,32.87,34.16,11020
2019-06-03,34.39,34.54,33.05,33.53,7941
2019-06-04,33.85,34.37,33.01,34.14,6928
2019-06-05,34.33,34.67,33.63,34.27,6049
2019-06-06,34.3,34.82,33.86,34.64,5192
2019-06-07,34.69,35.29,34.2,35.04,8370
2019-06-10,35.46,36.0,35.11,35.36,9514
2019-06-11,35.99,36.01,34.99,35.48,9174
2019-06-12,35.51,35.84,34.79,35.33,8166
2019-06-13,35.37,36.02,35.07,35.69,18900
2019-06-14,35.61,35.98,35.26,35.65,3005
2019-06-17,35.67,36.12,35.37,35.87,3327
2019-06-18,36.0,37.04,35.96,36.76,3840
2019-06-19,36.95,38.52,36.73,38.29,6093
2019-06-20,38.77,39.4,38.47,38.74,11710
2019-06-21,38.75,39.54,38.4,38.92,7584
2019-06-24,38.9,38.91,38.01,38.35,8846
2019-06-25,38.5,39.05,36.59,36.74,12246
2019-06-26,36.88,37.9,35.34,35.4,7976
2019-06-27,35.48,36.0,35.21,35.29,5476
2019-06-28,35.36,36.31,35.25,36.11,7249
2019-07-01,36.5,36.76,35.89,36.02,4311
2019-07-02,35.98,36.23,35.27,36.0,6362
2019-07-03,36.19,36.37,35.59,36.17,3234
2019-07-05,36.17,36.38,35.26,36.13,5157
2019-07-08,36.13,36.29,35.64,35.78,6567
2019-07-09,35.65,36.83,35.14,36.53,7890
2019-07-10,36.69,38.2,36.61,37.44,9680
2019-07-11,37.4,37.48,36.59,37.46,4266
2019-07-12,37.45,38.31,37.0,37.97,2840
2019-07-15,37.99,38.03,37.51,37.67,3114
2019-07-16,37.68,37.97,37.16,37.24,2405
2019-07-17,37.15,37.3,36.3,36.32,3243
2019-07-18,36.3,36.71,35.91,36.22,2912
2019-07-19,36.19,36.6,35.51,35.61,3085
2019-07-22,35.63,35.9,35.01,35.37,2684
2019-07-23,35.45,35.78,35.02,35.78,3766
2019-07-24,35.79,36.76,35.79,36.65,1996
2019-07-25,36.49,36.89,36.1,36.27,2228
2019-07-26,36.57,37.12,36.46,36.59,2748
2019-07-29,36.53,36.9,36.31,36.88,3586
2019-07-30,36.77,37.23,36.73,37.21,4545
2019-07-31,37.25,37.66,37.01,37.27,5656
2019-08-01,37.31,38.14,36.77,36.85,6162
2019-08-02,36.94,36.94,35.14,36.15,5346
2019-08-05,35.26,35.26,34.16,34.36,9878
2019-08-06,34.56,35.13,32.24,32.88,17082
2019-08-07,33.57,33.57,30.22,33.0,19474
2019-08-08,33.13,34.0,32.16,33.92,7311
2019-08-09,33.49,33.97,31.99,32.01,9562
2019-08-12,31.82,32.39,30.81,31.92,9201
2019-08-13,31.73,33.07,31.51,32.43,6089
2019-08-14,31.65,32.15,30.87,31.19,10439
2019-08-15,31.2,31.28,30.45,31.09,7727
2019-08-16,31.26,31.6,31.01,31.21,9009
2019-08-19,31.74,32.29,30.91,32.11,7389
2019-08-20,31.87,32.04,31.65,31.74,2721
2019-08-21,31.99,32.59,31.54,32.39,4656
2019-08-22,32.55,32.56,31.73,32.15,3273
2019-08-23,31.97,32.34,31.09,31.24,3141
2019-08-26,31.72,31.84,31.35,31.81,2551
2019-08-27,32.13,32.45,31.63,31.94,4856
2019-08-28,31.88,32.06,31.54,31.83,3246
2019-08-29,32.21,32.94,32.0,32.7,5194
2019-08-30,32.99,33.34,32.34,32.62,2567
2019-09-03,32.26,32.52,31.67,31.82,4010
2019-09-04,32.11,32.63,31.53,32.45,3062
2019-09-05,32.78,33.72,32.38,33.06,5821
2019-09-06,33.04,33.68,32.12,33.21,3772
2019-09-09,33.38,34.19,32.68,33.87,4896
2019-09-10,33.59,34.96,32.96,34.77,6845
2019-09-11,34.84,36.29,34.53,35.72,7249
2019-09-12,35.77,35.99,34.35,34.37,8060
2019-09-13,34.67,36.14,34.39,35.57,7060
2019-09-16,35.34,36.0,34.47,34.55,4804
2019-09-17,34.67,35.06,34.29,34.9,4145
2019-09-18,34.93,35.19,32.72,33.14,9155
2019-09-19,33.22,33.95,33.22,33.38,4368
2019-09-20,33.39,33.79,33.1,33.14,7719
2019-09-23,33.01,33.03,30.9,31.86,10232
2019-09-24,31.86,32.51,30.02,30.27,7853
2019-09-25,30.14,30.5,29.64,30.07,6715
2019-09-26,29.96,30.64,29.66,30.6,8169
2019-09-27,30.52,31.09,30.32,30.61,12424
2019-09-30,30.61,31.24,30.55,30.95,5406
2019-10-01,31.17,31.3,30.91,31.07,12217
2019-10-02,30.97,31.04,30.22,30.85,8639
2019-10-03,30.76,31.02,29.66,30.21,10602
2019-10-04,30.16,30.31,29.14,30.285,9004
2019-10-07,30.25,30.67,29.87,30.4,4316
2019-10-08,30.09,30.4,29.57,29.62,7166
2019-10-09,29.97,30.03,29.5,29.67,4671
2019-10-10,29.55,29.66,28.65,28.68,5720
2019-10-11,29.1,29.98,28.8,29.33,5468
2019-10-14,29.23,29.83,28.88,29.79,2470
2019-10-15,29.76,31.29,29.73,31.225,4546
2019-10-16,31.15,31.48,30.53,31.345,4042
2019-10-17,31.49,31.85,31.23,31.75,3145
2019-10-18,31.56,31.63,30.86,31.11,5628
2019-10-21,31.37,31.68,31.01,31.03,3090
2019-10-22,31.01,31.91,31.0,31.55,4451
2019-10-23,31.6,31.91,31.27,31.83,3165
2019-10-24,31.88,32.39,31.81,32.28,3775
2019-10-25,32.27,33.53,32.12,33.39,3854
2019-10-28,33.49,33.91,32.9,32.94,3872
2019-10-29,32.78,32.99,31.86,32.3,8909
2019-10-30,32.31,33.49,32.05,33.36,7985
2019-10-31,33.27,33.74,33.03,33.59,8070
2019-11-01,33.75,35.32,33.44,35.27,8276
2019-11-04,35.31,35.31,34.11,34.34,8106
2019-11-05,34.45,34.78,33.46,33.82,11550
2019-11-06,34.2,37.25,34.2,36.09,16575
2019-11-07,36.35,37.66,35.85,37.59,7414
2019-11-08,37.33,38.17,37.0,37.8,5370
2019-11-11,37.8,38.4,37.32,37.8,6745
2019-11-12,37.87,38.42,37.31,38.32,7027
2019-11-13,37.96,38.46,37.6,38.42,3162
2019-11-14,38.32,38.6,37.79,38.4,4171
2019-11-15,38.75,39.8,38.36,39.68,7141
2019-11-18,39.52,39.98,39.08,39.23,7110
2019-11-19,39.4,39.99,39.05,39.71,9496
2019-11-20,39.99,40.91,39.69,40.13,7389
2019-11-21,40.34,40.57,40.01,40.15,5326
2019-11-22,40.72,40.79,39.54,39.6,8049
2019-11-25,39.7,39.9,39.29,39.64,8170
2019-11-26,39.64,40.37,39.52,39.71,7064
2019-11-27,39.97,40.1,39.46,39.73,4260
2019-11-29,39.5,40.2,39.25,40.09,1784
2019-12-02,40.09,40.25,38.66,39.26,5444
2019-12-03,38.78,39.5,38.62,39.31,4305
2019-12-04,39.7,39.86,38.86,38.91,2777
2019-12-05,38.92,39.09,38.12,38.45,3219
2019-12-06,38.71,38.89,38.21,38.36,4136
2019-12-09,38.31,38.48,37.81,37.99,5183
2019-12-10,37.87,38.23,36.93,37.0,4777
2019-12-11,37.1,37.1,36.52,36.81,6562
2019-12-12,36.83,37.82,36.58,37.37,3485
2019-12-13,37.2,37.99,37.12,37.21,3169
2019-12-16,37.87,38.24,37.23,37.48,2806
2019-12-17,37.62,37.62,36.15,36.53,5162
2019-12-18,36.54,36.95,36.38,36.68,2251
2019-12-19,36.7,37.47,36.59,37.09,2689
2019-12-20,37.31,37.53,36.48,36.63,5337
2019-12-23,36.83,37.0,36.21,36.685,3394
2019-12-24,36.7,36.94,35.89,36.06,1387
2019-12-26,36.23,36.7,35.75,35.83,2288
2019-12-27,35.88,36.05,34.94,35.73,3823
2019-12-30,35.5,35.78,34.93,35.04,3486
2019-12-31,34.89,35.58,34.54,35.18,3324
2020-01-02,35.37,36.6,34.97,36.51,4981
2020-01-03,35.83,36.4,35.55,36.35,4173
2020-01-06,35.95,36.44,35.65,36.38,3883
2020-01-07,36.27,36.38,35.51,36.19,2751
2020-01-08,36.15,36.82,35.91,36.43,2567
2020-01-09,36.81,36.82,35.0,35.29,11874
2020-01-10,35.5,35.56,34.66,35.18,4063
2020-01-13,35.13,35.71,34.76,34.87,7419
2020-01-14,34.99,36.07,34.58,35.45,8500
2020-01-15,35.56,36.61,35.14,36.01,8211
2020-01-16,36.14,37.8,36.0,37.73,7730
2020-01-17,37.99,38.35,37.13,38.06,8352
2020-01-21,38.0,38.53,37.41,37.97,8302
2020-01-22,38.06,38.48,36.95,37.05,5473
2020-01-23,36.9,37.22,36.36,37.08,3076
2020-01-24,37.34,37.57,35.58,36.04,4733
2020-01-27,35.08,36.25,34.7,36.04,4424
2020-01-28,36.21,36.45,35.76,35.77,2964
2020-01-29,36.01,36.4,35.59,35.76,3690
2020-01-30,35.28,35.83,35.03,35.81,2861
2020-01-31,35.85,35.91,34.87,35.65,4170
2020-02-03,35.52,36.15,35.23,35.8,5529
2020-02-04,36.1,36.2,35.41,35.67,6491
2020-02-05,35.9,35.9,33.97,34.41,12504
2020-02-06,34.56,34.56,33.73,34.36,6334
2020-02-07,34.25,34.33,33.31,33.34,7222
2020-02-10,33.06,33.27,32.31,32.42,10962
2020-02-11,32.55,33.52,32.55,33.3,7377
2020-02-12,33.62,34.61,33.5,34.44,5996
2020-02-13,34.08,35.09,33.89,34.1,11222
2020-02-14,25.89,26.5,24.8,25.05,150532
2020-02-18,26.24,26.45,25.62,26.07,33004
2020-02-19,26.11,28.12,26.08,27.71,44102
2020-02-20,28.0,28.77,27.58,28.25,28614
2020-02-21,27.98,28.59,27.02,27.6,19533
2020-02-24,26.19,27.35,26.03,26.88,11715
2020-02-25,27.03,27.45,25.84,26.755,19195
2020-02-26,26.73,27.42,26.5,27.15,13048
2020-02-27,26.16,26.58,25.52,25.76,13633
2020-02-28,25.0,25.91,24.95,25.49,14134
2020-03-02,25.64,25.65,23.73,24.86,20676
2020-03-03,24.92,25.64,23.78,24.03,8903
2020-03-04,24.5,24.84,23.93,24.77,4120
2020-03-05,24.22,24.56,23.0,23.24,8906
2020-03-06,22.71,23.09,22.01,22.5,13122
2020-03-09,20.5,21.59,19.63,20.38,15884
2020-03-10,21.05,21.49,20.4,21.39,19656
2020-03-11,20.82,21.15,20.17,20.6,12954
2020-03-12,19.46,19.84,17.45,18.27,23959
2020-03-13,19.55,21.07,18.01,21.065,17433
2020-03-16,19.0,19.43,17.21,17.45,20325
2020-03-17,17.8,18.86,17.51,18.78,26966
2020-03-18,17.68,18.37,14.25,16.25,17968
2020-03-19,14.36,17.64,14.29,16.86,23061
2020-03-20,17.01,17.4,16.56,16.58,18614
2020-03-23,16.93,16.93,15.78,16.14,21227
2020-03-24,17.02,18.6,16.67,18.42,12455
2020-03-25,19.0,20.47,18.1,19.99,15547
2020-03-26,20.25,20.98,19.99,20.52,12338
2020-03-27,19.36,19.82,18.24,18.96,7767
