date,open,high,low,close,volume
2020-03-19,12.0,12.0,12.0,12.0,1
2020-03-20,13.0,13.0,12.0,12.75,23
2020-03-23,12.75,12.75,11.5,11.54,185
2020-03-24,12.9,12.9,11.5,11.7,793
2020-03-25,11.8,13.45,11.8,13.45,165
2020-03-26,14.0,15.45,14.0,15.45,741
2020-03-27,15.0,16.0,14.55,14.55,785
2020-03-30,15.25,16.5,15.25,15.9,1403
2020-03-31,16.39,17.25,14.56,17.25,4395
2020-04-01,16.0,16.0,14.56,15.05,11459
2020-04-02,15.66,15.9,12.12,13.28,34382
2020-04-03,13.75,17.0,13.38,16.92,320271
2020-04-06,17.06,17.15,14.85,15.44,290273
2020-04-07,15.2,15.8,14.55,15.25,210781
2020-04-08,14.5,15.25,13.73,14.26,437058
2020-04-09,14.0,15.5,13.9,14.78,315597
2020-04-13,14.5,14.5,13.98,13.99,203304
2020-04-14,14.0,14.2,13.78,13.87,196349
2020-04-15,13.53,13.66,12.94,13.36,137472
2020-04-16,13.15,13.25,12.26,12.89,180822
2020-04-17,13.3,13.83,12.93,13.74,187014
2020-04-20,13.5,14.74,13.47,14.45,181933
2020-04-21,14.22,15.25,14.18,14.69,135159
2020-04-22,14.95,15.16,14.22,14.79,106680
2020-04-23,14.7,15.92,14.61,15.72,100347
2020-04-24,15.6,16.67,15.29,16.25,132426
2020-04-27,16.17,16.81,15.97,16.8,110785
2020-04-28,16.88,17.75,16.61,17.0,116914
2020-04-29,17.46,18.08,17.17,17.64,113145
2020-04-30,17.22,17.84,16.98,17.71,93840
2020-05-01,17.33,17.35,16.62,16.77,82683
2020-05-04,16.15,16.52,15.69,16.4,69754
2020-05-05,16.68,16.76,15.84,15.97,139142
2020-05-06,16.0,16.37,15.43,16.29,75340
2020-05-07,16.21,17.04,15.88,16.41,98345
2020-05-08,17.04,18.4,16.93,18.36,151035
2020-05-11,18.2,18.75,18.02,18.35,79719
2020-05-12,18.39,18.4,17.69,17.8,65279
2020-05-13,17.21,17.44,16.1,16.44,89838
2020-05-14,16.02,16.72,15.72,16.55,67796
2020-05-15,16.3,16.97,16.0,16.71,63285
2020-05-18,17.3,17.72,17.29,17.55,45773
2020-05-19,17.44,17.92,17.15,17.77,67025
2020-05-20,18.16,19.05,18.04,18.73,107504
2020-05-21,18.54,19.52,18.5,19.45,76560
2020-05-22,19.47,19.86,18.95,19.05,52126
2020-05-26,19.62,20.6,19.34,19.51,64945
2020-05-27,19.57,20.13,19.43,19.99,76494
2020-05-28,20.08,20.46,19.5,19.6,63503
2020-05-29,18.96,20.98,18.88,20.47,113838
2020-06-01,20.61,21.95,20.55,21.82,62059
2020-06-02,21.69,21.83,20.9,21.36,60185
2020-06-03,21.51,22.58,21.38,22.22,57691
2020-06-04,22.03,23.12,22.03,22.68,48869
2020-06-05,23.54,24.4,23.38,23.56,60546
2020-06-08,23.63,24.38,23.31,24.37,68182
2020-06-09,23.74,23.96,23.21,23.21,49803
2020-06-10,22.31,23.15,22.04,22.2,81896
2020-06-11,20.21,21.8,20.0,21.06,52386
2020-06-12,22.0,22.31,21.02,21.54,35096
2020-06-15,20.72,22.54,20.63,21.97,60029
2020-06-16,22.96,23.0,21.92,22.07,56309
2020-06-17,22.17,22.34,21.08,21.26,39029
2020-06-18,21.0,21.89,21.0,21.25,24374
2020-06-19,21.76,21.85,21.0,21.45,44076
2020-06-22,21.52,22.83,21.31,22.74,47679
2020-06-23,23.12,23.24,22.32,22.39,45182
2020-06-24,22.16,22.66,21.45,21.82,54851
2020-06-25,21.62,21.87,21.03,21.52,47973
2020-06-26,21.52,21.74,20.59,20.97,38432
2020-06-29,21.08,22.47,21.0,22.12,51424
2020-06-30,21.82,22.41,21.41,22.22,44365
2020-07-01,22.32,23.01,21.87,22.61,78376
2020-07-02,22.99,23.22,22.57,22.91,46987
2020-07-06,23.13,24.29,23.13,24.21,47396
2020-07-07,23.76,24.18,23.72,24.01,28838
2020-07-08,23.88,24.09,23.46,23.99,33514
2020-07-09,24.0,24.22,23.76,23.91,43868
2020-07-10,23.84,26.06,23.72,24.89,108514
2020-07-13,25.14,25.21,23.26,24.28,68625
2020-07-14,24.3,25.17,24.23,25.15,55970
2020-07-15,25.58,26.57,25.54,26.45,49673
2020-07-16,26.12,26.99,25.92,26.61,41123
2020-07-17,26.89,26.9,26.33,26.48,24639
2020-07-20,26.22,26.54,26.06,26.41,17373
2020-07-21,26.29,26.8,26.16,26.57,42163
2020-07-22,26.34,27.06,26.32,26.6,26056
2020-07-23,26.66,27.63,26.52,27.35,45889
2020-07-24,27.25,27.26,26.54,26.58,75605
