date,open,high,low,close,volume
2018-12-10,10.22,10.35,9.95,10.3,593
2018-12-11,10.4,10.4,10.05,10.17,351
2018-12-12,10.27,10.4,10.01,10.06,572
2018-12-13,10.08,10.31,9.81,9.87,597
2018-12-14,9.77,9.89,9.13,9.62,660
2018-12-17,9.67,9.97,9.12,9.26,970
2018-12-18,9.26,9.85,8.86,9.03,2921
2018-12-19,9.15,9.15,8.14,8.29,3085
2018-12-20,8.29,8.4,7.01,7.1,9760
2018-12-21,7.08,7.4,6.61,6.87,5449
2018-12-24,6.67,6.76,6.2,6.59,2637
2018-12-26,6.64,6.85,6.47,6.73,1592
2018-12-27,6.69,7.69,6.6,7.39,2084
2018-12-28,7.35,8.09,7.31,8.0,1692
2018-12-31,7.94,8.28,7.48,7.89,2198
2019-01-02,7.73,8.31,6.99,8.25,742
2019-01-03,8.25,8.64,8.08,8.16,887
2019-01-04,8.68,9.69,8.33,9.39,1933
2019-01-07,9.46,10.4,9.46,9.96,2717
2019-01-08,10.08,10.39,9.38,9.52,1237
2019-01-09,9.52,9.82,8.92,9.32,1280
2019-01-10,9.3,9.3,8.68,8.69,1077
2019-01-11,8.64,8.84,8.38,8.75,1794
2019-01-14,8.68,8.68,8.23,8.24,1044
2019-01-15,8.25,8.25,7.78,8.15,1431
2019-01-16,8.13,8.59,7.64,8.22,2633
2019-01-17,8.16,8.39,7.83,7.95,1636
2019-01-18,7.95,8.01,7.61,7.94,2293
2019-01-22,8.14,8.14,7.6,8.0,2325
2019-01-23,7.99,8.03,7.51,7.75,1653
2019-01-24,7.57,8.08,7.56,7.97,1619
2019-01-25,7.97,8.19,7.63,7.67,3219
2019-01-28,7.61,7.9,7.45,7.73,3100
2019-01-29,7.76,7.95,7.6,7.91,1807
2019-01-30,7.96,8.58,7.89,8.55,1551
2019-01-31,8.47,8.87,8.28,8.79,2223
2019-02-01,8.82,8.82,8.15,8.37,2685
2019-02-04,8.37,9.04,8.29,8.57,2670
2019-02-05,8.58,9.11,8.58,8.99,3939
2019-02-06,9.27,9.29,8.01,8.38,3856
2019-02-07,8.38,8.76,8.31,8.59,1548
2019-02-08,8.58,8.73,7.51,8.29,6323
2019-02-11,8.32,8.42,8.0,8.09,1414
2019-02-12,8.15,8.45,8.03,8.32,2177
2019-02-13,8.36,9.06,8.24,8.78,4372
2019-02-14,8.79,8.91,8.32,8.35,1694
2019-02-15,8.37,9.04,8.32,8.93,2256
2019-02-19,8.94,9.08,8.73,8.8,1182
2019-02-20,8.79,8.79,8.38,8.5,981
2019-02-21,8.47,8.63,8.29,8.38,1009
2019-02-22,8.39,8.64,8.31,8.36,800
2019-02-25,8.54,9.16,8.37,8.8,2247
2019-02-26,8.82,8.97,8.54,8.82,657
2019-02-27,8.79,9.02,8.6,8.72,634
2019-02-28,8.73,8.91,8.24,8.52,1470
2019-03-01,8.58,8.93,8.51,8.82,1403
2019-03-04,8.89,8.89,8.43,8.57,682
2019-03-05,8.58,8.74,8.42,8.7,1378
2019-03-06,8.71,8.81,8.19,8.35,1568
2019-03-07,8.27,8.52,7.77,7.94,2075
2019-03-08,7.93,7.93,7.52,7.86,1419
2019-03-11,7.89,8.61,7.77,8.53,2172
2019-03-12,8.6,9.47,8.41,9.09,2338
2019-03-13,9.1,9.55,8.62,8.99,1608
2019-03-14,8.96,9.17,8.79,9.14,1012
2019-03-15,9.15,9.47,9.08,9.44,1638
2019-03-18,9.46,9.63,9.29,9.5,945
2019-03-19,9.5,9.8,9.42,9.69,1157
2019-03-20,9.69,9.89,9.54,9.7,946
2019-03-21,9.63,9.89,9.05,9.17,787
2019-03-22,9.1,9.12,8.51,8.51,860
2019-03-25,8.53,8.67,8.21,8.4,623
2019-03-26,8.49,8.65,8.23,8.4,698
2019-03-27,8.39,8.46,8.13,8.3,948
2019-03-28,8.27,8.39,7.8,7.95,1829
2019-03-29,8.05,8.21,7.98,8.11,610
2019-04-01,8.13,9.07,8.0,8.93,4209
2019-04-02,8.91,9.38,8.91,9.04,1453
2019-04-03,9.16,9.54,9.08,9.46,1202
2019-04-04,9.45,9.79,9.34,9.76,731
2019-04-05,9.78,10.84,9.59,10.6,2955
2019-04-08,10.7,10.78,10.02,10.07,1180
2019-04-09,10.0,10.0,9.59,9.8,1400
2019-04-10,9.76,9.94,9.68,9.82,1155
2019-04-11,9.87,9.99,9.46,9.55,753
