date,open,high,low,close,volume
2018-12-10,4.18,4.19,3.85,3.96,3212
2018-12-11,3.97,3.99,3.62,3.84,3680
2018-12-12,3.84,3.9,3.62,3.64,5193
2018-12-13,3.6,3.86,3.27,3.83,6546
2018-12-14,3.75,3.8,3.46,3.48,2349
2018-12-17,3.5,3.51,3.11,3.17,2786
2018-12-18,3.19,3.19,2.74,2.75,5289
2018-12-19,2.86,2.99,2.55,2.56,2734
2018-12-20,2.48,2.52,2.14,2.26,6352
2018-12-21,2.11,2.68,2.11,2.52,5651
2018-12-24,2.45,2.48,2.25,2.27,2553
2018-12-26,2.25,2.4,2.2,2.33,4184
2018-12-27,2.3,2.3,2.09,2.18,2558
2018-12-28,2.28,2.28,2.1,2.28,4132
2018-12-31,2.34,2.49,2.29,2.32,5173
2019-01-02,2.3,2.35,2.2,2.32,3190
2019-01-03,2.31,2.68,2.27,2.57,1449
2019-01-04,2.64,2.7,2.51,2.66,2321
2019-01-07,2.7,2.9,2.63,2.84,2444
2019-01-08,2.87,2.99,2.87,2.91,1849
2019-01-09,2.97,3.02,2.88,2.98,1983
2019-01-10,2.99,3.0,2.89,2.99,861
2019-01-11,2.99,2.99,2.88,2.96,651
2019-01-14,3.0,3.09,2.94,3.02,1710
2019-01-15,3.02,3.07,2.82,2.89,4696
2019-01-16,2.86,2.96,2.83,2.87,1294
2019-01-17,2.89,2.93,2.81,2.85,670
2019-01-18,2.86,3.07,2.84,2.98,2113
2019-01-22,2.94,2.96,2.75,2.78,2416
2019-01-23,2.76,2.76,2.53,2.57,6447
2019-01-24,2.56,2.62,2.46,2.5,2048
2019-01-25,2.5,2.65,2.5,2.55,3051
2019-01-28,2.57,2.69,2.57,2.65,2956
2019-01-29,2.64,2.69,2.5,2.6,1725
2019-01-30,2.6,2.65,2.51,2.635,2278
2019-01-31,2.63,2.64,2.51,2.62,1774
2019-02-01,2.62,2.74,2.59,2.64,1355
2019-02-04,2.66,2.83,2.63,2.8,1524
2019-02-05,2.79,2.87,2.66,2.74,1704
2019-02-06,2.71,2.73,2.67,2.69,245
2019-02-07,2.68,2.68,2.45,2.54,2809
2019-02-08,2.54,2.58,2.48,2.54,976
2019-02-11,2.54,2.62,2.48,2.58,932
2019-02-12,2.6,2.7,2.51,2.67,1032
2019-02-13,2.7,2.86,2.7,2.74,1809
2019-02-14,2.69,2.78,2.63,2.7,864
2019-02-15,2.72,2.83,2.61,2.68,2309
2019-02-19,2.67,2.8,2.63,2.68,1231
2019-02-20,2.67,2.74,2.63,2.71,1146
2019-02-21,2.72,2.72,2.6,2.66,1154
2019-02-22,2.65,2.68,2.58,2.645,1885
2019-02-25,2.6,2.84,2.6,2.84,3913
2019-02-26,2.81,2.91,2.79,2.79,2059
2019-02-27,2.9,3.23,2.81,3.07,5560
2019-02-28,3.11,3.2,2.96,3.13,3338
2019-03-01,3.17,3.19,3.08,3.1,2477
2019-03-04,3.15,3.3,3.06,3.26,4081
2019-03-05,3.28,3.28,3.06,3.11,2728
2019-03-06,3.16,3.16,2.92,3.0,2255
2019-03-07,2.99,3.0,2.92,2.96,984
2019-03-08,2.9,2.95,2.78,2.82,2347
2019-03-11,2.83,2.97,2.83,2.85,1032
2019-03-12,2.85,3.03,2.85,2.94,1676
2019-03-13,2.98,3.05,2.91,2.92,1133
2019-03-14,2.95,2.99,2.84,2.9,2321
2019-03-15,2.9,2.95,2.87,2.87,690
2019-03-18,2.88,2.95,2.87,2.89,568
2019-03-19,2.9,2.95,2.86,2.86,522
2019-03-20,2.86,2.96,2.7,2.83,1247
2019-03-21,2.83,2.95,2.77,2.82,1212
2019-03-22,2.83,2.85,2.67,2.7,2047
2019-03-25,2.67,2.71,2.6,2.68,1255
2019-03-26,2.73,2.78,2.66,2.77,570
2019-03-27,2.79,2.8,2.65,2.74,603
2019-03-28,2.71,2.8,2.67,2.77,628
2019-03-29,2.78,2.87,2.78,2.84,613
2019-04-01,2.89,2.95,2.84,2.92,1265
2019-04-02,2.95,2.95,2.85,2.9,1475
2019-04-03,2.9,2.91,2.78,2.81,1381
2019-04-04,2.79,2.9,2.79,2.88,590
2019-04-05,2.88,2.97,2.85,2.95,2041
2019-04-08,2.94,3.11,2.94,3.08,1583
2019-04-09,3.1,3.2,3.1,3.17,1598
2019-04-10,3.17,3.2,3.15,3.17,617
2019-04-11,3.14,3.16,3.0,3.04,1783
2019-04-12,3.1,3.1,2.91,2.94,1474
2019-04-15,2.97,2.99,2.9,2.97,955
2019-04-16,2.97,3.02,2.9,3.02,891
2019-04-17,3.0,3.06,2.96,2.96,432
2019-04-18,2.92,2.99,2.92,2.95,708
2019-04-22,2.95,3.04,2.93,3.01,841
2019-04-23,3.02,3.12,3.02,3.02,721
2019-04-24,3.02,3.11,2.92,2.99,1068
2019-04-25,2.97,3.06,2.94,2.95,925
2019-04-26,2.95,2.99,2.92,2.97,1187
2019-04-29,2.97,3.07,2.97,3.05,796
2019-04-30,3.05,3.05,3.0,3.04,912
2019-05-01,3.03,3.08,3.03,3.05,714
2019-05-02,3.04,3.08,3.03,3.08,1021
2019-05-03,3.08,3.25,3.07,3.22,3228
2019-05-06,3.1,3.24,3.1,3.2,988
2019-05-07,3.23,3.23,3.09,3.2,1471
2019-05-08,3.17,3.42,3.17,3.38,2958
2019-05-09,3.42,3.44,3.26,3.32,1916
2019-05-10,3.32,3.39,3.31,3.33,707
2019-05-13,3.31,3.41,3.21,3.33,2786
2019-05-14,3.36,3.55,3.36,3.55,1447
2019-05-15,3.51,3.64,3.51,3.55,695
2019-05-16,3.55,3.9,3.55,3.74,1197
2019-05-17,3.74,3.74,3.54,3.54,1667
2019-05-20,3.59,3.69,3.46,3.69,2179
2019-05-21,3.7,3.77,3.62,3.66,1039
2019-05-22,3.61,3.67,3.51,3.55,1612
2019-05-23,3.51,3.56,3.37,3.45,3273
2019-05-24,3.43,3.46,3.26,3.37,1119
2019-05-28,3.36,3.44,3.28,3.4,1833
2019-05-29,3.34,3.4,3.26,3.385,773
2019-05-30,3.36,3.39,3.26,3.26,1009
2019-05-31,3.22,3.25,3.17,3.22,772
2019-06-03,3.21,3.23,3.15,3.16,929
2019-06-04,3.17,3.24,3.12,3.2,2664
2019-06-05,3.19,3.21,3.01,3.12,1589
2019-06-06,3.12,3.19,3.08,3.15,1124
2019-06-07,3.13,3.24,3.07,3.22,840
2019-06-10,3.21,3.29,3.21,3.29,667
2019-06-11,3.28,3.41,3.23,3.38,783
2019-06-12,3.34,3.39,3.31,3.33,627
2019-06-13,3.35,3.35,3.31,3.32,666
2019-06-14,3.32,3.35,3.24,3.28,457
2019-06-17,3.25,3.29,3.23,3.26,831
2019-06-18,3.26,3.35,3.26,3.31,821
2019-06-19,3.28,3.39,3.28,3.37,953
2019-06-20,3.39,3.4,3.32,3.375,11155
2019-06-21,3.37,3.39,3.33,3.37,637
2019-06-24,3.37,3.39,3.3,3.35,591
2019-06-25,3.33,3.53,3.33,3.5,2370
2019-06-26,3.5,3.54,3.47,3.48,404
2019-06-27,3.47,3.6,3.41,3.53,6815
2019-06-28,3.52,3.56,3.5,3.54,1245
2019-07-01,3.56,3.61,3.48,3.56,1745
2019-07-02,3.53,3.54,3.48,3.53,569
2019-07-03,3.54,3.59,3.45,3.55,1320
2019-07-05,3.55,3.64,3.5,3.59,1861
2019-07-08,3.58,3.61,3.55,3.58,894
