date,open,high,low,close,volume
2018-12-10,19.76,19.76,18.78,18.83,1991
2018-12-11,19.05,19.27,18.59,18.85,5578
2018-12-12,19.1,19.42,18.93,18.97,1496
2018-12-13,18.96,19.37,18.79,18.8,1700
2018-12-14,18.59,18.99,18.28,18.39,3748
2018-12-17,18.26,18.43,17.66,17.8,3727
2018-12-18,17.95,18.4,17.91,18.14,3171
2018-12-19,18.15,18.81,17.96,18.01,4711
2018-12-20,17.89,18.14,17.13,17.28,6158
2018-12-21,17.3,17.44,16.6,16.77,4186
2018-12-24,16.66,17.0,16.35,16.67,1848
2018-12-26,16.76,17.46,16.53,17.43,3123
2018-12-27,17.12,17.42,16.71,17.1,3107
2018-12-28,17.12,17.64,16.89,17.33,3518
2018-12-31,17.41,17.57,16.89,17.26,2152
2019-01-02,16.97,18.22,16.91,17.94,2166
2019-01-03,17.8,18.22,17.45,17.96,1843
2019-01-04,18.18,19.18,18.0,19.14,2920
2019-01-07,19.25,20.22,19.08,20.13,5135
2019-01-08,20.31,20.98,20.0,20.97,10307
2019-01-09,20.93,22.11,20.65,21.88,10606
2019-01-10,21.82,22.0,21.25,21.79,5221
2019-01-11,21.73,22.12,21.58,21.87,1820
2019-01-14,21.69,21.91,21.44,21.64,2276
2019-01-15,21.68,21.81,21.19,21.5,2780
2019-01-16,21.53,21.7,21.17,21.43,4441
2019-01-17,21.44,21.71,21.16,21.25,2875
2019-01-18,21.38,21.38,20.81,20.88,2425
2019-01-22,20.75,20.83,20.15,20.54,1944
2019-01-23,20.64,20.81,20.25,20.57,4084
2019-01-24,20.6,21.33,20.6,21.24,2223
2019-01-25,21.44,22.16,21.29,21.62,3000
2019-01-28,21.41,21.97,21.19,21.78,5104
2019-01-29,21.59,22.31,21.01,22.25,1879
2019-01-30,22.57,22.57,21.65,22.42,2545
2019-01-31,22.53,23.53,22.28,23.46,3356
2019-02-01,23.49,24.07,23.42,23.57,2816
2019-02-04,23.35,24.0,23.21,23.41,5532
2019-02-05,23.35,24.0,23.35,23.9,5030
2019-02-06,23.94,24.65,23.47,23.69,4257
2019-02-07,23.58,24.0,23.33,23.9,4799
2019-02-08,22.05,22.98,21.65,22.93,10412
2019-02-11,23.0,23.09,22.55,22.98,2634
2019-02-12,23.13,24.72,23.13,24.6,7096
2019-02-13,24.68,24.84,24.13,24.2,4998
2019-02-14,24.05,24.05,23.11,23.25,4771
2019-02-15,23.38,23.72,23.06,23.67,3028
2019-02-19,23.64,23.97,23.32,23.84,1820
2019-02-20,23.82,24.02,23.59,23.7,1338
2019-02-21,23.57,23.87,23.56,23.85,1123
2019-02-22,24.04,24.22,23.88,24.19,1343
2019-02-25,24.31,24.53,23.93,23.93,1251
2019-02-26,23.9,23.98,23.4,23.66,1382
2019-02-27,23.65,23.78,23.19,23.43,2743
2019-02-28,23.28,23.31,22.67,22.83,2621
2019-03-01,23.03,23.08,22.55,22.74,2148
2019-03-04,22.8,23.46,22.8,23.35,1592
2019-03-05,23.35,23.42,22.63,22.66,1876
2019-03-06,22.69,23.14,22.49,22.49,1821
2019-03-07,22.88,23.83,22.77,23.78,3172
2019-03-08,23.82,24.17,23.67,23.76,1984
2019-03-11,23.85,24.57,23.6,24.48,2074
2019-03-12,24.52,24.54,24.01,24.09,2128
2019-03-13,24.25,24.74,23.7,23.76,1716
2019-03-14,23.78,23.82,23.46,23.5,1901
2019-03-15,23.61,24.0,23.44,23.46,1768
2019-03-18,23.52,23.81,23.25,23.63,1245
2019-03-19,23.66,23.85,22.81,22.84,1160
2019-03-20,22.84,23.36,21.95,22.93,3394
2019-03-21,23.04,23.69,23.04,23.49,1948
2019-03-22,23.37,23.89,23.11,23.34,3283
2019-03-25,23.35,24.14,23.18,24.08,1359
2019-03-26,24.21,24.34,23.46,23.87,2889
2019-03-27,24.38,24.94,24.08,24.5,5187
2019-03-28,24.61,24.8,24.13,24.54,2874
2019-03-29,24.68,24.88,23.86,23.97,1929
2019-04-01,24.07,24.19,23.51,23.88,1350
2019-04-02,23.94,24.03,23.03,23.4,2773
2019-04-03,23.69,23.86,23.24,23.52,3696
2019-04-04,23.51,24.55,23.51,24.53,1022
2019-04-05,26.38,26.76,26.03,26.04,19788
2019-04-08,25.95,26.26,25.88,25.95,6713
2019-04-09,25.85,26.2,25.48,25.59,7842
2019-04-10,25.5,25.96,25.43,25.7,18030
2019-04-11,25.61,26.08,25.54,26.0,4254
2019-04-12,25.96,26.43,25.48,25.75,5835
2019-04-15,25.65,26.03,25.46,25.62,3704
2019-04-16,25.72,25.93,25.32,25.5,2765
2019-04-17,25.5,25.72,25.3,25.45,3249
2019-04-18,25.28,25.61,24.85,25.46,2254
2019-04-22,25.38,25.78,24.43,24.55,3805
2019-04-23,24.84,25.38,24.64,25.17,2952
2019-04-24,25.21,25.55,25.06,25.54,2293
2019-04-25,25.15,25.4,24.48,24.82,2935
2019-04-26,24.91,25.01,24.35,24.97,2250
2019-04-29,25.0,25.34,24.8,25.23,1993
2019-04-30,25.12,25.77,24.97,25.43,2677
2019-05-01,25.53,25.99,25.08,25.14,2870
2019-05-02,25.63,26.3,25.05,25.35,5078
2019-05-03,27.0,28.77,27.0,28.22,16485
2019-05-06,27.88,28.52,27.52,28.3,5696
2019-05-07,28.05,28.29,27.51,27.91,2738
