date,open,high,low,close,volume
2018-12-10,14.88,14.98,14.15,14.61,39989
2018-12-11,14.86,15.0,13.9,13.96,40852
2018-12-12,14.22,14.46,13.86,13.87,29503
2018-12-13,13.86,14.0,13.53,13.67,20391
2018-12-14,13.5,13.5,12.68,12.72,36773
2018-12-17,12.69,12.85,12.12,12.2,27829
2018-12-18,12.49,12.49,11.39,11.4,37905
2018-12-19,11.53,11.79,11.04,11.14,43198
2018-12-20,10.95,11.14,10.26,10.49,44329
2018-12-21,10.51,10.91,10.13,10.22,81264
2018-12-24,10.01,10.32,9.87,10.04,19191
2018-12-26,10.22,11.02,9.91,11.02,30814
2018-12-27,10.76,11.14,10.55,11.02,32257
2018-12-28,11.09,11.16,10.69,10.84,21240
2018-12-31,10.95,11.16,10.74,11.02,18762
2019-01-02,10.67,11.5,10.53,11.3,29136
2019-01-03,11.28,11.76,11.07,11.28,22160
2019-01-04,11.36,11.88,11.36,11.81,27595
2019-01-07,11.83,12.74,11.67,12.68,34084
2019-01-08,12.85,12.95,12.41,12.89,29860
2019-01-09,13.07,13.3,12.73,13.22,29333
2019-01-10,13.1,13.41,13.03,13.21,28803
2019-01-11,13.1,13.16,12.77,13.03,24693
2019-01-14,12.86,13.57,12.8,13.3,29726
2019-01-15,13.38,13.56,13.22,13.5,33021
2019-01-16,13.29,13.92,13.11,13.76,29483
2019-01-17,13.61,14.01,13.42,13.91,21374
2019-01-18,14.0,14.21,13.77,14.2,22324
2019-01-22,14.09,14.09,13.1,13.19,22833
2019-01-23,13.31,13.42,12.84,12.94,19214
2019-01-24,12.92,13.01,12.7,12.79,18698
2019-01-25,13.06,13.27,12.82,13.07,21402
2019-01-28,12.82,13.19,12.5,12.92,20859
2019-01-29,13.1,13.2,12.86,13.0,15827
2019-01-30,13.05,13.47,12.98,13.46,14256
2019-01-31,13.52,13.67,13.06,13.17,17262
2019-02-01,13.25,13.38,13.06,13.32,11252
2019-02-04,13.18,13.36,12.95,13.33,13267
2019-02-05,13.37,13.43,12.88,12.9,17694
2019-02-06,12.8,13.17,12.66,12.86,14540
2019-02-07,12.71,12.78,12.15,12.46,28670
2019-02-08,12.47,12.54,11.98,12.26,22290
2019-02-11,12.16,12.41,11.97,12.33,32385
2019-02-12,12.53,12.8,12.27,12.33,24244
2019-02-13,12.41,12.73,12.13,12.3,25041
2019-02-14,12.24,12.78,12.2,12.55,21583
2019-02-15,12.69,13.02,12.62,12.98,21044
2019-02-19,12.96,13.21,12.84,12.9,13156
2019-02-20,12.82,13.15,12.76,13.1,13777
2019-02-21,13.02,13.08,12.24,12.35,20728
2019-02-22,12.48,12.7,12.41,12.55,20356
2019-02-25,12.49,12.83,12.35,12.71,33774
2019-02-26,10.75,11.1,9.76,9.84,159406
2019-02-27,10.05,10.15,9.55,9.66,79760
2019-02-28,9.69,9.75,9.06,9.07,75627
2019-03-01,9.14,9.3,9.04,9.27,59405
2019-03-04,9.33,9.49,9.0,9.3,42047
2019-03-05,9.31,9.42,9.04,9.11,30488
2019-03-06,9.05,9.13,8.7,8.7,24066
2019-03-07,8.73,8.8,8.41,8.69,35242
2019-03-08,8.5,8.71,8.28,8.68,42955
2019-03-11,8.7,8.88,8.36,8.7,39615
2019-03-12,8.71,9.07,8.64,9.06,36745
2019-03-13,9.19,9.39,9.0,9.08,28964
2019-03-14,9.03,9.21,8.9,8.93,19678
2019-03-15,8.92,9.33,8.86,9.18,41386
2019-03-18,9.2,9.39,9.06,9.27,24638
2019-03-19,9.4,9.47,8.96,9.03,22345
2019-03-20,8.97,9.26,8.9,9.1,22587
2019-03-21,9.08,9.3,9.02,9.26,20549
2019-03-22,9.16,9.18,8.7,8.71,31715
2019-03-25,8.71,8.84,8.45,8.78,25590
2019-03-26,8.85,9.21,8.77,8.92,25542
2019-03-27,8.89,9.02,8.81,8.99,35532
2019-03-28,8.85,9.07,8.83,9.0,22578
2019-03-29,9.14,9.2,8.65,8.79,27273
2019-04-01,8.91,8.94,8.6,8.84,27925
2019-04-02,8.84,8.92,8.63,8.85,27304
2019-04-03,8.94,8.97,8.39,8.44,28294
2019-04-04,8.42,8.77,8.39,8.68,25485
2019-04-05,8.73,9.2,8.7,9.14,29365
2019-04-08,9.2,9.83,9.2,9.56,44310
2019-04-09,9.49,9.56,9.09,9.21,28235
2019-04-10,9.25,9.58,9.17,9.44,21028
2019-04-11,9.39,9.45,8.84,9.01,47163
2019-04-12,9.6,9.97,9.38,9.63,40817
2019-04-15,9.58,10.04,9.55,10.03,29931
2019-04-16,10.04,10.14,9.86,10.05,23043
2019-04-17,10.14,10.48,10.03,10.26,28011
2019-04-18,10.33,10.49,10.22,10.31,21294
2019-04-22,10.4,10.95,10.32,10.8,29771
2019-04-23,10.73,10.87,10.51,10.86,25222
2019-04-24,10.57,10.94,10.48,10.73,24583
2019-04-25,10.77,10.9,10.48,10.71,19765
2019-04-26,10.59,10.85,10.47,10.7,25401
2019-04-29,10.72,10.76,10.49,10.56,11731
2019-04-30,10.74,10.8,10.23,10.53,22132
2019-05-01,10.6,10.68,9.91,9.94,26882
2019-05-02,9.73,10.01,9.64,9.84,37677
2019-05-03,9.93,10.31,9.87,10.24,20844
2019-05-06,9.99,10.27,9.92,10.05,35696
2019-05-07,9.98,10.37,9.08,9.58,43265
2019-05-08,9.58,10.04,9.47,9.69,27912
2019-05-09,9.54,10.14,9.5,10.1,21469
2019-05-10,10.06,10.2,9.84,9.98,25182
2019-05-13,9.87,9.93,9.51,9.55,17126
2019-05-14,9.63,9.99,9.5,9.76,21295
2019-05-15,9.32,10.11,9.3,10.08,31954
2019-05-16,10.16,10.46,10.15,10.32,27608
2019-05-17,10.15,10.36,10.02,10.04,11761
2019-05-20,10.06,10.13,9.9,9.96,14170
2019-05-21,10.01,10.21,10.0,10.11,28462
2019-05-22,9.98,10.09,9.38,9.51,21254
2019-05-23,9.3,9.43,8.78,8.81,28483
2019-05-24,8.95,9.05,8.58,8.71,17594
2019-05-28,8.76,8.76,8.39,8.44,24948
2019-05-29,8.22,8.45,8.11,8.44,30791
2019-05-30,8.47,8.53,8.09,8.09,19847
2019-05-31,7.91,8.16,7.78,7.9,23418
2019-06-03,8.0,8.06,7.77,7.85,31727
2019-06-04,7.96,8.04,7.83,8.0,30878
2019-06-05,8.0,8.07,7.42,7.55,26666
2019-06-06,7.55,7.67,7.27,7.46,26128
2019-06-07,7.39,7.42,7.02,7.34,42970
2019-06-10,7.38,7.56,7.28,7.3,27734
2019-06-11,7.4,7.45,7.0,7.08,40624
2019-06-12,7.0,7.0,6.62,6.69,37099
2019-06-13,6.82,6.9,6.6,6.89,65079
2019-06-14,6.88,7.0,6.22,6.4,51335
2019-06-17,6.36,6.96,6.25,6.91,43621
2019-06-18,6.95,7.24,6.83,6.95,31435
2019-06-19,6.95,7.24,6.74,6.98,28975
2019-06-20,7.18,7.58,7.1,7.4,31608
2019-06-21,7.39,7.5,7.17,7.27,16042
2019-06-24,7.27,7.47,7.23,7.27,19816
2019-06-25,7.25,7.39,7.15,7.21,45753
2019-06-26,7.32,7.68,7.22,7.32,50102
2019-06-27,7.33,7.47,7.21,7.31,21726
2019-06-28,7.37,7.64,7.37,7.59,21057
2019-07-01,7.74,7.83,7.48,7.58,24196
2019-07-02,7.57,7.67,7.37,7.45,26785
2019-07-03,7.48,7.49,7.24,7.34,12359
2019-07-05,7.28,7.53,7.28,7.52,16214
2019-07-08,7.27,7.49,7.16,7.18,19697
2019-07-09,7.13,7.14,6.87,6.91,45579
2019-07-10,7.04,7.6,6.99,7.54,45027
2019-07-11,7.53,7.6,7.24,7.4,50562
2019-07-12,7.37,7.75,7.36,7.63,31183
2019-07-15,7.64,7.64,6.88,6.89,46497
2019-07-16,6.88,6.97,6.34,6.59,40733
2019-07-17,6.43,6.43,6.07,6.13,29663
2019-07-18,6.12,6.22,6.05,6.1,31184
2019-07-19,6.09,6.28,5.93,6.24,31735
2019-07-22,6.26,6.43,6.0,6.09,41443
2019-07-23,6.04,6.27,6.02,6.25,30281
2019-07-24,6.24,6.41,6.14,6.22,29188
2019-07-25,6.26,6.28,5.76,5.81,23567
2019-07-26,5.79,5.93,5.58,5.69,23454
