date,open,high,low,close,volume
2018-12-10,3.34,3.45,3.04,3.08,757
2018-12-11,3.11,3.18,2.96,3.0,304
2018-12-12,3.03,3.05,2.91,3.0,927
2018-12-13,2.98,3.03,2.93,2.98,279
2018-12-14,2.93,2.98,2.75,2.78,4878
2018-12-17,2.78,3.05,2.7,2.75,1319
2018-12-18,2.75,2.76,2.53,2.55,1860
2018-12-19,2.53,2.6,2.33,2.36,3005
2018-12-20,2.17,2.43,2.17,2.3,2479
2018-12-21,2.3,2.3,2.0,2.1,5112
2018-12-24,2.13,2.24,2.09,2.19,493
2018-12-26,2.18,2.4,1.94,2.15,1844
2018-12-27,2.05,2.31,2.05,2.15,1194
2018-12-28,2.14,2.55,2.03,2.41,1515
2018-12-31,2.39,2.65,2.11,2.35,1047
2019-01-02,2.29,3.08,2.29,2.7,1794
2019-01-03,2.69,3.18,2.61,2.69,738
2019-01-04,2.71,3.14,2.6,3.06,1066
2019-01-07,3.0,3.3,2.85,3.27,818
2019-01-08,3.29,3.29,2.89,3.01,1105
2019-01-09,3.03,3.11,2.8,3.02,824
2019-01-10,2.98,3.04,2.82,2.97,375
2019-01-11,2.96,3.02,2.9,2.97,238
2019-01-14,2.95,3.04,2.78,3.0,668
2019-01-15,2.98,3.12,2.83,3.05,905
2019-01-16,3.06,3.18,2.98,3.03,247
2019-01-17,2.99,3.07,2.99,3.01,193
2019-01-18,2.98,3.02,2.92,2.94,499
2019-01-22,2.95,3.04,2.81,2.95,1231
2019-01-23,2.98,3.01,2.9,2.9,72
2019-01-24,2.96,2.96,2.86,2.91,206
2019-01-25,2.9,2.98,2.89,2.9,357
2019-01-28,2.93,2.95,2.78,2.82,361
2019-01-29,2.84,2.92,2.78,2.83,153
2019-01-30,2.82,2.93,2.81,2.85,479
2019-01-31,2.82,2.99,2.82,2.9,961
2019-02-01,2.95,3.05,2.77,2.84,712
2019-02-04,2.83,2.86,2.75,2.81,700
2019-02-05,2.81,2.94,2.77,2.82,504
2019-02-06,2.8,2.87,2.67,2.87,815
2019-02-07,2.85,2.85,2.44,2.79,1548
2019-02-08,2.78,2.82,2.62,2.74,442
2019-02-11,2.74,2.81,2.44,2.68,182
2019-02-12,2.67,2.83,2.52,2.6,882
2019-02-13,2.62,2.7,2.55,2.55,578
2019-02-14,2.57,2.65,2.47,2.47,1043
2019-02-15,2.49,2.62,2.48,2.53,1190
2019-02-19,2.54,2.6,2.47,2.53,338
2019-02-20,2.58,2.62,2.52,2.55,464
2019-02-21,2.5,2.66,2.5,2.59,1488
2019-02-22,2.58,2.75,2.57,2.75,609
2019-02-25,2.78,2.85,2.66,2.7,1358
2019-02-26,2.73,2.85,2.68,2.81,678
2019-02-27,2.85,2.9,2.8,2.88,314
2019-02-28,2.9,2.95,2.77,2.9,433
2019-03-01,2.91,3.15,2.9,3.08,1099
2019-03-04,3.2,3.2,2.9,2.93,452
2019-03-05,2.94,3.03,2.75,2.75,687
2019-03-06,2.78,2.78,2.54,2.63,1207
2019-03-07,2.59,2.72,2.5,2.5,1169
2019-03-08,2.51,2.54,2.4,2.4,387
2019-03-11,2.45,2.86,2.34,2.42,872
2019-03-12,2.4,2.56,2.34,2.46,1187
2019-03-13,2.47,2.64,2.35,2.43,785
2019-03-14,2.43,2.43,2.2,2.35,2031
2019-03-15,2.35,2.54,2.2,2.45,1206
2019-03-18,2.44,2.57,2.34,2.52,1560
2019-03-19,2.52,2.58,2.43,2.55,551
2019-03-20,2.55,2.63,2.5,2.56,289
2019-03-21,2.54,2.65,2.51,2.61,315
2019-03-22,2.6,2.64,2.45,2.55,772
2019-03-25,2.5,2.59,2.48,2.49,418
2019-03-26,2.5,2.7,2.5,2.62,731
2019-03-27,2.65,2.8,2.52,2.6,404
2019-03-28,2.6,2.64,2.49,2.49,615
2019-03-29,2.55,2.67,2.52,2.65,680
2019-04-01,2.67,2.67,2.51,2.62,726
2019-04-02,2.63,2.65,2.56,2.61,691
2019-04-03,2.61,2.8,2.61,2.71,694
2019-04-04,2.7,2.91,2.66,2.71,900
2019-04-05,2.71,2.84,2.65,2.7,702
2019-04-08,2.77,2.96,2.72,2.9,1864
2019-04-09,2.91,2.91,2.66,2.86,2292
2019-04-10,2.86,2.94,2.77,2.85,1023
2019-04-11,2.87,2.99,2.87,2.94,1201
2019-04-12,2.94,2.96,2.75,2.84,1063
2019-04-15,2.84,2.85,2.48,2.57,2731
2019-04-16,2.57,2.84,2.49,2.56,983
2019-04-17,2.58,2.58,2.37,2.42,1510
2019-04-18,2.43,2.44,2.36,2.38,730
2019-04-22,2.37,2.38,2.25,2.32,2918
2019-04-23,2.31,2.52,2.29,2.3,1310
2019-04-24,2.31,2.44,2.26,2.3,904
2019-04-25,2.29,2.35,2.22,2.3,824
2019-04-26,2.28,2.36,2.26,2.3,869
2019-04-29,2.33,2.48,2.32,2.37,547
