date,open,high,low,close,volume
2018-12-10,30.24,31.05,29.68,30.92,3339
2018-12-11,31.2,31.43,30.49,31.17,2154
2018-12-12,31.45,31.79,30.9,30.94,1652
2018-12-13,30.94,31.27,30.55,31.06,2155
2018-12-14,30.88,30.9,29.84,30.01,1452
2018-12-17,30.02,30.52,28.91,29.1,1931
2018-12-18,29.2,29.74,28.97,29.47,1711
2018-12-19,29.54,29.97,29.32,29.87,2756
2018-12-20,29.84,30.1,28.85,28.98,1670
2018-12-21,28.92,29.48,27.91,28.27,2743
2018-12-24,28.25,28.47,27.68,27.74,695
2018-12-26,27.83,28.95,27.33,28.9,1507
2018-12-27,28.57,29.65,28.29,29.62,1728
2018-12-28,29.75,31.18,29.71,30.99,2782
2018-12-31,30.95,31.3,30.33,31.25,2441
2019-01-02,30.92,31.94,30.51,31.7,2062
2019-01-03,31.57,32.8,31.43,32.38,2075
2019-01-04,32.57,33.35,32.53,33.05,2308
2019-01-07,33.0,34.62,33.0,34.42,2388
2019-01-08,34.62,34.96,34.12,34.16,4427
2019-01-09,34.1,34.39,33.84,34.08,3687
2019-01-10,34.04,34.76,33.71,34.52,2498
2019-01-11,34.51,35.25,34.28,35.17,1792
2019-01-14,34.84,35.29,34.6,34.7,1959
2019-01-15,34.7,34.83,34.26,34.38,1401
2019-01-16,34.41,34.96,34.3,34.87,1767
2019-01-17,34.86,35.78,34.52,35.45,2443
2019-01-18,35.46,36.16,35.38,36.16,1912
2019-01-22,35.92,36.48,35.52,36.33,2785
2019-01-23,36.4,36.92,35.7,36.02,2485
2019-01-24,36.02,36.31,35.45,36.0,1073
2019-01-25,36.2,36.42,35.75,35.87,1581
2019-01-28,35.69,35.97,35.2,35.44,1071
2019-01-29,35.61,35.76,34.87,35.1,1161
2019-01-30,35.21,35.78,34.89,35.51,1155
2019-01-31,35.42,36.28,35.39,35.62,1295
2019-02-01,35.67,35.75,35.17,35.69,2021
2019-02-04,35.76,36.29,35.65,36.08,1080
2019-02-05,36.26,36.26,35.49,35.74,1447
2019-02-06,35.83,36.1,35.61,35.85,1984
2019-02-07,33.99,34.0,27.7,28.04,11602
2019-02-08,27.86,28.16,26.45,28.02,7985
2019-02-11,28.11,28.81,27.79,27.81,4309
2019-02-12,27.98,28.01,27.33,27.88,4046
2019-02-13,27.86,28.13,26.96,27.2,2950
2019-02-14,27.09,27.81,26.94,27.33,11554
2019-02-15,27.45,27.66,26.64,26.93,2469
2019-02-19,26.92,27.72,26.59,27.49,7113
2019-02-20,27.38,28.53,27.38,28.28,1903
2019-02-21,28.31,28.31,27.46,27.82,1042
2019-02-22,27.82,28.06,27.4,27.72,1620
2019-02-25,27.74,28.22,27.74,27.89,3794
2019-02-26,27.95,28.2,27.47,27.63,1862
2019-02-27,27.51,27.9,27.33,27.71,1592
2019-02-28,27.84,27.96,27.58,27.85,1011
2019-03-01,28.0,28.52,27.82,28.39,1904
2019-03-04,28.45,28.69,28.0,28.09,1228
2019-03-05,28.0,28.43,27.91,28.1,1049
2019-03-06,28.13,28.35,27.62,27.71,1798
2019-03-07,27.82,28.06,27.26,27.28,1630
2019-03-08,27.28,27.54,26.96,26.98,909
2019-03-11,27.01,27.23,26.82,26.85,1030
2019-03-12,26.84,27.07,26.44,26.55,1159
2019-03-13,26.64,26.82,26.15,26.21,2054
2019-03-14,26.29,26.37,25.98,26.09,2216
2019-03-15,26.13,26.62,26.08,26.29,3171
2019-03-18,26.31,26.57,26.08,26.12,1233
2019-03-19,26.04,26.21,25.44,25.52,2025
2019-03-20,25.98,26.65,24.62,24.97,2471
2019-03-21,24.92,25.73,24.92,25.19,2271
2019-03-22,25.14,25.35,23.91,23.93,1749
2019-03-25,23.92,24.23,23.88,23.9,2985
2019-03-26,24.01,24.36,23.58,23.74,1309
2019-03-27,23.72,23.88,23.23,23.47,2640
2019-03-28,23.53,23.9,23.4,23.56,1888
2019-03-29,23.71,23.85,23.07,23.25,2704
2019-04-01,23.35,23.88,23.25,23.83,3560
2019-04-02,23.82,24.04,23.45,23.53,1559
2019-04-03,23.6,23.86,23.24,23.24,2207
2019-04-04,23.27,23.68,23.19,23.48,1690
2019-04-05,23.44,23.59,23.28,23.39,1988
2019-04-08,23.38,23.99,23.33,23.78,1854
2019-04-09,23.65,23.94,23.38,23.5,1901
2019-04-10,23.55,23.99,23.36,23.87,1239
2019-04-11,23.87,23.89,23.55,23.66,653
2019-04-12,23.68,23.89,23.51,23.79,1168
2019-04-15,23.83,24.09,23.49,23.51,1655
2019-04-16,23.59,23.84,23.47,23.73,1350
2019-04-17,23.81,23.94,23.58,23.78,1465
2019-04-18,23.74,24.05,23.67,23.84,1085
2019-04-22,23.77,23.9,23.39,23.48,928
2019-04-23,23.43,23.82,23.21,23.81,2339
2019-04-24,23.9,24.49,23.84,24.2,1458
2019-04-25,24.07,24.07,23.45,23.74,2388
2019-04-26,23.84,24.33,23.77,24.06,1624
2019-04-29,23.88,24.52,23.82,24.45,1443
2019-04-30,24.43,24.68,24.06,24.48,1294
2019-05-01,24.55,25.22,24.55,24.77,2867
2019-05-02,24.7,24.89,24.34,24.56,1830
2019-05-03,24.72,25.48,24.66,25.34,2329
2019-05-06,25.07,25.37,23.72,23.8,4014
2019-05-07,24.79,26.56,24.73,26.48,4024
2019-05-08,26.48,26.5,25.74,26.31,2851
2019-05-09,26.28,26.47,25.92,26.41,2865
2019-05-10,26.4,26.75,25.96,26.7,1552
2019-05-13,26.38,26.56,25.97,26.14,1409
2019-05-14,26.08,26.86,25.97,26.8,1498
2019-05-15,26.66,26.91,26.27,26.36,921
2019-05-16,26.31,26.83,26.31,26.81,1184
2019-05-17,26.7,27.48,26.67,27.24,1608
2019-05-20,27.02,27.49,26.86,26.92,1678
2019-05-21,26.94,27.58,26.92,27.4,1265
2019-05-22,27.3,27.3,26.65,26.75,1020
2019-05-23,26.57,26.64,26.05,26.1,1400
2019-05-24,26.14,26.96,26.14,26.77,978
2019-05-28,26.77,27.04,26.69,26.76,1299
2019-05-29,26.52,26.67,25.88,26.29,1425
2019-05-30,26.3,26.61,25.55,25.79,1183
2019-05-31,25.63,25.64,25.33,25.57,1110
2019-06-03,25.55,26.25,25.52,26.15,1347
2019-06-04,26.46,26.55,26.05,26.18,1059
2019-06-05,26.15,26.33,25.84,26.01,1604
2019-06-06,25.96,26.06,25.58,25.75,1132
2019-06-07,25.91,26.12,25.73,26.0,959
2019-06-10,26.05,26.26,25.57,25.59,648
2019-06-11,25.72,25.85,25.15,25.18,948
2019-06-12,25.18,25.71,25.07,25.17,644
2019-06-13,25.29,25.65,25.24,25.61,590
2019-06-14,25.63,25.78,25.31,25.4,973
2019-06-17,25.46,26.42,24.96,26.14,1164
2019-06-18,26.25,26.84,26.0,26.09,796
2019-06-19,25.97,26.08,25.26,25.53,1108
2019-06-20,25.72,26.37,25.54,25.89,808
2019-06-21,25.78,25.9,25.13,25.16,1231
2019-06-24,25.23,25.57,24.37,24.39,1335
2019-06-25,24.35,24.68,24.21,24.3,1568
2019-06-26,24.28,25.5,23.88,24.0,1976
2019-06-27,24.05,24.35,23.93,24.23,2411
2019-06-28,24.33,25.02,24.11,24.64,2206
