date,open,high,low,close,volume
2018-12-10,2.63605,2.6619,2.6016,2.6188,31503
2018-12-11,2.6705,2.70495,2.63175,2.6705,32773
2018-12-12,2.73945,2.8299,2.73945,2.7739,47764
2018-12-13,2.76525,2.80835,2.74805,2.79975,36199
2018-12-14,2.7739,2.8342,2.76525,2.80835,27148
2018-12-17,2.79975,2.80405,2.69635,2.7136,35141
2018-12-18,2.7739,2.80835,2.73945,2.7739,40122
2018-12-19,2.8342,2.92035,2.80835,2.82555,74063
2018-12-20,3.0065,3.0753,2.93755,3.0237,90811
2018-12-21,3.0237,3.04525,2.8845,2.9117,58376
2018-12-24,2.86005,2.8945,2.82015,2.8342,15439
2018-12-26,2.86865,2.9117,2.8428,2.9117,34520
2018-12-27,2.9462,2.99785,2.92465,2.99785,31329
2018-12-28,2.99785,3.04955,2.972,3.0323,40730
2018-12-31,3.05815,3.0797,2.98925,3.0668,20866
2019-01-02,3.1357,3.2719,3.10985,3.196,49730
2019-01-03,3.1874,3.2046,3.11845,3.1443,88651
2019-01-04,3.17015,3.2563,3.1443,3.1874,38288
2019-01-07,3.1357,3.1443,3.0151,3.04095,59323
2019-01-08,3.0237,3.10125,3.01305,3.084,48765
2019-01-09,3.10985,3.1874,3.04095,3.1357,84725
2019-01-10,3.16155,3.22185,3.1271,3.2046,69657
2019-01-11,3.1357,3.23045,3.10985,3.22185,64970
2019-01-14,3.2046,3.2434,3.17875,3.1874,56532
2019-01-15,3.2046,3.23905,3.1443,3.17875,57101
2019-01-16,3.0926,3.1357,3.084,3.1357,27742
2019-01-17,3.1443,3.22615,3.1357,3.21325,23077
2019-01-18,3.2477,3.2477,3.1357,3.1443,18300
2019-01-22,3.2046,3.27355,3.11375,3.16155,53953
2019-01-23,3.2046,3.22185,3.16155,3.21325,22496
2019-01-24,3.2477,3.29075,3.23045,3.29075,27890
2019-01-25,3.308,3.3597,3.27355,3.308,33204
2019-01-28,3.22185,3.2477,3.1551,3.2046,39190
2019-01-29,3.2477,3.27025,3.196,3.22185,32600
2019-01-30,3.23045,3.2477,3.17015,3.21325,63787
2019-01-31,3.23905,3.28215,3.196,3.2477,76561
2019-02-01,3.2046,3.22185,3.15295,3.196,42676
2019-02-04,3.1443,3.1917,3.11845,3.15295,40916
2019-02-05,3.16155,3.196,3.11125,3.16155,21169
2019-02-06,3.10125,3.11845,3.0065,3.0237,51278
2019-02-07,3.05815,3.0668,2.98065,3.04955,42207
2019-02-08,3.04955,3.1271,2.972,3.0926,53125
2019-02-11,3.04095,3.04955,2.9031,2.98925,77011
2019-02-12,3.0151,3.0883,2.98065,3.0754,75055
2019-02-13,3.05815,3.11415,2.98925,3.0926,81635
2019-02-14,3.0151,3.2003,3.0065,3.17875,47300
2019-02-15,3.2046,3.2089,3.1228,3.17875,51931
2019-02-19,3.21325,3.2649,3.2046,3.23905,27898
2019-02-20,3.23045,3.2649,3.1874,3.21325,31749
2019-02-21,3.17015,3.196,3.1443,3.17875,24113
2019-02-22,3.21325,3.2434,3.17875,3.22185,24742
2019-02-25,3.23905,3.28645,3.22185,3.2563,86198
2019-02-26,3.2563,3.28215,3.2003,3.28215,29676
2019-02-27,3.28215,3.4286,3.2434,3.3769,69166
2019-02-28,3.33385,3.35105,3.27355,3.29075,29051
2019-03-01,3.21325,3.23905,3.17015,3.1874,46102
2019-03-04,3.21325,3.21325,3.1357,3.1874,24255
2019-03-05,3.17875,3.2477,3.16585,3.23045,28307
2019-03-06,3.2477,3.2606,3.0754,3.0926,44648
2019-03-07,3.084,3.084,3.0065,3.0668,68896
2019-03-08,3.0926,3.1615,3.0754,3.1529,30139
2019-03-11,3.1788,3.2305,3.1615,3.2132,27184
2019-03-12,3.2218,3.3252,3.2089,3.2994,36907
2019-03-13,3.2994,3.3511,3.2261,3.3338,37746
2019-03-14,3.2994,3.3039,3.2391,3.2908,29258
2019-03-15,3.2908,3.3855,3.2908,3.3166,31935
2019-03-18,3.308,3.4027,3.2908,3.3941,29875
2019-03-19,3.3855,3.4027,3.3468,3.3597,29316
2019-03-20,3.3424,3.3855,3.2563,3.308,27650
2019-03-21,3.2821,3.2865,3.1244,3.2391,59754
2019-03-22,3.1099,3.1615,3.0409,3.0582,43974
2019-03-25,3.0754,3.1615,3.0582,3.1357,53994
2019-03-26,3.1788,3.1874,3.0926,3.1615,50139
2019-03-27,3.0409,3.0495,2.9031,2.9117,98629
2019-03-28,2.8859,3.0323,2.86,2.972,45392
2019-03-29,3.0237,3.1099,3.0065,3.0754,73921
2019-04-01,3.084,3.1443,3.0151,3.0668,35354
2019-04-02,3.0926,3.1185,2.9979,3.0065,31781
2019-04-03,3.0496,3.1529,3.0237,3.0582,47490
2019-04-04,3.0409,3.1357,3.0409,3.1012,33503
2019-04-05,3.084,3.1572,3.0496,3.1271,37427
2019-04-08,3.2218,3.2649,3.1874,3.196,54688
2019-04-09,3.1788,3.1917,3.0926,3.1185,63227
2019-04-10,3.2563,3.3166,3.2477,3.2994,47992
2019-04-11,3.2218,3.2305,3.1529,3.2305,76942
2019-04-12,3.1702,3.196,3.0582,3.1099,71927
2019-04-15,3.1357,3.1613,3.0668,3.1185,22401
2019-04-16,3.1099,3.1615,3.0754,3.084,20679
2019-04-17,3.1012,3.1099,2.9763,3.0151,47721
2019-04-18,2.9979,3.1184,2.972,3.0668,30639
2019-04-22,3.0496,3.1314,3.0151,3.1271,22241
2019-04-23,3.1185,3.1839,3.0926,3.1357,45334
2019-04-24,3.1012,3.1271,3.0323,3.0409,27980
2019-04-25,3.0668,3.1528,3.0452,3.1271,21531
2019-04-26,3.1443,3.1874,3.1271,3.1702,20628
2019-04-29,3.1788,3.196,3.1055,3.1443,20710
2019-04-30,3.1529,3.1917,3.1099,3.1874,26119
2019-05-01,3.196,3.2305,3.1271,3.1443,34838
2019-05-02,3.1443,3.2218,3.1211,3.1702,38601
2019-05-03,3.196,3.2348,3.1529,3.1615,25932
2019-05-06,2.9979,3.0496,2.9634,3.0151,33980
2019-05-07,3.0668,3.084,2.972,2.9892,34820
2019-05-08,3.0754,3.0926,3.0409,3.0582,19911
2019-05-09,2.9979,3.0409,2.972,3.0323,16706
2019-05-10,3.0237,3.0237,2.9376,2.9979,24999
2019-05-13,2.9117,2.9376,2.86,2.8686,35826
2019-05-14,2.8859,2.9031,2.8256,2.8859,19074
2019-05-15,2.7653,2.8514,2.7523,2.7911,29648
2019-05-16,2.748,2.817,2.6877,2.705,37669
2019-05-17,2.6705,2.7394,2.593,2.6361,34445
2019-05-20,2.6533,2.7567,2.6102,2.748,45349
2019-05-21,2.7739,2.9203,2.748,2.8945,28864
2019-05-22,2.972,2.9849,2.8945,2.9203,26546
2019-05-23,2.8945,2.9548,2.873,2.9117,39048
2019-05-24,2.9289,2.9505,2.86,2.86,61704
2019-05-28,2.9289,3.0151,2.86,2.972,71845
2019-05-29,3.0323,3.1012,3.0237,3.1012,53787
2019-05-30,3.1271,3.1831,3.1185,3.1271,54035
2019-05-31,3.1615,3.2391,3.14,3.2218,62649
2019-06-03,3.2563,3.2908,3.2218,3.2305,44877
2019-06-04,3.2563,3.308,3.2132,3.2994,38323
2019-06-05,3.2908,3.308,3.2261,3.2391,33979
2019-06-06,3.308,3.3683,3.2951,3.3511,58908
2019-06-07,3.4114,3.463,3.3166,3.3338,61830
2019-06-10,3.2563,3.2821,3.2132,3.2391,43785
2019-06-11,3.2649,3.3597,3.2434,3.308,53991
2019-06-12,3.2908,3.3166,3.2218,3.2218,22243
2019-06-13,3.2821,3.3338,3.2649,3.2821,33973
2019-06-14,3.2477,3.3123,3.1615,3.1788,43146
2019-06-17,3.1788,3.2305,3.1529,3.2046,30441
2019-06-18,3.2391,3.2908,3.196,3.2218,23926
2019-06-19,3.1874,3.2305,3.1486,3.2218,20360
2019-06-20,3.2735,3.3511,3.252,3.308,15980
2019-06-21,3.2735,3.3166,3.2649,3.2735,39236
2019-06-24,3.2994,3.3424,3.2563,3.2908,35143
2019-06-25,3.2735,3.2994,3.1486,3.1788,35541
