date,open,high,low,close,volume
2018-12-10,2.07,2.17,2.07,2.15,7880
2018-12-11,2.19,2.19,2.1,2.15,5302
2018-12-12,2.15,2.2,2.12,2.13,6268
2018-12-13,2.12,2.15,2.04,2.06,9352
2018-12-14,2.05,2.05,1.9,1.91,11580
2018-12-17,1.9,1.92,1.79,1.81,13481
2018-12-18,1.83,1.87,1.74,1.75,8357
2018-12-19,1.77,1.855,1.75,1.76,7871
2018-12-20,1.76,1.79,1.66,1.67,7253
2018-12-21,1.66,1.71,1.64,1.64,9429
2018-12-24,1.63,1.73,1.62,1.62,6427
2018-12-26,1.63,1.74,1.61,1.74,10453
2018-12-27,1.67,1.74,1.65,1.71,7115
2018-12-28,1.73,1.84,1.72,1.74,10172
2018-12-31,1.74,1.785,1.7,1.72,8167
2019-01-02,1.71,1.81,1.68,1.8,4424
2019-01-03,1.79,1.84,1.74,1.79,4878
2019-01-04,1.83,1.93,1.76,1.9,5799
2019-01-07,1.9,1.98,1.87,1.98,4386
2019-01-08,2.0,2.06,1.98,2.02,5019
2019-01-09,2.09,2.09,2.02,2.07,5785
2019-01-10,2.08,2.0866,2.02,2.06,4883
2019-01-11,2.03,2.06,1.98,2.02,5128
2019-01-14,1.99,2.04,1.93,1.96,5545
2019-01-15,1.96,2.0,1.93,1.95,3110
2019-01-16,1.95,2.03,1.93,1.94,3180
2019-01-17,1.92,2.01,1.92,2.0,3483
2019-01-18,1.99,2.0,1.96,1.98,2969
2019-01-22,1.97,1.99,1.88,1.9,4190
2019-01-23,1.91,1.95,1.89,1.92,3100
2019-01-24,1.93,1.95,1.9,1.93,2242
2019-01-25,1.95,1.99,1.92,1.94,4671
2019-01-28,1.92,1.97,1.86,1.87,4735
2019-01-29,1.89,1.91,1.86,1.88,2246
2019-01-30,1.9,1.91,1.86,1.9,2532
2019-01-31,1.9,1.94,1.88,1.9,3840
2019-02-01,1.9,1.955,1.81,1.91,5254
2019-02-04,1.9,1.93,1.8523,1.87,3448
2019-02-05,1.87,1.89,1.84,1.85,2906
2019-02-06,1.86,1.87,1.83,1.83,2689
2019-02-07,1.82,1.822,1.75,1.75,4667
2019-02-08,1.74,1.78,1.71,1.74,2713
2019-02-11,1.73,1.83,1.73,1.8,3200
2019-02-12,1.81,1.88,1.81,1.87,2895
2019-02-13,1.87,1.9,1.85,1.88,2492
2019-02-14,1.88,1.9,1.86,1.9,1854
2019-02-15,1.91,1.94,1.87,1.89,3268
2019-02-19,1.89,2.03,1.89,2.0,6415
2019-02-20,2.03,2.3,2.01,2.24,12907
2019-02-21,2.26,2.35,2.17,2.24,8277
2019-02-22,2.26,2.28,2.24,2.28,5119
2019-02-25,2.3,2.33,2.19,2.19,4568
2019-02-26,2.3,2.3,2.19,2.19,4627
2019-02-27,2.21,2.25,2.1601,2.24,2502
2019-02-28,2.27,2.29,2.205,2.29,3747
