date,open,high,low,close,volume
2018-12-10,12.55,12.76,12.29,12.41,169
2018-12-11,12.47,12.58,12.31,12.55,307
2018-12-12,12.68,12.85,12.67,12.71,138
2018-12-13,12.74,12.9,12.58,12.83,226
2018-12-14,12.8,12.88,12.6,12.69,199
2018-12-17,12.76,12.81,12.3,12.45,699
2018-12-18,12.5,12.68,12.41,12.52,484
2018-12-19,12.58,12.7,12.41,12.57,138
2018-12-20,12.63,12.67,12.4,12.53,320
2018-12-21,12.52,12.7,12.43,12.52,537
2018-12-24,12.55,12.58,12.21,12.23,113
2018-12-26,12.38,12.91,12.05,12.88,221
2018-12-27,12.66,12.99,12.56,12.92,263
2018-12-28,12.95,13.21,12.8,12.98,132
2018-12-31,13.04,13.1,12.92,13.07,346
2019-01-02,12.89,12.91,12.7,12.86,114
2019-01-03,12.85,12.88,12.75,12.78,298
2019-01-04,12.86,13.32,12.86,13.21,448
2019-01-07,13.2,13.3,12.93,12.94,336
2019-01-08,13.09,13.12,12.9,13.05,172
2019-01-09,12.98,13.41,12.98,13.24,229
2019-01-10,13.16,13.33,13.16,13.22,205
2019-01-11,13.15,13.47,13.15,13.29,579
2019-01-14,13.22,13.36,13.06,13.09,105
2019-01-15,13.2,13.31,13.05,13.17,205
2019-01-16,13.2,13.4,13.18,13.36,278
2019-01-17,13.26,13.45,13.26,13.33,155
2019-01-18,13.32,13.42,13.21,13.23,272
2019-01-22,13.1,13.3,13.04,13.2,187
2019-01-23,13.2,13.23,13.11,13.21,44
2019-01-24,13.11,13.21,12.86,13.12,243
2019-01-25,13.11,13.35,13.11,13.23,143
2019-01-28,13.12,13.14,12.83,12.89,168
2019-01-29,12.84,13.05,12.83,12.9,111
2019-01-30,12.98,13.05,12.85,13.02,305
2019-01-31,12.95,13.17,12.87,12.95,129
2019-02-01,13.05,13.05,12.71,12.83,233
2019-02-04,12.79,12.9,12.63,12.82,72
2019-02-05,12.86,13.01,12.86,12.88,148
2019-02-06,12.85,12.87,12.8,12.86,36
2019-02-07,12.79,12.95,12.79,12.87,63
2019-02-08,12.9,12.98,12.36,12.45,130
2019-02-11,12.42,12.62,12.42,12.55,123
2019-02-12,12.51,12.72,12.51,12.6,41
2019-02-13,12.65,12.66,12.47,12.53,67
2019-02-14,12.49,12.65,12.36,12.4,76
2019-02-15,12.49,12.76,12.36,12.7,148
2019-02-19,12.66,12.83,12.57,12.65,169
2019-02-20,12.68,12.79,12.66,12.68,121
2019-02-21,12.7,12.91,12.7,12.91,40
2019-02-22,13.0,13.13,12.97,13.02,140
2019-02-25,13.15,13.15,12.96,12.96,165
2019-02-26,13.05,13.15,13.04,13.14,157
2019-02-27,13.07,13.11,12.97,13.03,194
2019-02-28,12.98,13.27,12.95,13.16,133
2019-03-01,13.28,13.35,13.1,13.28,2041
2019-03-04,13.2,13.35,13.18,13.22,139
2019-03-05,13.23,13.33,13.06,13.28,67
2019-03-06,13.3,13.88,12.96,13.1,176
2019-03-07,13.11,13.21,13.0,13.04,363
2019-03-08,13.11,13.24,13.09,13.17,756
2019-03-11,13.11,13.25,13.07,13.22,223
2019-03-12,13.22,13.37,13.18,13.31,222
2019-03-13,13.41,13.45,13.32,13.32,363
2019-03-14,13.27,13.38,13.26,13.37,198
2019-03-15,13.25,13.47,13.25,13.36,621
2019-03-18,13.41,13.45,13.31,13.36,163
2019-03-19,13.36,13.38,13.26,13.31,120
2019-03-20,13.35,13.35,13.23,13.28,115
2019-03-21,13.35,13.35,13.27,13.33,137
2019-03-22,13.25,13.34,12.85,12.96,165
2019-03-25,13.01,13.46,12.94,13.31,395
2019-03-26,13.38,13.38,13.3,13.35,154
2019-03-27,13.42,13.44,13.24,13.32,116
2019-03-28,13.34,13.41,13.33,13.36,109
2019-03-29,13.46,13.46,13.29,13.39,196
2019-04-01,13.37,13.42,13.34,13.34,121
2019-04-02,13.43,13.43,13.21,13.37,82
2019-04-03,13.43,13.53,13.3,13.35,110
2019-04-04,13.32,13.44,13.2,13.34,43
2019-04-05,13.4,13.46,13.32,13.41,155
2019-04-08,13.37,13.53,13.31,13.31,128
2019-04-09,13.35,13.37,13.28,13.31,52
2019-04-10,13.4,13.46,13.12,13.19,141
2019-04-11,13.25,13.32,13.2,13.26,44
2019-04-12,13.2,13.33,13.13,13.29,22
2019-04-15,13.26,13.34,13.26,13.32,42
2019-04-16,13.35,13.4,13.22,13.33,150
2019-04-17,13.53,13.53,13.28,13.29,184
2019-04-18,13.24,13.3,13.11,13.19,133
2019-04-22,13.15,13.15,13.05,13.09,48
2019-04-23,13.18,13.24,13.11,13.19,38
2019-04-24,13.2,13.25,13.1,13.1,51
2019-04-25,13.07,13.07,12.89,12.95,53
2019-04-26,13.06,13.12,12.93,13.04,58
2019-04-29,13.07,13.17,13.01,13.09,36
2019-04-30,13.12,13.13,13.01,13.05,79
2019-05-01,12.97,13.05,12.81,12.81,121
2019-05-02,12.78,12.9,12.52,12.85,299
2019-05-03,12.95,13.45,12.93,13.27,202
2019-05-06,13.08,13.2,13.02,13.04,282
2019-05-07,12.91,13.16,12.91,12.98,151
2019-05-08,13.04,13.1,13.0,13.0,93
2019-05-09,13.03,13.14,13.03,13.04,49
2019-05-10,13.15,13.35,13.06,13.2,406
2019-05-13,13.06,13.2,12.87,12.92,102
2019-05-14,12.88,12.98,12.85,12.96,20
2019-05-15,12.9,13.03,12.82,12.95,45
2019-05-16,13.0,13.01,12.94,13.0,13
2019-05-17,12.94,13.25,12.86,12.95,251
2019-05-20,12.82,12.94,12.66,12.89,63
2019-05-21,12.99,13.16,12.9,12.96,209
2019-05-22,12.96,13.05,12.91,13.0,146
2019-05-23,12.91,13.0,12.87,12.93,119
2019-05-24,12.97,13.03,12.92,13.0,188
2019-05-28,12.94,13.08,12.85,12.95,206
2019-05-29,12.81,12.86,12.71,12.78,141
2019-05-30,12.8,12.94,12.75,12.83,49
2019-05-31,12.73,12.85,12.66,12.77,149
2019-06-03,12.85,12.85,12.67,12.79,37
2019-06-04,12.81,12.92,12.71,12.83,82
2019-06-05,12.78,12.82,12.61,12.68,112
2019-06-06,12.63,12.7,12.41,12.48,62
2019-06-07,12.45,12.83,12.45,12.78,47
2019-06-10,12.79,12.79,12.4,12.68,72
2019-06-11,12.72,12.76,12.5,12.64,44
2019-06-12,12.59,12.7,12.55,12.7,20
2019-06-13,12.65,12.97,12.65,12.95,60
2019-06-14,13.01,13.04,12.91,12.96,36
2019-06-17,12.96,12.98,12.78,12.83,71
2019-06-18,12.85,13.0,12.55,12.69,88
2019-06-19,12.63,12.76,12.5,12.76,351
2019-06-20,12.76,12.76,11.97,12.2,244
2019-06-21,12.12,12.26,11.83,12.23,296
2019-06-24,12.2,12.37,12.11,12.2,240
2019-06-25,12.27,12.8,11.97,12.65,5794
2019-06-26,12.75,12.94,10.62,10.95,1192
2019-06-27,11.15,11.15,10.13,10.59,1331
2019-06-28,10.92,11.18,10.65,11.18,533
2019-07-01,11.32,11.36,10.9,11.06,405
2019-07-02,11.07,11.35,11.05,11.18,230
2019-07-03,11.53,11.57,11.4,11.49,212
2019-07-05,11.49,11.51,11.2,11.51,121
2019-07-08,11.53,11.64,11.34,11.41,181
2019-07-09,11.35,11.48,11.07,11.3,116
2019-07-10,11.33,11.49,11.28,11.37,194
2019-07-11,11.41,11.41,10.96,11.22,230
2019-07-12,11.18,11.39,11.1,11.32,187
2019-07-15,11.35,11.43,10.86,10.99,198
2019-07-16,10.94,11.12,10.7,10.92,230
2019-07-17,10.87,11.04,10.87,10.93,94
2019-07-18,10.89,10.9,10.62,10.69,181
2019-07-19,10.64,10.75,10.46,10.49,93
2019-07-22,10.53,10.53,9.8,10.25,373
2019-07-23,10.3,10.48,10.1,10.46,76
2019-07-24,10.47,10.56,10.31,10.56,74
2019-07-25,10.52,10.54,10.28,10.45,165
2019-07-26,10.45,10.98,10.45,10.94,130
2019-07-29,10.97,11.33,10.97,11.29,182
2019-07-30,11.29,11.33,11.15,11.24,130
2019-07-31,11.2,11.56,11.12,11.55,440
2019-08-01,11.48,12.05,11.47,11.75,359
2019-08-02,11.41,11.71,10.81,10.85,276
2019-08-05,10.69,10.72,10.4,10.53,175
2019-08-06,10.5,10.99,10.5,10.99,53
2019-08-07,10.92,11.13,10.81,11.02,102
2019-08-08,11.11,11.49,11.1,11.2,111
2019-08-09,11.21,11.32,11.0,11.0,74
2019-08-12,10.9,11.2,10.88,11.08,39
2019-08-13,11.0,11.24,11.0,11.13,49
2019-08-14,11.05,11.09,10.92,11.0,125
2019-08-15,11.0,11.15,10.97,11.0,101
2019-08-16,11.07,11.15,11.0,11.02,80
2019-08-19,11.09,11.22,11.0,11.04,174
2019-08-20,11.0,11.31,11.0,11.28,141
